"X1";"X28320";"X21";"X5";"X12";"X13";"X14";"X17";"X25";"X28";"X32";"X7";"X27";"X4";"X20";"X11";"X22";"X31";"X19";"X3";"X23";"X18";"X1.1";"X6";"X26";"X10";"X9";"X16";"X30";"X2";"X29";"X24";"X8";"X15"
1;27352;21;5;12;13;30;10;25;4;24;7;27;31;20;11;22;14;19;3;23;18;1;6;26;17;9;16;28;2;29;32;8;15
21;5;12;13;15;10;25;4;24;7;27;31;20;11;22;14;19;3;23;18;1;6;26;17;9;16;28;2;29;32;8;30;1;27434
1;27434;21;5;12;13;15;10;25;4;24;7;27;31;20;11;22;14;19;3;23;18;1;6;26;17;9;16;28;2;29;32;8;30
21;5;12;13;15;10;25;4;24;7;27;31;20;11;22;14;19;3;23;18;1;6;26;17;9;16;2;28;29;32;8;30;1;27078
1;27078;21;5;12;13;15;10;25;4;24;7;27;31;20;11;22;14;19;3;23;18;1;6;26;17;9;16;2;28;29;32;8;30
30;5;12;13;15;10;25;4;24;7;27;31;20;11;22;14;19;3;23;18;1;6;26;17;9;16;2;28;29;32;8;21;1;26798
1;26798;30;5;12;13;15;10;25;4;24;7;27;31;20;11;22;14;19;3;23;18;1;6;26;17;9;16;2;28;29;32;8;21
30;5;12;13;15;10;25;4;24;7;16;31;20;11;22;14;19;3;23;18;1;6;26;17;9;27;2;28;29;32;8;21;1;27334
1;27334;30;5;12;13;15;10;25;4;24;7;16;31;20;11;22;14;19;3;23;18;1;6;26;17;9;27;2;28;29;32;8;21
30;5;15;13;12;10;25;4;24;7;16;31;20;11;22;14;19;3;23;18;1;6;26;17;9;27;2;28;29;32;8;21;1;27214
1;27214;30;5;15;13;12;10;25;4;24;7;16;31;20;11;22;14;19;3;23;18;1;6;26;17;9;27;2;28;29;32;8;21
17;5;15;13;12;10;25;4;24;7;16;31;20;11;22;14;19;3;23;18;1;6;26;30;9;27;2;28;29;32;8;21;1;27654
1;27214;30;5;15;13;12;10;25;4;24;7;16;31;20;11;22;14;19;3;23;18;1;6;26;17;9;27;2;28;29;32;8;21
30;5;15;13;12;10;17;4;24;7;16;31;20;11;22;14;19;3;23;18;1;6;26;25;9;27;2;28;29;32;8;21;1;26614
1;26614;30;5;15;13;12;10;17;4;24;7;16;31;20;11;22;14;19;3;23;18;1;6;26;25;9;27;2;28;29;32;8;21
30;5;15;13;12;10;17;4;32;7;16;31;20;11;22;14;19;3;23;18;1;6;26;25;9;27;2;28;29;24;8;21;1;26894
1;26894;30;5;15;13;12;10;17;4;32;7;16;31;20;11;22;14;19;3;23;18;1;6;26;25;9;27;2;28;29;24;8;21
30;5;15;13;12;10;17;4;32;7;20;31;16;11;22;14;19;3;23;18;1;6;26;25;9;27;2;28;29;24;8;21;1;27778
1;27778;30;5;15;13;12;10;17;4;32;7;20;31;16;11;22;14;19;3;23;18;1;6;26;25;9;27;2;28;29;24;8;21
30;5;15;13;12;10;17;4;32;7;20;31;16;11;22;14;19;3;23;18;1;6;26;25;9;27;2;28;24;29;8;21;1;28078
1;28078;30;5;15;13;12;10;17;4;32;7;20;31;16;11;22;14;19;3;23;18;1;6;26;25;9;27;2;28;24;29;8;21
30;5;15;13;12;10;17;4;32;7;20;31;16;26;22;14;19;3;23;18;1;6;11;25;9;27;2;28;24;29;8;21;1;28356
2;28356;30;5;15;13;12;10;17;4;32;7;20;31;16;26;22;14;19;3;23;18;1;6;11;25;9;27;2;28;24;29;8;21
30;5;15;13;12;10;8;4;32;7;20;31;16;26;22;14;19;3;23;18;1;6;11;25;9;27;2;28;24;29;17;21;2;27158
2;27158;30;5;15;13;12;10;8;4;32;7;20;31;16;26;22;14;19;3;23;18;1;6;11;25;9;27;2;28;24;29;17;21
30;5;15;13;12;10;8;4;32;7;3;31;16;26;22;14;19;20;23;18;1;6;11;25;9;27;2;28;24;29;17;21;2;26620
2;26620;30;5;15;13;12;10;8;4;32;7;3;31;16;26;22;14;19;20;23;18;1;6;11;25;9;27;2;28;24;29;17;21
30;5;15;13;12;10;20;4;32;7;3;31;16;26;22;14;19;8;23;18;1;6;11;25;9;27;2;28;24;29;17;21;2;27580
2;27580;30;5;15;13;12;10;20;4;32;7;3;31;16;26;22;14;19;8;23;18;1;6;11;25;9;27;2;28;24;29;17;21
32;5;15;13;12;10;20;4;30;7;3;31;16;26;22;14;19;8;23;18;1;6;11;25;9;27;2;28;24;29;17;21;2;28060
2;28060;32;5;15;13;12;10;20;4;30;7;3;31;16;26;22;14;19;8;23;18;1;6;11;25;9;27;2;28;24;29;17;21
32;5;15;13;12;10;8;4;30;7;3;31;16;26;22;14;19;20;23;18;1;6;11;25;9;27;2;28;24;29;17;21;2;27100
2;27100;32;5;15;13;12;10;8;4;30;7;3;31;16;26;22;14;19;20;23;18;1;6;11;25;9;27;2;28;24;29;17;21
32;5;15;13;12;10;8;4;30;7;3;31;16;26;22;14;19;20;23;18;17;6;11;25;9;27;2;28;24;29;1;21;2;27514
2;27514;32;5;15;13;12;10;8;4;30;7;3;31;16;26;22;14;19;20;23;18;17;6;11;25;9;27;2;28;24;29;1;21
32;5;15;13;27;10;8;4;30;7;3;31;16;26;22;14;19;20;23;18;17;6;11;25;9;12;2;28;24;29;1;21;2;28028
2;28028;32;5;15;13;27;10;8;4;30;7;3;31;16;26;22;14;19;20;23;18;17;6;11;25;9;12;2;28;24;29;1;21
32;5;15;13;27;10;8;4;30;7;3;31;16;26;22;14;19;20;18;23;17;6;11;25;9;12;2;28;24;29;1;21;2;27588
2;27588;32;5;15;13;27;10;8;4;30;7;3;31;16;26;22;14;19;20;18;23;17;6;11;25;9;12;2;28;24;29;1;21
32;5;15;13;27;10;8;4;30;7;3;31;16;26;22;14;19;20;18;23;17;12;11;25;9;6;2;28;24;29;1;21;2;27288
2;27288;32;5;15;13;27;10;8;4;30;7;3;31;16;26;22;14;19;20;18;23;17;12;11;25;9;6;2;28;24;29;1;21
32;5;15;13;18;10;8;4;30;7;3;31;16;26;22;14;19;20;27;23;17;12;11;25;9;6;2;28;24;29;1;21;2;27628
2;27628;32;5;15;13;18;10;8;4;30;7;3;31;16;26;22;14;19;20;27;23;17;12;11;25;9;6;2;28;24;29;1;21
32;5;15;13;18;10;8;4;30;7;3;31;16;6;22;14;19;20;27;23;17;12;11;25;9;26;2;28;24;29;1;21;2;27548
2;27548;32;5;15;13;18;10;8;4;30;7;3;31;16;6;22;14;19;20;27;23;17;12;11;25;9;26;2;28;24;29;1;21
18;5;15;13;32;10;8;4;30;7;3;31;16;6;22;14;19;20;27;23;17;12;11;25;9;26;2;28;24;29;1;21;2;27768
2;27768;18;5;15;13;32;10;8;4;30;7;3;31;16;6;22;14;19;20;27;23;17;12;11;25;9;26;2;28;24;29;1;21
18;5;15;13;32;10;8;27;30;7;3;31;16;6;22;14;19;20;4;23;17;12;11;25;9;26;2;28;24;29;1;21;2;27408
2;27408;18;5;15;13;32;10;8;27;30;7;3;31;16;6;22;14;19;20;4;23;17;12;11;25;9;26;2;28;24;29;1;21
18;5;26;13;32;10;8;27;30;7;3;31;16;6;22;14;19;20;4;23;17;12;11;25;9;15;2;28;24;29;1;21;2;27722
2;27722;18;5;26;13;32;10;8;27;30;7;3;31;16;6;22;14;19;20;4;23;17;12;11;25;9;15;2;28;24;29;1;21
18;5;26;13;32;10;8;27;30;21;3;31;16;6;22;14;19;20;4;23;17;12;11;25;9;15;2;28;24;29;1;7;2;28128
2;28128;18;5;26;13;32;10;8;27;30;21;3;31;16;6;22;14;19;20;4;23;17;12;11;25;9;15;2;28;24;29;1;7
18;5;26;13;32;10;24;27;30;21;3;31;16;6;22;14;19;20;4;23;17;12;11;25;9;15;2;28;8;29;1;7;2;27944
2;27944;18;5;26;13;32;10;24;27;30;21;3;31;16;6;22;14;19;20;4;23;17;12;11;25;9;15;2;28;8;29;1;7
18;5;11;13;32;10;24;27;30;21;3;31;16;6;22;14;19;20;4;23;17;12;26;25;9;15;2;28;8;29;1;7;2;27984
2;27984;18;5;11;13;32;10;24;27;30;21;3;31;16;6;22;14;19;20;4;23;17;12;26;25;9;15;2;28;8;29;1;7
18;5;11;13;32;10;24;14;30;21;3;31;16;6;22;27;19;20;4;23;17;12;26;25;9;15;2;28;8;29;1;7;2;28720
2;28720;18;5;11;13;32;10;24;14;30;21;3;31;16;6;22;27;19;20;4;23;17;12;26;25;9;15;2;28;8;29;1;7
21;5;11;13;32;10;24;14;30;18;3;31;16;6;22;27;19;20;4;23;17;12;26;25;9;15;2;28;8;29;1;7;2;28760
2;28760;21;5;11;13;32;10;24;14;30;18;3;31;16;6;22;27;19;20;4;23;17;12;26;25;9;15;2;28;8;29;1;7
21;5;11;13;32;10;24;14;30;1;3;31;16;6;22;27;19;20;4;23;17;12;26;25;9;15;2;28;8;29;18;7;2;29262
3;29262;21;5;11;13;32;10;24;14;30;1;3;31;16;6;22;27;19;20;4;23;17;12;26;25;9;15;2;28;8;29;18;7
21;5;11;13;32;10;24;14;30;2;3;31;16;6;22;27;19;20;4;23;17;12;26;25;9;15;1;28;8;29;18;7;3;29162
3;29162;21;5;11;13;32;10;24;14;30;2;3;31;16;6;22;27;19;20;4;23;17;12;26;25;9;15;1;28;8;29;18;7
21;5;11;13;4;10;24;14;30;2;3;31;16;6;22;27;19;20;32;23;17;12;26;25;9;15;1;28;8;29;18;7;3;29440
3;29440;21;5;11;13;4;10;24;14;30;2;3;31;16;6;22;27;19;20;32;23;17;12;26;25;9;15;1;28;8;29;18;7
21;5;11;19;4;10;24;14;30;2;3;31;16;6;22;27;13;20;32;23;17;12;26;25;9;15;1;28;8;29;18;7;3;28834
3;28834;21;5;11;19;4;10;24;14;30;2;3;31;16;6;22;27;13;20;32;23;17;12;26;25;9;15;1;28;8;29;18;7
21;5;11;19;4;10;24;14;30;2;3;31;16;6;22;27;13;9;32;23;17;12;26;25;20;15;1;28;8;29;18;7;3;28148
3;28148;21;5;11;19;4;10;24;14;30;2;3;31;16;6;22;27;13;9;32;23;17;12;26;25;20;15;1;28;8;29;18;7
21;5;11;19;4;10;24;14;30;2;3;31;16;6;22;27;13;9;32;25;17;12;26;23;20;15;1;28;8;29;18;7;3;28148
3;28148;21;5;11;19;4;10;24;14;30;2;3;31;16;6;22;27;13;9;32;25;17;12;26;23;20;15;1;28;8;29;18;7
21;5;11;19;4;10;24;3;30;2;14;31;16;6;22;27;13;9;32;25;17;12;26;23;20;15;1;28;8;29;18;7;3;27948
3;27948;21;5;11;19;4;10;24;3;30;2;14;31;16;6;22;27;13;9;32;25;17;12;26;23;20;15;1;28;8;29;18;7
21;5;11;19;4;10;24;3;30;2;14;31;16;6;18;27;13;9;32;25;17;12;26;23;20;15;1;28;8;29;22;7;3;28128
3;28128;21;5;11;19;4;10;24;3;30;2;14;31;16;6;18;27;13;9;32;25;17;12;26;23;20;15;1;28;8;29;22;7
21;27;11;19;4;10;24;3;30;2;14;31;16;6;18;5;13;9;32;25;17;12;26;23;20;15;1;28;8;29;22;7;3;27802
3;27802;21;27;11;19;4;10;24;3;30;2;14;31;16;6;18;5;13;9;32;25;17;12;26;23;20;15;1;28;8;29;22;7
21;27;11;19;4;10;24;3;30;2;14;31;16;6;18;5;13;9;23;25;17;12;26;32;20;15;1;28;8;29;22;7;3;28082
3;28082;21;27;11;19;4;10;24;3;30;2;14;31;16;6;18;5;13;9;23;25;17;12;26;32;20;15;1;28;8;29;22;7
21;27;11;13;4;10;24;3;30;2;14;31;16;6;18;5;19;9;23;25;17;12;26;32;20;15;1;28;8;29;22;7;3;28952
3;28952;21;27;11;13;4;10;24;3;30;2;14;31;16;6;18;5;19;9;23;25;17;12;26;32;20;15;1;28;8;29;22;7
21;27;11;13;4;10;24;3;30;2;14;31;16;26;18;5;19;9;23;25;17;12;6;32;20;15;1;28;8;29;22;7;3;29014
3;29014;21;27;11;13;4;10;24;3;30;2;14;31;16;26;18;5;19;9;23;25;17;12;6;32;20;15;1;28;8;29;22;7
21;27;11;13;4;10;24;3;30;2;14;31;16;26;18;5;19;9;23;25;17;32;6;12;20;15;1;28;8;29;22;7;3;29028
3;29028;21;27;11;13;4;10;24;3;30;2;14;31;16;26;18;5;19;9;23;25;17;32;6;12;20;15;1;28;8;29;22;7
21;27;5;13;4;10;24;3;30;2;14;31;16;26;18;11;19;9;23;25;17;32;6;12;20;15;1;28;8;29;22;7;3;28808
3;28808;21;27;5;13;4;10;24;3;30;2;14;31;16;26;18;11;19;9;23;25;17;32;6;12;20;15;1;28;8;29;22;7
21;27;5;13;4;10;24;3;30;2;14;31;16;26;23;11;19;9;18;25;17;32;6;12;20;15;1;28;8;29;22;7;3;28488
3;28488;21;27;5;13;4;10;24;3;30;2;14;31;16;26;23;11;19;9;18;25;17;32;6;12;20;15;1;28;8;29;22;7
21;27;5;13;4;20;24;3;30;2;14;31;16;26;23;11;19;9;18;25;17;32;6;12;10;15;1;28;8;29;22;7;3;28686
3;28686;21;27;5;13;4;20;24;3;30;2;14;31;16;26;23;11;19;9;18;25;17;32;6;12;10;15;1;28;8;29;22;7
21;27;5;13;4;20;24;3;30;2;17;31;16;26;23;11;19;9;18;25;14;32;6;12;10;15;1;28;8;29;22;7;3;29096
3;29096;21;27;5;13;4;20;24;3;30;2;17;31;16;26;23;11;19;9;18;25;14;32;6;12;10;15;1;28;8;29;22;7
21;27;5;13;10;20;24;3;30;2;17;31;16;26;23;11;19;9;18;25;14;32;6;12;4;15;1;28;8;29;22;7;3;28896
3;28896;21;27;5;13;10;20;24;3;30;2;17;31;16;26;23;11;19;9;18;25;14;32;6;12;4;15;1;28;8;29;22;7
21;27;5;13;10;20;24;3;30;11;17;31;16;26;23;2;19;9;18;25;14;32;6;12;4;15;1;28;8;29;22;7;3;28916
3;28916;21;27;5;13;10;20;24;3;30;11;17;31;16;26;23;2;19;9;18;25;14;32;6;12;4;15;1;28;8;29;22;7
21;27;5;13;10;20;24;3;19;11;17;31;16;26;23;2;30;9;18;25;14;32;6;12;4;15;1;28;8;29;22;7;3;29156
3;29156;21;27;5;13;10;20;24;3;19;11;17;31;16;26;23;2;30;9;18;25;14;32;6;12;4;15;1;28;8;29;22;7
21;27;5;13;10;20;24;3;19;11;17;14;16;26;23;2;30;9;18;25;31;32;6;12;4;15;1;28;8;29;22;7;3;29062
4;29062;21;27;5;13;10;20;24;3;19;11;17;14;16;26;23;2;30;9;18;25;31;32;6;12;4;15;1;28;8;29;22;7
21;18;5;13;10;20;24;3;19;11;17;14;16;26;23;2;30;9;27;25;31;32;6;12;4;15;1;28;8;29;22;7;4;29282
4;29282;21;18;5;13;10;20;24;3;19;11;17;14;16;26;23;2;30;9;27;25;31;32;6;12;4;15;1;28;8;29;22;7
21;18;5;24;10;20;13;3;19;11;17;14;16;26;23;2;30;9;27;25;31;32;6;12;4;15;1;28;8;29;22;7;4;29362
4;29362;21;18;5;24;10;20;13;3;19;11;17;14;16;26;23;2;30;9;27;25;31;32;6;12;4;15;1;28;8;29;22;7
21;18;5;24;20;10;13;3;19;11;17;14;16;26;23;2;30;9;27;25;31;32;6;12;4;15;1;28;8;29;22;7;4;29494
4;29494;21;18;5;24;20;10;13;3;19;11;17;14;16;26;23;2;30;9;27;25;31;32;6;12;4;15;1;28;8;29;22;7
16;18;5;24;20;10;13;3;19;11;17;14;21;26;23;2;30;9;27;25;31;32;6;12;4;15;1;28;8;29;22;7;4;29034
4;29034;16;18;5;24;20;10;13;3;19;11;17;14;21;26;23;2;30;9;27;25;31;32;6;12;4;15;1;28;8;29;22;7
16;18;5;24;20;10;13;3;19;11;17;14;21;26;23;2;30;9;27;25;31;32;6;12;4;22;1;28;8;29;15;7;4;28090
4;28090;16;18;5;24;20;10;13;3;19;11;17;14;21;26;23;2;30;9;27;25;31;32;6;12;4;22;1;28;8;29;15;7
16;3;5;24;20;10;13;18;19;11;17;14;21;26;23;2;30;9;27;25;31;32;6;12;4;22;1;28;8;29;15;7;4;28340
4;28340;16;3;5;24;20;10;13;18;19;11;17;14;21;26;23;2;30;9;27;25;31;32;6;12;4;22;1;28;8;29;15;7
16;3;5;24;20;10;13;18;19;11;17;14;21;26;23;8;30;9;27;25;31;32;6;12;4;22;1;28;2;29;15;7;4;28920
4;28920;16;3;5;24;20;10;13;18;19;11;17;14;21;26;23;8;30;9;27;25;31;32;6;12;4;22;1;28;2;29;15;7
16;3;5;24;20;10;13;18;29;11;17;14;21;26;23;8;30;9;27;25;31;32;6;12;4;22;1;28;2;19;15;7;4;28100
4;28100;16;3;5;24;20;10;13;18;29;11;17;14;21;26;23;8;30;9;27;25;31;32;6;12;4;22;1;28;2;19;15;7
24;3;5;16;20;10;13;18;29;11;17;14;21;26;23;8;30;9;27;25;31;32;6;12;4;22;1;28;2;19;15;7;4;28254
4;28254;24;3;5;16;20;10;13;18;29;11;17;14;21;26;23;8;30;9;27;25;31;32;6;12;4;22;1;28;2;19;15;7
24;3;5;16;20;10;13;21;29;11;17;14;18;26;23;8;30;9;27;25;31;32;6;12;4;22;1;28;2;19;15;7;4;28534
4;28534;24;3;5;16;20;10;13;21;29;11;17;14;18;26;23;8;30;9;27;25;31;32;6;12;4;22;1;28;2;19;15;7
24;30;5;16;20;10;13;21;29;11;17;14;18;26;23;8;3;9;27;25;31;32;6;12;4;22;1;28;2;19;15;7;4;28368
4;28368;24;30;5;16;20;10;13;21;29;11;17;14;18;26;23;8;3;9;27;25;31;32;6;12;4;22;1;28;2;19;15;7
24;30;5;16;20;2;13;21;29;11;17;14;18;26;23;8;3;9;27;25;31;32;6;12;4;22;1;28;10;19;15;7;4;28048
4;28048;24;30;5;16;20;2;13;21;29;11;17;14;18;26;23;8;3;9;27;25;31;32;6;12;4;22;1;28;10;19;15;7
24;30;15;16;20;2;13;21;29;11;17;14;18;26;23;8;3;9;27;25;31;32;6;12;4;22;1;28;10;19;5;7;4;27968
4;27968;24;30;15;16;20;2;13;21;29;11;17;14;18;26;23;8;3;9;27;25;31;32;6;12;4;22;1;28;10;19;5;7
24;30;15;16;20;26;13;21;29;11;17;14;18;2;23;8;3;9;27;25;31;32;6;12;4;22;1;28;10;19;5;7;4;27734
4;27734;24;30;15;16;20;26;13;21;29;11;17;14;18;2;23;8;3;9;27;25;31;32;6;12;4;22;1;28;10;19;5;7
24;30;5;16;20;26;13;21;29;11;17;14;18;2;23;8;3;9;27;25;31;32;6;12;4;22;1;28;10;19;15;7;4;27934
4;27934;24;30;5;16;20;26;13;21;29;11;17;14;18;2;23;8;3;9;27;25;31;32;6;12;4;22;1;28;10;19;15;7
24;30;5;16;20;26;13;4;29;11;17;14;18;2;23;8;3;9;27;25;31;32;6;12;21;22;1;28;10;19;15;7;4;27762
4;27762;24;30;5;16;20;26;13;4;29;11;17;14;18;2;23;8;3;9;27;25;31;32;6;12;21;22;1;28;10;19;15;7
24;30;5;16;20;26;13;4;29;11;17;14;18;2;23;8;3;9;21;25;31;32;6;12;27;22;1;28;10;19;15;7;4;27802
4;27802;24;30;5;16;20;26;13;4;29;11;17;14;18;2;23;8;3;9;21;25;31;32;6;12;27;22;1;28;10;19;15;7
24;30;5;16;20;26;13;4;29;11;17;10;18;2;23;8;3;9;21;25;31;32;6;12;27;22;1;28;14;19;15;7;4;27702
4;27702;24;30;5;16;20;26;13;4;29;11;17;10;18;2;23;8;3;9;21;25;31;32;6;12;27;22;1;28;14;19;15;7
24;30;5;16;20;14;13;4;29;11;17;10;18;2;23;8;3;9;21;25;31;32;6;12;27;22;1;28;26;19;15;7;4;27994
4;27994;24;30;5;16;20;14;13;4;29;11;17;10;18;2;23;8;3;9;21;25;31;32;6;12;27;22;1;28;26;19;15;7
24;30;5;16;20;14;13;4;29;21;17;10;18;2;23;8;3;9;11;25;31;32;6;12;27;22;1;28;26;19;15;7;4;28220
5;28220;24;30;5;16;20;14;13;4;29;21;17;10;18;2;23;8;3;9;11;25;31;32;6;12;27;22;1;28;26;19;15;7
24;30;5;16;20;14;13;4;29;21;17;10;18;2;23;8;3;9;11;25;31;32;12;6;27;22;1;28;26;19;15;7;5;28320
5;28320;24;30;5;16;20;14;13;4;29;21;17;10;18;2;23;8;3;9;11;25;31;32;12;6;27;22;1;28;26;19;15;7
24;30;5;22;20;14;13;4;29;21;17;10;18;2;23;8;3;9;11;25;31;32;12;6;27;16;1;28;26;19;15;7;5;29150
5;29150;24;30;5;22;20;14;13;4;29;21;17;10;18;2;23;8;3;9;11;25;31;32;12;6;27;16;1;28;26;19;15;7
24;30;5;22;20;14;13;4;29;21;17;10;18;2;23;8;3;9;11;25;31;32;15;6;27;16;1;28;26;19;12;7;5;29070
5;29070;24;30;5;22;20;14;13;4;29;21;17;10;18;2;23;8;3;9;11;25;31;32;15;6;27;16;1;28;26;19;12;7
24;30;5;22;20;14;13;4;29;21;17;10;18;2;23;32;3;9;11;25;31;8;15;6;27;16;1;28;26;19;12;7;5;29408
5;29408;24;30;5;22;20;14;13;4;29;21;17;10;18;2;23;32;3;9;11;25;31;8;15;6;27;16;1;28;26;19;12;7
24;30;5;22;20;14;13;4;29;21;17;10;18;2;23;32;16;9;11;25;31;8;15;6;27;3;1;28;26;19;12;7;5;28888
5;28888;24;30;5;22;20;14;13;4;29;21;17;10;18;2;23;32;16;9;11;25;31;8;15;6;27;3;1;28;26;19;12;7
18;30;5;22;20;14;13;4;29;21;17;10;24;2;23;32;16;9;11;25;31;8;15;6;27;3;1;28;26;19;12;7;5;28928
5;28928;18;30;5;22;20;14;13;4;29;21;17;10;24;2;23;32;16;9;11;25;31;8;15;6;27;3;1;28;26;19;12;7
18;30;5;22;27;14;13;4;29;21;17;10;24;2;23;32;16;9;11;25;31;8;15;6;20;3;1;28;26;19;12;7;5;28268
5;28268;18;30;5;22;27;14;13;4;29;21;17;10;24;2;23;32;16;9;11;25;31;8;15;6;20;3;1;28;26;19;12;7
18;30;5;22;27;14;13;4;29;21;17;10;8;2;23;32;16;9;11;25;31;24;15;6;20;3;1;28;26;19;12;7;5;28222
5;28222;18;30;5;22;27;14;13;4;29;21;17;10;8;2;23;32;16;9;11;25;31;24;15;6;20;3;1;28;26;19;12;7
18;30;5;22;27;12;13;4;29;21;17;10;8;2;23;32;16;9;11;25;31;24;15;6;20;3;1;28;26;19;14;7;5;28282
5;28282;18;30;5;22;27;12;13;4;29;21;17;10;8;2;23;32;16;9;11;25;31;24;15;6;20;3;1;28;26;19;14;7
18;30;5;22;27;12;13;4;29;21;17;10;8;2;23;31;16;9;11;25;32;24;15;6;20;3;1;28;26;19;14;7;5;28262
5;28262;18;30;5;22;27;12;13;4;29;21;17;10;8;2;23;31;16;9;11;25;32;24;15;6;20;3;1;28;26;19;14;7
18;30;5;22;27;12;13;4;29;21;17;10;8;2;23;31;16;14;11;25;32;24;15;6;20;3;1;28;26;19;9;7;5;28262
5;28262;18;30;5;22;27;12;13;4;29;21;17;10;8;2;23;31;16;14;11;25;32;24;15;6;20;3;1;28;26;19;9;7
18;12;5;22;27;30;13;4;29;21;17;10;8;2;23;31;16;14;11;25;32;24;15;6;20;3;1;28;26;19;9;7;5;28170
5;28170;18;12;5;22;27;30;13;4;29;21;17;10;8;2;23;31;16;14;11;25;32;24;15;6;20;3;1;28;26;19;9;7
18;12;5;22;27;30;13;4;29;21;17;10;8;2;23;31;16;14;11;25;32;24;15;6;20;9;1;28;26;19;3;7;5;28770
5;28770;18;12;5;22;27;30;13;4;29;21;17;10;8;2;23;31;16;14;11;25;32;24;15;6;20;9;1;28;26;19;3;7
18;12;5;22;27;30;13;4;29;21;17;10;8;2;23;31;16;14;11;25;32;24;15;3;20;9;1;28;26;19;6;7;5;28970
5;28970;18;12;5;22;27;30;13;4;29;21;17;10;8;2;23;31;16;14;11;25;32;24;15;3;20;9;1;28;26;19;6;7
18;12;5;22;27;30;13;4;29;21;17;10;8;2;23;31;16;14;9;25;32;24;15;3;20;11;1;28;26;19;6;7;5;28330
5;28330;18;12;5;22;27;30;13;4;29;21;17;10;8;2;23;31;16;14;9;25;32;24;15;3;20;11;1;28;26;19;6;7
18;26;5;22;27;30;13;4;29;21;17;10;8;2;23;31;16;14;9;25;32;24;15;3;20;11;1;28;12;19;6;7;5;27682
5;27682;18;26;5;22;27;30;13;4;29;21;17;10;8;2;23;31;16;14;9;25;32;24;15;3;20;11;1;28;12;19;6;7
18;26;5;22;27;30;13;4;29;21;17;10;8;2;23;31;16;14;9;25;32;6;15;3;20;11;1;28;12;19;24;7;5;27404
5;27404;18;26;5;22;27;30;13;4;29;21;17;10;8;2;23;31;16;14;9;25;32;6;15;3;20;11;1;28;12;19;24;7
18;26;5;22;27;30;13;4;29;21;17;10;23;2;8;31;16;14;9;25;32;6;15;3;20;11;1;28;12;19;24;7;5;27482
5;27482;18;26;5;22;27;30;13;4;29;21;17;10;23;2;8;31;16;14;9;25;32;6;15;3;20;11;1;28;12;19;24;7
19;26;5;22;27;30;13;4;29;21;17;10;23;2;8;31;16;14;9;25;32;6;15;3;20;11;1;28;12;18;24;7;5;27682
