"X1";"X274";"X38";"X21";"X48";"X30";"X22";"X8";"X35";"X46";"X63";"X14";"X57";"X58";"X18";"X62";"X59";"X24";"X52";"X49";"X32";"X5";"X31";"X50";"X34";"X9";"X11";"X55";"X16";"X1.1";"X53";"X26";"X3";"X23";"X33";"X37";"X6";"X44";"X41";"X64";"X40";"X20";"X45";"X61";"X7";"X4";"X12";"X15";"X19";"X13";"X43";"X17";"X54";"X28";"X10";"X2";"X56";"X36";"X47";"X27";"X51";"X60";"X25";"X42";"X29";"X39"
38;21;48;30;22;8;35;46;63;14;57;58;16;62;59;24;52;49;32;5;40;50;34;9;26;55;11;1;51;18;3;23;33;37;6;44;41;64;31;20;45;61;7;4;12;15;19;13;43;10;54;28;17;2;56;36;47;27;53;60;25;42;29;39;1;274
1;274;38;21;48;30;22;8;35;46;63;14;57;58;16;62;59;24;52;49;32;5;40;50;34;9;26;55;11;1;51;18;3;23;33;37;6;44;41;64;31;20;45;61;7;4;12;15;19;13;43;10;54;28;17;2;56;36;47;27;53;60;25;42;29;39
38;21;48;30;22;8;35;46;63;27;57;58;16;62;59;24;52;49;32;5;40;50;34;9;26;55;11;1;51;18;3;23;33;37;6;44;41;64;31;20;45;61;7;4;12;15;19;13;43;10;54;28;17;2;56;36;47;14;53;60;25;42;29;39;1;282
1;282;38;21;48;30;22;8;35;46;63;27;57;58;16;62;59;24;52;49;32;5;40;50;34;9;26;55;11;1;51;18;3;23;33;37;6;44;41;64;31;20;45;61;7;4;12;15;19;13;43;10;54;28;17;2;56;36;47;14;53;60;25;42;29;39
38;21;48;41;22;8;35;46;63;27;57;58;16;62;59;24;52;49;32;5;40;50;34;9;26;55;11;1;51;18;3;23;33;37;6;44;30;64;31;20;45;61;7;4;12;15;19;13;43;10;54;28;17;2;56;36;47;14;53;60;25;42;29;39;1;274
1;274;38;21;48;41;22;8;35;46;63;27;57;58;16;62;59;24;52;49;32;5;40;50;34;9;26;55;11;1;51;18;3;23;33;37;6;44;30;64;31;20;45;61;7;4;12;15;19;13;43;10;54;28;17;2;56;36;47;14;53;60;25;42;29;39
38;21;48;41;22;8;35;46;63;27;57;58;16;62;59;24;52;49;32;5;40;50;34;9;26;55;11;1;51;18;3;23;33;37;6;44;30;64;31;20;45;61;7;4;12;15;19;13;43;10;54;28;17;2;60;36;47;14;53;56;25;42;29;39;1;274
1;274;38;21;48;41;22;8;35;46;63;27;57;58;16;62;59;24;52;49;32;5;40;50;34;9;26;55;11;1;51;18;3;23;33;37;6;44;30;64;31;20;45;61;7;4;12;15;19;13;43;10;54;28;17;2;60;36;47;14;53;56;25;42;29;39
38;21;48;41;22;8;35;46;63;27;57;58;16;62;59;24;52;49;32;5;40;50;34;9;26;55;11;1;51;18;3;23;33;37;6;44;30;64;31;20;45;61;7;4;28;15;19;13;43;10;54;12;17;2;60;36;47;14;53;56;25;42;29;39;1;274
1;274;38;21;48;41;22;8;35;46;63;27;57;58;16;62;59;24;52;49;32;5;40;50;34;9;26;55;11;1;51;18;3;23;33;37;6;44;30;64;31;20;45;61;7;4;28;15;19;13;43;10;54;12;17;2;60;36;47;14;53;56;25;42;29;39
38;21;48;41;22;8;35;46;63;27;57;58;16;62;36;24;52;49;32;5;40;50;34;9;26;55;11;1;51;18;3;23;33;37;6;44;30;64;31;20;45;61;7;4;28;15;19;13;43;10;54;12;17;2;60;59;47;14;53;56;25;42;29;39;1;280
1;280;38;21;48;41;22;8;35;46;63;27;57;58;16;62;36;24;52;49;32;5;40;50;34;9;26;55;11;1;51;18;3;23;33;37;6;44;30;64;31;20;45;61;7;4;28;15;19;13;43;10;54;12;17;2;60;59;47;14;53;56;25;42;29;39
38;21;48;41;22;8;35;46;63;27;57;58;16;62;36;24;52;49;32;5;40;50;34;9;26;55;11;1;3;18;51;23;33;37;6;44;30;64;31;20;45;61;7;4;28;15;19;13;43;10;54;12;17;2;60;59;47;14;53;56;25;42;29;39;1;280
1;280;38;21;48;41;22;8;35;46;63;27;57;58;16;62;36;24;52;49;32;5;40;50;34;9;26;55;11;1;3;18;51;23;33;37;6;44;30;64;31;20;45;61;7;4;28;15;19;13;43;10;54;12;17;2;60;59;47;14;53;56;25;42;29;39
38;21;48;43;22;8;35;46;63;27;57;58;16;62;36;24;52;49;32;5;40;50;34;9;26;55;11;1;3;18;51;23;33;37;6;44;30;64;31;20;45;61;7;4;28;15;19;13;41;10;54;12;17;2;60;59;47;14;53;56;25;42;29;39;1;280
1;280;38;21;48;43;22;8;35;46;63;27;57;58;16;62;36;24;52;49;32;5;40;50;34;9;26;55;11;1;3;18;51;23;33;37;6;44;30;64;31;20;45;61;7;4;28;15;19;13;41;10;54;12;17;2;60;59;47;14;53;56;25;42;29;39
38;21;48;43;22;8;35;46;63;27;57;58;16;62;36;24;52;49;32;5;40;50;34;9;26;55;11;1;3;18;51;47;33;37;6;44;30;64;31;20;45;61;7;4;28;15;19;13;41;10;54;12;17;2;60;59;23;14;53;56;25;42;29;39;1;282
1;282;38;21;48;43;22;8;35;46;63;27;57;58;16;62;36;24;52;49;32;5;40;50;34;9;26;55;11;1;3;18;51;47;33;37;6;44;30;64;31;20;45;61;7;4;28;15;19;13;41;10;54;12;17;2;60;59;23;14;53;56;25;42;29;39
38;21;48;43;22;8;35;46;63;27;57;58;16;62;36;24;52;49;32;5;40;50;34;9;26;55;11;1;3;18;51;47;33;37;6;44;30;13;31;20;45;61;7;4;28;15;19;64;41;10;54;12;17;2;60;59;23;14;53;56;25;42;29;39;1;282
1;282;38;21;48;43;22;8;35;46;63;27;57;58;16;62;36;24;52;49;32;5;40;50;34;9;26;55;11;1;3;18;51;47;33;37;6;44;30;13;31;20;45;61;7;4;28;15;19;64;41;10;54;12;17;2;60;59;23;14;53;56;25;42;29;39
38;21;48;43;22;8;35;46;63;27;57;58;16;62;36;24;52;49;32;5;40;50;34;9;25;55;11;1;3;18;51;47;33;37;6;44;30;13;31;20;45;61;7;4;28;15;19;64;41;10;54;12;17;2;60;59;23;14;53;56;26;42;29;39;1;282
1;282;38;21;48;43;22;8;35;46;63;27;57;58;16;62;36;24;52;49;32;5;40;50;34;9;25;55;11;1;3;18;51;47;33;37;6;44;30;13;31;20;45;61;7;4;28;15;19;64;41;10;54;12;17;2;60;59;23;14;53;56;26;42;29;39
38;21;48;43;22;8;35;46;63;27;57;58;16;62;36;24;13;49;32;5;40;50;34;9;25;55;11;1;3;18;51;47;33;37;6;44;30;52;31;20;45;61;7;4;28;15;19;64;41;10;54;12;17;2;60;59;23;14;53;56;26;42;29;39;1;278
1;278;38;21;48;43;22;8;35;46;63;27;57;58;16;62;36;24;13;49;32;5;40;50;34;9;25;55;11;1;3;18;51;47;33;37;6;44;30;52;31;20;45;61;7;4;28;15;19;64;41;10;54;12;17;2;60;59;23;14;53;56;26;42;29;39
38;21;48;43;22;8;35;46;63;54;57;58;16;62;36;24;13;49;32;5;40;50;34;9;25;55;11;1;3;18;51;47;33;37;6;44;30;52;31;20;45;61;7;4;28;15;19;64;41;10;27;12;17;2;60;59;23;14;53;56;26;42;29;39;1;278
1;278;38;21;48;43;22;8;35;46;63;54;57;58;16;62;36;24;13;49;32;5;40;50;34;9;25;55;11;1;3;18;51;47;33;37;6;44;30;52;31;20;45;61;7;4;28;15;19;64;41;10;27;12;17;2;60;59;23;14;53;56;26;42;29;39
38;21;48;43;22;8;35;46;63;54;57;58;16;62;36;24;13;49;32;5;40;50;34;9;44;55;11;1;3;18;51;47;33;37;6;25;30;52;31;20;45;61;7;4;28;15;19;64;41;10;27;12;17;2;60;59;23;14;53;56;26;42;29;39;1;278
1;278;38;21;48;43;22;8;35;46;63;54;57;58;16;62;36;24;13;49;32;5;40;50;34;9;44;55;11;1;3;18;51;47;33;37;6;25;30;52;31;20;45;61;7;4;28;15;19;64;41;10;27;12;17;2;60;59;23;14;53;56;26;42;29;39
38;21;48;43;22;8;35;46;59;54;57;58;16;62;36;24;13;49;32;5;40;50;34;9;44;55;11;1;3;18;51;47;33;37;6;25;30;52;31;20;45;61;7;4;28;15;19;64;41;10;27;12;17;2;60;63;23;14;53;56;26;42;29;39;1;278
2;278;38;21;48;43;22;8;35;46;59;54;57;58;16;62;36;24;13;49;32;5;40;50;34;9;44;55;11;1;3;18;51;47;33;37;6;25;30;52;31;20;45;61;7;4;28;15;19;64;41;10;27;12;17;2;60;63;23;14;53;56;26;42;29;39
38;21;48;43;22;8;35;46;59;54;57;58;16;29;36;24;13;49;32;5;40;50;34;9;44;55;11;1;3;18;51;47;33;37;6;25;30;52;31;20;45;61;7;4;28;15;19;64;41;10;27;12;17;2;60;63;23;14;53;56;26;42;62;39;2;290
2;290;38;21;48;43;22;8;35;46;59;54;57;58;16;29;36;24;13;49;32;5;40;50;34;9;44;55;11;1;3;18;51;47;33;37;6;25;30;52;31;20;45;61;7;4;28;15;19;64;41;10;27;12;17;2;60;63;23;14;53;56;26;42;62;39
38;21;48;43;22;8;35;46;59;54;57;58;16;29;36;24;13;49;32;5;40;50;14;9;44;55;11;1;3;18;51;47;33;37;6;25;30;52;31;20;45;61;7;4;28;15;19;64;41;10;27;12;17;2;60;63;23;34;53;56;26;42;62;39;2;290
2;290;38;21;48;43;22;8;35;46;59;54;57;58;16;29;36;24;13;49;32;5;40;50;14;9;44;55;11;1;3;18;51;47;33;37;6;25;30;52;31;20;45;61;7;4;28;15;19;64;41;10;27;12;17;2;60;63;23;34;53;56;26;42;62;39
38;21;48;43;22;8;35;46;59;54;40;58;16;29;36;24;13;49;32;5;57;50;14;9;44;55;11;1;3;18;51;47;33;37;6;25;30;52;31;20;45;61;7;4;28;15;19;64;41;10;27;12;17;2;60;63;23;34;53;56;26;42;62;39;2;270
2;270;38;21;48;43;22;8;35;46;59;54;40;58;16;29;36;24;13;49;32;5;57;50;14;9;44;55;11;1;3;18;51;47;33;37;6;25;30;52;31;20;45;61;7;4;28;15;19;64;41;10;27;12;17;2;60;63;23;34;53;56;26;42;62;39
38;21;48;43;22;8;35;46;23;54;40;58;16;29;36;24;13;49;32;5;57;50;14;9;44;55;11;1;3;18;51;47;33;37;6;25;30;52;31;20;45;61;7;4;28;15;19;64;41;10;27;12;17;2;60;63;59;34;53;56;26;42;62;39;2;270
2;270;38;21;48;43;22;8;35;46;23;54;40;58;16;29;36;24;13;49;32;5;57;50;14;9;44;55;11;1;3;18;51;47;33;37;6;25;30;52;31;20;45;61;7;4;28;15;19;64;41;10;27;12;17;2;60;63;59;34;53;56;26;42;62;39
38;21;48;43;22;8;35;46;23;54;6;58;16;29;36;24;13;49;32;5;57;50;14;9;44;55;11;1;3;18;51;47;33;37;40;25;30;52;31;20;45;61;7;4;28;15;19;64;41;10;27;12;17;2;60;63;59;34;53;56;26;42;62;39;2;262
2;262;38;21;48;43;22;8;35;46;23;54;6;58;16;29;36;24;13;49;32;5;57;50;14;9;44;55;11;1;3;18;51;47;33;37;40;25;30;52;31;20;45;61;7;4;28;15;19;64;41;10;27;12;17;2;60;63;59;34;53;56;26;42;62;39
38;21;48;43;22;8;35;46;23;54;6;58;16;29;36;24;13;49;32;5;57;50;14;9;44;55;11;1;3;45;51;47;33;37;40;25;30;52;31;20;18;61;7;4;28;15;19;64;41;10;27;12;17;2;60;63;59;34;53;56;26;42;62;39;2;258
2;258;38;21;48;43;22;8;35;46;23;54;6;58;16;29;36;24;13;49;32;5;57;50;14;9;44;55;11;1;3;45;51;47;33;37;40;25;30;52;31;20;18;61;7;4;28;15;19;64;41;10;27;12;17;2;60;63;59;34;53;56;26;42;62;39
38;21;48;43;22;8;35;46;23;54;30;58;16;29;36;24;13;49;32;5;57;50;14;9;44;55;11;1;3;45;51;47;33;37;40;25;6;52;31;20;18;61;7;4;28;15;19;64;41;10;27;12;17;2;60;63;59;34;53;56;26;42;62;39;2;258
2;258;38;21;48;43;22;8;35;46;23;54;30;58;16;29;36;24;13;49;32;5;57;50;14;9;44;55;11;1;3;45;51;47;33;37;40;25;6;52;31;20;18;61;7;4;28;15;19;64;41;10;27;12;17;2;60;63;59;34;53;56;26;42;62;39
38;21;48;43;22;8;35;46;23;54;30;58;16;29;36;24;13;49;32;5;57;50;14;9;44;42;11;1;3;45;51;47;33;37;40;25;6;52;31;20;18;61;7;4;28;15;19;64;41;10;27;12;17;2;60;63;59;34;53;56;26;55;62;39;2;258
2;258;38;21;48;43;22;8;35;46;23;54;30;58;16;29;36;24;13;49;32;5;57;50;14;9;44;42;11;1;3;45;51;47;33;37;40;25;6;52;31;20;18;61;7;4;28;15;19;64;41;10;27;12;17;2;60;63;59;34;53;56;26;55;62;39
38;21;48;43;22;8;35;46;23;54;30;58;16;29;36;24;13;49;32;5;57;50;14;9;44;42;51;1;3;45;11;47;33;37;40;25;6;52;31;20;18;61;7;4;28;15;19;64;41;10;27;12;17;2;60;63;59;34;53;56;26;55;62;39;2;266
2;266;38;21;48;43;22;8;35;46;23;54;30;58;16;29;36;24;13;49;32;5;57;50;14;9;44;42;51;1;3;45;11;47;33;37;40;25;6;52;31;20;18;61;7;4;28;15;19;64;41;10;27;12;17;2;60;63;59;34;53;56;26;55;62;39
38;21;48;43;22;8;35;46;23;54;30;58;16;29;36;24;13;49;32;5;57;50;14;9;44;42;51;1;3;45;34;47;33;37;40;25;6;52;31;20;18;61;7;4;28;15;19;64;41;10;27;12;17;2;60;63;59;11;53;56;26;55;62;39;2;266
2;266;38;21;48;43;22;8;35;46;23;54;30;58;16;29;36;24;13;49;32;5;57;50;14;9;44;42;51;1;3;45;34;47;33;37;40;25;6;52;31;20;18;61;7;4;28;15;19;64;41;10;27;12;17;2;60;63;59;11;53;56;26;55;62;39
38;21;48;43;22;8;35;46;23;54;30;58;16;55;36;24;13;49;32;5;57;50;14;9;44;42;51;1;3;45;34;47;33;37;40;25;6;52;31;20;18;61;7;4;28;15;19;64;41;10;27;12;17;2;60;63;59;11;53;56;26;29;62;39;2;266
2;266;38;21;48;43;22;8;35;46;23;54;30;58;16;55;36;24;13;49;32;5;57;50;14;9;44;42;51;1;3;45;34;47;33;37;40;25;6;52;31;20;18;61;7;4;28;15;19;64;41;10;27;12;17;2;60;63;59;11;53;56;26;29;62;39
38;36;48;43;22;8;35;46;23;54;30;58;16;55;21;24;13;49;32;5;57;50;14;9;44;42;51;1;3;45;34;47;33;37;40;25;6;52;31;20;18;61;7;4;28;15;19;64;41;10;27;12;17;2;60;63;59;11;53;56;26;29;62;39;2;252
2;252;38;36;48;43;22;8;35;46;23;54;30;58;16;55;21;24;13;49;32;5;57;50;14;9;44;42;51;1;3;45;34;47;33;37;40;25;6;52;31;20;18;61;7;4;28;15;19;64;41;10;27;12;17;2;60;63;59;11;53;56;26;29;62;39
38;36;48;56;22;8;35;46;23;54;30;58;16;55;21;24;13;49;32;5;57;50;14;9;44;42;51;1;3;45;34;47;33;37;40;25;6;52;31;20;18;61;7;4;28;15;19;64;41;10;27;12;17;2;60;63;59;11;53;43;26;29;62;39;2;244
2;244;38;36;48;56;22;8;35;46;23;54;30;58;16;55;21;24;13;49;32;5;57;50;14;9;44;42;51;1;3;45;34;47;33;37;40;25;6;52;31;20;18;61;7;4;28;15;19;64;41;10;27;12;17;2;60;63;59;11;53;43;26;29;62;39
38;36;48;56;22;8;35;46;23;54;30;58;16;55;21;24;13;49;32;5;1;50;14;9;44;42;51;57;3;45;34;47;33;37;40;25;6;52;31;20;18;61;7;4;28;15;19;64;41;10;27;12;17;2;60;63;59;11;53;43;26;29;62;39;2;240
2;240;38;36;48;56;22;8;35;46;23;54;30;58;16;55;21;24;13;49;32;5;1;50;14;9;44;42;51;57;3;45;34;47;33;37;40;25;6;52;31;20;18;61;7;4;28;15;19;64;41;10;27;12;17;2;60;63;59;11;53;43;26;29;62;39
38;36;48;56;22;8;35;46;23;54;44;58;16;55;21;24;13;49;32;5;1;50;14;9;30;42;51;57;3;45;34;47;33;37;40;25;6;52;31;20;18;61;7;4;28;15;19;64;41;10;27;12;17;2;60;63;59;11;53;43;26;29;62;39;2;260
2;260;38;36;48;56;22;8;35;46;23;54;44;58;16;55;21;24;13;49;32;5;1;50;14;9;30;42;51;57;3;45;34;47;33;37;40;25;6;52;31;20;18;61;7;4;28;15;19;64;41;10;27;12;17;2;60;63;59;11;53;43;26;29;62;39
38;36;48;56;22;8;35;46;23;54;63;58;16;55;21;24;13;49;32;5;1;50;14;9;30;42;51;57;3;45;34;47;33;37;40;25;6;52;31;20;18;61;7;4;28;15;19;64;41;10;27;12;17;2;60;44;59;11;53;43;26;29;62;39;2;252
2;252;38;36;48;56;22;8;35;46;23;54;63;58;16;55;21;24;13;49;32;5;1;50;14;9;30;42;51;57;3;45;34;47;33;37;40;25;6;52;31;20;18;61;7;4;28;15;19;64;41;10;27;12;17;2;60;44;59;11;53;43;26;29;62;39
38;36;48;56;22;8;35;46;23;50;63;58;16;55;21;24;13;49;32;5;1;54;14;9;30;42;51;57;3;45;34;47;33;37;40;25;6;52;31;20;18;61;7;4;28;15;19;64;41;10;27;12;17;2;60;44;59;11;53;43;26;29;62;39;2;270
2;270;38;36;48;56;22;8;35;46;23;50;63;58;16;55;21;24;13;49;32;5;1;54;14;9;30;42;51;57;3;45;34;47;33;37;40;25;6;52;31;20;18;61;7;4;28;15;19;64;41;10;27;12;17;2;60;44;59;11;53;43;26;29;62;39
38;36;48;56;55;8;35;46;23;50;63;58;16;22;21;24;13;49;32;5;1;54;14;9;30;42;51;57;3;45;34;47;33;37;40;25;6;52;31;20;18;61;7;4;28;15;19;64;41;10;27;12;17;2;60;44;59;11;53;43;26;29;62;39;2;254
2;254;38;36;48;56;55;8;35;46;23;50;63;58;16;22;21;24;13;49;32;5;1;54;14;9;30;42;51;57;3;45;34;47;33;37;40;25;6;52;31;20;18;61;7;4;28;15;19;64;41;10;27;12;17;2;60;44;59;11;53;43;26;29;62;39
38;36;58;56;55;8;35;46;23;50;63;48;16;22;21;24;13;49;32;5;1;54;14;9;30;42;51;57;3;45;34;47;33;37;40;25;6;52;31;20;18;61;7;4;28;15;19;64;41;10;27;12;17;2;60;44;59;11;53;43;26;29;62;39;2;256
2;256;38;36;58;56;55;8;35;46;23;50;63;48;16;22;21;24;13;49;32;5;1;54;14;9;30;42;51;57;3;45;34;47;33;37;40;25;6;52;31;20;18;61;7;4;28;15;19;64;41;10;27;12;17;2;60;44;59;11;53;43;26;29;62;39
38;36;58;56;55;8;35;46;23;50;63;48;16;22;21;24;13;49;32;5;1;54;14;9;30;42;64;57;3;45;34;47;33;37;40;25;6;52;31;20;18;61;7;4;28;15;19;51;41;10;27;12;17;2;60;44;59;11;53;43;26;29;62;39;2;252
3;252;38;36;58;56;55;8;35;46;23;50;63;48;16;22;21;24;13;49;32;5;1;54;14;9;30;42;64;57;3;45;34;47;33;37;40;25;6;52;31;20;18;61;7;4;28;15;19;51;41;10;27;12;17;2;60;44;59;11;53;43;26;29;62;39
38;36;28;56;55;8;35;46;23;50;63;48;16;22;21;24;13;49;32;5;1;54;14;9;30;42;64;57;3;45;34;47;33;37;40;25;6;52;31;20;18;61;7;4;58;15;19;51;41;10;27;12;17;2;60;44;59;11;53;43;26;29;62;39;3;256
3;256;38;36;28;56;55;8;35;46;23;50;63;48;16;22;21;24;13;49;32;5;1;54;14;9;30;42;64;57;3;45;34;47;33;37;40;25;6;52;31;20;18;61;7;4;58;15;19;51;41;10;27;12;17;2;60;44;59;11;53;43;26;29;62;39
38;36;28;56;55;8;35;46;23;50;63;48;16;22;21;24;13;49;32;5;1;54;14;9;30;42;64;57;3;45;34;47;33;37;40;2;6;52;31;20;18;61;7;4;58;15;19;51;41;10;27;12;17;25;60;44;59;11;53;43;26;29;62;39;3;256
3;256;38;36;28;56;55;8;35;46;23;50;63;48;16;22;21;24;13;49;32;5;1;54;14;9;30;42;64;57;3;45;34;47;33;37;40;2;6;52;31;20;18;61;7;4;58;15;19;51;41;10;27;12;17;25;60;44;59;11;53;43;26;29;62;39
38;36;28;56;55;8;35;46;23;50;63;48;16;22;21;24;13;49;32;5;1;54;14;9;30;42;64;57;3;45;34;47;33;37;40;2;6;52;31;20;18;61;7;4;58;39;19;51;41;10;27;12;17;25;60;44;59;11;53;43;26;29;62;15;3;260
3;260;38;36;28;56;55;8;35;46;23;50;63;48;16;22;21;24;13;49;32;5;1;54;14;9;30;42;64;57;3;45;34;47;33;37;40;2;6;52;31;20;18;61;7;4;58;39;19;51;41;10;27;12;17;25;60;44;59;11;53;43;26;29;62;15
38;36;54;56;55;8;35;46;23;50;63;48;16;22;21;24;13;49;32;5;1;28;14;9;30;42;64;57;3;45;34;47;33;37;40;2;6;52;31;20;18;61;7;4;58;39;19;51;41;10;27;12;17;25;60;44;59;11;53;43;26;29;62;15;3;260
3;260;38;36;54;56;55;8;35;46;23;50;63;48;16;22;21;24;13;49;32;5;1;28;14;9;30;42;64;57;3;45;34;47;33;37;40;2;6;52;31;20;18;61;7;4;58;39;19;51;41;10;27;12;17;25;60;44;59;11;53;43;26;29;62;15
38;36;54;56;55;8;35;46;23;50;63;48;16;22;21;24;13;32;49;5;1;28;14;9;30;42;64;57;3;45;34;47;33;37;40;2;6;52;31;20;18;61;7;4;58;39;19;51;41;10;27;12;17;25;60;44;59;11;53;43;26;29;62;15;3;268
3;260;38;36;54;56;55;8;35;46;23;50;63;48;16;22;21;24;13;49;32;5;1;28;14;9;30;42;64;57;3;45;34;47;33;37;40;2;6;52;31;20;18;61;7;4;58;39;19;51;41;10;27;12;17;25;60;44;59;11;53;43;26;29;62;15
38;36;54;56;55;8;2;46;23;50;63;48;16;22;21;24;13;49;32;5;1;28;14;9;30;42;64;57;3;45;34;47;33;37;40;35;6;52;31;20;18;61;7;4;58;39;19;51;41;10;27;12;17;25;60;44;59;11;53;43;26;29;62;15;3;260
3;260;38;36;54;56;55;8;2;46;23;50;63;48;16;22;21;24;13;49;32;5;1;28;14;9;30;42;64;57;3;45;34;47;33;37;40;35;6;52;31;20;18;61;7;4;58;39;19;51;41;10;27;12;17;25;60;44;59;11;53;43;26;29;62;15
38;36;54;56;55;8;2;46;23;50;63;48;16;22;21;24;13;49;32;5;1;28;14;9;30;42;64;47;3;45;34;57;33;37;40;35;6;52;31;20;18;61;7;4;58;39;19;51;41;10;27;12;17;25;60;44;59;11;53;43;26;29;62;15;3;258
3;258;38;36;54;56;55;8;2;46;23;50;63;48;16;22;21;24;13;49;32;5;1;28;14;9;30;42;64;47;3;45;34;57;33;37;40;35;6;52;31;20;18;61;7;4;58;39;19;51;41;10;27;12;17;25;60;44;59;11;53;43;26;29;62;15
38;36;54;56;55;8;2;46;23;50;63;48;16;22;21;24;13;49;32;5;1;28;14;9;30;42;64;47;18;45;34;57;33;37;40;35;6;52;31;20;3;61;7;4;58;39;19;51;41;10;27;12;17;25;60;44;59;11;53;43;26;29;62;15;3;258
3;258;38;36;54;56;55;8;2;46;23;50;63;48;16;22;21;24;13;49;32;5;1;28;14;9;30;42;64;47;18;45;34;57;33;37;40;35;6;52;31;20;3;61;7;4;58;39;19;51;41;10;27;12;17;25;60;44;59;11;53;43;26;29;62;15
38;36;54;56;55;8;2;46;23;50;63;48;16;22;21;24;13;49;32;5;1;28;14;9;30;42;64;47;18;45;34;57;33;37;40;35;6;52;31;20;3;61;53;4;58;39;19;51;41;10;27;12;17;25;60;44;59;11;7;43;26;29;62;15;3;258
3;258;38;36;54;56;55;8;2;46;23;50;63;48;16;22;21;24;13;49;32;5;1;28;14;9;30;42;64;47;18;45;34;57;33;37;40;35;6;52;31;20;3;61;53;4;58;39;19;51;41;10;27;12;17;25;60;44;59;11;7;43;26;29;62;15
38;36;54;56;49;8;2;46;23;50;63;48;16;22;21;24;13;55;32;5;1;28;14;9;30;42;64;47;18;45;34;57;33;37;40;35;6;52;31;20;3;61;53;4;58;39;19;51;41;10;27;12;17;25;60;44;59;11;7;43;26;29;62;15;3;258
3;258;38;36;54;56;49;8;2;46;23;50;63;48;16;22;21;24;13;55;32;5;1;28;14;9;30;42;64;47;18;45;34;57;33;37;40;35;6;52;31;20;3;61;53;4;58;39;19;51;41;10;27;12;17;25;60;44;59;11;7;43;26;29;62;15
38;36;54;56;25;8;2;46;23;50;63;48;16;22;21;24;13;55;32;5;1;28;14;9;30;42;64;47;18;45;34;57;33;37;40;35;6;52;31;20;3;61;53;4;58;39;19;51;41;10;27;12;17;49;60;44;59;11;7;43;26;29;62;15;3;258
