"X1";"X298";"X44";"X3";"X53";"X46";"X13";"X24";"X62";"X20";"X37";"X49";"X40";"X16";"X63";"X45";"X10";"X34";"X39";"X48";"X30";"X57";"X58";"X28";"X6";"X43";"X59";"X15";"X9";"X7";"X51";"X25";"X5";"X42";"X21";"X32";"X50";"X55";"X19";"X33";"X8";"X11";"X36";"X61";"X54";"X17";"X23";"X52";"X22";"X47";"X14";"X2";"X4";"X29";"X18";"X60";"X31";"X41";"X27";"X1.1";"X38";"X64";"X26";"X35";"X12";"X56"
1;294;55;3;53;46;13;24;62;20;37;49;40;16;63;45;10;34;39;48;30;57;58;35;43;6;31;15;9;7;51;25;5;42;21;32;50;28;19;33;8;11;36;61;54;17;23;52;22;47;14;2;4;29;18;60;59;41;27;1;38;64;26;44;12;56
3;55;53;46;13;24;62;20;37;49;40;16;63;45;10;34;39;48;30;57;58;35;43;6;31;15;9;7;51;25;5;42;21;32;50;28;19;33;8;11;36;61;54;17;23;52;22;47;14;2;4;29;18;60;59;41;27;1;38;64;26;44;12;56;1;294
1;294;3;55;53;46;13;24;62;20;37;49;40;16;63;45;10;34;39;48;30;57;58;35;43;6;31;15;9;7;51;25;5;42;21;32;50;28;19;33;8;11;36;61;54;17;23;52;22;47;14;2;4;29;18;60;59;41;27;1;38;64;26;44;12;56
3;55;53;46;13;24;62;20;37;49;40;16;63;45;10;34;39;48;30;28;58;35;43;6;31;15;9;7;51;25;5;42;21;32;50;57;19;33;8;11;36;61;54;17;23;52;22;47;14;2;4;29;18;60;59;41;27;1;38;64;26;44;12;56;1;304
1;304;3;55;53;46;13;24;62;20;37;49;40;16;63;45;10;34;39;48;30;28;58;35;43;6;31;15;9;7;51;25;5;42;21;32;50;57;19;33;8;11;36;61;54;17;23;52;22;47;14;2;4;29;18;60;59;41;27;1;38;64;26;44;12;56
3;55;53;46;13;24;62;20;37;49;40;16;63;19;10;34;39;48;30;28;58;35;43;6;31;15;9;7;51;25;5;42;21;32;50;57;45;33;8;11;36;61;54;17;23;52;22;47;14;2;4;29;18;60;59;41;27;1;38;64;26;44;12;56;1;304
1;304;3;55;53;46;13;24;62;20;37;49;40;16;63;19;10;34;39;48;30;28;58;35;43;6;31;15;9;7;51;25;5;42;21;32;50;57;45;33;8;11;36;61;54;17;23;52;22;47;14;2;4;29;18;60;59;41;27;1;38;64;26;44;12;56
3;55;53;46;13;24;62;20;37;49;40;16;63;19;10;34;39;48;30;28;58;35;43;41;31;15;9;7;51;25;5;42;21;32;50;57;45;33;8;11;36;61;54;17;23;52;22;47;14;2;4;29;18;60;59;6;27;1;38;64;26;44;12;56;1;304
1;304;3;55;53;46;13;24;62;20;37;49;40;16;63;19;10;34;39;48;30;28;58;35;43;41;31;15;9;7;51;25;5;42;21;32;50;57;45;33;8;11;36;61;54;17;23;52;22;47;14;2;4;29;18;60;59;6;27;1;38;64;26;44;12;56
3;55;53;46;13;24;62;20;37;49;40;16;63;19;10;34;39;48;30;28;58;35;43;41;31;15;9;7;51;25;5;42;21;32;50;57;45;33;8;11;36;61;54;17;23;52;22;47;14;2;4;29;44;60;59;6;27;1;38;64;26;18;12;56;1;304
1;304;3;55;53;46;13;24;62;20;37;49;40;16;63;19;10;34;39;48;30;28;58;35;43;41;31;15;9;7;51;25;5;42;21;32;50;57;45;33;8;11;36;61;54;17;23;52;22;47;14;2;4;29;44;60;59;6;27;1;38;64;26;18;12;56
3;55;53;46;13;24;62;20;37;49;40;16;63;19;10;34;29;48;30;28;58;35;43;41;31;15;9;7;51;25;5;42;21;32;50;57;45;33;8;11;36;61;54;17;23;52;22;47;14;2;4;39;44;60;59;6;27;1;38;64;26;18;12;56;1;300
1;300;3;55;53;46;13;24;62;20;37;49;40;16;63;19;10;34;29;48;30;28;58;35;43;41;31;15;9;7;51;25;5;42;21;32;50;57;45;33;8;11;36;61;54;17;23;52;22;47;14;2;4;39;44;60;59;6;27;1;38;64;26;18;12;56
3;55;53;46;13;24;62;34;37;49;40;16;63;19;10;20;29;48;30;28;58;35;43;41;31;15;9;7;51;25;5;42;21;32;50;57;45;33;8;11;36;61;54;17;23;52;22;47;14;2;4;39;44;60;59;6;27;1;38;64;26;18;12;56;1;308
1;308;3;55;53;46;13;24;62;34;37;49;40;16;63;19;10;20;29;48;30;28;58;35;43;41;31;15;9;7;51;25;5;42;21;32;50;57;45;33;8;11;36;61;54;17;23;52;22;47;14;2;4;39;44;60;59;6;27;1;38;64;26;18;12;56
3;55;53;46;13;24;62;34;37;49;40;16;63;19;61;20;29;48;30;28;58;35;43;41;31;15;9;7;51;25;5;42;21;32;50;57;45;33;8;11;36;10;54;17;23;52;22;47;14;2;4;39;44;60;59;6;27;1;38;64;26;18;12;56;1;300
1;300;3;55;53;46;13;24;62;34;37;49;40;16;63;19;61;20;29;48;30;28;58;35;43;41;31;15;9;7;51;25;5;42;21;32;50;57;45;33;8;11;36;10;54;17;23;52;22;47;14;2;4;39;44;60;59;6;27;1;38;64;26;18;12;56
3;55;53;46;13;24;62;34;37;49;40;16;63;19;61;20;29;48;30;28;58;35;43;41;31;45;9;7;51;25;5;42;21;32;50;57;15;33;8;11;36;10;54;17;23;52;22;47;14;2;4;39;44;60;59;6;27;1;38;64;26;18;12;56;1;304
1;304;3;55;53;46;13;24;62;34;37;49;40;16;63;19;61;20;29;48;30;28;58;35;43;41;31;45;9;7;51;25;5;42;21;32;50;57;15;33;8;11;36;10;54;17;23;52;22;47;14;2;4;39;44;60;59;6;27;1;38;64;26;18;12;56
3;55;53;46;13;24;62;34;37;49;40;16;63;19;61;20;29;48;30;28;58;35;43;41;31;45;9;21;51;25;5;42;7;32;50;57;15;33;8;11;36;10;54;17;23;52;22;47;14;2;4;39;44;60;59;6;27;1;38;64;26;18;12;56;1;304
1;304;3;55;53;46;13;24;62;34;37;49;40;16;63;19;61;20;29;48;30;28;58;35;43;41;31;45;9;21;51;25;5;42;7;32;50;57;15;33;8;11;36;10;54;17;23;52;22;47;14;2;4;39;44;60;59;6;27;1;38;64;26;18;12;56
52;55;53;46;13;24;62;34;37;49;40;16;63;19;61;20;29;48;30;28;58;35;43;41;31;45;9;21;51;25;5;42;7;32;50;57;15;33;8;11;36;10;54;17;23;3;22;47;14;2;4;39;44;60;59;6;27;1;38;64;26;18;12;56;1;304
1;304;52;55;53;46;13;24;62;34;37;49;40;16;63;19;61;20;29;48;30;28;58;35;43;41;31;45;9;21;51;25;5;42;7;32;50;57;15;33;8;11;36;10;54;17;23;3;22;47;14;2;4;39;44;60;59;6;27;1;38;64;26;18;12;56
52;55;53;46;13;24;62;34;37;49;40;16;63;19;61;39;29;48;30;28;58;35;43;41;31;45;9;21;51;25;5;42;7;32;50;57;15;33;8;11;36;10;54;17;23;3;22;47;14;2;4;20;44;60;59;6;27;1;38;64;26;18;12;56;1;304
1;304;52;55;53;46;13;24;62;34;37;49;40;16;63;19;61;39;29;48;30;28;58;35;43;41;31;45;9;21;51;25;5;42;7;32;50;57;15;33;8;11;36;10;54;17;23;3;22;47;14;2;4;20;44;60;59;6;27;1;38;64;26;18;12;56
52;55;53;46;13;24;62;34;2;49;40;16;63;19;61;39;29;48;30;28;58;35;43;41;31;45;9;21;51;25;5;42;7;32;50;57;15;33;8;11;36;10;54;17;23;3;22;47;14;37;4;20;44;60;59;6;27;1;38;64;26;18;12;56;1;304
1;304;52;55;53;46;13;24;62;34;2;49;40;16;63;19;61;39;29;48;30;28;58;35;43;41;31;45;9;21;51;25;5;42;7;32;50;57;15;33;8;11;36;10;54;17;23;3;22;47;14;37;4;20;44;60;59;6;27;1;38;64;26;18;12;56
52;55;53;46;13;24;62;34;2;49;40;16;63;19;61;39;29;48;30;28;58;35;43;41;31;45;9;21;51;25;5;42;7;32;50;57;15;64;8;11;36;10;54;17;23;3;22;47;14;37;4;20;44;60;59;6;27;1;38;33;26;18;12;56;1;304
1;304;52;55;53;46;13;24;62;34;2;49;40;16;63;19;61;39;29;48;30;28;58;35;43;41;31;45;9;21;51;25;5;42;7;32;50;57;15;64;8;11;36;10;54;17;23;3;22;47;14;37;4;20;44;60;59;6;27;1;38;33;26;18;12;56
52;34;53;46;13;24;62;55;2;49;40;16;63;19;61;39;29;48;30;28;58;35;43;41;31;45;9;21;51;25;5;42;7;32;50;57;15;64;8;11;36;10;54;17;23;3;22;47;14;37;4;20;44;60;59;6;27;1;38;33;26;18;12;56;1;284
2;284;52;34;53;46;13;24;62;55;2;49;40;16;63;19;61;39;29;48;30;28;58;35;43;41;31;45;9;21;51;25;5;42;7;32;50;57;15;64;8;11;36;10;54;17;23;3;22;47;14;37;4;20;44;60;59;6;27;1;38;33;26;18;12;56
52;34;53;46;13;24;62;55;2;49;40;16;18;19;61;39;29;48;30;28;58;35;43;41;31;45;9;21;51;25;5;42;7;32;50;57;15;64;8;11;36;10;54;17;23;3;22;47;14;37;4;20;44;60;59;6;27;1;38;33;26;63;12;56;2;284
2;284;52;34;53;46;13;24;62;55;2;49;40;16;18;19;61;39;29;48;30;28;58;35;43;41;31;45;9;21;51;25;5;42;7;32;50;57;15;64;8;11;36;10;54;17;23;3;22;47;14;37;4;20;44;60;59;6;27;1;38;33;26;63;12;56
52;34;53;46;13;24;62;4;2;49;40;16;18;19;61;39;29;48;30;28;58;35;43;41;31;45;9;21;51;25;5;42;7;32;50;57;15;64;8;11;36;10;54;17;23;3;22;47;14;37;55;20;44;60;59;6;27;1;38;33;26;63;12;56;2;296
2;296;52;34;53;46;13;24;62;4;2;49;40;16;18;19;61;39;29;48;30;28;58;35;43;41;31;45;9;21;51;25;5;42;7;32;50;57;15;64;8;11;36;10;54;17;23;3;22;47;14;37;55;20;44;60;59;6;27;1;38;33;26;63;12;56
52;34;53;46;13;50;62;4;2;49;40;16;18;19;61;39;29;48;30;28;58;35;43;41;31;45;9;21;51;25;5;42;7;32;24;57;15;64;8;11;36;10;54;17;23;3;22;47;14;37;55;20;44;60;59;6;27;1;38;33;26;63;12;56;2;298
2;298;52;34;53;46;13;50;62;4;2;49;40;16;18;19;61;39;29;48;30;28;58;35;43;41;31;45;9;21;51;25;5;42;7;32;24;57;15;64;8;11;36;10;54;17;23;3;22;47;14;37;55;20;44;60;59;6;27;1;38;33;26;63;12;56
52;34;53;46;13;50;62;4;2;49;40;16;18;19;61;39;29;38;30;28;58;35;43;41;31;45;9;21;51;25;5;42;7;32;24;57;15;64;8;11;36;10;54;17;23;3;22;47;14;37;55;20;44;60;59;6;27;1;48;33;26;63;12;56;2;298
2;298;52;34;53;46;13;50;62;4;2;49;40;16;18;19;61;39;29;38;30;28;58;35;43;41;31;45;9;21;51;25;5;42;7;32;24;57;15;64;8;11;36;10;54;17;23;3;22;47;14;37;55;20;44;60;59;6;27;1;48;33;26;63;12;56
52;34;53;46;13;50;62;4;2;49;40;16;18;19;61;39;29;38;30;28;58;24;43;41;31;45;9;21;51;25;5;42;7;32;35;57;15;64;8;11;36;10;54;17;23;3;22;47;14;37;55;20;44;60;59;6;27;1;48;33;26;63;12;56;2;298
2;298;52;34;53;46;13;50;62;4;2;49;40;16;18;19;61;39;29;38;30;28;58;24;43;41;31;45;9;21;51;25;5;42;7;32;35;57;15;64;8;11;36;10;54;17;23;3;22;47;14;37;55;20;44;60;59;6;27;1;48;33;26;63;12;56
52;34;53;46;13;50;62;4;2;49;40;16;18;19;61;39;29;38;30;28;58;24;43;41;31;45;9;21;42;25;5;51;7;32;35;57;15;64;8;11;36;10;54;17;23;3;22;47;14;37;55;20;44;60;59;6;27;1;48;33;26;63;12;56;2;294
2;294;52;34;53;46;13;50;62;4;2;49;40;16;18;19;61;39;29;38;30;28;58;24;43;41;31;45;9;21;42;25;5;51;7;32;35;57;15;64;8;11;36;10;54;17;23;3;22;47;14;37;55;20;44;60;59;6;27;1;48;33;26;63;12;56
52;34;53;46;13;50;62;4;2;49;40;16;18;19;64;39;29;38;30;28;58;24;43;41;31;45;9;21;42;25;5;51;7;32;35;57;15;61;8;11;36;10;54;17;23;3;22;47;14;37;55;20;44;60;59;6;27;1;48;33;26;63;12;56;2;298
2;298;52;34;53;46;13;50;62;4;2;49;40;16;18;19;64;39;29;38;30;28;58;24;43;41;31;45;9;21;42;25;5;51;7;32;35;57;15;61;8;11;36;10;54;17;23;3;22;47;14;37;55;20;44;60;59;6;27;1;48;33;26;63;12;56
52;34;53;46;13;50;62;4;2;49;40;16;18;19;64;39;29;38;30;28;58;24;43;41;31;45;9;21;42;25;5;26;7;32;35;57;15;61;8;11;36;10;54;17;23;3;22;47;14;37;55;20;44;60;59;6;27;1;48;33;51;63;12;56;2;298
2;298;52;34;53;46;13;50;62;4;2;49;40;16;18;19;64;39;29;38;30;28;58;24;43;41;31;45;9;21;42;25;5;26;7;32;35;57;15;61;8;11;36;10;54;17;23;3;22;47;14;37;55;20;44;60;59;6;27;1;48;33;51;63;12;56
52;34;53;46;13;50;62;4;2;49;40;16;18;19;64;39;29;45;30;28;58;24;43;41;31;38;9;21;42;25;5;26;7;32;35;57;15;61;8;11;36;10;54;17;23;3;22;47;14;37;55;20;44;60;59;6;27;1;48;33;51;63;12;56;2;298
2;298;52;34;53;46;13;50;62;4;2;49;40;16;18;19;64;39;29;45;30;28;58;24;43;41;31;38;9;21;42;25;5;26;7;32;35;57;15;61;8;11;36;10;54;17;23;3;22;47;14;37;55;20;44;60;59;6;27;1;48;33;51;63;12;56
52;34;53;46;13;50;62;4;2;49;40;16;18;19;64;39;29;45;30;28;58;24;43;41;31;38;9;21;42;25;5;26;7;32;59;57;15;61;8;11;36;10;54;17;23;3;22;47;14;37;55;20;44;60;35;6;27;1;48;33;51;63;12;56;2;302
2;298;52;34;53;46;13;50;62;4;2;49;40;16;18;19;64;39;29;45;30;28;58;24;43;41;31;38;9;21;42;25;5;26;7;32;35;57;15;61;8;11;36;10;54;17;23;3;22;47;14;37;55;20;44;60;59;6;27;1;48;33;51;63;12;56
52;34;53;46;13;50;62;4;2;49;40;16;27;19;64;39;29;45;30;28;58;24;43;41;31;38;9;21;42;25;5;26;7;32;35;57;15;61;8;11;36;10;54;17;23;3;22;47;14;37;55;20;44;60;59;6;18;1;48;33;51;63;12;56;2;298
2;298;52;34;53;46;13;50;62;4;2;49;40;16;27;19;64;39;29;45;30;28;58;24;43;41;31;38;9;21;42;25;5;26;7;32;35;57;15;61;8;11;36;10;54;17;23;3;22;47;14;37;55;20;44;60;59;6;18;1;48;33;51;63;12;56
52;34;53;46;13;50;62;4;2;49;40;16;27;63;64;39;29;45;30;28;58;24;43;41;31;38;9;21;42;25;5;26;7;32;35;57;15;61;8;11;36;10;54;17;23;3;22;47;14;37;55;20;44;60;59;6;18;1;48;33;51;19;12;56;2;302
2;302;52;34;53;46;13;50;62;4;2;49;40;16;27;63;64;39;29;45;30;28;58;24;43;41;31;38;9;21;42;25;5;26;7;32;35;57;15;61;8;11;36;10;54;17;23;3;22;47;14;37;55;20;44;60;59;6;18;1;48;33;51;19;12;56
52;34;53;46;13;50;62;4;2;49;40;16;27;63;64;39;29;45;30;28;58;24;43;41;31;38;9;21;42;25;5;57;7;32;35;26;15;61;8;11;36;10;54;17;23;3;22;47;14;37;55;20;44;60;59;6;18;1;48;33;51;19;12;56;2;302
2;302;52;34;53;46;13;50;62;4;2;49;40;16;27;63;64;39;29;45;30;28;58;24;43;41;31;38;9;21;42;25;5;57;7;32;35;26;15;61;8;11;36;10;54;17;23;3;22;47;14;37;55;20;44;60;59;6;18;1;48;33;51;19;12;56
52;34;53;46;13;50;62;4;2;49;40;16;27;63;64;39;29;45;30;28;58;24;59;41;31;38;9;21;42;25;5;57;7;32;35;26;15;61;8;11;36;10;54;17;23;3;22;47;14;37;55;20;44;60;43;6;18;1;48;33;51;19;12;56;2;302
2;302;52;34;53;46;13;50;62;4;2;49;40;16;27;63;64;39;29;45;30;28;58;24;59;41;31;38;9;21;42;25;5;57;7;32;35;26;15;61;8;11;36;10;54;17;23;3;22;47;14;37;55;20;44;60;43;6;18;1;48;33;51;19;12;56
52;34;53;46;13;50;62;4;2;49;40;16;27;63;37;39;29;45;30;28;58;24;59;41;31;38;9;21;42;25;5;57;7;32;35;26;15;61;8;11;36;10;54;17;23;3;22;47;14;64;55;20;44;60;43;6;18;1;48;33;51;19;12;56;2;302
2;302;52;34;53;46;13;50;62;4;2;49;40;16;27;63;37;39;29;45;30;28;58;24;59;41;31;38;9;21;42;25;5;57;7;32;35;26;15;61;8;11;36;10;54;17;23;3;22;47;14;64;55;20;44;60;43;6;18;1;48;33;51;19;12;56
52;34;53;46;13;50;62;4;2;49;40;16;27;63;37;39;29;45;30;28;58;24;59;41;31;38;9;21;42;25;5;57;7;32;35;26;15;6;8;11;36;10;54;17;23;3;22;47;14;64;55;20;44;60;43;61;18;1;48;33;51;19;12;56;2;302
2;302;52;34;53;46;13;50;62;4;2;49;40;16;27;63;37;39;29;45;30;28;58;24;59;41;31;38;9;21;42;25;5;57;7;32;35;26;15;6;8;11;36;10;54;17;23;3;22;47;14;64;55;20;44;60;43;61;18;1;48;33;51;19;12;56
52;34;53;46;13;50;62;4;2;49;40;16;27;63;37;39;29;45;30;28;58;24;59;41;31;38;9;21;42;25;5;57;7;32;35;26;15;6;8;11;36;10;54;17;23;3;22;1;14;64;55;20;44;60;43;61;18;47;48;33;51;19;12;56;2;302
2;302;52;34;53;46;13;50;62;4;2;49;40;16;27;63;37;39;29;45;30;28;58;24;59;41;31;38;9;21;42;25;5;57;7;32;35;26;15;6;8;11;36;10;54;17;23;3;22;1;14;64;55;20;44;60;43;61;18;47;48;33;51;19;12;56
52;34;53;46;13;50;62;4;2;49;40;16;27;63;37;39;29;45;30;28;58;24;59;41;31;38;9;21;42;25;5;57;7;32;35;11;15;6;8;26;36;10;54;17;23;3;22;1;14;64;55;20;44;60;43;61;18;47;48;33;51;19;12;56;2;302
2;302;52;34;53;46;13;50;62;4;2;49;40;16;27;63;37;39;29;45;30;28;58;24;59;41;31;38;9;21;42;25;5;57;7;32;35;11;15;6;8;26;36;10;54;17;23;3;22;1;14;64;55;20;44;60;43;61;18;47;48;33;51;19;12;56
52;34;53;46;13;50;62;4;2;49;40;16;27;63;37;39;29;45;30;28;58;24;51;41;31;38;9;21;42;25;5;57;7;32;35;11;15;6;8;26;36;10;54;17;23;3;22;1;14;64;55;20;44;60;43;61;18;47;48;33;59;19;12;56;2;302
2;302;52;34;53;46;13;50;62;4;2;49;40;16;27;63;37;39;29;45;30;28;58;24;51;41;31;38;9;21;42;25;5;57;7;32;35;11;15;6;8;26;36;10;54;17;23;3;22;1;14;64;55;20;44;60;43;61;18;47;48;33;59;19;12;56
52;34;53;46;13;50;62;4;2;49;40;16;27;63;37;39;29;45;30;28;58;24;51;25;31;38;9;21;42;41;5;57;7;32;35;11;15;6;8;26;36;10;54;17;23;3;22;1;14;64;55;20;44;60;43;61;18;47;48;33;59;19;12;56;2;306
3;306;52;34;53;46;13;50;62;4;2;49;40;16;27;63;37;39;29;45;30;28;58;24;51;25;31;38;9;21;42;41;5;57;7;32;35;11;15;6;8;26;36;10;54;17;23;3;22;1;14;64;55;20;44;60;43;61;18;47;48;33;59;19;12;56
52;34;53;46;13;50;62;4;2;49;40;16;27;47;37;39;29;45;30;28;58;24;51;25;31;38;9;21;42;41;5;57;7;32;35;11;15;6;8;26;36;10;54;17;23;3;22;1;14;64;55;20;44;60;43;61;18;63;48;33;59;19;12;56;3;306
3;306;52;34;53;46;13;50;62;4;2;49;40;16;27;47;37;39;29;45;30;28;58;24;51;25;31;38;9;21;42;41;5;57;7;32;35;11;15;6;8;26;36;10;54;17;23;3;22;1;14;64;55;20;44;60;43;61;18;63;48;33;59;19;12;56
52;34;53;43;13;50;62;4;2;49;40;16;27;47;37;39;29;45;30;28;58;24;51;25;31;38;9;21;42;41;5;57;7;32;35;11;15;6;8;26;36;10;54;17;23;3;22;1;14;64;55;20;44;60;46;61;18;63;48;33;59;19;12;56;3;302
3;302;52;34;53;43;13;50;62;4;2;49;40;16;27;47;37;39;29;45;30;28;58;24;51;25;31;38;9;21;42;41;5;57;7;32;35;11;15;6;8;26;36;10;54;17;23;3;22;1;14;64;55;20;44;60;46;61;18;63;48;33;59;19;12;56
52;34;42;43;13;50;62;4;2;49;40;16;27;47;37;39;29;45;30;28;58;24;51;25;31;38;9;21;53;41;5;57;7;32;35;11;15;6;8;26;36;10;54;17;23;3;22;1;14;64;55;20;44;60;46;61;18;63;48;33;59;19;12;56;3;298
3;298;52;34;42;43;13;50;62;4;2;49;40;16;27;47;37;39;29;45;30;28;58;24;51;25;31;38;9;21;53;41;5;57;7;32;35;11;15;6;8;26;36;10;54;17;23;3;22;1;14;64;55;20;44;60;46;61;18;63;48;33;59;19;12;56
52;34;42;43;13;50;62;4;2;49;40;16;27;47;37;39;29;45;30;28;58;24;51;48;31;38;9;21;53;41;5;57;7;32;35;11;15;6;8;26;36;10;54;17;23;3;22;1;14;64;55;20;44;60;46;61;18;63;25;33;59;19;12;56;3;298
3;298;52;34;42;43;13;50;62;4;2;49;40;16;27;47;37;39;29;45;30;28;58;24;51;48;31;38;9;21;53;41;5;57;7;32;35;11;15;6;8;26;36;10;54;17;23;3;22;1;14;64;55;20;44;60;46;61;18;63;25;33;59;19;12;56
52;34;42;43;13;50;62;4;2;49;40;16;27;47;37;39;29;45;30;28;58;24;51;48;31;38;9;21;53;41;5;46;7;32;35;11;15;6;8;26;36;10;54;17;23;3;22;1;14;64;55;20;44;60;57;61;18;63;25;33;59;19;12;56;3;300
3;300;52;34;42;43;13;50;62;4;2;49;40;16;27;47;37;39;29;45;30;28;58;24;51;48;31;38;9;21;53;41;5;46;7;32;35;11;15;6;8;26;36;10;54;17;23;3;22;1;14;64;55;20;44;60;57;61;18;63;25;33;59;19;12;56
52;34;42;43;13;50;62;4;2;49;40;16;27;47;37;39;29;45;30;28;58;24;51;48;31;38;9;21;53;41;5;46;7;32;35;11;15;6;8;26;17;10;54;36;23;3;22;1;14;64;55;20;44;60;57;61;18;63;25;33;59;19;12;56;3;300
3;300;52;34;42;43;13;50;62;4;2;49;40;16;27;47;37;39;29;45;30;28;58;24;51;48;31;38;9;21;53;41;5;46;7;32;35;11;15;6;8;26;17;10;54;36;23;3;22;1;14;64;55;20;44;60;57;61;18;63;25;33;59;19;12;56
52;34;42;43;13;50;62;4;2;49;40;16;27;47;37;39;29;45;30;28;58;14;51;48;31;38;9;21;53;41;5;46;7;32;35;11;15;6;8;26;17;10;54;36;23;3;22;1;24;64;55;20;44;60;57;61;18;63;25;33;59;19;12;56;3;298
3;298;52;34;42;43;13;50;62;4;2;49;40;16;27;47;37;39;29;45;30;28;58;14;51;48;31;38;9;21;53;41;5;46;7;32;35;11;15;6;8;26;17;10;54;36;23;3;22;1;24;64;55;20;44;60;57;61;18;63;25;33;59;19;12;56
52;34;42;43;13;50;62;4;2;49;40;16;27;47;37;39;29;45;30;28;58;61;51;48;31;38;9;21;53;41;5;46;7;32;35;11;15;6;8;26;17;10;54;36;23;3;22;1;24;64;55;20;44;60;57;14;18;63;25;33;59;19;12;56;3;296
3;296;52;34;42;43;13;50;62;4;2;49;40;16;27;47;37;39;29;45;30;28;58;61;51;48;31;38;9;21;53;41;5;46;7;32;35;11;15;6;8;26;17;10;54;36;23;3;22;1;24;64;55;20;44;60;57;14;18;63;25;33;59;19;12;56
52;34;42;43;11;50;62;4;2;49;40;16;27;47;37;39;29;45;30;28;58;61;51;48;31;38;9;21;53;41;5;46;7;32;35;13;15;6;8;26;17;10;54;36;23;3;22;1;24;64;55;20;44;60;57;14;18;63;25;33;59;19;12;56;3;296
3;296;52;34;42;43;11;50;62;4;2;49;40;16;27;47;37;39;29;45;30;28;58;61;51;48;31;38;9;21;53;41;5;46;7;32;35;13;15;6;8;26;17;10;54;36;23;3;22;1;24;64;55;20;44;60;57;14;18;63;25;33;59;19;12;56
52;34;42;43;11;50;62;4;2;49;51;16;27;47;37;39;29;45;30;28;58;61;40;48;31;38;9;21;53;41;5;46;7;32;35;13;15;6;8;26;17;10;54;36;23;3;22;1;24;64;55;20;44;60;57;14;18;63;25;33;59;19;12;56;3;296
3;296;52;34;42;43;11;50;62;4;2;49;51;16;27;47;37;39;29;45;30;28;58;61;40;48;31;38;9;21;53;41;5;46;7;32;35;13;15;6;8;26;17;10;54;36;23;3;22;1;24;64;55;20;44;60;57;14;18;63;25;33;59;19;12;56
52;34;42;43;11;35;62;4;2;49;51;16;27;47;37;39;29;45;30;28;58;61;40;48;31;38;9;21;53;41;5;46;7;32;50;13;15;6;8;26;17;10;54;36;23;3;22;1;24;64;55;20;44;60;57;14;18;63;25;33;59;19;12;56;3;286
