"X7L";"X8L";"X26L";"X12L";"X11L";"X21L";"X18L";"X22L";"X25L";"X16L";"X23L";"X10L";"X9L";"X15L";"X3L";"X1L";"X19L";"X4L";"X6L";"X20L";"X2L";"X5L";"X24L";"X17L";"X13L";"X14L"
11;15;17;12;8;13;19;22;20;26;3;7;1;10;21;23;18;2;9;16;24;25;4;6;14;5
11;15;17;12;8;13;19;22;20;26;3;7;16;10;21;23;18;2;9;1;24;25;4;6;14;5
11;15;17;12;8;13;19;22;20;26;3;7;16;10;21;23;18;2;9;1;24;25;4;6;14;5
11;15;17;12;8;13;19;22;20;26;3;7;16;10;24;23;18;2;9;1;21;25;4;6;14;5
11;15;17;12;8;13;19;22;20;26;3;7;16;10;24;23;18;2;9;1;21;25;4;6;14;5
11;15;17;12;8;13;19;22;20;26;3;7;16;10;24;23;5;2;9;1;21;25;4;6;14;18
11;15;17;12;8;13;19;22;20;26;3;7;16;10;24;23;5;2;9;1;21;25;4;6;14;18
11;15;17;12;24;13;19;22;20;26;3;7;16;10;8;23;5;2;9;1;21;25;4;6;14;18
11;15;17;12;24;13;19;22;20;26;3;7;16;10;8;23;5;2;9;1;21;25;4;6;14;18
11;15;17;12;24;13;19;2;20;26;3;7;16;10;8;23;5;22;9;1;21;25;4;6;14;18
11;15;17;12;24;13;19;2;20;26;3;7;16;10;8;23;5;22;9;1;21;25;4;6;14;18
11;15;17;12;7;13;19;2;20;26;3;24;16;10;8;23;5;22;9;1;21;25;4;6;14;18
11;15;17;12;7;13;19;2;20;26;3;24;16;10;8;23;5;22;9;1;21;25;4;6;14;18
11;15;17;12;7;3;19;2;20;26;13;24;16;10;8;23;5;22;9;1;21;25;4;6;14;18
11;15;17;12;7;3;19;2;20;26;13;24;16;10;8;23;5;22;9;1;21;25;4;6;14;18
11;22;17;12;7;3;19;2;20;26;13;24;16;10;8;23;5;15;9;1;21;25;4;6;14;18
11;22;17;12;7;3;19;2;20;26;13;24;16;10;8;23;5;15;9;1;21;25;4;6;14;18
11;22;16;12;7;3;19;2;20;26;13;24;17;10;8;23;5;15;9;1;21;25;4;6;14;18
11;22;16;12;7;3;19;2;20;26;13;24;17;10;8;23;5;15;9;1;21;25;4;6;14;18
11;22;16;23;7;3;19;2;20;26;13;24;17;10;8;12;5;15;9;1;21;25;4;6;14;18
11;22;16;23;7;3;19;2;20;26;13;24;17;10;8;12;5;15;9;1;21;25;4;6;14;18
11;22;16;23;7;3;19;2;20;26;13;24;17;10;8;12;5;15;9;21;1;25;4;6;14;18
11;22;16;23;7;3;19;2;20;26;13;24;17;10;8;12;5;15;9;21;1;25;4;6;14;18
11;22;16;23;7;3;19;2;20;26;10;24;17;13;8;12;5;15;9;21;1;25;4;6;14;18
11;22;16;23;7;3;19;2;20;26;10;24;17;13;8;12;5;15;9;21;1;25;4;6;14;18
11;22;16;23;7;3;19;2;20;26;10;24;17;13;8;12;5;15;25;21;1;9;4;6;14;18
11;22;16;23;7;3;19;2;20;26;10;24;17;13;8;12;5;15;25;21;1;9;4;6;14;18
11;22;16;23;7;3;19;2;20;26;10;25;17;13;8;12;5;15;24;21;1;9;4;6;14;18
11;22;16;23;7;3;19;2;20;26;10;25;17;13;8;12;5;15;24;21;1;9;4;6;14;18
11;23;16;22;7;3;19;2;20;26;10;25;17;13;8;12;5;15;24;21;1;9;4;6;14;18
11;23;16;22;7;3;19;2;20;26;10;25;17;13;8;12;5;15;24;21;1;9;4;6;14;18
16;23;11;22;7;3;19;2;20;26;10;25;17;13;8;12;5;15;24;21;1;9;4;6;14;18
16;23;11;22;7;3;19;2;20;26;10;25;17;13;8;12;5;15;24;21;1;9;4;6;14;18
16;23;11;22;7;3;19;2;20;26;10;18;17;13;8;12;5;15;24;21;1;9;4;6;14;25
16;23;11;22;7;3;19;2;20;26;10;18;17;13;8;12;5;15;24;21;1;9;4;6;14;25
16;23;11;22;12;3;19;2;20;26;10;18;17;13;8;7;5;15;24;21;1;9;4;6;14;25
16;23;11;22;12;3;19;2;20;26;10;18;17;13;8;7;5;15;24;21;1;9;4;6;14;25
16;23;11;22;12;3;19;2;24;26;10;18;17;13;8;7;5;15;20;21;1;9;4;6;14;25
16;23;11;22;12;3;19;2;24;26;10;18;17;13;8;7;5;15;20;21;1;9;4;6;14;25
16;23;11;22;12;3;19;14;24;26;10;18;17;13;8;7;5;15;20;21;1;9;4;6;2;25
16;23;11;22;12;3;19;14;24;26;10;18;17;13;8;7;5;15;20;21;1;9;4;6;2;25
16;5;11;22;12;3;19;14;24;26;10;18;17;13;8;7;23;15;20;21;1;9;4;6;2;25
16;5;11;22;12;3;19;14;24;26;10;18;17;13;8;7;23;15;20;21;1;9;4;6;2;25
16;5;11;22;12;3;19;14;24;26;10;18;17;8;13;7;23;15;20;21;1;9;4;6;2;25
16;5;11;22;12;3;19;14;24;26;10;18;17;8;13;7;23;15;20;21;1;9;4;6;2;25
16;5;11;22;12;3;19;14;24;26;10;20;17;8;13;7;23;15;18;21;1;9;4;6;2;25
16;5;11;22;12;3;19;14;24;26;10;20;17;8;13;7;23;15;18;21;1;9;4;6;2;25
16;5;11;22;12;3;19;14;4;26;10;20;17;8;13;7;23;15;18;21;1;9;24;6;2;25
16;5;11;22;12;3;19;14;4;26;10;20;17;8;13;7;23;15;18;21;1;9;24;6;2;25
7;5;11;22;12;3;19;14;4;26;10;20;17;8;13;16;23;15;18;21;1;9;24;6;2;25
7;5;11;22;12;3;19;14;4;26;10;20;17;8;13;16;23;15;18;21;1;9;24;6;2;25
7;5;11;22;12;3;19;14;4;26;10;20;17;8;24;16;23;15;18;21;1;9;13;6;2;25
7;5;11;22;12;3;19;14;4;26;10;20;17;8;24;16;23;15;18;21;1;9;13;6;2;25
7;5;11;22;12;3;19;14;4;26;13;20;17;8;24;16;23;15;18;21;1;9;10;6;2;25
7;5;11;22;12;3;19;14;4;26;13;20;17;8;24;16;23;15;18;21;1;9;10;6;2;25
7;14;11;22;12;3;19;5;4;26;13;20;17;8;24;16;23;15;18;21;1;9;10;6;2;25
7;14;11;22;12;3;19;5;4;26;13;20;17;8;24;16;23;15;18;21;1;9;10;6;2;25
7;14;11;22;12;3;19;5;4;26;13;20;17;8;2;16;23;15;18;21;1;9;10;6;24;25
7;14;11;22;12;3;19;5;4;26;13;20;17;8;2;16;23;15;18;21;1;9;10;6;24;25
7;14;11;22;12;3;19;5;4;26;13;20;17;8;23;16;2;15;18;21;1;9;10;6;24;25
7;14;11;22;12;3;19;5;4;26;13;20;17;8;23;16;2;15;18;21;1;9;10;6;24;25
8;14;11;22;12;3;19;5;4;26;13;20;17;7;23;16;2;15;18;21;1;9;10;6;24;25
8;14;11;22;12;3;19;5;4;26;13;20;17;7;23;16;2;15;18;21;1;9;10;6;24;25
8;14;11;22;12;3;19;5;15;26;13;20;17;7;23;16;2;4;18;21;1;9;10;6;24;25
8;14;11;22;12;3;19;5;15;26;13;20;17;7;23;16;2;4;18;21;1;9;10;6;24;25
8;14;11;22;12;3;19;1;15;26;13;20;17;7;23;16;2;4;18;21;5;9;10;6;24;25
8;14;11;22;12;3;19;1;15;26;13;20;17;7;23;16;2;4;18;21;5;9;10;6;24;25
8;14;11;22;12;3;19;1;15;9;13;20;17;7;23;16;2;4;18;21;5;26;10;6;24;25
8;14;11;22;12;3;19;1;15;9;13;20;17;7;23;16;2;4;18;21;5;26;10;6;24;25
22;14;11;8;12;3;19;1;15;9;13;20;17;7;23;16;2;4;18;21;5;26;10;6;24;25
22;14;11;8;12;3;19;1;15;9;13;20;17;7;23;16;2;4;18;21;5;26;10;6;24;25
18;14;11;8;12;3;19;1;15;9;13;20;17;7;23;16;2;4;22;21;5;26;10;6;24;25
18;14;11;8;12;3;19;1;15;9;13;20;17;7;23;16;2;4;22;21;5;26;10;6;24;25
18;14;11;8;12;3;19;1;15;9;13;20;17;7;23;16;2;4;22;21;5;6;10;26;24;25
18;14;11;8;12;3;19;1;15;9;13;20;17;7;23;16;2;4;22;21;5;6;10;26;24;25
18;19;11;8;12;3;14;1;15;9;13;20;17;7;23;16;2;4;22;21;5;6;10;26;24;25
18;19;11;8;12;3;14;1;15;9;13;20;17;7;23;16;2;4;22;21;5;6;10;26;24;25
18;19;11;13;12;3;14;1;15;9;8;20;17;7;23;16;2;4;22;21;5;6;10;26;24;25
18;19;11;13;12;3;14;1;15;9;8;20;17;7;23;16;2;4;22;21;5;6;10;26;24;25
18;19;11;13;12;3;14;1;15;9;16;20;17;7;23;8;2;4;22;21;5;6;10;26;24;25
18;19;11;13;12;3;14;1;15;9;16;20;17;7;23;8;2;4;22;21;5;6;10;26;24;25
7;19;11;13;12;3;14;1;15;9;16;20;17;18;23;8;2;4;22;21;5;6;10;26;24;25
7;19;11;13;12;3;14;1;15;9;16;20;17;18;23;8;2;4;22;21;5;6;10;26;24;25
7;19;11;13;12;3;14;2;15;9;16;20;17;18;23;8;1;4;22;21;5;6;10;26;24;25
7;19;11;13;12;3;14;2;15;9;16;20;17;18;23;8;1;4;22;21;5;6;10;26;24;25
7;19;11;21;12;3;14;2;15;9;16;20;17;18;23;8;1;4;22;13;5;6;10;26;24;25
7;19;11;21;12;3;14;2;15;9;16;20;17;18;23;8;1;4;22;13;5;6;10;26;24;25
7;19;11;21;12;3;6;2;15;9;16;20;17;18;23;8;1;4;22;13;5;14;10;26;24;25
7;19;11;21;12;3;6;2;15;9;16;20;17;18;23;8;1;4;22;13;5;14;10;26;24;25
7;19;15;21;12;3;6;2;11;9;16;20;17;18;23;8;1;4;22;13;5;14;10;26;24;25
7;19;15;21;12;3;6;2;11;9;16;20;17;18;23;8;1;4;22;13;5;14;10;26;24;25
7;19;15;21;12;3;6;2;11;9;16;20;17;18;23;13;1;4;22;8;5;14;10;26;24;25
7;19;15;21;12;3;6;2;11;9;16;20;17;18;23;13;1;4;22;8;5;14;10;26;24;25
7;19;15;21;12;3;6;2;22;9;16;20;17;18;23;13;1;4;11;8;5;14;10;26;24;25
7;19;15;21;12;3;6;2;22;9;16;20;17;18;23;13;1;4;11;8;5;14;10;26;24;25
7;19;15;21;12;3;6;2;22;9;16;4;17;18;23;13;1;20;11;8;5;14;10;26;24;25
7;19;15;21;12;3;6;2;22;9;16;4;17;18;23;13;1;20;11;8;5;14;10;26;24;25
7;12;15;21;19;3;6;2;22;9;16;4;17;18;23;13;1;20;11;8;5;14;10;26;24;25
7;12;15;21;19;3;6;2;22;9;16;4;17;18;23;13;1;20;11;8;5;14;10;26;24;25
7;12;20;21;19;3;6;2;22;9;16;4;17;18;23;13;1;15;11;8;5;14;10;26;24;25
7;12;20;21;19;3;6;2;22;9;16;4;17;18;23;13;1;15;11;8;5;14;10;26;24;25
7;12;20;21;19;3;6;14;22;9;16;4;17;18;23;13;1;15;11;8;5;2;10;26;24;25
7;12;20;21;19;3;6;14;22;9;16;4;17;18;23;13;1;15;11;8;5;2;10;26;24;25
7;12;20;21;19;3;6;14;5;9;16;4;17;18;23;13;1;15;11;8;22;2;10;26;24;25
7;12;20;21;19;3;6;14;5;9;16;4;17;18;23;13;1;15;11;8;22;2;10;26;24;25
7;12;20;21;19;3;6;14;5;9;16;4;17;18;23;13;1;15;11;8;2;22;10;26;24;25
7;12;20;21;19;3;6;14;5;9;16;4;17;18;23;13;1;15;11;8;2;22;10;26;24;25
7;12;20;21;19;3;6;1;5;9;16;4;17;18;23;13;14;15;11;8;2;22;10;26;24;25
7;12;20;21;19;3;6;1;5;9;16;4;17;18;23;13;14;15;11;8;2;22;10;26;24;25
7;20;12;21;19;3;6;1;5;9;16;4;17;18;23;13;14;15;11;8;2;22;10;26;24;25
7;20;12;21;19;3;6;1;5;9;16;4;17;18;23;13;14;15;11;8;2;22;10;26;24;25
7;20;1;21;19;3;6;12;5;9;16;4;17;18;23;13;14;15;11;8;2;22;10;26;24;25
7;20;1;21;19;3;6;12;5;9;16;4;17;18;23;13;14;15;11;8;2;22;10;26;24;25
7;20;1;21;19;14;6;12;5;9;16;4;17;18;23;13;3;15;11;8;2;22;10;26;24;25
7;20;1;21;19;14;6;12;5;9;16;4;17;18;23;13;3;15;11;8;2;22;10;26;24;25
7;20;1;21;19;14;6;12;5;9;16;4;17;18;23;13;3;15;11;8;2;24;10;26;22;25
7;20;1;21;19;14;6;12;5;9;16;4;17;18;23;13;3;15;11;8;2;24;10;26;22;25
7;20;22;21;19;14;6;12;5;9;16;4;17;18;23;13;3;15;11;8;2;24;10;26;1;25
7;20;22;21;19;14;6;12;5;9;16;4;17;18;23;13;3;15;11;8;2;24;10;26;1;25
7;20;22;21;19;2;6;12;5;9;16;4;17;18;23;13;3;15;11;8;14;24;10;26;1;25
7;20;22;21;19;2;6;12;5;9;16;4;17;18;23;13;3;15;11;8;14;24;10;26;1;25
7;20;22;21;19;13;6;12;5;9;16;4;17;18;23;2;3;15;11;8;14;24;10;26;1;25
7;20;22;21;19;13;6;12;5;9;16;4;17;18;23;2;3;15;11;8;14;24;10;26;1;25
7;20;22;21;19;13;6;12;5;14;16;4;17;18;23;2;3;15;11;8;9;24;10;26;1;25
7;20;22;21;19;13;6;12;5;14;16;4;17;18;23;2;3;15;11;8;9;24;10;26;1;25
7;20;22;21;5;13;6;12;19;14;16;4;17;18;23;2;3;15;11;8;9;24;10;26;1;25
7;20;22;21;5;13;6;12;19;14;16;4;17;18;23;2;3;15;11;8;9;24;10;26;1;25
7;20;22;21;5;13;6;19;12;14;16;4;17;18;23;2;3;15;11;8;9;24;10;26;1;25
7;20;22;21;5;13;6;19;12;14;16;4;17;18;23;2;3;15;11;8;9;24;10;26;1;25
7;20;22;21;5;13;6;19;12;14;15;4;17;18;23;2;3;16;11;8;9;24;10;26;1;25
7;20;22;21;5;13;6;19;12;14;15;4;17;18;23;2;3;16;11;8;9;24;10;26;1;25
7;20;22;25;5;13;6;19;12;14;15;4;17;18;23;2;3;16;11;8;9;24;10;26;1;21
7;20;22;25;5;13;6;19;12;14;15;4;17;18;23;2;3;16;11;8;9;24;10;26;1;21
7;20;22;25;5;13;6;19;12;14;15;4;17;18;23;3;2;16;11;8;9;24;10;26;1;21
7;20;22;25;5;13;6;19;12;14;15;4;17;18;23;3;2;16;11;8;9;24;10;26;1;21
19;20;22;25;5;13;6;7;12;14;15;4;17;18;23;3;2;16;11;8;9;24;10;26;1;21
19;20;22;25;5;13;6;7;12;14;15;4;17;18;23;3;2;16;11;8;9;24;10;26;1;21
19;20;22;25;5;13;6;7;11;14;15;4;17;18;23;3;2;16;12;8;9;24;10;26;1;21
19;20;22;25;5;13;6;7;11;14;15;4;17;18;23;3;2;16;12;8;9;24;10;26;1;21
19;20;22;25;5;13;6;7;11;14;15;4;17;18;16;3;2;23;12;8;9;24;10;26;1;21
19;20;22;25;5;13;6;7;11;14;15;4;17;18;16;3;2;23;12;8;9;24;10;26;1;21
19;20;22;25;13;5;6;7;11;14;15;4;17;18;16;3;2;23;12;8;9;24;10;26;1;21
19;20;22;25;13;5;6;7;11;14;15;4;17;18;16;3;2;23;12;8;9;24;10;26;1;21
19;20;22;23;13;5;6;7;11;14;15;4;17;18;16;3;2;25;12;8;9;24;10;26;1;21
19;20;22;23;13;5;6;7;11;14;15;4;17;18;16;3;2;25;12;8;9;24;10;26;1;21
19;20;22;23;13;9;6;7;11;14;15;4;17;18;16;3;2;25;12;8;5;24;10;26;1;21
19;20;22;23;13;9;6;7;11;14;15;4;17;18;16;3;2;25;12;8;5;24;10;26;1;21
19;20;22;23;13;18;6;7;11;14;15;4;17;9;16;3;2;25;12;8;5;24;10;26;1;21
19;20;22;23;13;18;6;7;11;14;15;4;17;9;16;3;2;25;12;8;5;24;10;26;1;21
19;20;22;2;13;18;6;7;11;14;15;4;17;9;16;3;23;25;12;8;5;24;10;26;1;21
19;20;22;2;13;18;6;7;11;14;15;4;17;9;16;3;23;25;12;8;5;24;10;26;1;21
9;20;22;2;13;18;6;7;11;14;15;4;17;19;16;3;23;25;12;8;5;24;10;26;1;21
9;20;22;2;13;18;6;7;11;14;15;4;17;19;16;3;23;25;12;8;5;24;10;26;1;21
9;20;22;26;13;18;6;7;11;14;15;4;17;19;16;3;23;25;12;8;5;24;10;2;1;21
9;20;22;26;13;18;6;7;11;14;15;4;17;19;16;3;23;25;12;8;5;24;10;2;1;21
9;20;16;26;13;18;6;7;11;14;15;4;17;19;22;3;23;25;12;8;5;24;10;2;1;21
9;20;16;26;13;18;6;7;11;14;15;4;17;19;22;3;23;25;12;8;5;24;10;2;1;21
9;20;16;26;13;18;6;7;11;14;15;4;17;19;23;3;22;25;12;8;5;24;10;2;1;21
9;20;16;26;13;18;6;7;11;14;15;4;17;19;23;3;22;25;12;8;5;24;10;2;1;21
9;20;16;26;13;18;6;7;11;14;15;4;17;19;23;3;22;25;12;8;1;24;10;2;5;21
9;20;16;26;13;18;6;7;11;14;15;4;17;19;23;3;22;25;12;8;1;24;10;2;5;21
9;20;16;26;13;18;6;7;11;14;5;4;17;19;23;3;22;25;12;8;1;24;10;2;15;21
9;20;16;26;13;18;6;7;11;14;5;4;17;19;23;3;22;25;12;8;1;24;10;2;15;21
9;20;16;26;13;18;11;7;6;14;5;4;17;19;23;3;22;25;12;8;1;24;10;2;15;21
9;20;16;26;13;18;11;7;6;14;5;4;17;19;23;3;22;25;12;8;1;24;10;2;15;21
10;20;16;26;13;18;11;7;6;14;5;4;17;19;23;3;22;25;12;8;1;24;9;2;15;21
10;20;16;26;13;18;11;7;6;14;5;4;17;19;23;3;22;25;12;8;1;24;9;2;15;21
10;19;16;26;13;18;11;7;6;14;5;4;17;20;23;3;22;25;12;8;1;24;9;2;15;21
10;19;16;26;13;18;11;7;6;14;5;4;17;20;23;3;22;25;12;8;1;24;9;2;15;21
10;19;16;26;13;18;11;7;6;14;5;4;17;20;23;9;22;25;12;8;1;24;3;2;15;21
10;19;16;26;13;18;11;7;6;14;5;4;17;20;23;9;22;25;12;8;1;24;3;2;15;21
10;19;16;26;13;18;11;7;6;14;9;4;17;20;23;5;22;25;12;8;1;24;3;2;15;21
10;19;16;26;13;18;11;7;6;14;5;4;17;20;23;9;22;25;12;8;1;24;3;2;15;21
10;19;16;26;13;18;11;7;5;14;6;4;17;20;23;9;22;25;12;8;1;24;3;2;15;21
10;19;16;26;13;18;11;7;5;14;6;4;17;20;23;9;22;25;12;8;1;24;3;2;15;21
10;19;16;20;13;18;11;7;5;14;6;4;17;26;23;9;22;25;12;8;1;24;3;2;15;21
10;19;16;20;13;18;11;7;5;14;6;4;17;26;23;9;22;25;12;8;1;24;3;2;15;21
10;19;16;20;13;8;11;7;5;14;6;4;17;26;23;9;22;25;12;18;1;24;3;2;15;21
10;19;16;20;13;8;11;7;5;14;6;4;17;26;23;9;22;25;12;18;1;24;3;2;15;21
10;19;16;20;13;8;11;7;5;14;6;4;17;26;23;9;22;25;1;18;12;24;3;2;15;21
10;19;16;20;13;8;11;7;5;14;6;4;17;26;23;9;22;25;1;18;12;24;3;2;15;21
10;19;16;20;13;8;11;7;5;14;6;4;17;21;23;9;22;25;1;18;12;24;3;2;15;26
10;19;16;20;13;8;11;7;5;14;6;4;17;21;23;9;22;25;1;18;12;24;3;2;15;26
10;19;16;20;13;8;11;7;5;14;6;4;22;21;23;9;17;25;1;18;12;24;3;2;15;26
10;19;16;20;13;8;11;7;5;14;6;4;22;21;23;9;17;25;1;18;12;24;3;2;15;26
10;19;11;20;13;8;16;7;5;14;6;4;22;21;23;9;17;25;1;18;12;24;3;2;15;26
10;19;11;20;13;8;16;7;5;14;6;4;22;21;23;9;17;25;1;18;12;24;3;2;15;26
10;19;11;20;13;1;16;7;5;14;6;4;22;21;23;9;17;25;8;18;12;24;3;2;15;26
10;19;11;20;13;1;16;7;5;14;6;4;22;21;23;9;17;25;8;18;12;24;3;2;15;26
10;8;11;20;13;1;16;7;5;14;6;4;22;21;23;9;17;25;19;18;12;24;3;2;15;26
10;8;11;20;13;1;16;7;5;14;6;4;22;21;23;9;17;25;19;18;12;24;3;2;15;26
10;8;11;20;13;1;16;7;5;14;26;4;22;21;23;9;17;25;19;18;12;24;3;2;15;6
10;8;11;20;13;1;16;7;5;14;26;4;22;21;23;9;17;25;19;18;12;24;3;2;15;6
10;8;11;20;13;1;16;7;5;14;26;4;22;21;23;9;17;15;19;18;12;24;3;2;25;6
10;8;11;20;13;1;16;7;5;14;26;4;22;21;23;9;17;15;19;18;12;24;3;2;25;6
10;21;11;20;13;1;16;7;5;14;26;4;22;8;23;9;17;15;19;18;12;24;3;2;25;6
