"X1";"X28028";"X13";"X30";"X14";"X3";"X20";"X29";"X7";"X17";"X27";"X23";"X28";"X26";"X11";"X5";"X9";"X21";"X4";"X22";"X1.1";"X16";"X15";"X32";"X12";"X24";"X19";"X6";"X18";"X8";"X25";"X31";"X10";"X2"
1;26092;13;14;1;19;28;29;7;30;27;2;12;26;11;5;24;21;23;22;18;10;15;32;3;9;20;6;16;8;25;31;4;17
22;14;1;19;28;29;7;30;27;2;12;26;11;5;24;21;23;13;18;10;15;32;3;9;20;6;16;8;25;31;4;17;1;25458
1;25458;22;14;1;19;28;29;7;30;27;2;12;26;11;5;24;21;23;13;18;10;15;32;3;9;20;6;16;8;25;31;4;17
22;14;1;19;28;29;7;30;27;2;12;26;11;5;24;21;8;13;18;10;15;32;3;9;20;6;16;23;25;31;4;17;1;26410
1;26410;22;14;1;19;28;29;7;30;27;2;12;26;11;5;24;21;8;13;18;10;15;32;3;9;20;6;16;23;25;31;4;17
22;14;1;19;28;17;7;30;27;2;12;26;11;5;24;21;8;13;18;10;15;32;3;9;20;6;16;23;25;31;4;29;1;26270
2;26270;22;14;1;19;28;17;7;30;27;2;12;26;11;5;24;21;8;13;18;10;15;32;3;9;20;6;16;23;25;31;4;29
22;14;1;19;28;17;7;30;27;2;12;26;11;5;8;21;24;13;18;10;15;32;3;9;20;6;16;23;25;31;4;29;2;26316
2;26316;22;14;1;19;28;17;7;30;27;2;12;26;11;5;8;21;24;13;18;10;15;32;3;9;20;6;16;23;25;31;4;29
22;14;1;19;28;17;7;30;11;2;12;26;27;5;8;21;24;13;18;10;15;32;3;9;20;6;16;23;25;31;4;29;2;26546
2;26546;22;14;1;19;28;17;7;30;11;2;12;26;27;5;8;21;24;13;18;10;15;32;3;9;20;6;16;23;25;31;4;29
22;14;1;19;28;17;7;30;11;2;12;18;27;5;8;21;24;13;26;10;15;32;3;9;20;6;16;23;25;31;4;29;2;26706
2;26706;22;14;1;19;28;17;7;30;11;2;12;18;27;5;8;21;24;13;26;10;15;32;3;9;20;6;16;23;25;31;4;29
22;14;1;19;28;17;7;30;11;2;12;18;27;5;8;21;24;6;26;10;15;32;3;9;20;13;16;23;25;31;4;29;2;27526
2;27526;22;14;1;19;28;17;7;30;11;2;12;18;27;5;8;21;24;6;26;10;15;32;3;9;20;13;16;23;25;31;4;29
22;14;1;19;28;17;7;30;11;2;12;18;27;32;8;21;24;6;26;10;15;5;3;9;20;13;16;23;25;31;4;29;2;27404
2;27404;22;14;1;19;28;17;7;30;11;2;12;18;27;32;8;21;24;6;26;10;15;5;3;9;20;13;16;23;25;31;4;29
22;14;1;19;28;17;7;30;11;2;12;18;27;32;8;21;24;6;26;10;15;5;31;9;20;13;16;23;25;3;4;29;2;27330
2;27330;22;14;1;19;28;17;7;30;11;2;12;18;27;32;8;21;24;6;26;10;15;5;31;9;20;13;16;23;25;3;4;29
12;14;1;19;28;17;7;30;11;2;22;18;27;32;8;21;24;6;26;10;15;5;31;9;20;13;16;23;25;3;4;29;2;27002
2;27002;12;14;1;19;28;17;7;30;11;2;22;18;27;32;8;21;24;6;26;10;15;5;31;9;20;13;16;23;25;3;4;29
24;14;1;19;28;17;7;30;11;2;22;18;27;32;8;21;12;6;26;10;15;5;31;9;20;13;16;23;25;3;4;29;2;27490
2;27490;24;14;1;19;28;17;7;30;11;2;22;18;27;32;8;21;12;6;26;10;15;5;31;9;20;13;16;23;25;3;4;29
24;14;1;19;28;17;7;30;11;2;22;18;27;32;8;21;12;6;26;10;15;5;31;9;23;13;16;20;25;3;4;29;2;27330
2;27330;24;14;1;19;28;17;7;30;11;2;22;18;27;32;8;21;12;6;26;10;15;5;31;9;23;13;16;20;25;3;4;29
24;14;1;19;22;17;7;30;11;2;28;18;27;32;8;21;12;6;26;10;15;5;31;9;23;13;16;20;25;3;4;29;2;27270
2;27270;24;14;1;19;22;17;7;30;11;2;28;18;27;32;8;21;12;6;26;10;15;5;31;9;23;13;16;20;25;3;4;29
24;14;1;19;22;17;7;30;11;2;28;18;27;32;8;21;12;6;26;10;15;5;31;9;23;4;16;20;25;3;13;29;2;26230
2;26230;24;14;1;19;22;17;7;30;11;2;28;18;27;32;8;21;12;6;26;10;15;5;31;9;23;4;16;20;25;3;13;29
24;14;1;19;22;17;7;28;11;2;30;18;27;32;8;21;12;6;26;10;15;5;31;9;23;4;16;20;25;3;13;29;2;26430
2;26430;24;14;1;19;22;17;7;28;11;2;30;18;27;32;8;21;12;6;26;10;15;5;31;9;23;4;16;20;25;3;13;29
24;14;1;19;22;17;7;28;11;2;30;18;27;32;8;21;12;6;26;10;31;5;15;9;23;4;16;20;25;3;13;29;2;26614
2;26614;24;14;1;19;22;17;7;28;11;2;30;18;27;32;8;21;12;6;26;10;31;5;15;9;23;4;16;20;25;3;13;29
24;14;1;19;22;17;7;28;11;2;30;18;27;32;8;21;12;6;26;10;31;20;15;9;23;4;16;5;25;3;13;29;2;26532
2;26532;24;14;1;19;22;17;7;28;11;2;30;18;27;32;8;21;12;6;26;10;31;20;15;9;23;4;16;5;25;3;13;29
24;14;1;19;6;17;7;28;11;2;30;18;27;32;8;21;12;22;26;10;31;20;15;9;23;4;16;5;25;3;13;29;2;26440
2;26440;24;14;1;19;6;17;7;28;11;2;30;18;27;32;8;21;12;22;26;10;31;20;15;9;23;4;16;5;25;3;13;29
24;14;1;19;6;17;7;28;11;2;30;18;27;32;8;21;12;22;26;10;31;20;23;9;15;4;16;5;25;3;13;29;2;25842
2;25842;24;14;1;19;6;17;7;28;11;2;30;18;27;32;8;21;12;22;26;10;31;20;23;9;15;4;16;5;25;3;13;29
24;14;1;19;6;17;7;28;11;2;30;18;27;12;8;21;32;22;26;10;31;20;23;9;15;4;16;5;25;3;13;29;2;26018
2;26018;24;14;1;19;6;17;7;28;11;2;30;18;27;12;8;21;32;22;26;10;31;20;23;9;15;4;16;5;25;3;13;29
24;14;1;19;6;17;7;28;11;2;32;18;27;12;8;21;30;22;26;10;31;20;23;9;15;4;16;5;25;3;13;29;2;25938
2;25938;24;14;1;19;6;17;7;28;11;2;32;18;27;12;8;21;30;22;26;10;31;20;23;9;15;4;16;5;25;3;13;29
26;14;1;19;6;17;7;28;11;2;32;18;27;12;8;21;30;22;24;10;31;20;23;9;15;4;16;5;25;3;13;29;2;25778
2;25778;26;14;1;19;6;17;7;28;11;2;32;18;27;12;8;21;30;22;24;10;31;20;23;9;15;4;16;5;25;3;13;29
26;14;1;21;6;17;7;28;11;2;32;18;27;12;8;19;30;22;24;10;31;20;23;9;15;4;16;5;25;3;13;29;2;25918
3;25918;26;14;1;21;6;17;7;28;11;2;32;18;27;12;8;19;30;22;24;10;31;20;23;9;15;4;16;5;25;3;13;29
26;14;1;21;6;17;7;28;11;2;19;18;27;12;8;32;30;22;24;10;31;20;23;9;15;4;16;5;25;3;13;29;3;25838
3;25838;26;14;1;21;6;17;7;28;11;2;19;18;27;12;8;32;30;22;24;10;31;20;23;9;15;4;16;5;25;3;13;29
26;14;1;21;6;17;7;28;11;2;19;18;8;12;27;32;30;22;24;10;31;20;23;9;15;4;16;5;25;3;13;29;3;26232
3;26232;26;14;1;21;6;17;7;28;11;2;19;18;8;12;27;32;30;22;24;10;31;20;23;9;15;4;16;5;25;3;13;29
26;14;1;21;6;17;7;28;11;2;19;18;8;12;27;32;29;22;24;10;31;20;23;9;15;4;16;5;25;3;13;30;3;26712
3;26712;26;14;1;21;6;17;7;28;11;2;19;18;8;12;27;32;29;22;24;10;31;20;23;9;15;4;16;5;25;3;13;30
26;14;1;21;6;19;7;28;11;2;17;18;8;12;27;32;29;22;24;10;31;20;23;9;15;4;16;5;25;3;13;30;3;26912
3;26912;26;14;1;21;6;19;7;28;11;2;17;18;8;12;27;32;29;22;24;10;31;20;23;9;15;4;16;5;25;3;13;30
21;14;1;26;6;19;7;28;11;2;17;18;8;12;27;32;29;22;24;10;31;20;23;9;15;4;16;5;25;3;13;30;3;26872
3;26872;21;14;1;26;6;19;7;28;11;2;17;18;8;12;27;32;29;22;24;10;31;20;23;9;15;4;16;5;25;3;13;30
21;14;1;26;6;19;7;28;11;2;17;18;8;12;27;32;29;22;24;10;31;20;4;9;15;23;16;5;25;3;13;30;3;26462
3;26462;21;14;1;26;6;19;7;28;11;2;17;18;8;12;27;32;29;22;24;10;31;20;4;9;15;23;16;5;25;3;13;30
21;14;13;26;6;19;7;28;11;2;17;18;8;12;27;32;29;22;24;10;31;20;4;9;15;23;16;5;25;3;1;30;3;26522
3;26522;21;14;13;26;6;19;7;28;11;2;17;18;8;12;27;32;29;22;24;10;31;20;4;9;15;23;16;5;25;3;1;30
21;14;13;26;6;19;7;28;11;2;8;18;17;12;27;32;29;22;24;10;31;20;4;9;15;23;16;5;25;3;1;30;3;27922
3;27922;21;14;13;26;6;19;7;28;11;2;8;18;17;12;27;32;29;22;24;10;31;20;4;9;15;23;16;5;25;3;1;30
21;14;13;26;6;19;7;28;11;2;8;18;17;12;27;22;29;32;24;10;31;20;4;9;15;23;16;5;25;3;1;30;3;26442
3;26442;21;14;13;26;6;19;7;28;11;2;8;18;17;12;27;22;29;32;24;10;31;20;4;9;15;23;16;5;25;3;1;30
21;14;13;26;6;19;7;28;11;2;8;18;17;12;27;20;29;32;24;10;31;22;4;9;15;23;16;5;25;3;1;30;3;26942
3;26942;21;14;13;26;6;19;7;28;11;2;8;18;17;12;27;20;29;32;24;10;31;22;4;9;15;23;16;5;25;3;1;30
21;14;18;26;6;19;7;28;11;2;8;13;17;12;27;20;29;32;24;10;31;22;4;9;15;23;16;5;25;3;1;30;3;26832
3;26832;21;14;18;26;6;19;7;28;11;2;8;13;17;12;27;20;29;32;24;10;31;22;4;9;15;23;16;5;25;3;1;30
21;14;18;26;6;19;7;28;11;2;8;13;17;12;27;20;29;32;24;10;31;22;4;1;15;23;16;5;25;3;9;30;3;27072
3;27072;21;14;18;26;6;19;7;28;11;2;8;13;17;12;27;20;29;32;24;10;31;22;4;1;15;23;16;5;25;3;9;30
5;14;18;26;6;19;7;28;11;2;8;13;17;12;27;20;29;32;24;10;31;22;4;1;15;23;16;21;25;3;9;30;3;27072
3;27072;5;14;18;26;6;19;7;28;11;2;8;13;17;12;27;20;29;32;24;10;31;22;4;1;15;23;16;21;25;3;9;30
5;14;18;26;6;19;7;28;11;2;17;13;8;12;27;20;29;32;24;10;31;22;4;1;15;23;16;21;25;3;9;30;3;26092
3;26092;5;14;18;26;6;19;7;28;11;2;17;13;8;12;27;20;29;32;24;10;31;22;4;1;15;23;16;21;25;3;9;30
5;14;18;26;6;19;7;28;11;2;17;13;8;12;27;20;1;32;24;10;31;22;4;29;15;23;16;21;25;3;9;30;3;25728
3;25728;5;14;18;26;6;19;7;28;11;2;17;13;8;12;27;20;1;32;24;10;31;22;4;29;15;23;16;21;25;3;9;30
5;14;18;26;6;20;7;28;11;2;17;13;8;12;27;19;1;32;24;10;31;22;4;29;15;23;16;21;25;3;9;30;3;25828
3;25828;5;14;18;26;6;20;7;28;11;2;17;13;8;12;27;19;1;32;24;10;31;22;4;29;15;23;16;21;25;3;9;30
5;14;18;26;16;20;7;28;11;2;17;13;8;12;27;19;1;32;24;10;31;22;4;29;15;23;6;21;25;3;9;30;3;27428
3;27428;5;14;18;26;16;20;7;28;11;2;17;13;8;12;27;19;1;32;24;10;31;22;4;29;15;23;6;21;25;3;9;30
5;14;18;26;16;20;7;28;11;2;17;9;8;12;27;19;1;32;24;10;31;22;4;29;15;23;6;21;25;3;13;30;3;27028
3;27028;5;14;18;26;16;20;7;28;11;2;17;9;8;12;27;19;1;32;24;10;31;22;4;29;15;23;6;21;25;3;13;30
5;14;18;26;16;20;7;28;11;2;17;9;8;12;27;19;1;32;24;10;31;6;4;29;15;23;22;21;25;3;13;30;3;26798
3;26798;5;14;18;26;16;20;7;28;11;2;17;9;8;12;27;19;1;32;24;10;31;6;4;29;15;23;22;21;25;3;13;30
5;14;18;26;16;20;7;28;11;2;17;9;8;12;27;19;1;32;25;10;31;6;4;29;15;23;22;21;24;3;13;30;3;26918
4;26918;5;14;18;26;16;20;7;28;11;2;17;9;8;12;27;19;1;32;25;10;31;6;4;29;15;23;22;21;24;3;13;30
5;14;18;26;32;20;7;28;11;2;17;9;8;12;27;19;1;16;25;10;31;6;4;29;15;23;22;21;24;3;13;30;4;26826
4;26826;5;14;18;26;32;20;7;28;11;2;17;9;8;12;27;19;1;16;25;10;31;6;4;29;15;23;22;21;24;3;13;30
5;14;18;26;32;20;7;28;11;2;17;9;8;12;27;19;1;23;25;10;31;6;4;29;15;16;22;21;24;3;13;30;4;27304
4;27304;5;14;18;26;32;20;7;28;11;2;17;9;8;12;27;19;1;23;25;10;31;6;4;29;15;16;22;21;24;3;13;30
2;14;18;26;32;20;7;28;11;5;17;9;8;12;27;19;1;23;25;10;31;6;4;29;15;16;22;21;24;3;13;30;4;26984
4;26984;2;14;18;26;32;20;7;28;11;5;17;9;8;12;27;19;1;23;25;10;31;6;4;29;15;16;22;21;24;3;13;30
2;14;18;26;32;20;7;28;11;5;17;9;8;12;27;29;1;23;25;10;31;6;4;19;15;16;22;21;24;3;13;30;4;27624
4;26984;2;14;18;26;32;20;7;28;11;5;17;9;8;12;27;19;1;23;25;10;31;6;4;29;15;16;22;21;24;3;13;30
2;14;18;26;32;20;7;28;30;5;17;9;8;12;27;19;1;23;25;10;31;6;4;29;15;16;22;21;24;3;13;11;4;28074
4;28074;2;14;18;26;32;20;7;28;30;5;17;9;8;12;27;19;1;23;25;10;31;6;4;29;15;16;22;21;24;3;13;11
2;14;18;26;32;20;7;28;30;5;17;9;8;12;27;19;1;23;25;10;31;6;4;29;15;16;24;21;22;3;13;11;4;27874
4;27874;2;14;18;26;32;20;7;28;30;5;17;9;8;12;27;19;1;23;25;10;31;6;4;29;15;16;24;21;22;3;13;11
2;14;18;26;32;20;7;28;30;5;17;9;8;12;27;19;1;23;25;10;31;6;4;24;15;16;29;21;22;3;13;11;4;27994
4;27994;2;14;18;26;32;20;7;28;30;5;17;9;8;12;27;19;1;23;25;10;31;6;4;24;15;16;29;21;22;3;13;11
2;14;18;26;32;20;29;28;30;5;17;9;8;12;27;19;1;23;25;10;31;6;4;24;15;16;7;21;22;3;13;11;4;28108
4;28108;2;14;18;26;32;20;29;28;30;5;17;9;8;12;27;19;1;23;25;10;31;6;4;24;15;16;7;21;22;3;13;11
2;11;18;26;32;20;29;28;30;5;17;9;8;12;27;19;1;23;25;10;31;6;4;24;15;16;7;21;22;3;13;14;4;27788
4;27788;2;11;18;26;32;20;29;28;30;5;17;9;8;12;27;19;1;23;25;10;31;6;4;24;15;16;7;21;22;3;13;14
2;11;18;26;32;20;29;28;30;5;17;9;8;12;27;19;1;13;25;10;31;6;4;24;15;16;7;21;22;3;23;14;4;27778
4;27778;2;11;18;26;32;20;29;28;30;5;17;9;8;12;27;19;1;13;25;10;31;6;4;24;15;16;7;21;22;3;23;14
2;11;18;26;32;20;29;28;30;5;17;9;8;12;27;19;1;23;25;10;31;6;4;24;15;16;7;21;22;3;13;14;4;27788
4;27788;2;11;18;26;32;20;29;28;30;5;17;9;8;12;27;19;1;23;25;10;31;6;4;24;15;16;7;21;22;3;13;14
2;11;18;26;32;20;29;28;30;5;17;9;12;8;27;19;1;23;25;10;31;6;4;24;15;16;7;21;22;3;13;14;4;27788
4;27788;2;11;18;26;32;20;29;28;30;5;17;9;12;8;27;19;1;23;25;10;31;6;4;24;15;16;7;21;22;3;13;14
2;11;18;26;32;20;29;28;30;15;17;9;12;8;27;19;1;23;25;10;31;6;4;24;5;16;7;21;22;3;13;14;4;28468
4;28468;2;11;18;26;32;20;29;28;30;15;17;9;12;8;27;19;1;23;25;10;31;6;4;24;5;16;7;21;22;3;13;14
2;11;18;26;32;20;29;28;30;15;17;10;12;8;27;19;1;23;25;9;31;6;4;24;5;16;7;21;22;3;13;14;4;28548
4;28548;2;11;18;26;32;20;29;28;30;15;17;10;12;8;27;19;1;23;25;9;31;6;4;24;5;16;7;21;22;3;13;14
2;11;18;26;32;20;29;28;30;15;17;10;12;8;27;21;1;23;25;9;31;6;4;24;5;16;7;19;22;3;13;14;4;28588
4;28588;2;11;18;26;32;20;29;28;30;15;17;10;12;8;27;21;1;23;25;9;31;6;4;24;5;16;7;19;22;3;13;14
30;11;18;26;32;20;29;28;2;15;17;10;12;8;27;21;1;23;25;9;31;6;4;24;5;16;7;19;22;3;13;14;4;28474
4;28474;30;11;18;26;32;20;29;28;2;15;17;10;12;8;27;21;1;23;25;9;31;6;4;24;5;16;7;19;22;3;13;14
30;11;18;26;32;20;29;16;2;15;17;10;12;8;27;21;1;23;25;9;31;6;4;24;5;28;7;19;22;3;13;14;4;27626
4;27626;30;11;18;26;32;20;29;16;2;15;17;10;12;8;27;21;1;23;25;9;31;6;4;24;5;28;7;19;22;3;13;14
30;11;18;26;32;20;29;16;2;15;28;10;12;8;27;21;1;23;25;9;31;6;4;24;5;17;7;19;22;3;13;14;4;27626
4;27626;30;11;18;26;32;20;29;16;2;15;28;10;12;8;27;21;1;23;25;9;31;6;4;24;5;17;7;19;22;3;13;14
30;11;18;26;32;20;29;16;2;15;28;10;12;8;27;21;22;23;25;9;31;6;4;24;5;17;7;19;1;3;13;14;4;26388
4;26388;30;11;18;26;32;20;29;16;2;15;28;10;12;8;27;21;22;23;25;9;31;6;4;24;5;17;7;19;1;3;13;14
12;11;18;26;32;20;29;16;2;15;28;10;30;8;27;21;22;23;25;9;31;6;4;24;5;17;7;19;1;3;13;14;4;26744
5;26744;12;11;18;26;32;20;29;16;2;15;28;10;30;8;27;21;22;23;25;9;31;6;4;24;5;17;7;19;1;3;13;14
12;11;18;26;32;20;29;16;2;15;28;10;30;8;27;21;22;23;25;9;31;6;4;24;5;17;13;19;1;3;7;14;5;27064
5;27064;12;11;18;26;32;20;29;16;2;15;28;10;30;8;27;21;22;23;25;9;31;6;4;24;5;17;13;19;1;3;7;14
12;19;18;26;32;20;29;16;2;15;28;10;30;8;27;21;22;23;25;9;31;6;4;24;5;17;13;11;1;3;7;14;5;26454
5;26454;12;19;18;26;32;20;29;16;2;15;28;10;30;8;27;21;22;23;25;9;31;6;4;24;5;17;13;11;1;3;7;14
12;19;18;26;32;20;29;28;2;15;16;10;30;8;27;21;22;23;25;9;31;6;4;24;5;17;13;11;1;3;7;14;5;26994
5;26994;12;19;18;26;32;20;29;28;2;15;16;10;30;8;27;21;22;23;25;9;31;6;4;24;5;17;13;11;1;3;7;14
12;19;18;26;32;20;29;28;2;15;11;10;30;8;27;21;22;23;25;9;31;6;4;24;5;17;13;16;1;3;7;14;5;26394
5;26394;12;19;18;26;32;20;29;28;2;15;11;10;30;8;27;21;22;23;25;9;31;6;4;24;5;17;13;16;1;3;7;14
12;19;18;26;32;20;29;28;2;15;11;10;30;8;17;21;22;23;25;9;31;6;4;24;5;27;13;16;1;3;7;14;5;26074
5;26074;12;19;18;26;32;20;29;28;2;15;11;10;30;8;17;21;22;23;25;9;31;6;4;24;5;27;13;16;1;3;7;14
12;19;18;26;32;20;29;28;2;15;11;10;30;7;17;21;22;23;25;9;31;6;4;24;5;27;13;16;1;3;8;14;5;25834
5;25834;12;19;18;26;32;20;29;28;2;15;11;10;30;7;17;21;22;23;25;9;31;6;4;24;5;27;13;16;1;3;8;14
12;19;18;26;32;20;29;28;2;15;11;10;30;7;17;21;22;23;25;9;24;6;4;31;5;27;13;16;1;3;8;14;5;26054
5;26054;12;19;18;26;32;20;29;28;2;15;11;10;30;7;17;21;22;23;25;9;24;6;4;31;5;27;13;16;1;3;8;14
12;19;18;26;32;20;29;28;2;15;11;10;21;7;17;30;22;23;25;9;24;6;4;31;5;27;13;16;1;3;8;14;5;26094
5;26094;12;19;18;26;32;20;29;28;2;15;11;10;21;7;17;30;22;23;25;9;24;6;4;31;5;27;13;16;1;3;8;14
12;19;18;26;32;20;29;28;2;15;11;10;21;27;17;30;22;23;25;9;24;6;4;31;5;7;13;16;1;3;8;14;5;26290
5;26290;12;19;18;26;32;20;29;28;2;15;11;10;21;27;17;30;22;23;25;9;24;6;4;31;5;7;13;16;1;3;8;14
12;19;18;26;32;20;29;28;2;15;11;10;21;27;17;30;22;23;25;9;24;6;4;31;5;7;13;16;8;3;1;14;5;25850
5;25850;12;19;18;26;32;20;29;28;2;15;11;10;21;27;17;30;22;23;25;9;24;6;4;31;5;7;13;16;8;3;1;14
12;19;18;26;32;20;29;28;13;15;11;10;21;27;17;30;22;23;25;9;24;6;4;31;5;7;2;16;8;3;1;14;5;25330
5;25330;12;19;18;26;32;20;29;28;13;15;11;10;21;27;17;30;22;23;25;9;24;6;4;31;5;7;2;16;8;3;1;14
12;19;18;26;3;20;29;28;13;15;11;10;21;27;17;30;22;23;25;9;24;6;4;31;5;7;2;16;8;32;1;14;5;25620
5;25620;12;19;18;26;3;20;29;28;13;15;11;10;21;27;17;30;22;23;25;9;24;6;4;31;5;7;2;16;8;32;1;14
12;19;18;26;3;20;29;28;13;15;11;10;21;27;17;30;22;23;25;24;9;6;4;31;5;7;2;16;8;32;1;14;5;25418
5;25418;12;19;18;26;3;20;29;28;13;15;11;10;21;27;17;30;22;23;25;24;9;6;4;31;5;7;2;16;8;32;1;14
12;19;18;26;3;20;29;28;13;15;11;14;21;27;17;30;22;23;25;24;9;6;4;31;5;7;2;16;8;32;1;10;5;25818
5;25818;12;19;18;26;3;20;29;28;13;15;11;14;21;27;17;30;22;23;25;24;9;6;4;31;5;7;2;16;8;32;1;10
12;19;18;26;3;20;29;21;13;15;11;14;28;27;17;30;22;23;25;24;9;6;4;31;5;7;2;16;8;32;1;10;5;25498
5;25498;12;19;18;26;3;20;29;21;13;15;11;14;28;27;17;30;22;23;25;24;9;6;4;31;5;7;2;16;8;32;1;10
12;19;18;26;3;20;29;21;13;15;11;14;28;27;17;30;22;31;25;24;9;6;4;23;5;7;2;16;8;32;1;10;5;25538
5;25538;12;19;18;26;3;20;29;21;13;15;11;14;28;27;17;30;22;31;25;24;9;6;4;23;5;7;2;16;8;32;1;10
12;19;18;26;3;20;29;21;13;15;11;14;28;27;17;30;22;31;25;24;9;6;4;23;5;8;2;16;7;32;1;10;5;25918
5;25918;12;19;18;26;3;20;29;21;13;15;11;14;28;27;17;30;22;31;25;24;9;6;4;23;5;8;2;16;7;32;1;10
12;19;18;26;3;20;29;21;13;15;11;14;28;27;17;30;22;31;25;24;10;6;4;23;5;8;2;16;7;32;1;9;5;25698
5;25698;12;19;18;26;3;20;29;21;13;15;11;14;28;27;17;30;22;31;25;24;10;6;4;23;5;8;2;16;7;32;1;9
12;19;1;26;3;20;29;21;13;15;11;14;28;27;17;30;22;31;25;24;10;6;4;23;5;8;2;16;7;32;18;9;5;26416
