"X1";"X27316";"X11";"X12";"X13";"X29";"X18";"X21";"X16";"X17";"X5";"X1.1";"X7";"X8";"X15";"X30";"X22";"X2";"X6";"X9";"X26";"X27";"X28";"X3";"X20";"X4";"X14";"X31";"X19";"X25";"X10";"X32";"X23";"X24"
11;31;18;10;6;4;17;16;5;15;7;8;1;2;21;13;28;9;26;27;30;12;20;22;14;3;19;25;29;32;23;24;1;27238
1;27238;11;31;18;10;6;4;17;16;5;15;7;8;1;2;21;13;28;9;26;27;30;12;20;22;14;3;19;25;29;32;23;24
11;31;18;10;6;4;17;16;5;15;7;8;1;2;21;13;28;9;26;27;29;12;20;22;14;3;19;25;30;32;23;24;1;27118
1;27118;11;31;18;10;6;4;17;16;5;15;7;8;1;2;21;13;28;9;26;27;29;12;20;22;14;3;19;25;30;32;23;24
11;31;18;10;6;4;17;16;5;15;7;8;1;2;21;13;28;9;20;27;29;12;26;22;14;3;19;25;30;32;23;24;1;26718
1;26718;11;31;18;10;6;4;17;16;5;15;7;8;1;2;21;13;28;9;20;27;29;12;26;22;14;3;19;25;30;32;23;24
11;31;18;10;6;4;17;16;5;15;28;8;1;2;21;13;7;9;20;27;29;12;26;22;14;3;19;25;30;32;23;24;1;26402
1;26402;11;31;18;10;6;4;17;16;5;15;28;8;1;2;21;13;7;9;20;27;29;12;26;22;14;3;19;25;30;32;23;24
11;31;18;10;6;4;17;16;5;15;28;8;1;2;30;13;7;9;20;27;29;12;26;22;14;3;19;25;21;32;23;24;1;26482
1;26482;11;31;18;10;6;4;17;16;5;15;28;8;1;2;30;13;7;9;20;27;29;12;26;22;14;3;19;25;21;32;23;24
11;31;18;10;6;4;17;16;1;15;28;8;5;2;30;13;7;9;20;27;29;12;26;22;14;3;19;25;21;32;23;24;1;26342
1;26342;11;31;18;10;6;4;17;16;1;15;28;8;5;2;30;13;7;9;20;27;29;12;26;22;14;3;19;25;21;32;23;24
11;31;18;10;6;4;32;16;1;15;28;8;5;2;30;13;7;9;20;27;29;12;26;22;14;3;19;25;21;17;23;24;1;25622
1;25622;11;31;18;10;6;4;32;16;1;15;28;8;5;2;30;13;7;9;20;27;29;12;26;22;14;3;19;25;21;17;23;24
11;31;25;10;6;4;32;16;1;15;28;8;5;2;30;13;7;9;20;27;29;12;26;22;14;3;19;18;21;17;23;24;1;25802
1;25802;11;31;25;10;6;4;32;16;1;15;28;8;5;2;30;13;7;9;20;27;29;12;26;22;14;3;19;18;21;17;23;24
11;31;26;10;6;4;32;16;1;15;28;8;5;2;30;13;7;9;20;27;29;12;25;22;14;3;19;18;21;17;23;24;1;25362
2;25362;11;31;26;10;6;4;32;16;1;15;28;8;5;2;30;13;7;9;20;27;29;12;25;22;14;3;19;18;21;17;23;24
11;31;26;10;6;4;32;16;1;15;28;8;5;2;30;13;7;9;20;27;3;12;25;22;14;29;19;18;21;17;23;24;2;26216
2;26216;11;31;26;10;6;4;32;16;1;15;28;8;5;2;30;13;7;9;20;27;3;12;25;22;14;29;19;18;21;17;23;24
11;31;26;10;6;8;32;16;1;15;28;4;5;2;30;13;7;9;20;27;3;12;25;22;14;29;19;18;21;17;23;24;2;26036
2;26036;11;31;26;10;6;8;32;16;1;15;28;4;5;2;30;13;7;9;20;27;3;12;25;22;14;29;19;18;21;17;23;24
11;31;26;10;6;8;32;16;1;15;28;4;5;2;30;13;7;9;22;27;3;12;25;20;14;29;19;18;21;17;23;24;2;26476
2;26476;11;31;26;10;6;8;32;16;1;15;28;4;5;2;30;13;7;9;22;27;3;12;25;20;14;29;19;18;21;17;23;24
11;31;26;10;6;8;32;16;1;15;19;4;5;2;30;13;7;9;22;27;3;12;25;20;14;29;28;18;21;17;23;24;2;26716
2;26716;11;31;26;10;6;8;32;16;1;15;19;4;5;2;30;13;7;9;22;27;3;12;25;20;14;29;28;18;21;17;23;24
11;31;26;10;6;8;32;1;16;15;19;4;5;2;30;13;7;9;22;27;3;12;25;20;14;29;28;18;21;17;23;24;2;27076
2;27076;11;31;26;10;6;8;32;1;16;15;19;4;5;2;30;13;7;9;22;27;3;12;25;20;14;29;28;18;21;17;23;24
11;31;26;10;6;8;32;1;12;15;19;4;5;2;30;13;7;9;22;27;3;16;25;20;14;29;28;18;21;17;23;24;2;27236
2;27236;11;31;26;10;6;8;32;1;12;15;19;4;5;2;30;13;7;9;22;27;3;16;25;20;14;29;28;18;21;17;23;24
11;31;26;10;6;8;32;1;12;15;19;4;24;2;30;13;7;9;22;27;3;16;25;20;14;29;28;18;21;17;23;5;2;26900
2;26900;11;31;26;10;6;8;32;1;12;15;19;4;24;2;30;13;7;9;22;27;3;16;25;20;14;29;28;18;21;17;23;5
11;27;26;10;6;8;32;1;12;15;19;4;24;2;30;13;7;9;22;31;3;16;25;20;14;29;28;18;21;17;23;5;2;27080
2;27080;11;27;26;10;6;8;32;1;12;15;19;4;24;2;30;13;7;9;22;31;3;16;25;20;14;29;28;18;21;17;23;5
11;27;26;10;29;8;32;1;12;15;19;4;24;2;30;13;7;9;22;31;3;16;25;20;14;6;28;18;21;17;23;5;2;26618
2;26618;11;27;26;10;29;8;32;1;12;15;19;4;24;2;30;13;7;9;22;31;3;16;25;20;14;6;28;18;21;17;23;5
11;3;26;10;29;8;32;1;12;15;19;4;24;2;30;13;7;9;22;31;27;16;25;20;14;6;28;18;21;17;23;5;2;26214
2;26214;11;3;26;10;29;8;32;1;12;15;19;4;24;2;30;13;7;9;22;31;27;16;25;20;14;6;28;18;21;17;23;5
11;3;26;10;29;8;32;1;12;15;9;4;24;2;30;13;7;19;22;31;27;16;25;20;14;6;28;18;21;17;23;5;2;26460
2;26460;11;3;26;10;29;8;32;1;12;15;9;4;24;2;30;13;7;19;22;31;27;16;25;20;14;6;28;18;21;17;23;5
11;3;26;10;29;8;24;1;12;15;9;4;32;2;30;13;7;19;22;31;27;16;25;20;14;6;28;18;21;17;23;5;2;26900
2;26900;11;3;26;10;29;8;24;1;12;15;9;4;32;2;30;13;7;19;22;31;27;16;25;20;14;6;28;18;21;17;23;5
11;3;26;10;29;8;24;28;12;15;9;4;32;2;30;13;7;19;22;31;27;16;25;20;14;6;1;18;21;17;23;5;2;26508
2;26508;11;3;26;10;29;8;24;28;12;15;9;4;32;2;30;13;7;19;22;31;27;16;25;20;14;6;1;18;21;17;23;5
11;5;26;10;29;8;24;28;12;15;9;4;32;2;30;13;7;19;22;31;27;16;25;20;14;6;1;18;21;17;23;3;2;26248
2;26248;11;5;26;10;29;8;24;28;12;15;9;4;32;2;30;13;7;19;22;31;27;16;25;20;14;6;1;18;21;17;23;3
11;5;26;10;29;8;24;28;12;15;9;4;32;2;30;13;3;19;22;31;27;16;25;20;14;6;1;18;21;17;23;7;2;26968
2;26968;11;5;26;10;29;8;24;28;12;15;9;4;32;2;30;13;3;19;22;31;27;16;25;20;14;6;1;18;21;17;23;7
11;5;26;10;29;8;24;28;12;15;9;4;32;2;30;13;3;19;22;31;27;16;25;20;14;6;1;23;21;17;18;7;2;26648
2;26648;11;5;26;10;29;8;24;28;12;15;9;4;32;2;30;13;3;19;22;31;27;16;25;20;14;6;1;23;21;17;18;7
11;5;26;10;29;8;24;28;12;15;9;4;32;2;7;13;3;19;22;31;27;16;25;20;14;6;1;23;21;17;18;30;2;26174
2;26174;11;5;26;10;29;8;24;28;12;15;9;4;32;2;7;13;3;19;22;31;27;16;25;20;14;6;1;23;21;17;18;30
26;5;11;10;29;8;24;28;12;15;9;4;32;2;7;13;3;19;22;31;27;16;25;20;14;6;1;23;21;17;18;30;2;26096
2;26096;26;5;11;10;29;8;24;28;12;15;9;4;32;2;7;13;3;19;22;31;27;16;25;20;14;6;1;23;21;17;18;30
26;5;11;10;29;8;24;28;12;15;9;4;32;2;13;7;3;19;22;31;27;16;25;20;14;6;1;23;21;17;18;30;2;25536
2;25536;26;5;11;10;29;8;24;28;12;15;9;4;32;2;13;7;3;19;22;31;27;16;25;20;14;6;1;23;21;17;18;30
26;5;11;10;29;8;24;28;12;15;9;4;32;14;13;7;3;19;22;31;27;16;25;20;2;6;1;23;21;17;18;30;2;25216
3;25216;26;5;11;10;29;8;24;28;12;15;9;4;32;14;13;7;3;19;22;31;27;16;25;20;2;6;1;23;21;17;18;30
26;5;11;10;29;8;24;28;19;15;9;4;32;14;13;7;3;12;22;31;27;16;25;20;2;6;1;23;21;17;18;30;3;24780
3;24780;26;5;11;10;29;8;24;28;19;15;9;4;32;14;13;7;3;12;22;31;27;16;25;20;2;6;1;23;21;17;18;30
26;5;11;10;29;8;24;28;19;15;9;4;32;14;13;7;27;12;22;31;3;16;25;20;2;6;1;23;21;17;18;30;3;25214
3;25214;26;5;11;10;29;8;24;28;19;15;9;4;32;14;13;7;27;12;22;31;3;16;25;20;2;6;1;23;21;17;18;30
26;5;11;10;29;8;24;28;19;15;9;4;32;14;13;7;27;12;22;25;3;16;31;20;2;6;1;23;21;17;18;30;3;25234
3;25234;26;5;11;10;29;8;24;28;19;15;9;4;32;14;13;7;27;12;22;25;3;16;31;20;2;6;1;23;21;17;18;30
26;5;11;10;29;21;24;28;19;15;9;4;32;14;13;7;27;12;22;25;3;16;31;20;2;6;1;23;8;17;18;30;3;25754
3;25754;26;5;11;10;29;21;24;28;19;15;9;4;32;14;13;7;27;12;22;25;3;16;31;20;2;6;1;23;8;17;18;30
26;5;11;10;29;21;24;28;19;15;9;4;32;14;13;7;27;12;22;25;3;16;31;20;2;6;1;17;8;23;18;30;3;26114
3;26114;26;5;11;10;29;21;24;28;19;15;9;4;32;14;13;7;27;12;22;25;3;16;31;20;2;6;1;17;8;23;18;30
26;5;11;10;29;21;24;28;19;15;9;4;32;14;20;7;27;12;22;25;3;16;31;13;2;6;1;17;8;23;18;30;3;26800
3;26800;26;5;11;10;29;21;24;28;19;15;9;4;32;14;20;7;27;12;22;25;3;16;31;13;2;6;1;17;8;23;18;30
26;5;11;10;29;21;24;28;19;15;9;4;32;14;20;7;27;12;13;25;3;16;31;22;2;6;1;17;8;23;18;30;3;26704
3;26704;26;5;11;10;29;21;24;28;19;15;9;4;32;14;20;7;27;12;13;25;3;16;31;22;2;6;1;17;8;23;18;30
26;5;14;10;29;21;24;28;19;15;9;4;32;11;20;7;27;12;13;25;3;16;31;22;2;6;1;17;8;23;18;30;3;26904
3;26904;26;5;14;10;29;21;24;28;19;15;9;4;32;11;20;7;27;12;13;25;3;16;31;22;2;6;1;17;8;23;18;30
26;5;14;10;29;21;24;28;19;15;9;4;32;11;20;7;27;12;13;25;3;16;31;8;2;6;1;17;22;23;18;30;3;26886
3;26886;26;5;14;10;29;21;24;28;19;15;9;4;32;11;20;7;27;12;13;25;3;16;31;8;2;6;1;17;22;23;18;30
26;5;14;10;29;21;4;28;19;15;9;24;32;11;20;7;27;12;13;25;3;16;31;8;2;6;1;17;22;23;18;30;3;26900
3;26900;26;5;14;10;29;21;4;28;19;15;9;24;32;11;20;7;27;12;13;25;3;16;31;8;2;6;1;17;22;23;18;30
26;5;14;10;29;21;4;28;19;15;9;24;32;11;20;7;27;12;13;25;3;22;31;8;2;6;1;17;16;23;18;30;3;26396
3;26396;26;5;14;10;29;21;4;28;19;15;9;24;32;11;20;7;27;12;13;25;3;22;31;8;2;6;1;17;16;23;18;30
26;5;15;10;29;21;4;28;19;14;9;24;32;11;20;7;27;12;13;25;3;22;31;8;2;6;1;17;16;23;18;30;3;26516
3;26516;26;5;15;10;29;21;4;28;19;14;9;24;32;11;20;7;27;12;13;25;3;22;31;8;2;6;1;17;16;23;18;30
26;5;15;10;9;21;4;28;19;14;29;24;32;11;20;7;27;12;13;25;3;22;31;8;2;6;1;17;16;23;18;30;3;26198
3;26198;26;5;15;10;9;21;4;28;19;14;29;24;32;11;20;7;27;12;13;25;3;22;31;8;2;6;1;17;16;23;18;30
26;7;15;10;9;21;4;28;19;14;29;24;32;11;20;5;27;12;13;25;3;22;31;8;2;6;1;17;16;23;18;30;3;26398
3;26398;26;7;15;10;9;21;4;28;19;14;29;24;32;11;20;5;27;12;13;25;3;22;31;8;2;6;1;17;16;23;18;30
26;7;15;10;9;21;4;28;19;14;29;24;32;11;20;5;27;12;13;25;3;22;31;8;18;6;1;17;16;23;2;30;3;26766
3;26766;26;7;15;10;9;21;4;28;19;14;29;24;32;11;20;5;27;12;13;25;3;22;31;8;18;6;1;17;16;23;2;30
26;12;15;10;9;21;4;28;19;14;29;24;32;11;20;5;27;7;13;25;3;22;31;8;18;6;1;17;16;23;2;30;3;26606
3;26606;26;12;15;10;9;21;4;28;19;14;29;24;32;11;20;5;27;7;13;25;3;22;31;8;18;6;1;17;16;23;2;30
26;12;15;4;9;21;10;28;19;14;29;24;32;11;20;5;27;7;13;25;3;22;31;8;18;6;1;17;16;23;2;30;3;26446
3;26446;26;12;15;4;9;21;10;28;19;14;29;24;32;11;20;5;27;7;13;25;3;22;31;8;18;6;1;17;16;23;2;30
26;12;15;4;9;21;10;28;19;14;29;24;32;11;16;5;27;7;13;25;3;22;31;8;18;6;1;17;20;23;2;30;3;26662
3;26662;26;12;15;4;9;21;10;28;19;14;29;24;32;11;16;5;27;7;13;25;3;22;31;8;18;6;1;17;20;23;2;30
26;12;15;4;22;21;10;28;19;14;29;24;32;11;16;5;27;7;13;25;3;9;31;8;18;6;1;17;20;23;2;30;3;26886
3;26886;26;12;15;4;22;21;10;28;19;14;29;24;32;11;16;5;27;7;13;25;3;9;31;8;18;6;1;17;20;23;2;30
26;22;15;4;12;21;10;28;19;14;29;24;32;11;16;5;27;7;13;25;3;9;31;8;18;6;1;17;20;23;2;30;3;26886
4;26886;26;22;15;4;12;21;10;28;19;14;29;24;32;11;16;5;27;7;13;25;3;9;31;8;18;6;1;17;20;23;2;30
26;22;15;4;19;21;10;28;12;14;29;24;32;11;16;5;27;7;13;25;3;9;31;8;18;6;1;17;20;23;2;30;4;27002
4;27002;26;22;15;4;19;21;10;28;12;14;29;24;32;11;16;5;27;7;13;25;3;9;31;8;18;6;1;17;20;23;2;30
26;22;15;4;19;21;5;28;12;14;29;24;32;11;16;10;27;7;13;25;3;9;31;8;18;6;1;17;20;23;2;30;4;27122
4;27122;26;22;15;4;19;21;5;28;12;14;29;24;32;11;16;10;27;7;13;25;3;9;31;8;18;6;1;17;20;23;2;30
26;22;15;4;19;21;5;28;12;14;29;24;32;11;16;30;27;7;13;25;3;9;31;8;18;6;1;17;20;23;2;10;4;27102
4;27102;26;22;15;4;19;21;5;28;12;14;29;24;32;11;16;30;27;7;13;25;3;9;31;8;18;6;1;17;20;23;2;10
26;22;15;4;19;21;5;28;12;14;29;24;32;11;16;30;27;7;13;31;3;9;25;8;18;6;1;17;20;23;2;10;4;27162
4;27162;26;22;15;4;19;21;5;28;12;14;29;24;32;11;16;30;27;7;13;31;3;9;25;8;18;6;1;17;20;23;2;10
26;22;15;3;19;21;5;28;12;14;29;24;32;11;16;30;27;7;13;31;4;9;25;8;18;6;1;17;20;23;2;10;4;26882
4;26882;26;22;15;3;19;21;5;28;12;14;29;24;32;11;16;30;27;7;13;31;4;9;25;8;18;6;1;17;20;23;2;10
26;22;15;3;19;30;5;28;12;14;29;24;32;11;16;21;27;7;13;31;4;9;25;8;18;6;1;17;20;23;2;10;4;26942
4;26942;26;22;15;3;19;30;5;28;12;14;29;24;32;11;16;21;27;7;13;31;4;9;25;8;18;6;1;17;20;23;2;10
26;22;15;3;19;30;5;28;12;14;7;24;32;11;16;21;27;29;13;31;4;9;25;8;18;6;1;17;20;23;2;10;4;27404
4;27404;26;22;15;3;19;30;5;28;12;14;7;24;32;11;16;21;27;29;13;31;4;9;25;8;18;6;1;17;20;23;2;10
26;22;15;3;19;28;5;30;12;14;7;24;32;11;16;21;27;29;13;31;4;9;25;8;18;6;1;17;20;23;2;10;4;27304
4;27304;26;22;15;3;19;28;5;30;12;14;7;24;32;11;16;21;27;29;13;31;4;9;25;8;18;6;1;17;20;23;2;10
26;22;15;3;19;28;5;30;12;14;7;24;6;11;16;21;27;29;13;31;4;9;25;8;18;32;1;17;20;23;2;10;4;26528
4;26528;26;22;15;3;19;28;5;30;12;14;7;24;6;11;16;21;27;29;13;31;4;9;25;8;18;32;1;17;20;23;2;10
26;9;15;3;19;28;5;30;12;14;7;24;6;11;16;21;27;29;13;31;4;22;25;8;18;32;1;17;20;23;2;10;4;27028
4;27028;26;9;15;3;19;28;5;30;12;14;7;24;6;11;16;21;27;29;13;31;4;22;25;8;18;32;1;17;20;23;2;10
26;9;15;3;19;28;5;30;12;14;7;24;6;11;16;21;27;10;13;31;4;22;25;8;18;32;1;17;20;23;2;29;4;26806
4;26806;26;9;15;3;19;28;5;30;12;14;7;24;6;11;16;21;27;10;13;31;4;22;25;8;18;32;1;17;20;23;2;29
26;9;15;3;19;28;5;30;12;14;11;24;6;7;16;21;27;10;13;31;4;22;25;8;18;32;1;17;20;23;2;29;4;26966
4;26966;26;9;15;3;19;28;5;30;12;14;11;24;6;7;16;21;27;10;13;31;4;22;25;8;18;32;1;17;20;23;2;29
26;9;15;3;19;28;5;30;12;14;11;24;6;7;16;21;27;10;13;31;8;22;25;4;18;32;1;17;20;23;2;29;4;26706
4;26706;26;9;15;3;19;28;5;30;12;14;11;24;6;7;16;21;27;10;13;31;8;22;25;4;18;32;1;17;20;23;2;29
26;9;15;3;19;28;5;30;12;14;11;24;29;7;16;21;27;10;13;31;8;22;25;4;18;32;1;17;20;23;2;6;4;27626
4;27626;26;9;15;3;19;28;5;30;12;14;11;24;29;7;16;21;27;10;13;31;8;22;25;4;18;32;1;17;20;23;2;6
26;9;15;3;19;28;5;30;12;14;11;24;29;7;16;21;27;10;6;31;8;22;25;4;18;32;1;17;20;23;2;13;4;27506
4;27506;26;9;15;3;19;28;5;30;12;14;11;24;29;7;16;21;27;10;6;31;8;22;25;4;18;32;1;17;20;23;2;13
26;9;15;3;25;28;5;30;12;14;11;24;29;7;16;21;27;10;6;31;8;22;19;4;18;32;1;17;20;23;2;13;4;26866
4;26866;26;9;15;3;25;28;5;30;12;14;11;24;29;7;16;21;27;10;6;31;8;22;19;4;18;32;1;17;20;23;2;13
7;9;15;3;25;28;5;30;12;14;11;24;29;26;16;21;27;10;6;31;8;22;19;4;18;32;1;17;20;23;2;13;4;26598
4;26598;7;9;15;3;25;28;5;30;12;14;11;24;29;26;16;21;27;10;6;31;8;22;19;4;18;32;1;17;20;23;2;13
7;9;15;3;25;28;5;30;12;14;11;24;29;26;16;21;27;10;6;31;8;22;19;4;18;32;2;17;20;23;1;13;4;26518
4;26518;7;9;15;3;25;28;5;30;12;14;11;24;29;26;16;21;27;10;6;31;8;22;19;4;18;32;2;17;20;23;1;13
7;9;15;3;25;28;5;30;12;14;11;24;2;26;16;21;27;10;6;31;8;22;19;4;18;32;29;17;20;23;1;13;4;26710
4;26710;7;9;15;3;25;28;5;30;12;14;11;24;2;26;16;21;27;10;6;31;8;22;19;4;18;32;29;17;20;23;1;13
7;9;15;3;25;28;5;14;12;30;11;24;2;26;16;21;27;10;6;31;8;22;19;4;18;32;29;17;20;23;1;13;4;26756
5;26756;7;9;15;3;25;28;5;14;12;30;11;24;2;26;16;21;27;10;6;31;8;22;19;4;18;32;29;17;20;23;1;13
7;9;10;3;25;28;5;14;12;30;11;24;2;26;16;21;27;15;6;31;8;22;19;4;18;32;29;17;20;23;1;13;5;26876
5;26876;7;9;10;3;25;28;5;14;12;30;11;24;2;26;16;21;27;15;6;31;8;22;19;4;18;32;29;17;20;23;1;13
7;24;10;3;25;28;5;14;12;30;11;9;2;26;16;21;27;15;6;31;8;22;19;4;18;32;29;17;20;23;1;13;5;26594
5;26594;7;24;10;3;25;28;5;14;12;30;11;9;2;26;16;21;27;15;6;31;8;22;19;4;18;32;29;17;20;23;1;13
7;24;10;3;25;28;5;14;12;30;11;20;2;26;16;21;27;15;6;31;8;22;19;4;18;32;29;17;9;23;1;13;5;27540
5;27540;7;24;10;3;25;28;5;14;12;30;11;20;2;26;16;21;27;15;6;31;8;22;19;4;18;32;29;17;9;23;1;13
7;31;10;3;25;28;5;14;12;30;11;20;2;26;16;21;27;15;6;24;8;22;19;4;18;32;29;17;9;23;1;13;5;27600
5;27600;7;31;10;3;25;28;5;14;12;30;11;20;2;26;16;21;27;15;6;24;8;22;19;4;18;32;29;17;9;23;1;13
7;31;10;3;25;28;5;14;12;30;11;20;22;26;16;21;27;15;6;24;8;2;19;4;18;32;29;17;9;23;1;13;5;27206
5;27206;7;31;10;3;25;28;5;14;12;30;11;20;22;26;16;21;27;15;6;24;8;2;19;4;18;32;29;17;9;23;1;13
7;31;10;3;25;28;14;5;12;30;11;20;22;26;16;21;27;15;6;24;8;2;19;4;18;32;29;17;9;23;1;13;5;26946
5;26946;7;31;10;3;25;28;14;5;12;30;11;20;22;26;16;21;27;15;6;24;8;2;19;4;18;32;29;17;9;23;1;13
5;31;10;3;25;28;14;7;12;30;11;20;22;26;16;21;27;15;6;24;8;2;19;4;18;32;29;17;9;23;1;13;5;27466
5;27466;5;31;10;3;25;28;14;7;12;30;11;20;22;26;16;21;27;15;6;24;8;2;19;4;18;32;29;17;9;23;1;13
5;31;10;3;25;28;14;19;12;30;11;20;22;26;16;21;27;15;6;24;8;2;7;4;18;32;29;17;9;23;1;13;5;27192
5;27192;5;31;10;3;25;28;14;19;12;30;11;20;22;26;16;21;27;15;6;24;8;2;7;4;18;32;29;17;9;23;1;13
5;31;10;3;25;28;14;19;12;30;11;20;22;26;16;21;27;15;6;24;8;2;29;4;18;32;7;17;9;23;1;13;5;27426
5;27426;5;31;10;3;25;28;14;19;12;30;11;20;22;26;16;21;27;15;6;24;8;2;29;4;18;32;7;17;9;23;1;13
5;31;10;23;25;28;14;19;12;30;11;20;22;26;16;21;27;15;6;24;8;2;29;4;18;32;7;17;9;3;1;13;5;27012
5;27012;5;31;10;23;25;28;14;19;12;30;11;20;22;26;16;21;27;15;6;24;8;2;29;4;18;32;7;17;9;3;1;13
5;31;10;23;25;28;14;9;12;30;11;20;22;26;16;21;27;15;6;24;8;2;29;4;18;32;7;17;19;3;1;13;5;27118
5;27118;5;31;10;23;25;28;14;9;12;30;11;20;22;26;16;21;27;15;6;24;8;2;29;4;18;32;7;17;19;3;1;13
5;31;1;23;25;28;14;9;12;30;11;20;22;26;16;21;27;15;6;24;8;2;29;4;18;32;7;17;19;3;10;13;5;27978
5;27978;5;31;1;23;25;28;14;9;12;30;11;20;22;26;16;21;27;15;6;24;8;2;29;4;18;32;7;17;19;3;10;13
31;5;1;23;25;28;14;9;12;30;11;20;22;26;16;21;27;15;6;24;8;2;29;4;18;32;7;17;19;3;10;13;5;28024
5;28024;31;5;1;23;25;28;14;9;12;30;11;20;22;26;16;21;27;15;6;24;8;2;29;4;18;32;7;17;19;3;10;13
31;5;1;23;25;28;14;9;10;30;11;20;22;26;16;21;27;15;6;24;8;2;29;4;18;32;7;17;19;3;12;13;5;27704
5;27704;31;5;1;23;25;28;14;9;10;30;11;20;22;26;16;21;27;15;6;24;8;2;29;4;18;32;7;17;19;3;12;13
31;5;1;23;25;28;14;8;10;30;11;20;22;26;16;21;27;15;6;24;9;2;29;4;18;32;7;17;19;3;12;13;5;27624
5;27624;31;5;1;23;25;28;14;8;10;30;11;20;22;26;16;21;27;15;6;24;9;2;29;4;18;32;7;17;19;3;12;13
31;5;1;23;25;28;14;6;10;30;11;20;22;26;16;21;27;15;8;24;9;2;29;4;18;32;7;17;19;3;12;13;5;27304
5;27304;31;5;1;23;25;28;14;6;10;30;11;20;22;26;16;21;27;15;8;24;9;2;29;4;18;32;7;17;19;3;12;13
31;5;1;23;25;28;14;6;10;30;11;20;9;26;16;21;27;15;8;24;22;2;29;4;18;32;7;17;19;3;12;13;5;27534
5;27534;31;5;1;23;25;28;14;6;10;30;11;20;9;26;16;21;27;15;8;24;22;2;29;4;18;32;7;17;19;3;12;13
31;5;1;23;25;28;14;6;10;30;11;20;9;26;16;21;27;15;8;24;22;2;29;4;18;19;7;17;32;3;12;13;5;27134
5;27134;31;5;1;23;25;28;14;6;10;30;11;20;9;26;16;21;27;15;8;24;22;2;29;4;18;19;7;17;32;3;12;13
31;5;1;23;25;11;14;6;10;30;28;20;9;26;16;21;27;15;8;24;22;2;29;4;18;19;7;17;32;3;12;13;5;27544
