"X1";"X304";"X47";"X9";"X32";"X28";"X10";"X64";"X17";"X11";"X23";"X26";"X4";"X33";"X59";"X29";"X49";"X12";"X34";"X48";"X44";"X45";"X3";"X2";"X22";"X61";"X16";"X37";"X15";"X8";"X14";"X53";"X50";"X6";"X60";"X39";"X24";"X30";"X58";"X13";"X54";"X63";"X20";"X19";"X18";"X55";"X42";"X38";"X43";"X46";"X25";"X27";"X21";"X62";"X57";"X36";"X40";"X5";"X41";"X51";"X7";"X52";"X35";"X56";"X31";"X1.1"
47;9;32;17;10;64;28;13;23;26;63;33;59;29;49;11;38;48;44;14;3;21;22;37;16;36;15;1;45;53;50;7;60;30;12;39;58;55;5;4;20;43;18;54;42;34;8;46;31;27;57;62;61;2;56;24;41;51;6;52;35;40;25;19;2;250
2;250;47;9;32;17;10;64;28;13;23;26;63;33;59;29;49;11;38;48;44;14;3;21;22;37;16;36;15;1;45;53;50;7;60;30;12;39;58;55;5;4;20;43;18;54;42;34;8;46;31;27;57;62;61;2;56;24;41;51;6;52;35;40;25;19
47;9;32;17;10;64;28;13;53;26;63;33;59;29;49;11;38;48;44;14;3;21;22;37;16;36;15;1;45;23;50;7;60;30;12;39;58;55;5;4;20;43;18;54;42;34;8;46;31;27;57;62;61;2;56;24;41;51;6;52;35;40;25;19;2;246
2;246;47;9;32;17;10;64;28;13;53;26;63;33;59;29;49;11;38;48;44;14;3;21;22;37;16;36;15;1;45;23;50;7;60;30;12;39;58;55;5;4;20;43;18;54;42;34;8;46;31;27;57;62;61;2;56;24;41;51;6;52;35;40;25;19
47;9;32;17;10;64;28;13;53;26;63;33;59;29;49;27;38;48;44;14;3;21;22;37;16;36;15;1;45;23;50;7;60;30;12;39;58;55;5;4;20;43;18;54;42;34;8;46;31;11;57;62;61;2;56;24;41;51;6;52;35;40;25;19;2;246
2;246;47;9;32;17;10;64;28;13;53;26;63;33;59;29;49;27;38;48;44;14;3;21;22;37;16;36;15;1;45;23;50;7;60;30;12;39;58;55;5;4;20;43;18;54;42;34;8;46;31;11;57;62;61;2;56;24;41;51;6;52;35;40;25;19
47;9;32;17;10;64;28;13;53;26;63;33;59;29;49;27;38;37;44;14;3;21;22;48;16;36;15;1;45;23;50;7;60;30;12;39;58;55;5;4;20;43;18;54;42;34;8;46;31;11;57;62;61;2;56;24;41;51;6;52;35;40;25;19;2;246
2;246;47;9;32;17;10;64;28;13;53;26;63;33;59;29;49;27;38;37;44;14;3;21;22;48;16;36;15;1;45;23;50;7;60;30;12;39;58;55;5;4;20;43;18;54;42;34;8;46;31;11;57;62;61;2;56;24;41;51;6;52;35;40;25;19
47;9;32;17;10;64;28;1;53;26;63;33;59;29;49;27;38;37;44;14;3;21;22;48;16;36;15;13;45;23;50;7;60;30;12;39;58;55;5;4;20;43;18;54;42;34;8;46;31;11;57;62;61;2;56;24;41;51;6;52;35;40;25;19;2;250
2;250;47;9;32;17;10;64;28;1;53;26;63;33;59;29;49;27;38;37;44;14;3;21;22;48;16;36;15;13;45;23;50;7;60;30;12;39;58;55;5;4;20;43;18;54;42;34;8;46;31;11;57;62;61;2;56;24;41;51;6;52;35;40;25;19
47;9;32;17;10;64;28;1;53;26;63;33;59;29;49;27;38;37;44;14;3;21;22;48;16;36;15;13;45;23;50;42;60;30;12;39;58;55;5;4;20;43;18;54;7;34;8;46;31;11;57;62;61;2;56;24;41;51;6;52;35;40;25;19;2;252
2;252;47;9;32;17;10;64;28;1;53;26;63;33;59;29;49;27;38;37;44;14;3;21;22;48;16;36;15;13;45;23;50;42;60;30;12;39;58;55;5;4;20;43;18;54;7;34;8;46;31;11;57;62;61;2;56;24;41;51;6;52;35;40;25;19
47;9;32;17;10;64;28;1;53;26;63;33;59;29;49;27;38;37;44;14;3;21;22;48;16;36;15;13;45;23;50;42;60;30;12;39;58;55;5;4;20;43;18;19;7;34;8;46;31;11;57;62;61;2;56;24;41;51;6;52;35;40;25;54;2;268
2;268;47;9;32;17;10;64;28;1;53;26;63;33;59;29;49;27;38;37;44;14;3;21;22;48;16;36;15;13;45;23;50;42;60;30;12;39;58;55;5;4;20;43;18;19;7;34;8;46;31;11;57;62;61;2;56;24;41;51;6;52;35;40;25;54
47;9;32;17;10;11;28;1;53;26;63;33;59;29;49;27;38;37;44;14;3;21;22;48;16;36;15;13;45;23;50;42;60;30;12;39;58;55;5;4;20;43;18;19;7;34;8;46;31;64;57;62;61;2;56;24;41;51;6;52;35;40;25;54;2;268
2;268;47;9;32;17;10;11;28;1;53;26;63;33;59;29;49;27;38;37;44;14;3;21;22;48;16;36;15;13;45;23;50;42;60;30;12;39;58;55;5;4;20;43;18;19;7;34;8;46;31;64;57;62;61;2;56;24;41;51;6;52;35;40;25;54
4;9;32;17;10;11;28;1;53;26;63;33;59;29;49;27;38;37;44;14;3;21;22;48;16;36;15;13;45;23;50;42;60;30;12;39;58;55;5;47;20;43;18;19;7;34;8;46;31;64;57;62;61;2;56;24;41;51;6;52;35;40;25;54;2;268
2;268;4;9;32;17;10;11;28;1;53;26;63;33;59;29;49;27;38;37;44;14;3;21;22;48;16;36;15;13;45;23;50;42;60;30;12;39;58;55;5;47;20;43;18;19;7;34;8;46;31;64;57;62;61;2;56;24;41;51;6;52;35;40;25;54
4;9;32;17;10;11;28;1;53;26;63;33;59;29;49;27;38;37;64;14;3;21;22;48;16;36;15;13;45;23;50;42;60;30;12;39;58;55;5;47;20;43;18;19;7;34;8;46;31;44;57;62;61;2;56;24;41;51;6;52;35;40;25;54;2;272
2;272;4;9;32;17;10;11;28;1;53;26;63;33;59;29;49;27;38;37;64;14;3;21;22;48;16;36;15;13;45;23;50;42;60;30;12;39;58;55;5;47;20;43;18;19;7;34;8;46;31;44;57;62;61;2;56;24;41;51;6;52;35;40;25;54
4;9;32;26;10;11;28;1;53;17;63;33;59;29;49;27;38;37;64;14;3;21;22;48;16;36;15;13;45;23;50;42;60;30;12;39;58;55;5;47;20;43;18;19;7;34;8;46;31;44;57;62;61;2;56;24;41;51;6;52;35;40;25;54;2;268
2;268;4;9;32;26;10;11;28;1;53;17;63;33;59;29;49;27;38;37;64;14;3;21;22;48;16;36;15;13;45;23;50;42;60;30;12;39;58;55;5;47;20;43;18;19;7;34;8;46;31;44;57;62;61;2;56;24;41;51;6;52;35;40;25;54
4;9;32;26;10;11;28;1;53;17;63;33;59;29;49;27;38;51;64;14;3;21;22;48;16;36;15;13;45;23;50;42;60;30;12;39;58;55;5;47;20;43;18;19;7;34;8;46;31;44;57;62;61;2;56;24;41;37;6;52;35;40;25;54;2;268
2;268;4;9;32;26;10;11;28;1;53;17;63;33;59;29;49;27;38;51;64;14;3;21;22;48;16;36;15;13;45;23;50;42;60;30;12;39;58;55;5;47;20;43;18;19;7;34;8;46;31;44;57;62;61;2;56;24;41;37;6;52;35;40;25;54
4;37;32;26;10;11;28;1;53;17;63;33;59;29;49;27;38;51;64;14;3;21;22;48;16;36;15;13;45;23;50;42;60;30;12;39;58;55;5;47;20;43;18;19;7;34;8;46;31;44;57;62;61;2;56;24;41;9;6;52;35;40;25;54;2;268
2;268;4;37;32;26;10;11;28;1;53;17;63;33;59;29;49;27;38;51;64;14;3;21;22;48;16;36;15;13;45;23;50;42;60;30;12;39;58;55;5;47;20;43;18;19;7;34;8;46;31;44;57;62;61;2;56;24;41;9;6;52;35;40;25;54
4;16;32;26;10;11;28;1;53;17;63;33;59;29;49;27;38;51;64;14;3;21;22;48;37;36;15;13;45;23;50;42;60;30;12;39;58;55;5;47;20;43;18;19;7;34;8;46;31;44;57;62;61;2;56;24;41;9;6;52;35;40;25;54;2;268
2;268;4;16;32;26;10;11;28;1;53;17;63;33;59;29;49;27;38;51;64;14;3;21;22;48;37;36;15;13;45;23;50;42;60;30;12;39;58;55;5;47;20;43;18;19;7;34;8;46;31;44;57;62;61;2;56;24;41;9;6;52;35;40;25;54
4;16;32;26;10;11;28;1;53;17;63;33;59;29;49;27;38;51;5;14;3;21;22;48;37;36;15;13;45;23;50;42;60;30;12;39;58;55;64;47;20;43;18;19;7;34;8;46;31;44;57;62;61;2;56;24;41;9;6;52;35;40;25;54;2;258
2;258;4;16;32;26;10;11;28;1;53;17;63;33;59;29;49;27;38;51;5;14;3;21;22;48;37;36;15;13;45;23;50;42;60;30;12;39;58;55;64;47;20;43;18;19;7;34;8;46;31;44;57;62;61;2;56;24;41;9;6;52;35;40;25;54
4;14;32;26;10;11;28;1;53;17;63;33;59;29;49;27;38;51;5;16;3;21;22;48;37;36;15;13;45;23;50;42;60;30;12;39;58;55;64;47;20;43;18;19;7;34;8;46;31;44;57;62;61;2;56;24;41;9;6;52;35;40;25;54;2;260
2;260;4;14;32;26;10;11;28;1;53;17;63;33;59;29;49;27;38;51;5;16;3;21;22;48;37;36;15;13;45;23;50;42;60;30;12;39;58;55;64;47;20;43;18;19;7;34;8;46;31;44;57;62;61;2;56;24;41;9;6;52;35;40;25;54
4;14;32;63;10;11;28;1;53;17;26;33;59;29;49;27;38;51;5;16;3;21;22;48;37;36;15;13;45;23;50;42;60;30;12;39;58;55;64;47;20;43;18;19;7;34;8;46;31;44;57;62;61;2;56;24;41;9;6;52;35;40;25;54;2;248
2;248;4;14;32;63;10;11;28;1;53;17;26;33;59;29;49;27;38;51;5;16;3;21;22;48;37;36;15;13;45;23;50;42;60;30;12;39;58;55;64;47;20;43;18;19;7;34;8;46;31;44;57;62;61;2;56;24;41;9;6;52;35;40;25;54
4;14;32;63;10;11;28;1;53;17;22;33;59;29;49;27;38;51;5;16;3;21;26;48;37;36;15;13;45;23;50;42;60;30;12;39;58;55;64;47;20;43;18;19;7;34;8;46;31;44;57;62;61;2;56;24;41;9;6;52;35;40;25;54;2;248
2;248;4;14;32;63;10;11;28;1;53;17;22;33;59;29;49;27;38;51;5;16;3;21;26;48;37;36;15;13;45;23;50;42;60;30;12;39;58;55;64;47;20;43;18;19;7;34;8;46;31;44;57;62;61;2;56;24;41;9;6;52;35;40;25;54
4;14;32;63;10;11;28;1;53;17;22;33;59;35;49;27;38;51;5;16;3;21;26;48;37;36;15;13;45;23;50;42;60;30;12;39;58;55;64;47;20;43;18;19;7;34;8;46;31;44;57;62;61;2;56;24;41;9;6;52;29;40;25;54;2;248
3;248;4;14;32;63;10;11;28;1;53;17;22;33;59;35;49;27;38;51;5;16;3;21;26;48;37;36;15;13;45;23;50;42;60;30;12;39;58;55;64;47;20;43;18;19;7;34;8;46;31;44;57;62;61;2;56;24;41;9;6;52;29;40;25;54
4;14;32;63;10;11;28;1;53;17;22;33;59;35;49;27;38;51;5;16;3;21;26;48;37;36;15;13;45;23;50;42;60;30;12;39;57;55;64;47;20;43;18;19;7;34;8;46;31;44;58;62;61;2;56;24;41;9;6;52;29;40;25;54;3;240
3;240;4;14;32;63;10;11;28;1;53;17;22;33;59;35;49;27;38;51;5;16;3;21;26;48;37;36;15;13;45;23;50;42;60;30;12;39;57;55;64;47;20;43;18;19;7;34;8;46;31;44;58;62;61;2;56;24;41;9;6;52;29;40;25;54
4;14;32;63;10;11;28;1;53;17;22;33;59;35;49;27;38;51;5;16;3;21;26;48;37;36;15;13;45;23;50;42;60;30;12;39;57;20;64;47;55;43;18;19;7;34;8;46;31;44;58;62;61;2;56;24;41;9;6;52;29;40;25;54;3;240
3;240;4;14;32;63;10;11;28;1;53;17;22;33;59;35;49;27;38;51;5;16;3;21;26;48;37;36;15;13;45;23;50;42;60;30;12;39;57;20;64;47;55;43;18;19;7;34;8;46;31;44;58;62;61;2;56;24;41;9;6;52;29;40;25;54
4;14;32;63;10;11;28;1;53;17;22;33;59;35;49;27;38;51;37;16;3;21;26;48;5;36;15;13;45;23;50;42;60;30;12;39;57;20;64;47;55;43;18;19;7;34;8;46;31;44;58;62;61;2;56;24;41;9;6;52;29;40;25;54;3;240
3;240;4;14;32;63;10;11;28;1;53;17;22;33;59;35;49;27;38;51;37;16;3;21;26;48;5;36;15;13;45;23;50;42;60;30;12;39;57;20;64;47;55;43;18;19;7;34;8;46;31;44;58;62;61;2;56;24;41;9;6;52;29;40;25;54
4;13;32;63;10;11;28;1;53;17;22;33;59;35;49;27;38;51;37;16;3;21;26;48;5;36;15;14;45;23;50;42;60;30;12;39;57;20;64;47;55;43;18;19;7;34;8;46;31;44;58;62;61;2;56;24;41;9;6;52;29;40;25;54;3;240
3;240;4;13;32;63;10;11;28;1;53;17;22;33;59;35;49;27;38;51;37;16;3;21;26;48;5;36;15;14;45;23;50;42;60;30;12;39;57;20;64;47;55;43;18;19;7;34;8;46;31;44;58;62;61;2;56;24;41;9;6;52;29;40;25;54
4;13;32;63;10;11;28;1;53;17;22;33;59;35;49;27;38;51;37;16;3;21;26;48;5;36;15;14;45;23;50;12;60;30;42;39;57;20;64;47;55;43;18;19;7;34;8;46;31;44;58;62;61;2;56;24;41;9;6;52;29;40;25;54;3;240
3;240;4;13;32;63;10;11;28;1;53;17;22;33;59;35;49;27;38;51;37;16;3;21;26;48;5;36;15;14;45;23;50;12;60;30;42;39;57;20;64;47;55;43;18;19;7;34;8;46;31;44;58;62;61;2;56;24;41;9;6;52;29;40;25;54
4;13;32;63;10;11;28;1;53;17;22;33;59;35;49;27;38;51;37;16;3;21;26;48;5;36;15;14;44;23;50;12;60;30;42;39;57;20;64;47;55;43;18;19;7;34;8;46;31;45;58;62;61;2;56;24;41;9;6;52;29;40;25;54;3;240
3;240;4;13;32;63;10;11;28;1;53;17;22;33;59;35;49;27;38;51;37;16;3;21;26;48;5;36;15;14;44;23;50;12;60;30;42;39;57;20;64;47;55;43;18;19;7;34;8;46;31;45;58;62;61;2;56;24;41;9;6;52;29;40;25;54
4;13;32;63;10;11;28;1;53;17;22;33;59;35;38;27;49;51;37;16;3;21;26;48;5;36;15;14;44;23;50;12;60;30;42;39;57;20;64;47;55;43;18;19;7;34;8;46;31;45;58;62;61;2;56;24;41;9;6;52;29;40;25;54;3;242
3;242;4;13;32;63;10;11;28;1;53;17;22;33;59;35;38;27;49;51;37;16;3;21;26;48;5;36;15;14;44;23;50;12;60;30;42;39;57;20;64;47;55;43;18;19;7;34;8;46;31;45;58;62;61;2;56;24;41;9;6;52;29;40;25;54
4;13;32;63;10;11;28;1;53;17;22;33;59;35;38;27;49;51;37;16;3;21;26;48;14;36;15;5;44;23;50;12;60;30;42;39;57;20;64;47;55;43;18;19;7;34;8;46;31;45;58;62;61;2;56;24;41;9;6;52;29;40;25;54;3;242
3;242;4;13;32;63;10;11;28;1;53;17;22;33;59;35;38;27;49;51;37;16;3;21;26;48;14;36;15;5;44;23;50;12;60;30;42;39;57;20;64;47;55;43;18;19;7;34;8;46;31;45;58;62;61;2;56;24;41;9;6;52;29;40;25;54
4;13;32;63;10;11;28;1;53;17;22;33;59;35;38;27;49;51;37;16;3;21;26;48;14;36;15;5;44;23;50;12;6;30;42;39;57;20;64;47;55;43;18;19;7;34;8;46;31;45;58;62;61;2;56;24;41;9;60;52;29;40;25;54;3;244
3;244;4;13;32;63;10;11;28;1;53;17;22;33;59;35;38;27;49;51;37;16;3;21;26;48;14;36;15;5;44;23;50;12;6;30;42;39;57;20;64;47;55;43;18;19;7;34;8;46;31;45;58;62;61;2;56;24;41;9;60;52;29;40;25;54
4;13;32;63;10;11;28;1;53;17;22;33;59;35;38;27;49;51;37;16;18;21;26;48;14;36;15;5;44;23;50;12;6;30;42;39;57;20;64;47;55;43;3;19;7;34;8;46;31;45;58;62;61;2;56;24;41;9;60;52;29;40;25;54;3;244
3;244;4;13;32;63;10;11;28;1;53;17;22;33;59;35;38;27;49;51;37;16;18;21;26;48;14;36;15;5;44;23;50;12;6;30;42;39;57;20;64;47;55;43;3;19;7;34;8;46;31;45;58;62;61;2;56;24;41;9;60;52;29;40;25;54
4;13;32;63;10;11;28;1;53;17;22;33;59;35;38;27;49;51;37;16;18;21;26;48;14;20;15;5;44;23;50;12;6;30;42;39;57;36;64;47;55;43;3;19;7;34;8;46;31;45;58;62;61;2;56;24;41;9;60;52;29;40;25;54;3;244
