"X1";"X26580";"X11";"X14";"X32";"X28";"X30";"X3";"X25";"X15";"X27";"X19";"X1.1";"X20";"X26";"X4";"X24";"X12";"X23";"X18";"X13";"X8";"X17";"X6";"X29";"X5";"X2";"X7";"X22";"X21";"X16";"X9";"X31";"X10"
11;31;13;23;30;27;1;15;8;24;14;26;2;16;19;21;22;28;6;18;9;3;29;5;17;7;32;25;12;4;10;20;2;26424
2;26424;11;31;13;23;30;27;1;15;8;24;14;26;2;16;19;21;22;28;6;18;9;3;29;5;17;7;32;25;12;4;10;20
11;31;13;23;30;27;1;15;8;24;14;26;2;16;19;20;22;28;6;18;9;3;29;5;17;7;32;25;12;4;10;21;2;26944
2;26944;11;31;13;23;30;27;1;15;8;24;14;26;2;16;19;20;22;28;6;18;9;3;29;5;17;7;32;25;12;4;10;21
11;31;3;23;30;27;1;15;8;24;14;26;2;16;19;20;22;28;6;18;9;13;29;5;17;7;32;25;12;4;10;21;2;26584
2;26584;11;31;3;23;30;27;1;15;8;24;14;26;2;16;19;20;22;28;6;18;9;13;29;5;17;7;32;25;12;4;10;21
11;31;32;23;30;27;1;15;8;24;14;26;2;16;19;20;22;28;6;18;9;13;29;5;17;7;3;25;12;4;10;21;2;26862
3;26862;11;31;32;23;30;27;1;15;8;24;14;26;2;16;19;20;22;28;6;18;9;13;29;5;17;7;3;25;12;4;10;21
11;31;32;23;30;27;1;15;8;24;14;26;2;16;19;20;22;28;6;18;9;13;5;29;17;7;3;25;12;4;10;21;3;26764
3;26764;11;31;32;23;30;27;1;15;8;24;14;26;2;16;19;20;22;28;6;18;9;13;5;29;17;7;3;25;12;4;10;21
11;2;32;23;30;27;1;15;8;24;14;26;31;16;19;20;22;28;6;18;9;13;5;29;17;7;3;25;12;4;10;21;3;27458
3;27458;11;2;32;23;30;27;1;15;8;24;14;26;31;16;19;20;22;28;6;18;9;13;5;29;17;7;3;25;12;4;10;21
11;2;32;23;30;27;1;15;8;24;14;26;31;16;19;13;22;28;6;18;9;20;5;29;17;7;3;25;12;4;10;21;3;27464
3;27464;11;2;32;23;30;27;1;15;8;24;14;26;31;16;19;13;22;28;6;18;9;20;5;29;17;7;3;25;12;4;10;21
11;2;32;23;30;27;1;15;10;24;14;26;31;16;19;13;22;28;6;18;9;20;5;29;17;7;3;25;12;4;8;21;3;27044
3;27044;11;2;32;23;30;27;1;15;10;24;14;26;31;16;19;13;22;28;6;18;9;20;5;29;17;7;3;25;12;4;8;21
11;2;32;23;30;27;1;15;10;24;14;26;8;16;19;13;22;28;6;18;9;20;5;29;17;7;3;25;12;4;31;21;3;27156
3;27156;11;2;32;23;30;27;1;15;10;24;14;26;8;16;19;13;22;28;6;18;9;20;5;29;17;7;3;25;12;4;31;21
11;7;32;23;30;27;1;15;10;24;14;26;8;16;19;13;22;28;6;18;9;20;5;29;17;2;3;25;12;4;31;21;3;27556
3;27556;11;7;32;23;30;27;1;15;10;24;14;26;8;16;19;13;22;28;6;18;9;20;5;29;17;2;3;25;12;4;31;21
11;7;32;31;30;27;1;15;10;24;14;26;8;16;19;13;22;28;6;18;9;20;5;29;17;2;3;25;12;4;23;21;3;27916
3;27916;11;7;32;31;30;27;1;15;10;24;14;26;8;16;19;13;22;28;6;18;9;20;5;29;17;2;3;25;12;4;23;21
11;7;32;31;30;9;1;15;10;24;14;26;8;16;19;13;22;28;6;18;27;20;5;29;17;2;3;25;12;4;23;21;3;28772
3;28772;11;7;32;31;30;9;1;15;10;24;14;26;8;16;19;13;22;28;6;18;27;20;5;29;17;2;3;25;12;4;23;21
11;7;32;31;30;9;1;15;10;24;14;26;8;16;23;13;22;28;6;18;27;20;5;29;17;2;3;25;12;4;19;21;3;28552
3;28552;11;7;32;31;30;9;1;15;10;24;14;26;8;16;23;13;22;28;6;18;27;20;5;29;17;2;3;25;12;4;19;21
11;7;32;31;13;9;1;15;10;24;14;26;8;16;23;30;22;28;6;18;27;20;5;29;17;2;3;25;12;4;19;21;3;28694
3;28694;11;7;32;31;13;9;1;15;10;24;14;26;8;16;23;30;22;28;6;18;27;20;5;29;17;2;3;25;12;4;19;21
11;7;32;31;13;25;1;15;10;24;14;26;8;16;23;30;22;28;6;18;27;20;5;29;17;2;3;9;12;4;19;21;3;28372
3;28372;11;7;32;31;13;25;1;15;10;24;14;26;8;16;23;30;22;28;6;18;27;20;5;29;17;2;3;9;12;4;19;21
19;7;32;31;13;25;1;15;10;24;14;26;8;16;23;30;22;28;6;18;27;20;5;29;17;2;3;9;12;4;11;21;3;28840
3;28840;19;7;32;31;13;25;1;15;10;24;14;26;8;16;23;30;22;28;6;18;27;20;5;29;17;2;3;9;12;4;11;21
19;7;32;31;8;25;1;15;10;24;14;26;13;16;23;30;22;28;6;18;27;20;5;29;17;2;3;9;12;4;11;21;3;28100
3;28100;19;7;32;31;8;25;1;15;10;24;14;26;13;16;23;30;22;28;6;18;27;20;5;29;17;2;3;9;12;4;11;21
19;10;32;31;8;25;1;15;7;24;14;26;13;16;23;30;22;28;6;18;27;20;5;29;17;2;3;9;12;4;11;21;3;28220
3;28220;19;10;32;31;8;25;1;15;7;24;14;26;13;16;23;30;22;28;6;18;27;20;5;29;17;2;3;9;12;4;11;21
19;20;32;31;8;25;1;15;7;24;14;26;13;16;23;30;22;28;6;18;27;10;5;29;17;2;3;9;12;4;11;21;3;28420
3;28420;19;20;32;31;8;25;1;15;7;24;14;26;13;16;23;30;22;28;6;18;27;10;5;29;17;2;3;9;12;4;11;21
19;27;32;31;8;25;1;15;7;24;14;26;13;16;23;30;22;28;6;18;20;10;5;29;17;2;3;9;12;4;11;21;3;27980
3;27980;19;27;32;31;8;25;1;15;7;24;14;26;13;16;23;30;22;28;6;18;20;10;5;29;17;2;3;9;12;4;11;21
15;27;32;31;8;25;1;19;7;24;14;26;13;16;23;30;22;28;6;18;20;10;5;29;17;2;3;9;12;4;11;21;3;27396
3;27396;15;27;32;31;8;25;1;19;7;24;14;26;13;16;23;30;22;28;6;18;20;10;5;29;17;2;3;9;12;4;11;21
15;31;32;27;8;25;1;19;7;24;14;26;13;16;23;30;22;28;6;18;20;10;5;29;17;2;3;9;12;4;11;21;3;27396
3;27396;15;31;32;27;8;25;1;19;7;24;14;26;13;16;23;30;22;28;6;18;20;10;5;29;17;2;3;9;12;4;11;21
15;31;32;27;8;25;1;19;7;24;14;26;13;16;23;30;22;28;6;18;11;10;5;29;17;2;3;9;12;4;20;21;3;26562
3;26562;15;31;32;27;8;25;1;19;7;24;14;26;13;16;23;30;22;28;6;18;11;10;5;29;17;2;3;9;12;4;20;21
15;20;32;27;8;25;1;19;7;24;14;26;13;16;23;30;22;28;6;18;11;10;5;29;17;2;3;9;12;4;31;21;3;27082
4;27082;15;20;32;27;8;25;1;19;7;24;14;26;13;16;23;30;22;28;6;18;11;10;5;29;17;2;3;9;12;4;31;21
15;20;32;27;8;25;1;19;7;24;14;30;13;16;23;26;22;28;6;18;11;10;5;29;17;2;3;9;12;4;31;21;4;26802
4;26802;15;20;32;27;8;25;1;19;7;24;14;30;13;16;23;26;22;28;6;18;11;10;5;29;17;2;3;9;12;4;31;21
15;20;32;27;8;25;1;19;7;24;14;30;13;16;23;26;22;28;6;2;11;10;5;29;17;18;3;9;12;4;31;21;4;26066
4;26066;15;20;32;27;8;25;1;19;7;24;14;30;13;16;23;26;22;28;6;2;11;10;5;29;17;18;3;9;12;4;31;21
15;20;32;27;8;25;1;19;13;24;14;30;7;16;23;26;22;28;6;2;11;10;5;29;17;18;3;9;12;4;31;21;4;26386
4;26386;15;20;32;27;8;25;1;19;13;24;14;30;7;16;23;26;22;28;6;2;11;10;5;29;17;18;3;9;12;4;31;21
15;20;32;27;8;25;1;19;24;13;14;30;7;16;23;26;22;28;6;2;11;10;5;29;17;18;3;9;12;4;31;21;4;25986
4;25986;15;20;32;27;8;25;1;19;24;13;14;30;7;16;23;26;22;28;6;2;11;10;5;29;17;18;3;9;12;4;31;21
15;20;18;27;8;25;1;19;24;13;14;30;7;16;23;26;22;28;6;2;11;10;5;29;17;32;3;9;12;4;31;21;4;25566
4;25566;15;20;18;27;8;25;1;19;24;13;14;30;7;16;23;26;22;28;6;2;11;10;5;29;17;32;3;9;12;4;31;21
15;20;18;27;8;32;1;19;24;13;14;30;7;16;23;26;22;28;6;2;11;10;5;29;17;25;3;9;12;4;31;21;4;26286
4;26286;15;20;18;27;8;32;1;19;24;13;14;30;7;16;23;26;22;28;6;2;11;10;5;29;17;25;3;9;12;4;31;21
15;20;18;27;8;32;1;19;24;13;14;30;7;16;23;26;25;28;6;2;11;10;5;29;17;22;3;9;12;4;31;21;4;26366
4;26366;15;20;18;27;8;32;1;19;24;13;14;30;7;16;23;26;25;28;6;2;11;10;5;29;17;22;3;9;12;4;31;21
15;20;18;27;8;32;1;19;24;13;14;30;7;16;23;21;25;28;6;2;11;10;5;29;17;22;3;9;12;4;31;26;4;26926
4;26926;15;20;18;27;8;32;1;19;24;13;14;30;7;16;23;21;25;28;6;2;11;10;5;29;17;22;3;9;12;4;31;26
15;20;18;27;8;32;1;19;24;13;14;30;5;16;23;21;25;28;6;2;11;10;7;29;17;22;3;9;12;4;31;26;4;26326
4;26326;15;20;18;27;8;32;1;19;24;13;14;30;5;16;23;21;25;28;6;2;11;10;7;29;17;22;3;9;12;4;31;26
15;20;18;27;8;32;1;19;24;13;14;30;5;16;23;21;25;28;6;31;11;10;7;29;17;22;3;9;12;4;2;26;4;26446
4;26446;15;20;18;27;8;32;1;19;24;13;14;30;5;16;23;21;25;28;6;31;11;10;7;29;17;22;3;9;12;4;2;26
15;20;18;27;8;32;1;19;24;13;14;30;5;16;23;21;25;28;6;7;11;10;31;29;17;22;3;9;12;4;2;26;4;26156
4;26156;15;20;18;27;8;32;1;19;24;13;14;30;5;16;23;21;25;28;6;7;11;10;31;29;17;22;3;9;12;4;2;26
15;20;7;27;8;32;1;19;24;13;14;30;5;16;23;21;25;28;6;18;11;10;31;29;17;22;3;9;12;4;2;26;4;26766
4;26766;15;20;7;27;8;32;1;19;24;13;14;30;5;16;23;21;25;28;6;18;11;10;31;29;17;22;3;9;12;4;2;26
15;20;7;27;8;32;1;19;24;5;14;30;13;16;23;21;25;28;6;18;11;10;31;29;17;22;3;9;12;4;2;26;4;26726
4;26726;15;20;7;27;8;32;1;19;24;5;14;30;13;16;23;21;25;28;6;18;11;10;31;29;17;22;3;9;12;4;2;26
15;20;7;27;8;32;1;19;24;31;14;30;13;16;23;21;25;28;6;18;11;10;5;29;17;22;3;9;12;4;2;26;4;27738
4;27738;15;20;7;27;8;32;1;19;24;31;14;30;13;16;23;21;25;28;6;18;11;10;5;29;17;22;3;9;12;4;2;26
15;20;7;27;8;32;1;19;24;31;14;30;13;16;23;21;25;28;6;18;11;10;5;29;17;22;3;4;12;9;2;26;4;28098
4;28098;15;20;7;27;8;32;1;19;24;31;14;30;13;16;23;21;25;28;6;18;11;10;5;29;17;22;3;4;12;9;2;26
15;20;13;27;8;32;1;19;24;31;14;30;7;16;23;21;25;28;6;18;11;10;5;29;17;22;3;4;12;9;2;26;4;28178
4;28178;15;20;13;27;8;32;1;19;24;31;14;30;7;16;23;21;25;28;6;18;11;10;5;29;17;22;3;4;12;9;2;26
15;8;13;27;20;32;1;19;24;31;14;30;7;16;23;21;25;28;6;18;11;10;5;29;17;22;3;4;12;9;2;26;4;28178
4;28178;15;8;13;27;20;32;1;19;24;31;14;30;7;16;23;21;25;28;6;18;11;10;5;29;17;22;3;4;12;9;2;26
15;8;13;27;20;32;1;19;24;31;14;30;22;16;23;21;25;28;6;18;11;10;5;29;17;7;3;4;12;9;2;26;4;28318
4;28318;15;8;13;27;20;32;1;19;24;31;14;30;22;16;23;21;25;28;6;18;11;10;5;29;17;7;3;4;12;9;2;26
15;8;13;27;20;12;1;19;24;31;14;30;22;16;23;21;25;28;6;18;11;10;5;29;17;7;3;4;32;9;2;26;4;28422
4;28422;15;8;13;27;20;12;1;19;24;31;14;30;22;16;23;21;25;28;6;18;11;10;5;29;17;7;3;4;32;9;2;26
15;8;13;27;20;12;1;19;24;31;14;30;22;16;23;21;25;28;6;18;11;10;5;29;17;3;7;4;32;9;2;26;4;28902
5;28902;15;8;13;27;20;12;1;19;24;31;14;30;22;16;23;21;25;28;6;18;11;10;5;29;17;3;7;4;32;9;2;26
15;8;13;27;20;12;1;19;24;31;14;30;22;16;26;21;25;28;6;18;11;10;5;29;17;3;7;4;32;9;2;23;5;29062
5;29062;15;8;13;27;20;12;1;19;24;31;14;30;22;16;26;21;25;28;6;18;11;10;5;29;17;3;7;4;32;9;2;23
15;8;13;27;20;12;1;19;24;31;14;30;22;16;26;21;25;28;6;18;11;4;5;29;17;3;7;10;32;9;2;23;5;29342
5;29342;15;8;13;27;20;12;1;19;24;31;14;30;22;16;26;21;25;28;6;18;11;4;5;29;17;3;7;10;32;9;2;23
15;8;13;27;31;12;1;19;24;20;14;30;22;16;26;21;25;28;6;18;11;4;5;29;17;3;7;10;32;9;2;23;5;29022
5;29022;15;8;13;27;31;12;1;19;24;20;14;30;22;16;26;21;25;28;6;18;11;4;5;29;17;3;7;10;32;9;2;23
15;8;13;27;31;12;6;19;24;20;14;30;22;16;26;21;25;28;1;18;11;4;5;29;17;3;7;10;32;9;2;23;5;28062
5;28062;15;8;13;27;31;12;6;19;24;20;14;30;22;16;26;21;25;28;1;18;11;4;5;29;17;3;7;10;32;9;2;23
15;8;13;27;31;12;6;19;24;20;14;30;22;16;26;10;25;28;1;18;11;4;5;29;17;3;7;21;32;9;2;23;5;27014
5;27014;15;8;13;27;31;12;6;19;24;20;14;30;22;16;26;10;25;28;1;18;11;4;5;29;17;3;7;21;32;9;2;23
15;8;13;27;31;12;6;11;24;20;14;30;22;16;26;10;25;28;1;18;19;4;5;29;17;3;7;21;32;9;2;23;5;27112
5;27112;15;8;13;27;31;12;6;11;24;20;14;30;22;16;26;10;25;28;1;18;19;4;5;29;17;3;7;21;32;9;2;23
18;8;13;27;31;12;6;11;24;20;14;30;22;16;26;10;25;28;1;15;19;4;5;29;17;3;7;21;32;9;2;23;5;27320
5;27320;18;8;13;27;31;12;6;11;24;20;14;30;22;16;26;10;25;28;1;15;19;4;5;29;17;3;7;21;32;9;2;23
18;26;13;27;31;12;6;11;24;20;14;30;22;16;8;10;25;28;1;15;19;4;5;29;17;3;7;21;32;9;2;23;5;27088
5;27088;18;26;13;27;31;12;6;11;24;20;14;30;22;16;8;10;25;28;1;15;19;4;5;29;17;3;7;21;32;9;2;23
18;26;13;27;31;12;6;11;24;20;14;30;22;16;2;10;25;28;1;15;19;4;5;29;17;3;7;21;32;9;8;23;5;27148
5;27148;18;26;13;27;31;12;6;11;24;20;14;30;22;16;2;10;25;28;1;15;19;4;5;29;17;3;7;21;32;9;8;23
18;26;13;27;31;12;6;11;24;20;14;21;22;16;2;10;25;28;1;15;19;4;5;29;17;3;7;30;32;9;8;23;5;27468
5;27468;18;26;13;27;31;12;6;11;24;20;14;21;22;16;2;10;25;28;1;15;19;4;5;29;17;3;7;30;32;9;8;23
18;26;21;27;31;12;6;11;24;20;14;13;22;16;2;10;25;28;1;15;19;4;5;29;17;3;7;30;32;9;8;23;5;27686
5;27686;18;26;21;27;31;12;6;11;24;20;14;13;22;16;2;10;25;28;1;15;19;4;5;29;17;3;7;30;32;9;8;23
18;26;21;27;31;12;6;11;24;20;14;13;22;16;2;10;25;28;19;15;1;4;5;29;17;3;7;30;32;9;8;23;5;27748
5;27748;18;26;21;27;31;12;6;11;24;20;14;13;22;16;2;10;25;28;19;15;1;4;5;29;17;3;7;30;32;9;8;23
18;26;21;27;20;12;6;11;24;31;14;13;22;16;2;10;25;28;19;15;1;4;5;29;17;3;7;30;32;9;8;23;5;28028
5;28028;18;26;21;27;20;12;6;11;24;31;14;13;22;16;2;10;25;28;19;15;1;4;5;29;17;3;7;30;32;9;8;23
18;26;21;27;20;12;6;11;24;31;14;13;22;16;7;10;25;28;19;15;1;4;5;29;17;3;2;30;32;9;8;23;5;27948
5;27948;18;26;21;27;20;12;6;11;24;31;14;13;22;16;7;10;25;28;19;15;1;4;5;29;17;3;2;30;32;9;8;23
10;26;21;27;20;12;6;11;24;31;14;13;22;16;7;18;25;28;19;15;1;4;5;29;17;3;2;30;32;9;8;23;5;27596
5;27596;10;26;21;27;20;12;6;11;24;31;14;13;22;16;7;18;25;28;19;15;1;4;5;29;17;3;2;30;32;9;8;23
10;11;21;27;20;12;6;26;24;31;14;13;22;16;7;18;25;28;19;15;1;4;5;29;17;3;2;30;32;9;8;23;5;27358
5;27358;10;11;21;27;20;12;6;26;24;31;14;13;22;16;7;18;25;28;19;15;1;4;5;29;17;3;2;30;32;9;8;23
10;11;21;27;20;15;6;26;24;31;14;13;22;16;7;18;25;28;19;12;1;4;5;29;17;3;2;30;32;9;8;23;5;27158
5;27158;10;11;21;27;20;15;6;26;24;31;14;13;22;16;7;18;25;28;19;12;1;4;5;29;17;3;2;30;32;9;8;23
10;15;21;27;20;11;6;26;24;31;14;13;22;16;7;18;25;28;19;12;1;4;5;29;17;3;2;30;32;9;8;23;5;27278
5;27278;10;15;21;27;20;11;6;26;24;31;14;13;22;16;7;18;25;28;19;12;1;4;5;29;17;3;2;30;32;9;8;23
10;15;21;27;20;11;6;26;24;31;14;13;22;16;7;17;25;28;19;12;1;4;5;29;18;3;2;30;32;9;8;23;5;27718
