"X1";"X302";"X51";"X57";"X49";"X33";"X34";"X25";"X28";"X46";"X60";"X64";"X17";"X55";"X8";"X59";"X44";"X21";"X38";"X10";"X24";"X2";"X39";"X3";"X13";"X11";"X48";"X12";"X31";"X62";"X18";"X63";"X61";"X14";"X15";"X35";"X22";"X9";"X45";"X27";"X6";"X7";"X53";"X5";"X37";"X16";"X56";"X36";"X54";"X52";"X32";"X4";"X30";"X50";"X23";"X19";"X29";"X40";"X1.1";"X47";"X43";"X20";"X26";"X58";"X41";"X42"
1;290;51;57;49;37;34;25;28;46;60;13;17;26;8;59;44;54;38;21;24;2;39;36;64;52;48;12;6;62;18;63;16;14;15;35;22;9;47;40;31;7;53;5;33;61;56;3;10;11;32;4;30;20;23;19;29;27;1;45;43;50;55;58;41;42
51;57;49;37;34;25;28;46;60;13;17;26;8;59;44;54;38;21;24;2;39;36;64;52;33;12;6;62;18;63;16;14;15;35;22;9;47;40;31;7;53;5;48;61;56;3;10;11;32;4;30;20;23;19;29;27;1;45;43;50;55;58;41;42;1;290
1;290;51;57;49;37;34;25;28;46;60;13;17;26;8;59;44;54;38;21;24;2;39;36;64;52;33;12;6;62;18;63;16;14;15;35;22;9;47;40;31;7;53;5;48;61;56;3;10;11;32;4;30;20;23;19;29;27;1;45;43;50;55;58;41;42
51;57;45;37;34;25;28;46;60;13;17;26;8;59;44;54;38;21;24;2;39;36;64;52;33;12;6;62;18;63;16;14;15;35;22;9;47;40;31;7;53;5;48;61;56;3;10;11;32;4;30;20;23;19;29;27;1;49;43;50;55;58;41;42;1;288
1;288;51;57;45;37;34;25;28;46;60;13;17;26;8;59;44;54;38;21;24;2;39;36;64;52;33;12;6;62;18;63;16;14;15;35;22;9;47;40;31;7;53;5;48;61;56;3;10;11;32;4;30;20;23;19;29;27;1;49;43;50;55;58;41;42
51;57;45;37;34;25;28;46;60;13;17;26;8;59;44;54;38;21;24;2;39;23;64;52;33;12;6;62;18;63;16;14;15;35;22;9;47;40;31;7;53;5;48;61;56;3;10;11;32;4;30;20;36;19;29;27;1;49;43;50;55;58;41;42;1;288
1;288;51;57;45;37;34;25;28;46;60;13;17;26;8;59;44;54;38;21;24;2;39;23;64;52;33;12;6;62;18;63;16;14;15;35;22;9;47;40;31;7;53;5;48;61;56;3;10;11;32;4;30;20;36;19;29;27;1;49;43;50;55;58;41;42
51;57;45;37;34;25;28;46;60;13;17;26;8;59;44;54;38;21;24;2;39;41;64;52;33;12;6;62;18;63;16;14;15;35;22;9;47;40;31;7;53;5;48;61;56;3;10;11;32;4;30;20;36;19;29;27;1;49;43;50;55;58;23;42;1;286
1;286;51;57;45;37;34;25;28;46;60;13;17;26;8;59;44;54;38;21;24;2;39;41;64;52;33;12;6;62;18;63;16;14;15;35;22;9;47;40;31;7;53;5;48;61;56;3;10;11;32;4;30;20;36;19;29;27;1;49;43;50;55;58;23;42
51;57;45;37;34;25;28;46;60;13;17;26;8;59;44;54;38;21;24;2;39;41;64;52;33;12;6;62;18;63;16;22;15;35;14;9;47;40;31;7;53;5;48;61;56;3;10;11;32;4;30;20;36;19;29;27;1;49;43;50;55;58;23;42;1;282
1;282;51;57;45;37;34;25;28;46;60;13;17;26;8;59;44;54;38;21;24;2;39;41;64;52;33;12;6;62;18;63;16;22;15;35;14;9;47;40;31;7;53;5;48;61;56;3;10;11;32;4;30;20;36;19;29;27;1;49;43;50;55;58;23;42
51;57;45;37;34;25;28;46;60;13;17;26;8;59;44;54;38;21;24;2;39;41;64;52;33;12;6;62;18;63;16;22;19;35;14;9;47;40;31;7;53;5;48;61;56;3;10;11;32;4;30;20;36;15;29;27;1;49;43;50;55;58;23;42;1;288
2;288;51;57;45;37;34;25;28;46;60;13;17;26;8;59;44;54;38;21;24;2;39;41;64;52;33;12;6;62;18;63;16;22;19;35;14;9;47;40;31;7;53;5;48;61;56;3;10;11;32;4;30;20;36;15;29;27;1;49;43;50;55;58;23;42
51;57;45;37;34;25;28;46;60;13;17;26;8;59;44;54;38;21;24;2;39;41;64;52;33;12;6;62;18;63;16;22;19;35;14;9;47;40;31;7;53;5;48;61;56;4;10;11;32;3;30;20;36;15;29;27;1;49;43;50;55;58;23;42;2;292
2;292;51;57;45;37;34;25;28;46;60;13;17;26;8;59;44;54;38;21;24;2;39;41;64;52;33;12;6;62;18;63;16;22;19;35;14;9;47;40;31;7;53;5;48;61;56;4;10;11;32;3;30;20;36;15;29;27;1;49;43;50;55;58;23;42
51;57;45;37;39;25;28;46;60;13;17;26;8;59;44;54;38;21;24;2;34;41;64;52;33;12;6;62;18;63;16;22;19;35;14;9;47;40;31;7;53;5;48;61;56;4;10;11;32;3;30;20;36;15;29;27;1;49;43;50;55;58;23;42;2;292
2;292;51;57;45;37;39;25;28;46;60;13;17;26;8;59;44;54;38;21;24;2;34;41;64;52;33;12;6;62;18;63;16;22;19;35;14;9;47;40;31;7;53;5;48;61;56;4;10;11;32;3;30;20;36;15;29;27;1;49;43;50;55;58;23;42
51;57;45;37;39;25;28;46;60;13;17;38;8;59;44;54;26;21;24;2;34;41;64;52;33;12;6;62;18;63;16;22;19;35;14;9;47;40;31;7;53;5;48;61;56;4;10;11;32;3;30;20;36;15;29;27;1;49;43;50;55;58;23;42;2;284
2;284;51;57;45;37;39;25;28;46;60;13;17;38;8;59;44;54;26;21;24;2;34;41;64;52;33;12;6;62;18;63;16;22;19;35;14;9;47;40;31;7;53;5;48;61;56;4;10;11;32;3;30;20;36;15;29;27;1;49;43;50;55;58;23;42
51;57;45;37;39;25;28;46;60;13;17;38;8;59;44;54;26;21;24;2;34;41;64;52;33;12;6;62;18;63;16;22;19;35;14;9;47;40;31;7;11;5;48;61;56;4;10;53;32;3;30;20;36;15;29;27;1;49;43;50;55;58;23;42;2;284
2;284;51;57;45;37;39;25;28;46;60;13;17;38;8;59;44;54;26;21;24;2;34;41;64;52;33;12;6;62;18;63;16;22;19;35;14;9;47;40;31;7;11;5;48;61;56;4;10;53;32;3;30;20;36;15;29;27;1;49;43;50;55;58;23;42
51;57;45;37;39;25;28;46;60;13;17;38;8;24;44;54;26;21;59;2;34;41;64;52;33;12;6;62;18;63;16;22;19;35;14;9;47;40;31;7;11;5;48;61;56;4;10;53;32;3;30;20;36;15;29;27;1;49;43;50;55;58;23;42;2;296
2;296;51;57;45;37;39;25;28;46;60;13;17;38;8;24;44;54;26;21;59;2;34;41;64;52;33;12;6;62;18;63;16;22;19;35;14;9;47;40;31;7;11;5;48;61;56;4;10;53;32;3;30;20;36;15;29;27;1;49;43;50;55;58;23;42
51;57;45;37;39;25;28;46;60;13;17;38;8;24;44;54;26;21;59;2;64;41;34;52;33;12;6;62;18;63;16;22;19;35;14;9;47;40;31;7;11;5;48;61;56;4;10;53;32;3;30;20;36;15;29;27;1;49;43;50;55;58;23;42;2;296
2;296;51;57;45;37;39;25;28;46;60;13;17;38;8;24;44;54;26;21;59;2;64;41;34;52;33;12;6;62;18;63;16;22;19;35;14;9;47;40;31;7;11;5;48;61;56;4;10;53;32;3;30;20;36;15;29;27;1;49;43;50;55;58;23;42
51;57;45;37;39;25;28;46;60;13;17;38;8;24;44;54;26;21;59;2;64;41;34;52;33;12;6;62;18;63;16;22;19;35;14;9;47;40;31;7;11;5;48;61;56;4;10;53;32;3;30;20;36;15;29;27;1;49;43;50;55;23;58;42;2;296
2;296;51;57;45;37;39;25;28;46;60;13;17;38;8;24;44;54;26;21;59;2;64;41;34;52;33;12;6;62;18;63;16;22;19;35;14;9;47;40;31;7;11;5;48;61;56;4;10;53;32;3;30;20;36;15;29;27;1;49;43;50;55;23;58;42
51;57;45;37;39;25;28;46;60;13;17;38;8;24;44;54;26;21;59;2;64;41;34;52;33;12;6;62;18;63;16;22;19;35;42;9;47;40;31;7;11;5;48;61;56;4;10;53;32;3;30;20;36;15;29;27;1;49;43;50;55;23;58;14;2;296
2;296;51;57;45;37;39;25;28;46;60;13;17;38;8;24;44;54;26;21;59;2;64;41;34;52;33;12;6;62;18;63;16;22;19;35;42;9;47;40;31;7;11;5;48;61;56;4;10;53;32;3;30;20;36;15;29;27;1;49;43;50;55;23;58;14
51;57;45;37;39;25;28;46;60;13;17;38;8;24;44;54;26;21;59;2;64;41;34;52;33;12;6;62;18;63;16;22;19;35;50;9;47;40;31;7;11;5;48;61;56;4;10;53;32;3;30;20;36;15;29;27;1;49;43;42;55;23;58;14;2;292
2;292;51;57;45;37;39;25;28;46;60;13;17;38;8;24;44;54;26;21;59;2;64;41;34;52;33;12;6;62;18;63;16;22;19;35;50;9;47;40;31;7;11;5;48;61;56;4;10;53;32;3;30;20;36;15;29;27;1;49;43;42;55;23;58;14
51;57;45;37;39;25;28;46;60;13;17;38;10;24;44;54;26;21;59;2;64;41;34;52;33;12;6;62;18;63;16;22;19;35;50;9;47;40;31;7;11;5;48;61;56;4;8;53;32;3;30;20;36;15;29;27;1;49;43;42;55;23;58;14;2;292
2;292;51;57;45;37;39;25;28;46;60;13;17;38;10;24;44;54;26;21;59;2;64;41;34;52;33;12;6;62;18;63;16;22;19;35;50;9;47;40;31;7;11;5;48;61;56;4;8;53;32;3;30;20;36;15;29;27;1;49;43;42;55;23;58;14
51;57;45;37;39;25;28;46;60;13;17;38;49;24;44;54;26;21;59;2;64;41;34;52;33;12;6;62;18;63;16;22;19;35;50;9;47;40;31;7;11;5;48;61;56;4;8;53;32;3;30;20;36;15;29;27;1;10;43;42;55;23;58;14;2;292
2;292;51;57;45;37;39;25;28;46;60;13;17;38;49;24;44;54;26;21;59;2;64;41;34;52;33;12;6;62;18;63;16;22;19;35;50;9;47;40;31;7;11;5;48;61;56;4;8;53;32;3;30;20;36;15;29;27;1;10;43;42;55;23;58;14
51;57;45;37;39;25;28;46;60;43;17;38;49;24;44;54;26;21;59;2;64;41;34;52;33;12;6;62;18;63;16;22;19;35;50;9;47;40;31;7;11;5;48;61;56;4;8;53;32;3;30;20;36;15;29;27;1;10;13;42;55;23;58;14;2;292
2;292;51;57;45;37;39;25;28;46;60;43;17;38;49;24;44;54;26;21;59;2;64;41;34;52;33;12;6;62;18;63;16;22;19;35;50;9;47;40;31;7;11;5;48;61;56;4;8;53;32;3;30;20;36;15;29;27;1;10;13;42;55;23;58;14
51;57;45;37;39;25;28;46;60;43;17;38;49;24;44;54;26;21;59;33;64;41;34;52;2;12;6;62;18;63;16;22;19;35;50;9;47;40;31;7;11;5;48;61;56;4;8;53;32;3;30;20;36;15;29;27;1;10;13;42;55;23;58;14;2;288
2;288;51;57;45;37;39;25;28;46;60;43;17;38;49;24;44;54;26;21;59;33;64;41;34;52;2;12;6;62;18;63;16;22;19;35;50;9;47;40;31;7;11;5;48;61;56;4;8;53;32;3;30;20;36;15;29;27;1;10;13;42;55;23;58;14
51;57;45;37;39;25;28;46;60;43;17;38;49;24;44;54;26;21;59;33;64;41;34;52;2;12;6;62;18;63;16;22;19;35;50;9;47;40;10;7;11;5;48;61;56;4;8;53;32;3;30;20;36;15;29;27;1;31;13;42;55;23;58;14;2;276
2;276;51;57;45;37;39;25;28;46;60;43;17;38;49;24;44;54;26;21;59;33;64;41;34;52;2;12;6;62;18;63;16;22;19;35;50;9;47;40;10;7;11;5;48;61;56;4;8;53;32;3;30;20;36;15;29;27;1;31;13;42;55;23;58;14
51;57;45;37;39;25;28;46;60;43;17;38;49;24;44;54;26;21;59;33;64;41;34;52;2;40;6;62;18;63;16;22;19;35;50;9;47;12;10;7;11;5;48;61;56;4;8;53;32;3;30;20;36;15;29;27;1;31;13;42;55;23;58;14;2;276
2;276;51;57;45;37;39;25;28;46;60;43;17;38;49;24;44;54;26;21;59;33;64;41;34;52;2;40;6;62;18;63;16;22;19;35;50;9;47;12;10;7;11;5;48;61;56;4;8;53;32;3;30;20;36;15;29;27;1;31;13;42;55;23;58;14
51;57;45;37;39;25;28;46;60;43;17;38;49;24;44;32;26;21;59;33;64;41;34;52;2;40;6;62;18;63;16;22;19;35;50;9;47;12;10;7;11;5;48;61;56;4;8;53;54;3;30;20;36;15;29;27;1;31;13;42;55;23;58;14;2;276
2;276;51;57;45;37;39;25;28;46;60;43;17;38;49;24;44;32;26;21;59;33;64;41;34;52;2;40;6;62;18;63;16;22;19;35;50;9;47;12;10;7;11;5;48;61;56;4;8;53;54;3;30;20;36;15;29;27;1;31;13;42;55;23;58;14
51;57;45;37;39;25;28;46;60;43;17;38;49;24;44;58;26;21;59;33;64;41;34;52;2;40;6;62;18;63;16;22;19;35;50;9;47;12;10;7;11;5;48;61;56;4;8;53;54;3;30;20;36;15;29;27;1;31;13;42;55;23;32;14;2;276
2;276;51;57;45;37;39;25;28;46;60;43;17;38;49;24;44;58;26;21;59;33;64;41;34;52;2;40;6;62;18;63;16;22;19;35;50;9;47;12;10;7;11;5;48;61;56;4;8;53;54;3;30;20;36;15;29;27;1;31;13;42;55;23;32;14
51;57;45;37;39;25;28;46;60;43;17;38;49;24;44;58;26;21;59;33;64;41;4;52;2;40;6;62;18;63;16;22;19;35;50;9;47;12;10;7;11;5;48;61;56;34;8;53;54;3;30;20;36;15;29;27;1;31;13;42;55;23;32;14;2;272
2;272;51;57;45;37;39;25;28;46;60;43;17;38;49;24;44;58;26;21;59;33;64;41;4;52;2;40;6;62;18;63;16;22;19;35;50;9;47;12;10;7;11;5;48;61;56;34;8;53;54;3;30;20;36;15;29;27;1;31;13;42;55;23;32;14
51;57;45;64;39;25;28;46;60;43;17;38;49;24;44;58;26;21;59;33;37;41;4;52;2;40;6;62;18;63;16;22;19;35;50;9;47;12;10;7;11;5;48;61;56;34;8;53;54;3;30;20;36;15;29;27;1;31;13;42;55;23;32;14;2;280
2;280;51;57;45;64;39;25;28;46;60;43;17;38;49;24;44;58;26;21;59;33;37;41;4;52;2;40;6;62;18;63;16;22;19;35;50;9;47;12;10;7;11;5;48;61;56;34;8;53;54;3;30;20;36;15;29;27;1;31;13;42;55;23;32;14
51;57;45;64;39;25;28;46;60;43;17;38;49;24;44;58;26;21;59;33;37;41;4;52;2;40;6;62;18;63;16;22;19;35;50;9;47;12;10;7;11;5;48;56;61;34;8;53;54;3;30;20;36;15;29;27;1;31;13;42;55;23;32;14;2;288
3;288;51;57;45;64;39;25;28;46;60;43;17;38;49;24;44;58;26;21;59;33;37;41;4;52;2;40;6;62;18;63;16;22;19;35;50;9;47;12;10;7;11;5;48;56;61;34;8;53;54;3;30;20;36;15;29;27;1;31;13;42;55;23;32;14
51;57;45;64;62;25;28;46;60;43;17;38;49;24;44;58;26;21;59;33;37;41;4;52;2;40;6;39;18;63;16;22;19;35;50;9;47;12;10;7;11;5;48;56;61;34;8;53;54;3;30;20;36;15;29;27;1;31;13;42;55;23;32;14;3;292
3;292;51;57;45;64;62;25;28;46;60;43;17;38;49;24;44;58;26;21;59;33;37;41;4;52;2;40;6;39;18;63;16;22;19;35;50;9;47;12;10;7;11;5;48;56;61;34;8;53;54;3;30;20;36;15;29;27;1;31;13;42;55;23;32;14
51;57;45;64;62;25;28;46;60;43;17;38;49;24;44;58;26;21;59;33;37;41;4;52;2;40;6;39;18;63;16;22;19;23;50;9;47;12;10;7;11;5;48;56;61;34;8;53;54;3;30;20;36;15;29;27;1;31;13;42;55;35;32;14;3;292
3;292;51;57;45;64;62;25;28;46;60;43;17;38;49;24;44;58;26;21;59;33;37;41;4;52;2;40;6;39;18;63;16;22;19;23;50;9;47;12;10;7;11;5;48;56;61;34;8;53;54;3;30;20;36;15;29;27;1;31;13;42;55;35;32;14
51;57;45;64;27;25;28;46;60;43;17;38;49;24;44;58;26;21;59;33;37;41;4;52;2;40;6;39;18;63;16;22;19;23;50;9;47;12;10;7;11;5;48;56;61;34;8;53;54;3;30;20;36;15;29;62;1;31;13;42;55;35;32;14;3;292
3;292;51;57;45;64;27;25;28;46;60;43;17;38;49;24;44;58;26;21;59;33;37;41;4;52;2;40;6;39;18;63;16;22;19;23;50;9;47;12;10;7;11;5;48;56;61;34;8;53;54;3;30;20;36;15;29;62;1;31;13;42;55;35;32;14
51;57;45;64;27;25;28;46;60;43;17;38;49;24;44;58;26;21;59;33;37;41;4;52;2;40;6;39;18;10;16;22;19;23;50;9;47;12;63;7;11;5;48;56;61;34;8;53;54;3;30;20;36;15;29;62;1;31;13;42;55;35;32;14;3;318
3;318;51;57;45;64;27;25;28;46;60;43;17;38;49;24;44;58;26;21;59;33;37;41;4;52;2;40;6;39;18;10;16;22;19;23;50;9;47;12;63;7;11;5;48;56;61;34;8;53;54;3;30;20;36;15;29;62;1;31;13;42;55;35;32;14
51;57;45;64;27;25;28;38;60;43;17;46;49;24;44;58;26;21;59;33;37;41;4;52;2;40;6;39;18;10;16;22;19;23;50;9;47;12;63;7;11;5;48;56;61;34;8;53;54;3;30;20;36;15;29;62;1;31;13;42;55;35;32;14;3;322
3;322;51;57;45;64;27;25;28;38;60;43;17;46;49;24;44;58;26;21;59;33;37;41;4;52;2;40;6;39;18;10;16;22;19;23;50;9;47;12;63;7;11;5;48;56;61;34;8;53;54;3;30;20;36;15;29;62;1;31;13;42;55;35;32;14
51;57;45;64;27;25;28;38;60;43;17;46;49;24;44;58;26;21;59;33;37;32;4;52;2;40;6;39;18;10;16;22;19;23;50;9;47;12;63;7;11;5;48;56;61;34;8;53;54;3;30;20;36;15;29;62;1;31;13;42;55;35;41;14;3;312
3;312;51;57;45;64;27;25;28;38;60;43;17;46;49;24;44;58;26;21;59;33;37;32;4;52;2;40;6;39;18;10;16;22;19;23;50;9;47;12;63;7;11;5;48;56;61;34;8;53;54;3;30;20;36;15;29;62;1;31;13;42;55;35;41;14
51;57;45;64;27;25;28;38;60;43;17;46;49;24;44;58;11;21;59;33;37;32;4;52;2;40;6;39;18;10;16;22;19;23;50;9;47;12;63;7;26;5;48;56;61;34;8;53;54;3;30;20;36;15;29;62;1;31;13;42;55;35;41;14;3;308
3;308;51;57;45;64;27;25;28;38;60;43;17;46;49;24;44;58;11;21;59;33;37;32;4;52;2;40;6;39;18;10;16;22;19;23;50;9;47;12;63;7;26;5;48;56;61;34;8;53;54;3;30;20;36;15;29;62;1;31;13;42;55;35;41;14
47;57;45;64;27;25;28;38;60;43;17;46;49;24;44;58;11;21;59;33;37;32;4;52;2;40;6;39;18;10;16;22;19;23;50;9;51;12;63;7;26;5;48;56;61;34;8;53;54;3;30;20;36;15;29;62;1;31;13;42;55;35;41;14;3;300
3;300;47;57;45;64;27;25;28;38;60;43;17;46;49;24;44;58;11;21;59;33;37;32;4;52;2;40;6;39;18;10;16;22;19;23;50;9;51;12;63;7;26;5;48;56;61;34;8;53;54;3;30;20;36;15;29;62;1;31;13;42;55;35;41;14
47;57;45;64;27;25;28;38;60;52;17;46;49;24;44;58;11;21;59;33;37;32;4;43;2;40;6;39;18;10;16;22;19;23;50;9;51;12;63;7;26;5;48;56;61;34;8;53;54;3;30;20;36;15;29;62;1;31;13;42;55;35;41;14;3;292
3;292;47;57;45;64;27;25;28;38;60;52;17;46;49;24;44;58;11;21;59;33;37;32;4;43;2;40;6;39;18;10;16;22;19;23;50;9;51;12;63;7;26;5;48;56;61;34;8;53;54;3;30;20;36;15;29;62;1;31;13;42;55;35;41;14
47;57;45;64;27;25;28;38;60;52;9;46;49;24;44;58;11;21;59;33;37;32;4;43;2;40;6;39;18;10;16;22;19;23;50;17;51;12;63;7;26;5;48;56;61;34;8;53;54;3;30;20;36;15;29;62;1;31;13;42;55;35;41;14;3;300
3;300;47;57;45;64;27;25;28;38;60;52;9;46;49;24;44;58;11;21;59;33;37;32;4;43;2;40;6;39;18;10;16;22;19;23;50;17;51;12;63;7;26;5;48;56;61;34;8;53;54;3;30;20;36;15;29;62;1;31;13;42;55;35;41;14
47;57;45;64;27;25;28;38;60;52;9;46;37;24;44;58;11;21;59;33;49;32;4;43;2;40;6;39;18;10;16;22;19;23;50;17;51;12;63;7;26;5;48;56;61;34;8;53;54;3;30;20;36;15;29;62;1;31;13;42;55;35;41;14;3;300
