"X1";"X304";"X43";"X11";"X37";"X32";"X53";"X20";"X35";"X41";"X15";"X40";"X50";"X26";"X13";"X14";"X34";"X1.1";"X19";"X42";"X7";"X6";"X29";"X57";"X16";"X2";"X18";"X38";"X12";"X46";"X8";"X36";"X58";"X45";"X64";"X56";"X55";"X17";"X22";"X5";"X61";"X3";"X10";"X59";"X51";"X31";"X33";"X47";"X9";"X48";"X39";"X62";"X24";"X44";"X63";"X4";"X25";"X23";"X21";"X54";"X27";"X60";"X28";"X52";"X49";"X30"
43;62;37;41;53;20;35;32;15;40;50;26;13;14;34;1;8;42;7;6;28;46;16;2;18;38;12;58;19;36;57;45;64;56;55;17;22;5;61;3;10;59;51;31;33;47;9;48;39;11;24;44;63;4;25;23;21;54;27;60;29;52;49;30;1;274
1;274;43;62;37;41;53;20;35;32;15;40;50;26;13;14;34;1;8;42;7;6;28;46;16;2;18;38;12;58;19;36;57;45;64;56;55;17;22;5;61;3;10;59;51;31;33;47;9;48;39;11;24;44;63;4;25;23;21;54;27;60;29;52;49;30
43;62;37;41;53;20;35;32;46;40;50;26;13;14;34;1;8;42;7;6;28;15;16;2;18;38;12;58;19;36;57;45;64;56;55;17;22;5;61;3;10;59;51;31;33;47;9;48;39;11;24;44;63;4;25;23;21;54;27;60;29;52;49;30;1;276
1;276;43;62;37;41;53;20;35;32;46;40;50;26;13;14;34;1;8;42;7;6;28;15;16;2;18;38;12;58;19;36;57;45;64;56;55;17;22;5;61;3;10;59;51;31;33;47;9;48;39;11;24;44;63;4;25;23;21;54;27;60;29;52;49;30
43;62;37;41;28;20;35;32;46;40;50;26;13;14;34;1;8;42;7;6;53;15;16;2;18;38;12;58;19;36;57;45;64;56;55;17;22;5;61;3;10;59;51;31;33;47;9;48;39;11;24;44;63;4;25;23;21;54;27;60;29;52;49;30;1;276
1;276;43;62;37;41;28;20;35;32;46;40;50;26;13;14;34;1;8;42;7;6;53;15;16;2;18;38;12;58;19;36;57;45;64;56;55;17;22;5;61;3;10;59;51;31;33;47;9;48;39;11;24;44;63;4;25;23;21;54;27;60;29;52;49;30
43;62;37;41;28;20;35;32;46;40;50;64;13;14;34;1;8;42;7;6;53;15;16;2;18;38;12;58;19;36;57;45;26;56;55;17;22;5;61;3;10;59;51;31;33;47;9;48;39;11;24;44;63;4;25;23;21;54;27;60;29;52;49;30;1;282
1;282;43;62;37;41;28;20;35;32;46;40;50;64;13;14;34;1;8;42;7;6;53;15;16;2;18;38;12;58;19;36;57;45;26;56;55;17;22;5;61;3;10;59;51;31;33;47;9;48;39;11;24;44;63;4;25;23;21;54;27;60;29;52;49;30
43;62;37;41;28;20;48;32;46;40;50;64;13;14;34;1;8;42;7;6;53;15;16;2;18;38;12;58;19;36;57;45;26;56;55;17;22;5;61;3;10;59;51;31;33;47;9;35;39;11;24;44;63;4;25;23;21;54;27;60;29;52;49;30;1;282
1;282;43;62;37;41;28;20;48;32;46;40;50;64;13;14;34;1;8;42;7;6;53;15;16;2;18;38;12;58;19;36;57;45;26;56;55;17;22;5;61;3;10;59;51;31;33;47;9;35;39;11;24;44;63;4;25;23;21;54;27;60;29;52;49;30
43;62;37;41;28;20;48;32;46;40;50;64;13;14;34;1;8;42;19;6;53;15;16;2;18;38;12;58;7;36;57;45;26;56;55;17;22;5;61;3;10;59;51;31;33;47;9;35;39;11;24;44;63;4;25;23;21;54;27;60;29;52;49;30;1;290
1;290;43;62;37;41;28;20;48;32;46;40;50;64;13;14;34;1;8;42;19;6;53;15;16;2;18;38;12;58;7;36;57;45;26;56;55;17;22;5;61;3;10;59;51;31;33;47;9;35;39;11;24;44;63;4;25;23;21;54;27;60;29;52;49;30
43;62;37;41;28;20;48;32;46;40;50;64;13;14;34;1;8;42;19;6;53;15;16;2;18;38;12;58;7;36;57;45;26;56;55;17;22;5;61;3;10;59;51;31;33;47;9;35;39;11;24;44;25;4;63;23;21;54;27;60;29;52;49;30;1;290
1;290;43;62;37;41;28;20;48;32;46;40;50;64;13;14;34;1;8;42;19;6;53;15;16;2;18;38;12;58;7;36;57;45;26;56;55;17;22;5;61;3;10;59;51;31;33;47;9;35;39;11;24;44;25;4;63;23;21;54;27;60;29;52;49;30
43;62;37;48;28;20;41;32;46;40;50;64;13;14;34;1;8;42;19;6;53;15;16;2;18;38;12;58;7;36;57;45;26;56;55;17;22;5;61;3;10;59;51;31;33;47;9;35;39;11;24;44;25;4;63;23;21;54;27;60;29;52;49;30;1;282
1;282;43;62;37;48;28;20;41;32;46;40;50;64;13;14;34;1;8;42;19;6;53;15;16;2;18;38;12;58;7;36;57;45;26;56;55;17;22;5;61;3;10;59;51;31;33;47;9;35;39;11;24;44;25;4;63;23;21;54;27;60;29;52;49;30
43;62;37;48;28;20;41;32;46;40;50;64;13;14;34;1;8;42;19;6;53;15;16;2;18;38;12;58;7;36;57;45;26;56;55;17;22;5;61;3;10;59;51;31;33;47;9;35;24;11;39;44;25;4;63;23;21;54;27;60;29;52;49;30;1;282
1;282;43;62;37;48;28;20;41;32;46;40;50;64;13;14;34;1;8;42;19;6;53;15;16;2;18;38;12;58;7;36;57;45;26;56;55;17;22;5;61;3;10;59;51;31;33;47;9;35;24;11;39;44;25;4;63;23;21;54;27;60;29;52;49;30
43;62;37;48;28;20;41;32;46;40;50;64;13;14;34;1;8;42;19;6;53;15;16;2;18;38;12;58;7;36;57;45;26;56;55;17;22;5;61;3;10;59;51;31;44;47;9;35;24;11;39;33;25;4;63;23;21;54;27;60;29;52;49;30;1;282
1;282;43;62;37;48;28;20;41;32;46;40;50;64;13;14;34;1;8;42;19;6;53;15;16;2;18;38;12;58;7;36;57;45;26;56;55;17;22;5;61;3;10;59;51;31;44;47;9;35;24;11;39;33;25;4;63;23;21;54;27;60;29;52;49;30
43;62;37;48;28;20;41;32;46;40;50;64;13;14;34;11;8;42;19;6;53;15;16;2;18;38;12;58;7;36;57;45;26;56;55;17;22;5;61;3;10;59;51;31;44;47;9;35;24;1;39;33;25;4;63;23;21;54;27;60;29;52;49;30;1;282
1;282;43;62;37;48;28;20;41;32;46;40;50;64;13;14;34;11;8;42;19;6;53;15;16;2;18;38;12;58;7;36;57;45;26;56;55;17;22;5;61;3;10;59;51;31;44;47;9;35;24;1;39;33;25;4;63;23;21;54;27;60;29;52;49;30
43;62;37;48;28;20;41;32;46;40;50;64;13;14;34;11;8;42;19;6;53;15;16;2;18;38;12;33;7;36;57;45;26;56;55;17;22;5;61;3;10;59;51;31;44;47;9;35;24;1;39;58;25;4;63;23;21;54;27;60;29;52;49;30;1;278
1;278;43;62;37;48;28;20;41;32;46;40;50;64;13;14;34;11;8;42;19;6;53;15;16;2;18;38;12;33;7;36;57;45;26;56;55;17;22;5;61;3;10;59;51;31;44;47;9;35;24;1;39;58;25;4;63;23;21;54;27;60;29;52;49;30
43;62;37;48;28;20;41;32;15;40;50;64;13;14;34;11;8;42;19;6;53;46;16;2;18;38;12;33;7;36;57;45;26;56;55;17;22;5;61;3;10;59;51;31;44;47;9;35;24;1;39;58;25;4;63;23;21;54;27;60;29;52;49;30;1;276
1;276;43;62;37;48;28;20;41;32;15;40;50;64;13;14;34;11;8;42;19;6;53;46;16;2;18;38;12;33;7;36;57;45;26;56;55;17;22;5;61;3;10;59;51;31;44;47;9;35;24;1;39;58;25;4;63;23;21;54;27;60;29;52;49;30
4;62;37;48;28;20;41;32;15;40;50;64;13;14;34;11;8;42;19;6;53;46;16;2;18;38;12;33;7;36;57;45;26;56;55;17;22;5;61;3;10;59;51;31;44;47;9;35;24;1;39;58;25;43;63;23;21;54;27;60;29;52;49;30;1;276
1;276;4;62;37;48;28;20;41;32;15;40;50;64;13;14;34;11;8;42;19;6;53;46;16;2;18;38;12;33;7;36;57;45;26;56;55;17;22;5;61;3;10;59;51;31;44;47;9;35;24;1;39;58;25;43;63;23;21;54;27;60;29;52;49;30
4;62;40;48;28;20;41;32;15;37;50;64;13;14;34;11;8;42;19;6;53;46;16;2;18;38;12;33;7;36;57;45;26;56;55;17;22;5;61;3;10;59;51;31;44;47;9;35;24;1;39;58;25;43;63;23;21;54;27;60;29;52;49;30;1;288
2;288;4;62;40;48;28;20;41;32;15;37;50;64;13;14;34;11;8;42;19;6;53;46;16;2;18;38;12;33;7;36;57;45;26;56;55;17;22;5;61;3;10;59;51;31;44;47;9;35;24;1;39;58;25;43;63;23;21;54;27;60;29;52;49;30
31;62;40;48;28;20;41;32;15;37;50;64;13;14;34;11;8;42;19;6;53;46;16;2;18;38;12;33;7;36;57;45;26;56;55;17;22;5;61;3;10;59;51;4;44;47;9;35;24;1;39;58;25;43;63;23;21;54;27;60;29;52;49;30;2;276
2;276;31;62;40;48;28;20;41;32;15;37;50;64;13;14;34;11;8;42;19;6;53;46;16;2;18;38;12;33;7;36;57;45;26;56;55;17;22;5;61;3;10;59;51;4;44;47;9;35;24;1;39;58;25;43;63;23;21;54;27;60;29;52;49;30
31;62;40;48;28;63;41;32;15;37;50;64;13;14;34;11;8;42;19;6;53;46;16;2;18;38;12;33;7;36;57;45;26;56;55;17;22;5;61;3;10;59;51;4;44;47;9;35;24;1;39;58;25;43;20;23;21;54;27;60;29;52;49;30;2;292
2;292;31;62;40;48;28;63;41;32;15;37;50;64;13;14;34;11;8;42;19;6;53;46;16;2;18;38;12;33;7;36;57;45;26;56;55;17;22;5;61;3;10;59;51;4;44;47;9;35;24;1;39;58;25;43;20;23;21;54;27;60;29;52;49;30
31;62;40;48;28;63;41;32;15;37;50;64;13;14;34;11;8;42;19;6;53;46;16;2;18;38;12;33;7;36;57;45;26;56;55;17;22;5;61;3;10;59;51;4;44;47;9;23;24;1;39;58;25;43;20;35;21;54;27;60;29;52;49;30;2;292
2;292;31;62;40;48;28;63;41;32;15;37;50;64;13;14;34;11;8;42;19;6;53;46;16;2;18;38;12;33;7;36;57;45;26;56;55;17;22;5;61;3;10;59;51;4;44;47;9;23;24;1;39;58;25;43;20;35;21;54;27;60;29;52;49;30
31;62;40;48;28;63;41;32;15;37;50;64;13;14;34;11;8;42;19;6;53;46;16;2;18;38;12;33;7;36;57;45;26;56;55;17;22;5;61;3;10;59;51;4;44;47;9;23;24;1;39;58;25;35;20;43;21;54;27;60;29;52;49;30;2;292
2;292;31;62;40;48;28;63;41;32;15;37;50;64;13;14;34;11;8;42;19;6;53;46;16;2;18;38;12;33;7;36;57;45;26;56;55;17;22;5;61;3;10;59;51;4;44;47;9;23;24;1;39;58;25;35;20;43;21;54;27;60;29;52;49;30
31;62;40;48;28;63;41;32;15;37;50;64;13;14;34;11;8;42;5;6;53;46;16;2;18;38;12;33;7;36;57;45;26;56;55;17;22;19;61;3;10;59;51;4;44;47;9;23;24;1;39;58;25;35;20;43;21;54;27;60;29;52;49;30;2;280
2;280;31;62;40;48;28;63;41;32;15;37;50;64;13;14;34;11;8;42;5;6;53;46;16;2;18;38;12;33;7;36;57;45;26;56;55;17;22;19;61;3;10;59;51;4;44;47;9;23;24;1;39;58;25;35;20;43;21;54;27;60;29;52;49;30
31;62;40;48;28;63;41;32;15;37;50;64;13;14;34;11;8;42;5;6;53;46;16;2;18;38;12;33;7;36;57;45;26;56;55;17;22;58;61;3;10;59;51;4;44;47;9;23;24;1;39;19;25;35;20;43;21;54;27;60;29;52;49;30;2;280
2;280;31;62;40;48;28;63;41;32;15;37;50;64;13;14;34;11;8;42;5;6;53;46;16;2;18;38;12;33;7;36;57;45;26;56;55;17;22;58;61;3;10;59;51;4;44;47;9;23;24;1;39;19;25;35;20;43;21;54;27;60;29;52;49;30
31;62;40;48;28;63;41;32;15;37;50;64;13;26;34;11;8;42;5;6;53;46;16;2;18;38;12;33;7;36;57;45;14;56;55;17;22;58;61;3;10;59;51;4;44;47;9;23;24;1;39;19;25;35;20;43;21;54;27;60;29;52;49;30;2;296
2;296;31;62;40;48;28;63;41;32;15;37;50;64;13;26;34;11;8;42;5;6;53;46;16;2;18;38;12;33;7;36;57;45;14;56;55;17;22;58;61;3;10;59;51;4;44;47;9;23;24;1;39;19;25;35;20;43;21;54;27;60;29;52;49;30
31;62;40;48;28;45;41;32;15;37;50;64;13;26;34;11;8;42;5;6;53;46;16;2;18;38;12;33;7;36;57;63;14;56;55;17;22;58;61;3;10;59;51;4;44;47;9;23;24;1;39;19;25;35;20;43;21;54;27;60;29;52;49;30;2;292
2;292;31;62;40;48;28;45;41;32;15;37;50;64;13;26;34;11;8;42;5;6;53;46;16;2;18;38;12;33;7;36;57;63;14;56;55;17;22;58;61;3;10;59;51;4;44;47;9;23;24;1;39;19;25;35;20;43;21;54;27;60;29;52;49;30
31;62;40;48;28;45;41;32;15;37;50;64;13;26;34;11;8;42;5;6;53;46;16;2;18;38;12;33;7;36;57;63;14;56;55;17;22;58;61;3;10;59;51;4;44;9;47;23;24;1;39;19;25;35;20;43;21;54;27;60;29;52;49;30;2;284
2;284;31;62;40;48;28;45;41;32;15;37;50;64;13;26;34;11;8;42;5;6;53;46;16;2;18;38;12;33;7;36;57;63;14;56;55;17;22;58;61;3;10;59;51;4;44;9;47;23;24;1;39;19;25;35;20;43;21;54;27;60;29;52;49;30
31;62;40;48;28;45;41;32;15;37;50;64;13;26;34;11;8;42;5;6;53;46;16;2;18;38;12;33;7;36;57;9;14;56;55;17;22;58;61;3;10;59;51;4;44;63;47;23;24;1;39;19;25;35;20;43;21;54;27;60;29;52;49;30;2;292
2;292;31;62;40;48;28;45;41;32;15;37;50;64;13;26;34;11;8;42;5;6;53;46;16;2;18;38;12;33;7;36;57;9;14;56;55;17;22;58;61;3;10;59;51;4;44;63;47;23;24;1;39;19;25;35;20;43;21;54;27;60;29;52;49;30
43;62;40;48;28;45;41;32;15;37;50;64;13;26;34;11;8;42;5;6;53;46;16;2;18;38;12;33;7;36;57;9;14;56;55;17;22;58;61;3;10;59;51;4;44;63;47;23;24;1;39;19;25;35;20;31;21;54;27;60;29;52;49;30;2;292
2;292;43;62;40;48;28;45;41;32;15;37;50;64;13;26;34;11;8;42;5;6;53;46;16;2;18;38;12;33;7;36;57;9;14;56;55;17;22;58;61;3;10;59;51;4;44;63;47;23;24;1;39;19;25;35;20;31;21;54;27;60;29;52;49;30
43;62;40;48;28;45;41;60;15;37;50;64;13;26;34;11;8;42;5;6;53;46;16;2;18;38;12;33;7;36;57;9;14;56;55;17;22;58;61;3;10;59;51;4;44;63;47;23;24;1;39;19;25;35;20;31;21;54;27;32;29;52;49;30;2;296
2;296;43;62;40;48;28;45;41;60;15;37;50;64;13;26;34;11;8;42;5;6;53;46;16;2;18;38;12;33;7;36;57;9;14;56;55;17;22;58;61;3;10;59;51;4;44;63;47;23;24;1;39;19;25;35;20;31;21;54;27;32;29;52;49;30
43;62;40;48;28;45;41;60;15;37;50;64;13;26;34;11;8;42;5;6;53;46;16;2;18;38;12;33;7;36;57;9;14;56;55;17;22;1;61;3;10;59;51;4;44;63;47;23;24;58;39;19;25;35;20;31;21;54;27;32;29;52;49;30;2;296
2;296;43;62;40;48;28;45;41;60;15;37;50;64;13;26;34;11;8;42;5;6;53;46;16;2;18;38;12;33;7;36;57;9;14;56;55;17;22;1;61;3;10;59;51;4;44;63;47;23;24;58;39;19;25;35;20;31;21;54;27;32;29;52;49;30
43;62;40;35;28;45;41;60;15;37;50;64;13;26;34;11;8;42;5;6;53;46;16;2;18;38;12;33;7;36;57;9;14;56;55;17;22;1;61;3;10;59;51;4;44;63;47;23;24;58;39;19;25;48;20;31;21;54;27;32;29;52;49;30;2;296
2;296;43;62;40;35;28;45;41;60;15;37;50;64;13;26;34;11;8;42;5;6;53;46;16;2;18;38;12;33;7;36;57;9;14;56;55;17;22;1;61;3;10;59;51;4;44;63;47;23;24;58;39;19;25;48;20;31;21;54;27;32;29;52;49;30
43;62;40;35;28;45;41;60;15;37;50;64;13;26;34;11;8;42;5;6;53;46;16;2;18;38;12;33;7;36;57;9;14;56;55;17;47;1;61;3;10;59;51;4;44;63;22;23;24;58;39;19;25;48;20;31;21;54;27;32;29;52;49;30;2;300
2;300;43;62;40;35;28;45;41;60;15;37;50;64;13;26;34;11;8;42;5;6;53;46;16;2;18;38;12;33;7;36;57;9;14;56;55;17;47;1;61;3;10;59;51;4;44;63;22;23;24;58;39;19;25;48;20;31;21;54;27;32;29;52;49;30
43;62;40;35;28;45;41;60;15;37;50;64;13;26;34;11;8;42;5;6;53;46;9;2;18;38;12;33;7;36;57;16;14;56;55;17;47;1;61;3;10;59;51;4;44;63;22;23;24;58;39;19;25;48;20;31;21;54;27;32;29;52;49;30;2;306
2;306;43;62;40;35;28;45;41;60;15;37;50;64;13;26;34;11;8;42;5;6;53;46;9;2;18;38;12;33;7;36;57;16;14;56;55;17;47;1;61;3;10;59;51;4;44;63;22;23;24;58;39;19;25;48;20;31;21;54;27;32;29;52;49;30
43;62;40;35;28;45;41;60;15;37;50;64;13;26;34;11;8;42;5;6;53;46;9;2;18;38;12;33;7;36;57;16;14;56;55;17;47;1;61;3;10;59;51;4;44;63;22;23;24;58;39;30;25;48;20;31;21;54;27;32;29;52;49;19;2;306
2;306;43;62;40;35;28;45;41;60;15;37;50;64;13;26;34;11;8;42;5;6;53;46;9;2;18;38;12;33;7;36;57;16;14;56;55;17;47;1;61;3;10;59;51;4;44;63;22;23;24;58;39;30;25;48;20;31;21;54;27;32;29;52;49;19
43;62;40;35;28;45;41;60;15;37;50;64;13;26;34;11;8;42;5;6;53;46;9;2;18;38;12;33;7;36;57;16;21;56;55;17;47;1;61;3;10;59;51;4;44;63;22;23;24;58;39;30;25;48;20;31;14;54;27;32;29;52;49;19;2;300
2;300;43;62;40;35;28;45;41;60;15;37;50;64;13;26;34;11;8;42;5;6;53;46;9;2;18;38;12;33;7;36;57;16;21;56;55;17;47;1;61;3;10;59;51;4;44;63;22;23;24;58;39;30;25;48;20;31;14;54;27;32;29;52;49;19
43;62;40;35;28;45;41;60;15;37;50;64;13;26;34;11;8;42;5;6;53;46;9;2;18;38;32;33;7;36;57;16;21;56;55;17;47;1;61;3;10;59;51;4;44;63;22;23;24;58;39;30;25;48;20;31;14;54;27;12;29;52;49;19;2;288
2;288;43;62;40;35;28;45;41;60;15;37;50;64;13;26;34;11;8;42;5;6;53;46;9;2;18;38;32;33;7;36;57;16;21;56;55;17;47;1;61;3;10;59;51;4;44;63;22;23;24;58;39;30;25;48;20;31;14;54;27;12;29;52;49;19
43;62;40;35;28;45;41;60;15;37;50;64;13;26;34;11;8;30;5;6;53;46;9;2;18;38;32;33;7;36;57;16;21;56;55;17;47;1;61;3;10;59;51;4;44;63;22;23;24;58;39;42;25;48;20;31;14;54;27;12;29;52;49;19;2;288
3;288;43;62;40;35;28;45;41;60;15;37;50;64;13;26;34;11;8;30;5;6;53;46;9;2;18;38;32;33;7;36;57;16;21;56;55;17;47;1;61;3;10;59;51;4;44;63;22;23;24;58;39;42;25;48;20;31;14;54;27;12;29;52;49;19
43;62;40;35;28;45;41;25;15;37;50;64;13;26;34;11;8;30;5;6;53;46;9;2;18;38;32;33;7;36;57;16;21;56;55;17;47;1;61;3;10;59;51;4;44;63;22;23;24;58;39;42;60;48;20;31;14;54;27;12;29;52;49;19;3;288
3;288;43;62;40;35;28;45;41;25;15;37;50;64;13;26;34;11;8;30;5;6;53;46;9;2;18;38;32;33;7;36;57;16;21;56;55;17;47;1;61;3;10;59;51;4;44;63;22;23;24;58;39;42;60;48;20;31;14;54;27;12;29;52;49;19
43;29;40;35;28;45;41;25;15;37;50;64;13;26;34;11;8;30;5;6;53;46;9;2;18;38;32;33;7;36;57;16;21;56;55;17;47;1;61;3;10;59;51;4;44;63;22;23;24;58;39;42;60;48;20;31;14;54;27;12;62;52;49;19;3;288
3;288;43;29;40;35;28;45;41;25;15;37;50;64;13;26;34;11;8;30;5;6;53;46;9;2;18;38;32;33;7;36;57;16;21;56;55;17;47;1;61;3;10;59;51;4;44;63;22;23;24;58;39;42;60;48;20;31;14;54;27;12;62;52;49;19
43;20;40;35;28;45;41;25;15;37;50;64;13;26;34;11;8;30;5;6;53;46;9;2;18;38;32;33;7;36;57;16;21;56;55;17;47;1;61;3;10;59;51;4;44;63;22;23;24;58;39;42;60;48;29;31;14;54;27;12;62;52;49;19;3;288
3;288;43;20;40;35;28;45;41;25;15;37;50;64;13;26;34;11;8;30;5;6;53;46;9;2;18;38;32;33;7;36;57;16;21;56;55;17;47;1;61;3;10;59;51;4;44;63;22;23;24;58;39;42;60;48;29;31;14;54;27;12;62;52;49;19
43;20;40;35;28;45;41;25;15;37;50;64;13;26;34;11;8;30;5;6;53;46;9;7;18;38;32;33;2;36;57;16;21;56;55;17;47;1;61;3;10;59;51;4;44;63;22;23;24;58;39;42;60;48;29;31;14;54;27;12;62;52;49;19;3;288
3;288;43;20;40;35;28;45;41;25;15;37;50;64;13;26;34;11;8;30;5;6;53;46;9;7;18;38;32;33;2;36;57;16;21;56;55;17;47;1;61;3;10;59;51;4;44;63;22;23;24;58;39;42;60;48;29;31;14;54;27;12;62;52;49;19
43;20;55;35;28;45;41;25;15;37;50;64;13;26;34;11;8;30;5;6;53;46;9;7;18;38;32;33;2;36;57;16;21;56;40;17;47;1;61;3;10;59;51;4;44;63;22;23;24;58;39;42;60;48;29;31;14;54;27;12;62;52;49;19;3;296
3;288;43;20;40;35;28;45;41;25;15;37;50;64;13;26;34;11;8;30;5;6;53;46;9;7;18;38;32;33;2;36;57;16;21;56;55;17;47;1;61;3;10;59;51;4;44;63;22;23;24;58;39;42;60;48;29;31;14;54;27;12;62;52;49;19
43;20;40;35;28;45;41;25;15;37;50;64;13;26;34;11;27;30;5;6;53;46;9;7;18;38;32;33;2;36;57;16;21;56;55;17;47;1;61;3;10;59;51;4;44;63;22;23;24;58;39;42;60;48;29;31;14;54;8;12;62;52;49;19;3;288
3;288;43;20;40;35;28;45;41;25;15;37;50;64;13;26;34;11;27;30;5;6;53;46;9;7;18;38;32;33;2;36;57;16;21;56;55;17;47;1;61;3;10;59;51;4;44;63;22;23;24;58;39;42;60;48;29;31;14;54;8;12;62;52;49;19
43;20;40;35;28;45;41;25;15;37;50;64;13;26;34;11;27;30;5;6;53;46;9;7;18;38;32;33;2;36;57;16;21;56;55;17;47;1;61;3;10;42;51;4;44;63;22;23;24;58;39;59;60;48;29;31;14;54;8;12;62;52;49;19;3;288
3;288;43;20;40;35;28;45;41;25;15;37;50;64;13;26;34;11;27;30;5;6;53;46;9;7;18;38;32;33;2;36;57;16;21;56;55;17;47;1;61;3;10;42;51;4;44;63;22;23;24;58;39;59;60;48;29;31;14;54;8;12;62;52;49;19
43;20;40;35;28;45;41;25;15;37;50;64;13;26;34;11;27;30;5;6;53;46;9;7;18;38;32;33;2;36;57;16;21;56;55;17;47;63;61;3;10;42;51;4;44;1;22;23;24;58;39;59;60;48;29;31;14;54;8;12;62;52;49;19;3;272
3;272;43;20;40;35;28;45;41;25;15;37;50;64;13;26;34;11;27;30;5;6;53;46;9;7;18;38;32;33;2;36;57;16;21;56;55;17;47;63;61;3;10;42;51;4;44;1;22;23;24;58;39;59;60;48;29;31;14;54;8;12;62;52;49;19
43;20;40;35;28;45;41;25;15;37;50;64;13;26;34;11;27;30;5;6;53;46;9;7;48;38;32;33;2;36;57;16;21;56;55;17;47;63;61;3;10;42;51;4;44;1;22;23;24;58;39;59;60;18;29;31;14;54;8;12;62;52;49;19;3;272
3;272;43;20;40;35;28;45;41;25;15;37;50;64;13;26;34;11;27;30;5;6;53;46;9;7;48;38;32;33;2;36;57;16;21;56;55;17;47;63;61;3;10;42;51;4;44;1;22;23;24;58;39;59;60;18;29;31;14;54;8;12;62;52;49;19
43;20;40;35;28;45;41;25;15;37;50;64;13;26;34;11;27;30;5;6;53;46;9;7;48;38;32;33;2;36;57;16;21;56;55;17;47;63;61;3;44;42;51;4;10;1;22;23;24;58;39;59;60;18;29;31;14;54;8;12;62;52;49;19;3;272
3;272;43;20;40;35;28;45;41;25;15;37;50;64;13;26;34;11;27;30;5;6;53;46;9;7;48;38;32;33;2;36;57;16;21;56;55;17;47;63;61;3;44;42;51;4;10;1;22;23;24;58;39;59;60;18;29;31;14;54;8;12;62;52;49;19
43;20;40;35;28;45;41;25;15;37;50;64;13;26;34;11;27;30;5;6;53;46;9;7;48;38;32;33;2;36;57;16;21;56;55;17;47;63;61;3;44;54;51;4;10;1;22;23;24;58;39;59;60;18;29;31;14;42;8;12;62;52;49;19;3;272
