"X1";"X27466";"X5";"X3";"X20";"X13";"X19";"X9";"X16";"X32";"X7";"X8";"X25";"X4";"X29";"X17";"X23";"X2";"X6";"X1.1";"X15";"X31";"X27";"X26";"X21";"X18";"X30";"X11";"X14";"X10";"X28";"X12";"X24";"X22"
12;3;24;27;19;9;22;32;16;11;25;4;29;8;23;2;6;5;30;31;21;13;1;18;20;26;14;10;28;17;15;7;1;27190
1;27190;12;3;24;27;19;9;22;32;16;11;25;4;29;8;23;2;6;5;30;31;21;13;1;18;20;26;14;10;28;17;15;7
12;3;16;27;19;9;22;32;24;11;25;4;29;8;23;2;6;5;30;31;21;13;1;18;20;26;14;10;28;17;15;7;1;27446
1;27446;12;3;16;27;19;9;22;32;24;11;25;4;29;8;23;2;6;5;30;31;21;13;1;18;20;26;14;10;28;17;15;7
4;3;16;27;19;9;22;32;24;11;25;12;29;8;23;2;6;5;30;31;21;13;1;18;20;26;14;10;28;17;15;7;1;27406
1;27406;4;3;16;27;19;9;22;32;24;11;25;12;29;8;23;2;6;5;30;31;21;13;1;18;20;26;14;10;28;17;15;7
4;3;16;27;19;9;22;32;24;11;23;12;29;8;25;2;6;5;30;31;21;13;1;18;20;26;14;10;28;17;15;7;1;27266
1;27266;4;3;16;27;19;9;22;32;24;11;23;12;29;8;25;2;6;5;30;31;21;13;1;18;20;26;14;10;28;17;15;7
4;3;16;27;14;9;22;32;24;11;23;12;29;8;25;2;6;5;30;31;21;13;1;18;20;26;19;10;28;17;15;7;1;27404
1;27404;4;3;16;27;14;9;22;32;24;11;23;12;29;8;25;2;6;5;30;31;21;13;1;18;20;26;19;10;28;17;15;7
26;3;16;27;14;9;22;32;24;11;23;12;29;8;25;2;6;5;30;31;21;13;1;18;20;4;19;10;28;17;15;7;1;27060
1;27060;26;3;16;27;14;9;22;32;24;11;23;12;29;8;25;2;6;5;30;31;21;13;1;18;20;4;19;10;28;17;15;7
26;3;24;27;14;9;22;32;16;11;23;12;29;8;25;2;6;5;30;31;21;13;1;18;20;4;19;10;28;17;15;7;1;27436
2;27436;26;3;24;27;14;9;22;32;16;11;23;12;29;8;25;2;6;5;30;31;21;13;1;18;20;4;19;10;28;17;15;7
26;3;24;27;14;9;22;32;16;11;23;12;25;8;29;2;6;5;30;31;21;13;1;18;20;4;19;10;28;17;15;7;2;27296
2;27296;26;3;24;27;14;9;22;32;16;11;23;12;25;8;29;2;6;5;30;31;21;13;1;18;20;4;19;10;28;17;15;7
26;3;24;27;14;9;22;13;16;11;23;12;25;8;29;2;6;5;30;31;21;32;1;18;20;4;19;10;28;17;15;7;2;27362
2;27362;26;3;24;27;14;9;22;13;16;11;23;12;25;8;29;2;6;5;30;31;21;32;1;18;20;4;19;10;28;17;15;7
26;3;24;27;14;9;22;13;16;11;23;12;25;8;29;2;6;5;31;30;21;32;1;18;20;4;19;10;28;17;15;7;2;27242
2;27242;26;3;24;27;14;9;22;13;16;11;23;12;25;8;29;2;6;5;31;30;21;32;1;18;20;4;19;10;28;17;15;7
26;3;24;27;14;9;22;13;16;11;23;12;25;8;29;15;6;5;31;30;21;32;1;18;20;4;19;10;28;17;2;7;2;27082
2;27082;26;3;24;27;14;9;22;13;16;11;23;12;25;8;29;15;6;5;31;30;21;32;1;18;20;4;19;10;28;17;2;7
26;8;24;27;14;9;22;13;16;11;23;12;25;3;29;15;6;5;31;30;21;32;1;18;20;4;19;10;28;17;2;7;2;27002
2;27002;26;8;24;27;14;9;22;13;16;11;23;12;25;3;29;15;6;5;31;30;21;32;1;18;20;4;19;10;28;17;2;7
26;8;24;27;14;9;22;13;16;11;23;12;25;3;29;30;6;5;31;15;21;32;1;18;20;4;19;10;28;17;2;7;2;27330
2;27330;26;8;24;27;14;9;22;13;16;11;23;12;25;3;29;30;6;5;31;15;21;32;1;18;20;4;19;10;28;17;2;7
27;8;24;26;14;9;22;13;16;11;23;12;25;3;29;30;6;5;31;15;21;32;1;18;20;4;19;10;28;17;2;7;2;27150
2;27150;27;8;24;26;14;9;22;13;16;11;23;12;25;3;29;30;6;5;31;15;21;32;1;18;20;4;19;10;28;17;2;7
27;8;24;26;14;9;22;13;16;11;23;12;7;3;29;30;6;5;31;15;21;32;1;18;20;4;19;10;28;17;2;25;2;26142
2;26142;27;8;24;26;14;9;22;13;16;11;23;12;7;3;29;30;6;5;31;15;21;32;1;18;20;4;19;10;28;17;2;25
27;8;24;26;14;9;22;13;16;11;23;12;4;3;29;30;6;5;31;15;21;32;1;18;20;7;19;10;28;17;2;25;2;26142
2;26142;27;8;24;26;14;9;22;13;16;11;23;12;4;3;29;30;6;5;31;15;21;32;1;18;20;7;19;10;28;17;2;25
27;8;24;26;14;6;22;13;16;11;23;12;4;3;29;30;9;5;31;15;21;32;1;18;20;7;19;10;28;17;2;25;2;26262
2;26262;27;8;24;26;14;6;22;13;16;11;23;12;4;3;29;30;9;5;31;15;21;32;1;18;20;7;19;10;28;17;2;25
27;8;24;26;14;6;23;13;16;11;22;12;4;3;29;30;9;5;31;15;21;32;1;18;20;7;19;10;28;17;2;25;2;26322
2;26322;27;8;24;26;14;6;23;13;16;11;22;12;4;3;29;30;9;5;31;15;21;32;1;18;20;7;19;10;28;17;2;25
27;8;24;26;14;6;23;17;16;11;22;12;4;3;29;30;9;5;31;15;21;32;1;18;20;7;19;10;28;13;2;25;2;26778
2;26778;27;8;24;26;14;6;23;17;16;11;22;12;4;3;29;30;9;5;31;15;21;32;1;18;20;7;19;10;28;13;2;25
27;8;24;26;14;6;23;17;16;11;22;12;4;3;29;30;9;21;31;15;5;32;1;18;20;7;19;10;28;13;2;25;2;27146
2;27146;27;8;24;26;14;6;23;17;16;11;22;12;4;3;29;30;9;21;31;15;5;32;1;18;20;7;19;10;28;13;2;25
27;8;24;26;14;6;23;17;16;11;22;12;19;3;29;30;9;21;31;15;5;32;1;18;20;7;4;10;28;13;2;25;2;27510
2;27510;27;8;24;26;14;6;23;17;16;11;22;12;19;3;29;30;9;21;31;15;5;32;1;18;20;7;4;10;28;13;2;25
27;8;24;26;18;6;23;17;16;11;22;12;19;3;29;30;9;21;31;15;5;32;1;14;20;7;4;10;28;13;2;25;2;27908
2;27908;27;8;24;26;18;6;23;17;16;11;22;12;19;3;29;30;9;21;31;15;5;32;1;14;20;7;4;10;28;13;2;25
27;26;24;8;18;6;23;17;16;11;22;12;19;3;29;30;9;21;31;15;5;32;1;14;20;7;4;10;28;13;2;25;2;27988
2;27988;27;26;24;8;18;6;23;17;16;11;22;12;19;3;29;30;9;21;31;15;5;32;1;14;20;7;4;10;28;13;2;25
27;26;24;8;18;6;23;17;16;11;22;12;14;3;29;30;9;21;31;15;5;32;1;19;20;7;4;10;28;13;2;25;2;26640
2;26640;27;26;24;8;18;6;23;17;16;11;22;12;14;3;29;30;9;21;31;15;5;32;1;19;20;7;4;10;28;13;2;25
27;26;24;8;18;6;23;17;16;28;22;12;14;3;29;30;9;21;31;15;5;32;1;19;20;7;4;10;11;13;2;25;2;26256
2;26256;27;26;24;8;18;6;23;17;16;28;22;12;14;3;29;30;9;21;31;15;5;32;1;19;20;7;4;10;11;13;2;25
27;26;24;8;18;6;23;17;16;28;22;9;14;3;29;30;12;21;31;15;5;32;1;19;20;7;4;10;11;13;2;25;2;26256
2;26256;27;26;24;8;18;6;23;17;16;28;22;9;14;3;29;30;12;21;31;15;5;32;1;19;20;7;4;10;11;13;2;25
27;26;24;8;18;6;23;17;16;28;22;9;14;3;29;30;12;21;31;15;5;25;1;19;20;7;4;10;11;13;2;32;2;25696
3;25696;27;26;24;8;18;6;23;17;16;28;22;9;14;3;29;30;12;21;31;15;5;25;1;19;20;7;4;10;11;13;2;32
27;26;24;8;18;6;4;17;16;28;22;9;14;3;29;30;12;21;31;15;5;25;1;19;20;7;23;10;11;13;2;32;3;26278
3;26278;27;26;24;8;18;6;4;17;16;28;22;9;14;3;29;30;12;21;31;15;5;25;1;19;20;7;23;10;11;13;2;32
27;26;24;3;18;6;4;17;16;28;22;9;14;8;29;30;12;21;31;15;5;25;1;19;20;7;23;10;11;13;2;32;3;26278
3;26278;27;26;24;3;18;6;4;17;16;28;22;9;14;8;29;30;12;21;31;15;5;25;1;19;20;7;23;10;11;13;2;32
27;26;24;3;18;6;4;17;16;28;22;9;14;8;29;30;12;21;31;15;20;25;1;19;5;7;23;10;11;13;2;32;3;26480
3;26480;27;26;24;3;18;6;4;17;16;28;22;9;14;8;29;30;12;21;31;15;20;25;1;19;5;7;23;10;11;13;2;32
27;26;24;3;18;6;4;2;16;28;22;9;14;8;29;30;12;21;31;15;20;25;1;19;5;7;23;10;11;13;17;32;3;26028
3;26028;27;26;24;3;18;6;4;2;16;28;22;9;14;8;29;30;12;21;31;15;20;25;1;19;5;7;23;10;11;13;17;32
27;26;17;3;18;6;4;2;16;28;22;9;14;8;29;30;12;21;31;15;20;25;1;19;5;7;23;10;11;13;24;32;3;26188
3;26188;27;26;17;3;18;6;4;2;16;28;22;9;14;8;29;30;12;21;31;15;20;25;1;19;5;7;23;10;11;13;24;32
27;26;17;3;18;6;4;2;16;13;22;9;14;8;29;30;12;21;31;15;20;25;1;19;5;7;23;10;11;28;24;32;3;26050
3;26050;27;26;17;3;18;6;4;2;16;13;22;9;14;8;29;30;12;21;31;15;20;25;1;19;5;7;23;10;11;28;24;32
27;26;17;3;18;6;4;2;16;8;22;9;14;13;29;30;12;21;31;15;20;25;1;19;5;7;23;10;11;28;24;32;3;25710
3;25710;27;26;17;3;18;6;4;2;16;8;22;9;14;13;29;30;12;21;31;15;20;25;1;19;5;7;23;10;11;28;24;32
27;26;17;3;18;8;4;2;16;6;22;9;14;13;29;30;12;21;31;15;20;25;1;19;5;7;23;10;11;28;24;32;3;26190
3;26190;27;26;17;3;18;8;4;2;16;6;22;9;14;13;29;30;12;21;31;15;20;25;1;19;5;7;23;10;11;28;24;32
27;26;17;3;18;8;28;2;16;6;22;9;14;13;29;30;12;21;31;15;20;25;1;19;5;7;23;10;11;4;24;32;3;25956
3;25956;27;26;17;3;18;8;28;2;16;6;22;9;14;13;29;30;12;21;31;15;20;25;1;19;5;7;23;10;11;4;24;32
27;26;17;3;25;8;28;2;16;6;22;9;14;13;29;30;12;21;31;15;20;18;1;19;5;7;23;10;11;4;24;32;3;26116
3;26116;27;26;17;3;25;8;28;2;16;6;22;9;14;13;29;30;12;21;31;15;20;18;1;19;5;7;23;10;11;4;24;32
27;26;17;3;25;8;28;2;16;6;22;9;14;13;29;30;12;21;18;15;20;31;1;19;5;7;23;10;11;4;24;32;3;26356
3;26356;27;26;17;3;25;8;28;2;16;6;22;9;14;13;29;30;12;21;18;15;20;31;1;19;5;7;23;10;11;4;24;32
27;26;17;3;25;8;28;2;16;6;22;9;14;13;29;30;12;21;18;15;20;31;1;19;5;7;23;32;11;4;24;10;3;26992
3;26992;27;26;17;3;25;8;28;2;16;6;22;9;14;13;29;30;12;21;18;15;20;31;1;19;5;7;23;32;11;4;24;10
27;26;17;3;25;8;28;2;16;6;22;9;14;13;29;30;12;21;31;15;20;18;1;19;5;7;23;32;11;4;24;10;3;26752
3;26752;27;26;17;3;25;8;28;2;16;6;22;9;14;13;29;30;12;21;31;15;20;18;1;19;5;7;23;32;11;4;24;10
4;26;17;3;25;8;28;2;16;6;22;9;14;13;29;30;12;21;31;15;20;18;1;19;5;7;23;32;11;27;24;10;3;27404
3;27404;4;26;17;3;25;8;28;2;16;6;22;9;14;13;29;30;12;21;31;15;20;18;1;19;5;7;23;32;11;27;24;10
4;26;17;3;25;8;28;2;16;6;22;9;27;13;29;30;12;21;31;15;20;18;1;19;5;7;23;32;11;14;24;10;3;27340
3;27340;4;26;17;3;25;8;28;2;16;6;22;9;27;13;29;30;12;21;31;15;20;18;1;19;5;7;23;32;11;14;24;10
6;26;17;3;25;8;28;2;16;4;22;9;27;13;29;30;12;21;31;15;20;18;1;19;5;7;23;32;11;14;24;10;3;26600
3;26600;6;26;17;3;25;8;28;2;16;4;22;9;27;13;29;30;12;21;31;15;20;18;1;19;5;7;23;32;11;14;24;10
6;26;17;3;25;24;28;2;16;4;22;9;27;13;29;30;12;21;31;15;20;18;1;19;5;7;23;32;11;14;8;10;3;26462
3;26462;6;26;17;3;25;24;28;2;16;4;22;9;27;13;29;30;12;21;31;15;20;18;1;19;5;7;23;32;11;14;8;10
6;26;17;3;25;24;28;2;16;15;22;9;27;13;29;30;12;21;31;4;20;18;1;19;5;7;23;32;11;14;8;10;3;26382
3;26382;6;26;17;3;25;24;28;2;16;15;22;9;27;13;29;30;12;21;31;4;20;18;1;19;5;7;23;32;11;14;8;10
6;26;17;3;25;24;28;2;16;15;22;9;27;18;29;30;12;21;31;4;20;13;1;19;5;7;23;32;11;14;8;10;3;26548
3;26548;6;26;17;3;25;24;28;2;16;15;22;9;27;18;29;30;12;21;31;4;20;13;1;19;5;7;23;32;11;14;8;10
6;20;17;3;25;24;28;2;16;15;22;9;27;18;29;30;12;21;31;4;26;13;1;19;5;7;23;32;11;14;8;10;3;26948
4;26948;6;20;17;3;25;24;28;2;16;15;22;9;27;18;29;30;12;21;31;4;26;13;1;19;5;7;23;32;11;14;8;10
6;20;17;3;25;24;28;2;16;15;22;9;27;18;29;5;12;21;31;4;26;13;1;19;30;7;23;32;11;14;8;10;4;26932
4;26932;6;20;17;3;25;24;28;2;16;15;22;9;27;18;29;5;12;21;31;4;26;13;1;19;30;7;23;32;11;14;8;10
6;20;17;3;25;24;28;2;16;15;22;9;27;18;14;5;12;21;31;4;26;13;1;19;30;7;23;32;11;29;8;10;4;27010
4;27010;6;20;17;3;25;24;28;2;16;15;22;9;27;18;14;5;12;21;31;4;26;13;1;19;30;7;23;32;11;29;8;10
6;20;17;3;25;10;28;2;16;15;22;9;27;18;14;5;12;21;31;4;26;13;1;19;30;7;23;32;11;29;8;24;4;26164
4;26164;6;20;17;3;25;10;28;2;16;15;22;9;27;18;14;5;12;21;31;4;26;13;1;19;30;7;23;32;11;29;8;24
6;20;2;3;25;10;28;17;16;15;22;9;27;18;14;5;12;21;31;4;26;13;1;19;30;7;23;32;11;29;8;24;4;25558
4;25558;6;20;2;3;25;10;28;17;16;15;22;9;27;18;14;5;12;21;31;4;26;13;1;19;30;7;23;32;11;29;8;24
6;20;2;3;25;10;28;17;16;15;1;9;27;18;14;5;12;21;31;4;26;13;22;19;30;7;23;32;11;29;8;24;4;25740
4;25740;6;20;2;3;25;10;28;17;16;15;1;9;27;18;14;5;12;21;31;4;26;13;22;19;30;7;23;32;11;29;8;24
6;20;2;3;25;10;16;17;28;15;1;9;27;18;14;5;12;21;31;4;26;13;22;19;30;7;23;32;11;29;8;24;4;26336
4;26336;6;20;2;3;25;10;16;17;28;15;1;9;27;18;14;5;12;21;31;4;26;13;22;19;30;7;23;32;11;29;8;24
6;20;2;3;25;10;16;30;28;15;1;9;27;18;14;5;12;21;31;4;26;13;22;19;17;7;23;32;11;29;8;24;4;26016
4;26016;6;20;2;3;25;10;16;30;28;15;1;9;27;18;14;5;12;21;31;4;26;13;22;19;17;7;23;32;11;29;8;24
28;20;2;3;25;10;16;30;6;15;1;9;27;18;14;5;12;21;31;4;26;13;22;19;17;7;23;32;11;29;8;24;4;27250
4;27250;28;20;2;3;25;10;16;30;6;15;1;9;27;18;14;5;12;21;31;4;26;13;22;19;17;7;23;32;11;29;8;24
28;20;2;25;3;10;16;30;6;15;1;9;27;18;14;5;12;21;31;4;26;13;22;19;17;7;23;32;11;29;8;24;4;27314
4;27314;28;20;2;25;3;10;16;30;6;15;1;9;27;18;14;5;12;21;31;4;26;13;22;19;17;7;23;32;11;29;8;24
28;20;2;25;3;10;16;30;6;15;1;9;27;18;14;5;12;21;31;4;26;13;24;19;17;7;23;32;11;29;8;22;4;27554
4;27554;28;20;2;25;3;10;16;30;6;15;1;9;27;18;14;5;12;21;31;4;26;13;24;19;17;7;23;32;11;29;8;22
28;14;2;25;3;10;16;30;6;15;1;9;27;18;20;5;12;21;31;4;26;13;24;19;17;7;23;32;11;29;8;22;4;27334
4;27334;28;14;2;25;3;10;16;30;6;15;1;9;27;18;20;5;12;21;31;4;26;13;24;19;17;7;23;32;11;29;8;22
28;14;2;25;3;10;24;30;6;15;1;9;27;18;20;5;12;21;31;4;26;13;16;19;17;7;23;32;11;29;8;22;4;27134
4;27134;28;14;2;25;3;10;24;30;6;15;1;9;27;18;20;5;12;21;31;4;26;13;16;19;17;7;23;32;11;29;8;22
28;14;2;25;3;10;24;30;6;15;1;9;18;27;20;5;12;21;31;4;26;13;16;19;17;7;23;32;11;29;8;22;4;27374
4;27374;28;14;2;25;3;10;24;30;6;15;1;9;18;27;20;5;12;21;31;4;26;13;16;19;17;7;23;32;11;29;8;22
28;14;2;31;3;10;24;30;6;15;1;9;18;27;20;5;12;21;25;4;26;13;16;19;17;7;23;32;11;29;8;22;4;27394
4;27394;28;14;2;31;3;10;24;30;6;15;1;9;18;27;20;5;12;21;25;4;26;13;16;19;17;7;23;32;11;29;8;22
28;14;2;31;3;10;24;30;6;15;1;9;18;27;32;5;12;21;25;4;26;13;16;19;17;7;23;20;11;29;8;22;4;27174
4;27174;28;14;2;31;3;10;24;30;6;15;1;9;18;27;32;5;12;21;25;4;26;13;16;19;17;7;23;20;11;29;8;22
1;14;2;31;3;10;24;30;6;15;28;9;18;27;32;5;12;21;25;4;26;13;16;19;17;7;23;20;11;29;8;22;4;27126
4;27126;1;14;2;31;3;10;24;30;6;15;28;9;18;27;32;5;12;21;25;4;26;13;16;19;17;7;23;20;11;29;8;22
1;28;2;31;3;10;24;30;6;15;14;9;18;27;32;5;12;21;25;4;26;13;16;19;17;7;23;20;11;29;8;22;4;26912
4;26912;1;28;2;31;3;10;24;30;6;15;14;9;18;27;32;5;12;21;25;4;26;13;16;19;17;7;23;20;11;29;8;22
1;28;2;31;3;10;24;30;6;15;14;9;27;18;32;5;12;21;25;4;26;13;16;19;17;7;23;20;11;29;8;22;4;26672
4;26672;1;28;2;31;3;10;24;30;6;15;14;9;27;18;32;5;12;21;25;4;26;13;16;19;17;7;23;20;11;29;8;22
1;28;2;31;3;10;24;30;6;15;14;9;27;18;32;5;12;21;25;4;26;13;23;19;17;7;16;20;11;29;8;22;4;27118
4;27118;1;28;2;31;3;10;24;30;6;15;14;9;27;18;32;5;12;21;25;4;26;13;23;19;17;7;16;20;11;29;8;22
1;28;2;31;3;10;24;30;6;15;14;9;27;18;32;5;12;21;13;4;26;25;23;19;17;7;16;20;11;29;8;22;4;26944
5;26944;1;28;2;31;3;10;24;30;6;15;14;9;27;18;32;5;12;21;13;4;26;25;23;19;17;7;16;20;11;29;8;22
1;28;2;3;31;10;24;30;6;15;14;9;27;18;32;5;12;21;13;4;26;25;23;19;17;7;16;20;11;29;8;22;5;26984
5;26984;1;28;2;3;31;10;24;30;6;15;14;9;27;18;32;5;12;21;13;4;26;25;23;19;17;7;16;20;11;29;8;22
20;28;2;3;31;10;24;30;6;15;14;9;27;18;32;5;12;21;13;4;26;25;23;19;17;7;16;1;11;29;8;22;5;27868
5;27868;20;28;2;3;31;10;24;30;6;15;14;9;27;18;32;5;12;21;13;4;26;25;23;19;17;7;16;1;11;29;8;22
20;28;2;3;31;10;24;30;6;15;14;9;27;18;32;5;7;21;13;4;26;25;23;19;17;12;16;1;11;29;8;22;5;27988
5;27988;20;28;2;3;31;10;24;30;6;15;14;9;27;18;32;5;7;21;13;4;26;25;23;19;17;12;16;1;11;29;8;22
15;28;2;3;31;10;24;30;6;20;14;9;27;18;32;5;7;21;13;4;26;25;23;19;17;12;16;1;11;29;8;22;5;26750
5;26750;15;28;2;3;31;10;24;30;6;20;14;9;27;18;32;5;7;21;13;4;26;25;23;19;17;12;16;1;11;29;8;22
15;28;9;3;31;10;24;30;6;20;14;2;27;18;32;5;7;21;13;4;26;25;23;19;17;12;16;1;11;29;8;22;5;26890
5;26890;15;28;9;3;31;10;24;30;6;20;14;2;27;18;32;5;7;21;13;4;26;25;23;19;17;12;16;1;11;29;8;22
15;28;9;3;31;10;13;30;6;20;14;2;27;18;32;5;7;21;24;4;26;25;23;19;17;12;16;1;11;29;8;22;5;27620
5;27620;15;28;9;3;31;10;13;30;6;20;14;2;27;18;32;5;7;21;24;4;26;25;23;19;17;12;16;1;11;29;8;22
15;28;9;3;31;10;13;30;6;26;14;2;27;18;32;5;7;21;24;4;20;25;23;19;17;12;16;1;11;29;8;22;5;28180
5;28180;15;28;9;3;31;10;13;30;6;26;14;2;27;18;32;5;7;21;24;4;20;25;23;19;17;12;16;1;11;29;8;22
15;28;9;3;31;10;29;30;6;26;14;2;27;18;32;5;7;21;24;4;20;25;23;19;17;12;16;1;11;13;8;22;5;27858
5;27858;15;28;9;3;31;10;29;30;6;26;14;2;27;18;32;5;7;21;24;4;20;25;23;19;17;12;16;1;11;13;8;22
15;28;9;3;31;10;29;30;6;26;14;2;27;18;32;5;7;21;24;4;11;25;23;19;17;12;16;1;20;13;8;22;5;26846
5;26846;15;28;9;3;31;10;29;30;6;26;14;2;27;18;32;5;7;21;24;4;11;25;23;19;17;12;16;1;20;13;8;22
8;28;9;3;31;10;29;30;6;26;14;2;27;18;32;5;7;21;24;4;11;25;23;19;17;12;16;1;20;13;15;22;5;27006
5;27006;8;28;9;3;31;10;29;30;6;26;14;2;27;18;32;5;7;21;24;4;11;25;23;19;17;12;16;1;20;13;15;22
8;28;9;3;31;25;29;30;6;26;14;2;27;18;32;5;7;21;24;4;11;10;23;19;17;12;16;1;20;13;15;22;5;27690
5;27690;8;28;9;3;31;25;29;30;6;26;14;2;27;18;32;5;7;21;24;4;11;10;23;19;17;12;16;1;20;13;15;22
8;28;9;3;31;25;29;30;6;26;27;2;14;18;32;5;7;21;24;4;11;10;23;19;17;12;16;1;20;13;15;22;5;27410
5;27410;8;28;9;3;31;25;29;30;6;26;27;2;14;18;32;5;7;21;24;4;11;10;23;19;17;12;16;1;20;13;15;22
8;28;9;3;31;25;29;30;6;26;27;2;1;18;32;5;7;21;24;4;11;10;23;19;17;12;16;14;20;13;15;22;5;27010
5;27010;8;28;9;3;31;25;29;30;6;26;27;2;1;18;32;5;7;21;24;4;11;10;23;19;17;12;16;14;20;13;15;22
8;28;9;3;31;25;29;30;6;4;27;2;1;18;32;5;7;21;24;26;11;10;23;19;17;12;16;14;20;13;15;22;5;26820
5;26820;8;28;9;3;31;25;29;30;6;4;27;2;1;18;32;5;7;21;24;26;11;10;23;19;17;12;16;14;20;13;15;22
8;28;9;3;31;25;29;30;6;4;27;2;13;18;32;5;7;21;24;26;11;10;23;19;17;12;16;14;20;1;15;22;5;26900
5;26900;8;28;9;3;31;25;29;30;6;4;27;2;13;18;32;5;7;21;24;26;11;10;23;19;17;12;16;14;20;1;15;22
8;28;9;3;31;25;29;30;6;4;27;2;13;18;32;5;7;21;24;26;11;10;22;19;17;12;16;14;20;1;15;23;5;27000
5;27000;8;28;9;3;31;25;29;30;6;4;27;2;13;18;32;5;7;21;24;26;11;10;22;19;17;12;16;14;20;1;15;23
8;25;9;3;31;28;29;30;6;4;27;2;13;18;32;5;7;21;24;26;11;10;22;19;17;12;16;14;20;1;15;23;5;26880
5;26880;8;25;9;3;31;28;29;30;6;4;27;2;13;18;32;5;7;21;24;26;11;10;22;19;17;12;16;14;20;1;15;23
8;25;19;3;31;28;29;30;6;4;27;2;13;18;32;5;7;21;24;26;11;10;22;9;17;12;16;14;20;1;15;23;5;27746
5;27746;8;25;19;3;31;28;29;30;6;4;27;2;13;18;32;5;7;21;24;26;11;10;22;9;17;12;16;14;20;1;15;23
8;25;19;26;31;28;29;30;6;4;27;2;13;18;32;5;7;21;24;3;11;10;22;9;17;12;16;14;20;1;15;23;5;27808
