"X1";"X262";"X40";"X18";"X5";"X17";"X16";"X24";"X55";"X19";"X53";"X23";"X38";"X37";"X47";"X63";"X45";"X35";"X22";"X61";"X4";"X8";"X30";"X41";"X10";"X20";"X7";"X31";"X50";"X60";"X42";"X39";"X46";"X27";"X43";"X32";"X9";"X14";"X1.1";"X44";"X57";"X64";"X13";"X56";"X6";"X49";"X62";"X29";"X2";"X48";"X25";"X52";"X3";"X59";"X58";"X33";"X12";"X26";"X28";"X54";"X51";"X21";"X15";"X34";"X36";"X11"
40;18;5;17;16;24;55;4;53;23;7;37;47;63;42;35;13;61;19;8;26;41;10;20;38;31;50;60;45;39;46;27;43;32;9;14;1;25;57;64;22;52;6;49;62;29;2;48;44;56;3;59;58;33;12;30;28;54;51;21;15;34;36;11;1;266
1;266;40;18;5;17;16;24;55;4;53;23;7;37;47;63;42;35;13;61;19;8;26;41;10;20;38;31;50;60;45;39;46;27;43;32;9;14;1;25;57;64;22;52;6;49;62;29;2;48;44;56;3;59;58;33;12;30;28;54;51;21;15;34;36;11
40;18;5;17;16;24;55;4;53;23;7;37;47;63;42;35;13;61;19;8;26;41;10;20;38;31;50;60;45;39;46;9;43;32;27;14;1;25;57;64;22;52;6;49;62;29;2;48;44;56;3;59;58;33;12;30;28;54;51;21;15;34;36;11;1;270
1;270;40;18;5;17;16;24;55;4;53;23;7;37;47;63;42;35;13;61;19;8;26;41;10;20;38;31;50;60;45;39;46;9;43;32;27;14;1;25;57;64;22;52;6;49;62;29;2;48;44;56;3;59;58;33;12;30;28;54;51;21;15;34;36;11
40;18;5;17;16;24;55;4;53;23;7;37;47;63;42;35;13;61;19;8;26;41;10;20;38;31;50;60;45;39;46;9;43;32;27;14;1;25;57;64;22;52;6;49;62;29;2;48;44;56;3;11;58;33;12;30;28;54;51;21;15;34;36;59;1;270
1;270;40;18;5;17;16;24;55;4;53;23;7;37;47;63;42;35;13;61;19;8;26;41;10;20;38;31;50;60;45;39;46;9;43;32;27;14;1;25;57;64;22;52;6;49;62;29;2;48;44;56;3;11;58;33;12;30;28;54;51;21;15;34;36;59
40;18;5;17;16;24;55;4;53;23;7;37;47;63;42;28;13;61;19;8;26;41;10;20;38;31;50;60;45;39;46;9;43;32;27;14;1;25;57;64;22;52;6;49;62;29;2;48;44;56;3;11;58;33;12;30;35;54;51;21;15;34;36;59;1;270
1;270;40;18;5;17;16;24;55;4;53;23;7;37;47;63;42;28;13;61;19;8;26;41;10;20;38;31;50;60;45;39;46;9;43;32;27;14;1;25;57;64;22;52;6;49;62;29;2;48;44;56;3;11;58;33;12;30;35;54;51;21;15;34;36;59
40;18;5;17;16;24;55;4;53;23;7;37;47;34;42;28;13;61;19;8;26;41;10;20;38;31;50;60;45;39;46;9;43;32;27;14;1;25;57;64;22;52;6;49;62;29;2;48;44;56;3;11;58;33;12;30;35;54;51;21;15;63;36;59;1;262
1;262;40;18;5;17;16;24;55;4;53;23;7;37;47;34;42;28;13;61;19;8;26;41;10;20;38;31;50;60;45;39;46;9;43;32;27;14;1;25;57;64;22;52;6;49;62;29;2;48;44;56;3;11;58;33;12;30;35;54;51;21;15;63;36;59
40;18;5;17;16;24;55;4;53;23;7;37;47;34;42;35;13;61;19;8;26;41;10;20;38;31;50;60;45;39;46;9;43;32;27;14;1;25;57;64;22;52;6;49;62;29;2;48;44;56;3;11;58;33;12;30;28;54;51;21;15;63;36;59;1;262
1;262;40;18;5;17;16;24;55;4;53;23;7;37;47;34;42;35;13;61;19;8;26;41;10;20;38;31;50;60;45;39;46;9;43;32;27;14;1;25;57;64;22;52;6;49;62;29;2;48;44;56;3;11;58;33;12;30;28;54;51;21;15;63;36;59
40;18;5;17;16;24;55;4;53;23;7;37;47;34;42;35;13;61;19;8;26;41;10;20;38;31;50;60;45;39;46;9;43;32;27;14;1;25;57;64;22;52;6;49;62;29;2;48;44;56;3;11;58;12;33;30;28;54;51;21;15;63;36;59;1;262
1;262;40;18;5;17;16;24;55;4;53;23;7;37;47;34;42;35;13;61;19;8;26;41;10;20;38;31;50;60;45;39;46;9;43;32;27;14;1;25;57;64;22;52;6;49;62;29;2;48;44;56;3;11;58;12;33;30;28;54;51;21;15;63;36;59
40;18;5;17;16;24;55;4;53;23;7;37;47;34;42;35;13;61;19;8;26;29;10;20;38;31;50;60;45;39;46;9;43;32;27;14;1;25;57;64;22;52;6;49;62;41;2;48;44;56;3;11;58;12;33;30;28;54;51;21;15;63;36;59;1;268
1;268;40;18;5;17;16;24;55;4;53;23;7;37;47;34;42;35;13;61;19;8;26;29;10;20;38;31;50;60;45;39;46;9;43;32;27;14;1;25;57;64;22;52;6;49;62;41;2;48;44;56;3;11;58;12;33;30;28;54;51;21;15;63;36;59
40;18;5;17;16;24;55;4;53;23;7;37;47;34;42;35;13;58;19;8;26;29;10;20;38;31;50;60;45;39;46;9;43;32;27;14;1;25;57;64;22;52;6;49;62;41;2;48;44;56;3;11;61;12;33;30;28;54;51;21;15;63;36;59;1;268
1;268;40;18;5;17;16;24;55;4;53;23;7;37;47;34;42;35;13;58;19;8;26;29;10;20;38;31;50;60;45;39;46;9;43;32;27;14;1;25;57;64;22;52;6;49;62;41;2;48;44;56;3;11;61;12;33;30;28;54;51;21;15;63;36;59
40;18;5;17;16;7;55;4;53;23;24;37;47;34;42;35;13;58;19;8;26;29;10;20;38;31;50;60;45;39;46;9;43;32;27;14;1;25;57;64;22;52;6;49;62;41;2;48;44;56;3;11;61;12;33;30;28;54;51;21;15;63;36;59;1;268
1;268;40;18;5;17;16;7;55;4;53;23;24;37;47;34;42;35;13;58;19;8;26;29;10;20;38;31;50;60;45;39;46;9;43;32;27;14;1;25;57;64;22;52;6;49;62;41;2;48;44;56;3;11;61;12;33;30;28;54;51;21;15;63;36;59
40;50;5;17;16;7;55;4;53;23;24;37;47;34;42;35;13;58;19;8;26;29;10;20;38;31;18;60;45;39;46;9;43;32;27;14;1;25;57;64;22;52;6;49;62;41;2;48;44;56;3;11;61;12;33;30;28;54;51;21;15;63;36;59;1;272
1;272;40;50;5;17;16;7;55;4;53;23;24;37;47;34;42;35;13;58;19;8;26;29;10;20;38;31;18;60;45;39;46;9;43;32;27;14;1;25;57;64;22;52;6;49;62;41;2;48;44;56;3;11;61;12;33;30;28;54;51;21;15;63;36;59
40;50;5;17;16;7;55;4;53;23;24;37;47;34;42;35;13;58;19;8;26;29;10;20;38;31;61;60;45;39;46;9;43;32;27;14;1;25;57;64;22;52;6;49;62;41;2;48;44;56;3;11;18;12;33;30;28;54;51;21;15;63;36;59;1;264
1;264;40;50;5;17;16;7;55;4;53;23;24;37;47;34;42;35;13;58;19;8;26;29;10;20;38;31;61;60;45;39;46;9;43;32;27;14;1;25;57;64;22;52;6;49;62;41;2;48;44;56;3;11;18;12;33;30;28;54;51;21;15;63;36;59
40;50;5;17;16;7;55;4;53;23;24;37;47;34;42;35;13;58;19;8;26;29;10;20;38;31;61;60;45;39;46;9;43;25;27;14;1;32;57;64;22;52;6;49;62;41;2;48;44;56;3;11;18;12;33;30;28;54;51;21;15;63;36;59;1;264
1;264;40;50;5;17;16;7;55;4;53;23;24;37;47;34;42;35;13;58;19;8;26;29;10;20;38;31;61;60;45;39;46;9;43;25;27;14;1;32;57;64;22;52;6;49;62;41;2;48;44;56;3;11;18;12;33;30;28;54;51;21;15;63;36;59
40;50;5;17;16;7;55;4;61;23;24;37;47;34;42;35;13;58;19;8;26;29;10;20;38;31;53;60;45;39;46;9;43;25;27;14;1;32;57;64;22;52;6;49;62;41;2;48;44;56;3;11;18;12;33;30;28;54;51;21;15;63;36;59;1;268
2;268;40;50;5;17;16;7;55;4;61;23;24;37;47;34;42;35;13;58;19;8;26;29;10;20;38;31;53;60;45;39;46;9;43;25;27;14;1;32;57;64;22;52;6;49;62;41;2;48;44;56;3;11;18;12;33;30;28;54;51;21;15;63;36;59
40;50;5;17;16;7;55;4;61;23;24;37;47;34;42;35;13;58;19;8;51;29;10;20;38;31;53;60;45;39;46;9;43;25;27;14;1;32;57;64;22;52;6;49;62;41;2;48;44;56;3;11;18;12;33;30;28;54;26;21;15;63;36;59;2;268
2;268;40;50;5;17;16;7;55;4;61;23;24;37;47;34;42;35;13;58;19;8;51;29;10;20;38;31;53;60;45;39;46;9;43;25;27;14;1;32;57;64;22;52;6;49;62;41;2;48;44;56;3;11;18;12;33;30;28;54;26;21;15;63;36;59
40;50;5;17;16;7;55;4;61;23;24;37;47;34;42;35;13;58;19;8;51;29;10;20;38;31;53;60;45;39;46;9;43;25;27;14;1;32;57;36;22;52;6;49;62;41;2;48;44;56;3;11;18;12;33;30;28;54;26;21;15;63;64;59;2;268
2;268;40;50;5;17;16;7;55;4;61;23;24;37;47;34;42;35;13;58;19;8;51;29;10;20;38;31;53;60;45;39;46;9;43;25;27;14;1;32;57;36;22;52;6;49;62;41;2;48;44;56;3;11;18;12;33;30;28;54;26;21;15;63;64;59
40;50;5;17;16;7;55;4;61;23;24;42;47;34;37;35;13;58;19;8;51;29;10;20;38;31;53;60;45;39;46;9;43;25;27;14;1;32;57;36;22;52;6;49;62;41;2;48;44;56;3;11;18;12;33;30;28;54;26;21;15;63;64;59;2;254
2;254;40;50;5;17;16;7;55;4;61;23;24;42;47;34;37;35;13;58;19;8;51;29;10;20;38;31;53;60;45;39;46;9;43;25;27;14;1;32;57;36;22;52;6;49;62;41;2;48;44;56;3;11;18;12;33;30;28;54;26;21;15;63;64;59
40;50;5;17;16;7;55;4;61;23;35;42;47;34;37;24;13;58;19;8;51;29;10;20;38;31;53;60;45;39;46;9;43;25;27;14;1;32;57;36;22;52;6;49;62;41;2;48;44;56;3;11;18;12;33;30;28;54;26;21;15;63;64;59;2;234
2;234;40;50;5;17;16;7;55;4;61;23;35;42;47;34;37;24;13;58;19;8;51;29;10;20;38;31;53;60;45;39;46;9;43;25;27;14;1;32;57;36;22;52;6;49;62;41;2;48;44;56;3;11;18;12;33;30;28;54;26;21;15;63;64;59
40;50;5;17;16;7;55;4;61;23;35;42;47;34;37;24;13;58;19;8;51;29;10;20;38;25;53;60;45;39;46;9;43;31;27;14;1;32;57;36;22;52;6;49;62;41;2;48;44;56;3;11;18;12;33;30;28;54;26;21;15;63;64;59;2;234
2;234;40;50;5;17;16;7;55;4;61;23;35;42;47;34;37;24;13;58;19;8;51;29;10;20;38;25;53;60;45;39;46;9;43;31;27;14;1;32;57;36;22;52;6;49;62;41;2;48;44;56;3;11;18;12;33;30;28;54;26;21;15;63;64;59
40;50;5;17;16;7;55;4;61;23;35;42;47;34;37;24;13;58;19;8;51;29;10;20;38;25;53;60;45;41;46;9;43;31;27;14;1;32;57;36;22;52;6;49;62;39;2;48;44;56;3;11;18;12;33;30;28;54;26;21;15;63;64;59;2;222
2;222;40;50;5;17;16;7;55;4;61;23;35;42;47;34;37;24;13;58;19;8;51;29;10;20;38;25;53;60;45;41;46;9;43;31;27;14;1;32;57;36;22;52;6;49;62;39;2;48;44;56;3;11;18;12;33;30;28;54;26;21;15;63;64;59
40;50;5;17;16;7;55;4;61;23;35;42;47;34;37;24;13;58;19;8;51;29;10;20;38;25;53;60;45;41;46;9;43;31;27;14;1;32;57;36;22;52;6;49;62;39;2;48;44;56;3;11;18;12;33;30;28;54;26;21;15;63;59;64;2;222
2;222;40;50;5;17;16;7;55;4;61;23;35;42;47;34;37;24;13;58;19;8;51;29;10;20;38;25;53;60;45;41;46;9;43;31;27;14;1;32;57;36;22;52;6;49;62;39;2;48;44;56;3;11;18;12;33;30;28;54;26;21;15;63;59;64
40;50;5;17;16;7;55;4;61;23;35;42;47;34;37;51;13;58;19;8;24;29;10;20;38;25;53;60;45;41;46;9;43;31;27;14;1;32;57;36;22;52;6;49;62;39;2;48;44;56;3;11;18;12;33;30;28;54;26;21;15;63;59;64;2;222
2;222;40;50;5;17;16;7;55;4;61;23;35;42;47;34;37;51;13;58;19;8;24;29;10;20;38;25;53;60;45;41;46;9;43;31;27;14;1;32;57;36;22;52;6;49;62;39;2;48;44;56;3;11;18;12;33;30;28;54;26;21;15;63;59;64
40;50;5;17;16;7;55;4;61;23;35;42;47;62;37;51;13;58;19;8;24;29;10;20;38;25;53;60;45;41;46;9;43;31;27;14;1;32;57;36;22;52;6;49;34;39;2;48;44;56;3;11;18;12;33;30;28;54;26;21;15;63;59;64;2;242
2;242;40;50;5;17;16;7;55;4;61;23;35;42;47;62;37;51;13;58;19;8;24;29;10;20;38;25;53;60;45;41;46;9;43;31;27;14;1;32;57;36;22;52;6;49;34;39;2;48;44;56;3;11;18;12;33;30;28;54;26;21;15;63;59;64
40;50;5;17;16;7;55;4;61;23;35;42;47;62;37;51;13;58;19;41;24;29;10;20;38;25;53;60;45;8;46;9;43;31;27;14;1;32;57;36;22;52;6;49;34;39;2;48;44;56;3;11;18;12;33;30;28;54;26;21;15;63;59;64;2;244
2;244;40;50;5;17;16;7;55;4;61;23;35;42;47;62;37;51;13;58;19;41;24;29;10;20;38;25;53;60;45;8;46;9;43;31;27;14;1;32;57;36;22;52;6;49;34;39;2;48;44;56;3;11;18;12;33;30;28;54;26;21;15;63;59;64
40;50;5;27;16;7;55;4;61;23;35;42;47;62;37;51;13;58;19;41;24;29;10;20;38;25;53;60;45;8;46;9;43;31;17;14;1;32;57;36;22;52;6;49;34;39;2;48;44;56;3;11;18;12;33;30;28;54;26;21;15;63;59;64;2;248
2;248;40;50;5;27;16;7;55;4;61;23;35;42;47;62;37;51;13;58;19;41;24;29;10;20;38;25;53;60;45;8;46;9;43;31;17;14;1;32;57;36;22;52;6;49;34;39;2;48;44;56;3;11;18;12;33;30;28;54;26;21;15;63;59;64
40;50;5;27;16;7;55;4;61;23;13;42;47;62;37;51;35;58;19;41;24;29;10;20;38;25;53;60;45;8;46;9;43;31;17;14;1;32;57;36;22;52;6;49;34;39;2;48;44;56;3;11;18;12;33;30;28;54;26;21;15;63;59;64;2;248
2;248;40;50;5;27;16;7;55;4;61;23;13;42;47;62;37;51;35;58;19;41;24;29;10;20;38;25;53;60;45;8;46;9;43;31;17;14;1;32;57;36;22;52;6;49;34;39;2;48;44;56;3;11;18;12;33;30;28;54;26;21;15;63;59;64
40;50;5;27;16;7;55;4;61;23;13;42;47;62;37;51;35;58;19;41;24;29;10;20;38;25;53;6;45;8;46;9;43;31;17;14;1;32;57;36;22;52;60;49;34;39;2;48;44;56;3;11;18;12;33;30;28;54;26;21;15;63;59;64;2;240
2;240;40;50;5;27;16;7;55;4;61;23;13;42;47;62;37;51;35;58;19;41;24;29;10;20;38;25;53;6;45;8;46;9;43;31;17;14;1;32;57;36;22;52;60;49;34;39;2;48;44;56;3;11;18;12;33;30;28;54;26;21;15;63;59;64
40;50;5;27;16;7;55;4;61;23;13;42;47;62;37;51;35;58;19;41;24;29;10;20;38;25;53;32;45;8;46;9;43;31;17;14;1;6;57;36;22;52;60;49;34;39;2;48;44;56;3;11;18;12;33;30;28;54;26;21;15;63;59;64;2;244
2;244;40;50;5;27;16;7;55;4;61;23;13;42;47;62;37;51;35;58;19;41;24;29;10;20;38;25;53;32;45;8;46;9;43;31;17;14;1;6;57;36;22;52;60;49;34;39;2;48;44;56;3;11;18;12;33;30;28;54;26;21;15;63;59;64
40;50;5;27;16;7;55;58;61;23;13;42;47;62;37;51;35;4;19;41;24;29;10;20;38;25;53;32;45;8;46;9;43;31;17;14;1;6;57;36;22;52;60;49;34;39;2;48;44;56;3;11;18;12;33;30;28;54;26;21;15;63;59;64;2;260
2;260;40;50;5;27;16;7;55;58;61;23;13;42;47;62;37;51;35;4;19;41;24;29;10;20;38;25;53;32;45;8;46;9;43;31;17;14;1;6;57;36;22;52;60;49;34;39;2;48;44;56;3;11;18;12;33;30;28;54;26;21;15;63;59;64
40;50;5;27;16;7;55;58;61;23;13;42;47;62;37;51;35;4;19;41;24;29;10;20;38;39;53;32;45;8;46;9;43;31;17;14;1;6;57;36;22;52;60;49;34;25;2;48;44;56;3;11;18;12;33;30;28;54;26;21;15;63;59;64;2;264
2;264;40;50;5;27;16;7;55;58;61;23;13;42;47;62;37;51;35;4;19;41;24;29;10;20;38;39;53;32;45;8;46;9;43;31;17;14;1;6;57;36;22;52;60;49;34;25;2;48;44;56;3;11;18;12;33;30;28;54;26;21;15;63;59;64
40;50;5;27;16;7;55;58;61;2;13;42;47;62;37;51;35;4;19;41;24;29;10;20;38;39;53;32;45;8;46;9;43;31;17;14;1;6;57;36;22;52;60;49;34;25;23;48;44;56;3;11;18;12;33;30;28;54;26;21;15;63;59;64;2;264
2;264;40;50;5;27;16;7;55;58;61;2;13;42;47;62;37;51;35;4;19;41;24;29;10;20;38;39;53;32;45;8;46;9;43;31;17;14;1;6;57;36;22;52;60;49;34;25;23;48;44;56;3;11;18;12;33;30;28;54;26;21;15;63;59;64
40;50;5;27;16;7;55;58;61;2;13;42;47;62;37;51;35;4;19;41;24;29;10;20;38;39;53;32;45;8;46;9;43;31;17;14;1;6;57;36;22;52;60;49;34;25;23;48;44;56;3;12;18;11;33;30;28;54;26;21;15;63;59;64;2;264
2;264;40;50;5;27;16;7;55;58;61;2;13;42;47;62;37;51;35;4;19;41;24;29;10;20;38;39;53;32;45;8;46;9;43;31;17;14;1;6;57;36;22;52;60;49;34;25;23;48;44;56;3;12;18;11;33;30;28;54;26;21;15;63;59;64
40;50;5;27;16;7;55;58;61;2;13;42;47;62;37;51;35;4;19;41;24;29;10;20;38;39;53;32;45;8;46;9;43;31;17;14;1;6;57;36;22;26;60;49;34;25;23;48;44;56;3;12;18;11;33;30;28;54;52;21;15;63;59;64;2;264
2;264;40;50;5;27;16;7;55;58;61;2;13;42;47;62;37;51;35;4;19;41;24;29;10;20;38;39;53;32;45;8;46;9;43;31;17;14;1;6;57;36;22;26;60;49;34;25;23;48;44;56;3;12;18;11;33;30;28;54;52;21;15;63;59;64
40;50;5;27;16;7;37;58;61;2;13;42;47;62;55;51;35;4;19;41;24;29;10;20;38;39;53;32;45;8;46;9;43;31;17;14;1;6;57;36;22;26;60;49;34;25;23;48;44;56;3;12;18;11;33;30;28;54;52;21;15;63;59;64;2;272
3;272;40;50;5;27;16;7;37;58;61;2;13;42;47;62;55;51;35;4;19;41;24;29;10;20;38;39;53;32;45;8;46;9;43;31;17;14;1;6;57;36;22;26;60;49;34;25;23;48;44;56;3;12;18;11;33;30;28;54;52;21;15;63;59;64
40;50;5;27;16;7;37;58;61;2;13;42;47;62;55;51;35;4;19;41;24;29;10;20;38;39;53;32;45;8;46;9;43;31;17;33;1;6;57;36;22;26;60;49;34;25;23;48;44;56;3;12;18;11;14;30;28;54;52;21;15;63;59;64;3;272
3;272;40;50;5;27;16;7;37;58;61;2;13;42;47;62;55;51;35;4;19;41;24;29;10;20;38;39;53;32;45;8;46;9;43;31;17;33;1;6;57;36;22;26;60;49;34;25;23;48;44;56;3;12;18;11;14;30;28;54;52;21;15;63;59;64
40;50;5;27;16;7;29;58;61;2;13;42;47;62;55;51;35;4;19;41;24;37;10;20;38;39;53;32;45;8;46;9;43;31;17;33;1;6;57;36;22;26;60;49;34;25;23;48;44;56;3;12;18;11;14;30;28;54;52;21;15;63;59;64;3;274
3;274;40;50;5;27;16;7;29;58;61;2;13;42;47;62;55;51;35;4;19;41;24;37;10;20;38;39;53;32;45;8;46;9;43;31;17;33;1;6;57;36;22;26;60;49;34;25;23;48;44;56;3;12;18;11;14;30;28;54;52;21;15;63;59;64
40;50;5;27;16;7;29;58;61;2;13;42;47;62;55;51;35;4;19;41;24;37;10;20;38;39;53;32;45;8;46;9;43;31;17;33;1;6;57;36;22;26;60;49;34;25;23;48;44;56;3;12;18;11;14;30;54;28;52;21;15;63;59;64;3;274
3;274;40;50;5;27;16;7;29;58;61;2;13;42;47;62;55;51;35;4;19;41;24;37;10;20;38;39;53;32;45;8;46;9;43;31;17;33;1;6;57;36;22;26;60;49;34;25;23;48;44;56;3;12;18;11;14;30;54;28;52;21;15;63;59;64
40;50;5;27;16;7;29;58;61;2;59;42;47;62;55;51;35;4;19;41;24;37;10;20;38;39;53;32;45;8;46;9;43;31;17;33;1;6;57;36;22;26;60;49;34;25;23;48;44;56;3;12;18;11;14;30;54;28;52;21;15;63;13;64;3;266
3;266;40;50;5;27;16;7;29;58;61;2;59;42;47;62;55;51;35;4;19;41;24;37;10;20;38;39;53;32;45;8;46;9;43;31;17;33;1;6;57;36;22;26;60;49;34;25;23;48;44;56;3;12;18;11;14;30;54;28;52;21;15;63;13;64
40;50;5;27;16;7;29;58;61;2;59;42;47;62;55;51;35;4;19;41;24;37;10;20;38;39;1;32;45;8;46;9;43;31;17;33;53;6;57;36;22;26;60;49;34;25;23;48;44;56;3;12;18;11;14;30;54;28;52;21;15;63;13;64;3;266
3;266;40;50;5;27;16;7;29;58;61;2;59;42;47;62;55;51;35;4;19;41;24;37;10;20;38;39;1;32;45;8;46;9;43;31;17;33;53;6;57;36;22;26;60;49;34;25;23;48;44;56;3;12;18;11;14;30;54;28;52;21;15;63;13;64
40;50;5;27;16;7;29;58;61;2;59;42;47;62;55;20;35;4;19;41;24;37;10;51;38;39;1;32;45;8;46;9;43;31;17;33;53;6;57;36;22;26;60;49;34;25;23;48;44;56;3;12;18;11;14;30;54;28;52;21;15;63;13;64;3;266
3;266;40;50;5;27;16;7;29;58;61;2;59;42;47;62;55;20;35;4;19;41;24;37;10;51;38;39;1;32;45;8;46;9;43;31;17;33;53;6;57;36;22;26;60;49;34;25;23;48;44;56;3;12;18;11;14;30;54;28;52;21;15;63;13;64
40;50;5;27;16;7;29;58;61;2;59;42;47;62;55;20;35;4;19;41;24;37;10;51;38;33;1;32;45;8;46;9;43;31;17;39;53;6;57;36;22;26;60;49;34;25;23;48;44;56;3;12;18;11;14;30;54;28;52;21;15;63;13;64;3;266
3;266;40;50;5;27;16;7;29;58;61;2;59;42;47;62;55;20;35;4;19;41;24;37;10;51;38;33;1;32;45;8;46;9;43;31;17;39;53;6;57;36;22;26;60;49;34;25;23;48;44;56;3;12;18;11;14;30;54;28;52;21;15;63;13;64
40;50;5;27;16;7;29;58;61;2;59;42;17;62;55;20;35;4;19;41;24;37;10;51;38;33;1;32;45;8;46;9;43;31;47;39;53;6;57;36;22;26;60;49;34;25;23;48;44;56;3;12;18;11;14;30;54;28;52;21;15;63;13;64;3;260
3;260;40;50;5;27;16;7;29;58;61;2;59;42;17;62;55;20;35;4;19;41;24;37;10;51;38;33;1;32;45;8;46;9;43;31;47;39;53;6;57;36;22;26;60;49;34;25;23;48;44;56;3;12;18;11;14;30;54;28;52;21;15;63;13;64
40;50;5;27;16;7;29;58;61;2;59;42;17;62;55;20;35;4;19;41;24;37;10;51;38;33;1;32;45;8;46;9;43;31;60;39;53;6;57;36;22;26;47;49;34;25;23;48;44;56;3;12;18;11;14;30;54;28;52;21;15;63;13;64;3;262
3;262;40;50;5;27;16;7;29;58;61;2;59;42;17;62;55;20;35;4;19;41;24;37;10;51;38;33;1;32;45;8;46;9;43;31;60;39;53;6;57;36;22;26;47;49;34;25;23;48;44;56;3;12;18;11;14;30;54;28;52;21;15;63;13;64
40;50;5;27;56;7;29;58;61;2;59;42;17;62;55;20;35;4;19;41;24;37;10;51;38;33;1;32;45;8;46;9;43;31;60;39;53;6;57;36;22;26;47;49;34;25;23;48;44;16;3;12;18;11;14;30;54;28;52;21;15;63;13;64;3;262
3;262;40;50;5;27;56;7;29;58;61;2;59;42;17;62;55;20;35;4;19;41;24;37;10;51;38;33;1;32;45;8;46;9;43;31;60;39;53;6;57;36;22;26;47;49;34;25;23;48;44;16;3;12;18;11;14;30;54;28;52;21;15;63;13;64
40;50;5;27;56;7;29;58;37;2;59;42;17;62;55;20;35;4;19;41;24;61;10;51;38;33;1;32;45;8;46;9;43;31;60;39;53;6;57;36;22;26;47;49;34;25;23;48;44;16;3;12;18;11;14;30;54;28;52;21;15;63;13;64;3;258
