"X1";"X27128";"X17";"X9";"X27";"X10";"X18";"X32";"X13";"X8";"X31";"X4";"X29";"X5";"X26";"X19";"X1.1";"X22";"X25";"X23";"X6";"X15";"X20";"X11";"X16";"X30";"X21";"X14";"X2";"X12";"X3";"X7";"X28";"X24"
3;26746;14;5;27;25;20;17;13;22;6;1;26;8;24;15;21;29;23;16;18;3;32;31;9;19;10;7;30;2;11;28;4;12
14;5;27;25;20;17;13;22;6;1;26;8;24;15;21;29;23;16;18;3;19;31;9;32;10;7;30;2;11;28;4;12;3;26826
3;26826;14;5;27;25;20;17;13;22;6;1;26;8;24;15;21;29;23;16;18;3;19;31;9;32;10;7;30;2;11;28;4;12
14;5;27;25;20;17;13;22;6;1;26;8;9;15;21;29;23;16;18;3;19;31;24;32;10;7;30;2;11;28;4;12;3;26184
3;26184;14;5;27;25;20;17;13;22;6;1;26;8;9;15;21;29;23;16;18;3;19;31;24;32;10;7;30;2;11;28;4;12
14;5;27;25;20;17;13;22;6;1;26;8;9;7;21;29;23;16;18;3;19;31;24;32;10;15;30;2;11;28;4;12;3;26584
3;26584;14;5;27;25;20;17;13;22;6;1;26;8;9;7;21;29;23;16;18;3;19;31;24;32;10;15;30;2;11;28;4;12
14;5;27;25;20;17;13;22;9;1;26;8;6;7;21;29;23;16;18;3;19;31;24;32;10;15;30;2;11;28;4;12;3;26104
3;26104;14;5;27;25;20;17;13;22;9;1;26;8;6;7;21;29;23;16;18;3;19;31;24;32;10;15;30;2;11;28;4;12
14;20;27;25;5;17;13;22;9;1;26;8;6;7;21;29;23;16;18;3;19;31;24;32;10;15;30;2;11;28;4;12;3;26104
3;26104;14;20;27;25;5;17;13;22;9;1;26;8;6;7;21;29;23;16;18;3;19;31;24;32;10;15;30;2;11;28;4;12
14;20;27;25;5;17;13;22;9;1;26;8;6;7;4;29;23;16;18;3;19;31;24;32;10;15;30;2;11;28;21;12;3;26906
3;26906;14;20;27;25;5;17;13;22;9;1;26;8;6;7;4;29;23;16;18;3;19;31;24;32;10;15;30;2;11;28;21;12
14;20;27;25;5;17;13;22;9;1;26;8;6;7;4;29;23;16;18;3;19;31;24;10;32;15;30;2;11;28;21;12;3;26610
3;26610;14;20;27;25;5;17;13;22;9;1;26;8;6;7;4;29;23;16;18;3;19;31;24;10;32;15;30;2;11;28;21;12
14;20;27;32;5;17;13;22;9;1;26;8;6;7;4;29;23;16;18;3;19;31;24;10;25;15;30;2;11;28;21;12;3;27050
3;27050;14;20;27;32;5;17;13;22;9;1;26;8;6;7;4;29;23;16;18;3;19;31;24;10;25;15;30;2;11;28;21;12
14;20;27;11;5;17;13;22;9;1;26;8;6;7;4;29;23;16;18;3;19;31;24;10;25;15;30;2;32;28;21;12;3;26838
3;26838;14;20;27;11;5;17;13;22;9;1;26;8;6;7;4;29;23;16;18;3;19;31;24;10;25;15;30;2;32;28;21;12
14;20;30;11;5;17;13;22;9;1;26;8;6;7;4;29;23;16;18;3;19;31;24;10;25;15;27;2;32;28;21;12;3;27238
3;27238;14;20;30;11;5;17;13;22;9;1;26;8;6;7;4;29;23;16;18;3;19;31;24;10;25;15;27;2;32;28;21;12
14;20;30;11;5;17;13;22;9;1;26;8;6;7;4;29;23;3;18;16;19;31;24;10;25;15;27;2;32;28;21;12;3;27358
3;27358;14;20;30;11;5;17;13;22;9;1;26;8;6;7;4;29;23;3;18;16;19;31;24;10;25;15;27;2;32;28;21;12
14;20;30;11;5;9;13;22;17;1;26;8;6;7;4;29;23;3;18;16;19;31;24;10;25;15;27;2;32;28;21;12;3;27698
3;27698;14;20;30;11;5;9;13;22;17;1;26;8;6;7;4;29;23;3;18;16;19;31;24;10;25;15;27;2;32;28;21;12
14;20;30;11;5;9;13;22;17;6;26;8;1;7;4;29;23;3;18;16;19;31;24;10;25;15;27;2;32;28;21;12;3;28178
3;28178;14;20;30;11;5;9;13;22;17;6;26;8;1;7;4;29;23;3;18;16;19;31;24;10;25;15;27;2;32;28;21;12
14;20;30;23;5;9;13;22;17;6;26;8;1;7;4;29;11;3;18;16;19;31;24;10;25;15;27;2;32;28;21;12;3;28548
3;28548;14;20;30;23;5;9;13;22;17;6;26;8;1;7;4;29;11;3;18;16;19;31;24;10;25;15;27;2;32;28;21;12
14;12;30;23;5;9;13;22;17;6;26;8;1;7;4;29;11;3;18;16;19;31;24;10;25;15;27;2;32;28;21;20;3;27346
3;27346;14;12;30;23;5;9;13;22;17;6;26;8;1;7;4;29;11;3;18;16;19;31;24;10;25;15;27;2;32;28;21;20
25;12;30;23;5;9;13;22;17;6;26;8;1;7;4;29;11;3;18;16;19;31;24;10;14;15;27;2;32;28;21;20;3;26898
3;26898;25;12;30;23;5;9;13;22;17;6;26;8;1;7;4;29;11;3;18;16;19;31;24;10;14;15;27;2;32;28;21;20
25;12;30;23;5;9;13;22;17;6;26;8;1;7;4;29;11;20;18;16;19;31;24;10;14;15;27;2;32;28;21;3;3;27508
4;27508;25;12;30;23;5;9;13;22;17;6;26;8;1;7;4;29;11;20;18;16;19;31;24;10;14;15;27;2;32;28;21;3
25;12;30;23;5;29;13;22;17;6;26;8;1;7;4;9;11;20;18;16;19;31;24;10;14;15;27;2;32;28;21;3;4;27478
4;27478;25;12;30;23;5;29;13;22;17;6;26;8;1;7;4;9;11;20;18;16;19;31;24;10;14;15;27;2;32;28;21;3
25;12;30;23;5;29;13;22;17;6;26;8;1;7;4;9;28;20;18;16;19;31;24;10;14;15;27;2;32;11;21;3;4;27590
4;27590;25;12;30;23;5;29;13;22;17;6;26;8;1;7;4;9;28;20;18;16;19;31;24;10;14;15;27;2;32;11;21;3
25;12;30;8;5;29;13;22;17;6;26;23;1;7;4;9;28;20;18;16;19;31;24;10;14;15;27;2;32;11;21;3;4;26840
4;26840;25;12;30;8;5;29;13;22;17;6;26;23;1;7;4;9;28;20;18;16;19;31;24;10;14;15;27;2;32;11;21;3
25;4;30;8;5;29;13;22;17;6;26;23;1;7;12;9;28;20;18;16;19;31;24;10;14;15;27;2;32;11;21;3;4;27440
4;27440;25;4;30;8;5;29;13;22;17;6;26;23;1;7;12;9;28;20;18;16;19;31;24;10;14;15;27;2;32;11;21;3
25;4;30;8;5;29;13;22;17;6;26;23;1;7;31;9;28;20;18;16;19;12;24;10;14;15;27;2;32;11;21;3;4;28004
4;28004;25;4;30;8;5;29;13;22;17;6;26;23;1;7;31;9;28;20;18;16;19;12;24;10;14;15;27;2;32;11;21;3
25;4;30;19;5;29;13;22;17;6;26;23;1;7;31;9;28;20;18;16;8;12;24;10;14;15;27;2;32;11;21;3;4;28136
4;28136;25;4;30;19;5;29;13;22;17;6;26;23;1;7;31;9;28;20;18;16;8;12;24;10;14;15;27;2;32;11;21;3
25;4;30;19;5;29;14;22;17;6;26;23;1;7;31;9;28;20;18;16;8;12;24;10;13;15;27;2;32;11;21;3;4;28076
4;28076;25;4;30;19;5;29;14;22;17;6;26;23;1;7;31;9;28;20;18;16;8;12;24;10;13;15;27;2;32;11;21;3
25;4;30;19;5;29;14;22;31;6;26;23;1;7;17;9;28;20;18;16;8;12;24;10;13;15;27;2;32;11;21;3;4;28196
4;28196;25;4;30;19;5;29;14;22;31;6;26;23;1;7;17;9;28;20;18;16;8;12;24;10;13;15;27;2;32;11;21;3
25;4;30;19;5;29;16;22;31;6;26;23;1;7;17;9;28;20;18;14;8;12;24;10;13;15;27;2;32;11;21;3;4;28356
4;28356;25;4;30;19;5;29;16;22;31;6;26;23;1;7;17;9;28;20;18;14;8;12;24;10;13;15;27;2;32;11;21;3
5;4;30;19;25;29;16;22;31;6;26;23;1;7;17;9;28;20;18;14;8;12;24;10;13;15;27;2;32;11;21;3;4;28686
4;28686;5;4;30;19;25;29;16;22;31;6;26;23;1;7;17;9;28;20;18;14;8;12;24;10;13;15;27;2;32;11;21;3
29;4;30;19;25;5;16;22;31;6;26;23;1;7;17;9;28;20;18;14;8;12;24;10;13;15;27;2;32;11;21;3;4;28480
4;28480;29;4;30;19;25;5;16;22;31;6;26;23;1;7;17;9;28;20;18;14;8;12;24;10;13;15;27;2;32;11;21;3
29;4;30;19;25;5;16;11;31;6;26;23;1;7;17;9;28;20;18;14;8;12;24;10;13;15;27;2;32;22;21;3;4;28320
4;28320;29;4;30;19;25;5;16;11;31;6;26;23;1;7;17;9;28;20;18;14;8;12;24;10;13;15;27;2;32;22;21;3
29;4;30;19;25;5;16;11;31;6;26;23;1;7;17;9;28;20;18;14;8;12;24;21;13;15;27;2;32;22;10;3;4;28296
4;28296;29;4;30;19;25;5;16;11;31;6;26;23;1;7;17;9;28;20;18;14;8;12;24;21;13;15;27;2;32;22;10;3
29;4;30;19;25;5;16;11;31;6;26;23;1;7;17;9;28;20;18;14;8;12;24;21;13;15;27;22;32;2;10;3;4;28508
4;28508;29;4;30;19;25;5;16;11;31;6;26;23;1;7;17;9;28;20;18;14;8;12;24;21;13;15;27;22;32;2;10;3
29;4;30;19;25;5;16;11;31;27;26;23;1;7;17;9;28;20;18;14;8;12;24;21;13;15;6;22;32;2;10;3;4;28646
4;28646;29;4;30;19;25;5;16;11;31;27;26;23;1;7;17;9;28;20;18;14;8;12;24;21;13;15;6;22;32;2;10;3
29;4;30;19;25;5;16;9;31;27;26;23;1;7;17;11;28;20;18;14;8;12;24;21;13;15;6;22;32;2;10;3;4;28766
4;28766;29;4;30;19;25;5;16;9;31;27;26;23;1;7;17;11;28;20;18;14;8;12;24;21;13;15;6;22;32;2;10;3
29;4;30;19;25;5;16;18;31;27;26;23;1;7;17;11;28;20;9;14;8;12;24;21;13;15;6;22;32;2;10;3;4;29282
4;29282;29;4;30;19;25;5;16;18;31;27;26;23;1;7;17;11;28;20;9;14;8;12;24;21;13;15;6;22;32;2;10;3
29;4;30;19;3;5;16;18;31;27;26;23;1;7;17;11;28;20;9;14;8;12;24;21;13;15;6;22;32;2;10;25;4;29156
4;29156;29;4;30;19;3;5;16;18;31;27;26;23;1;7;17;11;28;20;9;14;8;12;24;21;13;15;6;22;32;2;10;25
29;4;30;19;3;5;16;18;31;23;26;27;1;7;17;11;28;20;9;14;8;12;24;21;13;15;6;22;32;2;10;25;4;29136
4;29136;29;4;30;19;3;5;16;18;31;23;26;27;1;7;17;11;28;20;9;14;8;12;24;21;13;15;6;22;32;2;10;25
29;4;30;19;3;5;16;18;31;23;26;27;1;7;17;11;9;20;28;14;8;12;24;21;13;15;6;22;32;2;10;25;4;28924
5;28924;29;4;30;19;3;5;16;18;31;23;26;27;1;7;17;11;9;20;28;14;8;12;24;21;13;15;6;22;32;2;10;25
29;4;30;19;3;5;16;18;31;23;26;27;1;14;17;11;9;20;28;7;8;12;24;21;13;15;6;22;32;2;10;25;5;29044
5;29044;29;4;30;19;3;5;16;18;31;23;26;27;1;14;17;11;9;20;28;7;8;12;24;21;13;15;6;22;32;2;10;25
29;4;30;31;3;5;16;18;19;23;26;27;1;14;17;11;9;20;28;7;8;12;24;21;13;15;6;22;32;2;10;25;5;29164
5;29164;29;4;30;31;3;5;16;18;19;23;26;27;1;14;17;11;9;20;28;7;8;12;24;21;13;15;6;22;32;2;10;25
29;4;30;31;3;5;16;18;19;23;26;7;1;14;17;11;9;20;28;27;8;12;24;21;13;15;6;22;32;2;10;25;5;29204
5;29204;29;4;30;31;3;5;16;18;19;23;26;7;1;14;17;11;9;20;28;27;8;12;24;21;13;15;6;22;32;2;10;25
29;4;30;31;3;5;16;18;19;23;26;7;1;14;17;11;9;20;28;27;8;12;15;21;13;24;6;22;32;2;10;25;5;29894
5;29894;29;4;30;31;3;5;16;18;19;23;26;7;1;14;17;11;9;20;28;27;8;12;15;21;13;24;6;22;32;2;10;25
29;18;30;31;3;5;16;4;19;23;26;7;1;14;17;11;9;20;28;27;8;12;15;21;13;24;6;22;32;2;10;25;5;29332
5;29332;29;18;30;31;3;5;16;4;19;23;26;7;1;14;17;11;9;20;28;27;8;12;15;21;13;24;6;22;32;2;10;25
29;18;30;31;3;5;16;4;19;23;26;7;1;14;17;11;9;20;12;27;8;28;15;21;13;24;6;22;32;2;10;25;5;29378
5;29378;29;18;30;31;3;5;16;4;19;23;26;7;1;14;17;11;9;20;12;27;8;28;15;21;13;24;6;22;32;2;10;25
28;18;30;31;3;5;16;4;19;23;26;7;1;14;17;11;9;20;12;27;8;29;15;21;13;24;6;22;32;2;10;25;5;28858
5;28858;28;18;30;31;3;5;16;4;19;23;26;7;1;14;17;11;9;20;12;27;8;29;15;21;13;24;6;22;32;2;10;25
28;18;17;31;3;5;16;4;19;23;26;7;1;14;30;11;9;20;12;27;8;29;15;21;13;24;6;22;32;2;10;25;5;29018
5;29018;28;18;17;31;3;5;16;4;19;23;26;7;1;14;30;11;9;20;12;27;8;29;15;21;13;24;6;22;32;2;10;25
28;18;17;31;3;5;21;4;19;23;26;7;1;14;30;11;9;20;12;27;8;29;15;16;13;24;6;22;32;2;10;25;5;28444
5;28444;28;18;17;31;3;5;21;4;19;23;26;7;1;14;30;11;9;20;12;27;8;29;15;16;13;24;6;22;32;2;10;25
28;18;17;31;19;5;21;4;3;23;26;7;1;14;30;11;9;20;12;27;8;29;15;16;13;24;6;22;32;2;10;25;5;28076
5;28076;28;18;17;31;19;5;21;4;3;23;26;7;1;14;30;11;9;20;12;27;8;29;15;16;13;24;6;22;32;2;10;25
28;18;25;31;19;5;21;4;3;23;26;7;1;14;30;11;9;20;12;27;8;29;15;16;13;24;6;22;32;2;10;17;5;27436
5;27436;28;18;25;31;19;5;21;4;3;23;26;7;1;14;30;11;9;20;12;27;8;29;15;16;13;24;6;22;32;2;10;17
28;18;25;31;19;5;21;4;3;23;17;7;1;14;30;11;9;20;12;27;8;29;15;16;13;24;6;22;32;2;10;26;5;27756
5;27756;28;18;25;31;19;5;21;4;3;23;17;7;1;14;30;11;9;20;12;27;8;29;15;16;13;24;6;22;32;2;10;26
28;18;25;31;19;5;21;4;3;23;17;7;1;14;30;11;9;20;12;27;8;29;15;16;13;24;6;22;32;26;10;2;5;27572
5;27572;28;18;25;31;19;5;21;4;3;23;17;7;1;14;30;11;9;20;12;27;8;29;15;16;13;24;6;22;32;26;10;2
28;18;25;31;19;5;21;4;3;23;17;7;1;16;30;11;9;20;12;27;8;29;15;14;13;24;6;22;32;26;10;2;5;27492
5;27492;28;18;25;31;19;5;21;4;3;23;17;7;1;16;30;11;9;20;12;27;8;29;15;14;13;24;6;22;32;26;10;2
28;18;25;31;19;5;21;4;3;23;17;7;1;16;30;11;9;20;12;27;8;29;15;14;13;24;6;22;10;26;32;2;5;27046
5;27046;28;18;25;31;19;5;21;4;3;23;17;7;1;16;30;11;9;20;12;27;8;29;15;14;13;24;6;22;10;26;32;2
28;18;25;31;19;5;21;4;3;23;17;7;1;16;30;11;9;20;12;27;8;29;15;14;13;24;32;22;10;26;6;2;5;26862
5;26862;28;18;25;31;19;5;21;4;3;23;17;7;1;16;30;11;9;20;12;27;8;29;15;14;13;24;32;22;10;26;6;2
28;18;25;31;19;9;21;4;3;23;17;7;1;16;30;11;5;20;12;27;8;29;15;14;13;24;32;22;10;26;6;2;5;26562
5;26562;28;18;25;31;19;9;21;4;3;23;17;7;1;16;30;11;5;20;12;27;8;29;15;14;13;24;32;22;10;26;6;2
31;18;25;28;19;9;21;4;3;23;17;7;1;16;30;11;5;20;12;27;8;29;15;14;13;24;32;22;10;26;6;2;5;26762
5;26762;31;18;25;28;19;9;21;4;3;23;17;7;1;16;30;11;5;20;12;27;8;29;15;14;13;24;32;22;10;26;6;2
31;18;25;28;19;9;21;4;3;23;17;7;1;16;30;11;14;20;12;27;8;29;15;5;13;24;32;22;10;26;6;2;5;27402
