"X1";"X280";"X13";"X33";"X49";"X64";"X46";"X21";"X43";"X14";"X22";"X52";"X58";"X30";"X36";"X15";"X39";"X10";"X35";"X50";"X12";"X47";"X51";"X7";"X9";"X44";"X24";"X27";"X3";"X41";"X25";"X6";"X8";"X11";"X31";"X60";"X28";"X48";"X29";"X32";"X5";"X45";"X42";"X62";"X1.1";"X16";"X40";"X37";"X59";"X63";"X26";"X56";"X57";"X34";"X19";"X23";"X2";"X54";"X18";"X4";"X55";"X17";"X61";"X38";"X20";"X53"
1;258;13;33;55;64;46;21;43;51;29;32;58;30;36;15;39;10;35;50;12;63;27;11;9;44;24;18;3;41;25;6;8;37;31;60;28;48;47;52;5;45;42;62;56;16;40;20;59;22;26;1;57;34;19;23;2;54;14;4;53;17;61;38;7;49
13;33;55;64;46;21;43;51;29;32;62;30;36;15;39;10;35;50;12;63;27;11;9;44;24;18;3;41;25;6;8;37;31;60;28;48;47;52;5;45;42;58;56;16;40;20;59;22;26;1;57;34;19;23;2;54;14;4;53;17;61;38;7;49;1;254
1;254;13;33;55;64;46;21;43;51;29;32;62;30;36;15;39;10;35;50;12;63;27;11;9;44;24;18;3;41;25;6;8;37;31;60;28;48;47;52;5;45;42;58;56;16;40;20;59;22;26;1;57;34;19;23;2;54;14;4;53;17;61;38;7;49
13;33;55;64;46;21;43;51;29;32;62;30;56;15;39;10;35;50;12;63;27;11;9;44;24;18;3;41;25;6;8;37;31;60;28;48;47;52;5;45;42;58;36;16;40;20;59;22;26;1;57;34;19;23;2;54;14;4;53;17;61;38;7;49;1;254
1;254;13;33;55;64;46;21;43;51;29;32;62;30;56;15;39;10;35;50;12;63;27;11;9;44;24;18;3;41;25;6;8;37;31;60;28;48;47;52;5;45;42;58;36;16;40;20;59;22;26;1;57;34;19;23;2;54;14;4;53;17;61;38;7;49
13;33;55;64;46;21;43;51;29;32;62;30;56;15;39;28;35;50;12;63;27;11;9;44;24;18;3;41;25;6;8;37;31;60;10;48;47;52;5;45;42;58;36;16;40;20;59;22;26;1;57;34;19;23;2;54;14;4;53;17;61;38;7;49;1;258
1;258;13;33;55;64;46;21;43;51;29;32;62;30;56;15;39;28;35;50;12;63;27;11;9;44;24;18;3;41;25;6;8;37;31;60;10;48;47;52;5;45;42;58;36;16;40;20;59;22;26;1;57;34;19;23;2;54;14;4;53;17;61;38;7;49
13;2;55;64;46;21;43;51;29;32;62;30;56;15;39;28;35;50;12;63;27;11;9;44;24;18;3;41;25;6;8;37;31;60;10;48;47;52;5;45;42;58;36;16;40;20;59;22;26;1;57;34;19;23;33;54;14;4;53;17;61;38;7;49;1;258
1;258;13;2;55;64;46;21;43;51;29;32;62;30;56;15;39;28;35;50;12;63;27;11;9;44;24;18;3;41;25;6;8;37;31;60;10;48;47;52;5;45;42;58;36;16;40;20;59;22;26;1;57;34;19;23;33;54;14;4;53;17;61;38;7;49
13;2;55;64;46;21;43;51;29;32;62;30;39;15;56;28;35;50;12;63;27;11;9;44;24;18;3;41;25;6;8;37;31;60;10;48;47;52;5;45;42;58;36;16;40;20;59;22;26;1;57;34;19;23;33;54;14;4;53;17;61;38;7;49;1;262
1;262;13;2;55;64;46;21;43;51;29;32;62;30;39;15;56;28;35;50;12;63;27;11;9;44;24;18;3;41;25;6;8;37;31;60;10;48;47;52;5;45;42;58;36;16;40;20;59;22;26;1;57;34;19;23;33;54;14;4;53;17;61;38;7;49
13;2;55;64;46;21;43;51;29;32;62;30;39;15;56;28;35;50;12;63;27;11;9;44;24;18;3;41;25;6;8;37;31;60;10;48;47;33;5;45;42;58;36;16;40;20;59;22;26;1;57;34;19;23;52;54;14;4;53;17;61;38;7;49;1;262
1;262;13;2;55;64;46;21;43;51;29;32;62;30;39;15;56;28;35;50;12;63;27;11;9;44;24;18;3;41;25;6;8;37;31;60;10;48;47;33;5;45;42;58;36;16;40;20;59;22;26;1;57;34;19;23;52;54;14;4;53;17;61;38;7;49
13;2;55;64;46;21;43;51;29;32;62;30;39;15;56;28;35;50;12;63;27;11;9;44;24;18;3;41;25;19;8;37;31;60;10;48;47;33;5;45;42;58;36;16;40;20;59;22;26;1;57;34;6;23;52;54;14;4;53;17;61;38;7;49;1;258
2;258;13;2;55;64;46;21;43;51;29;32;62;30;39;15;56;28;35;50;12;63;27;11;9;44;24;18;3;41;25;19;8;37;31;60;10;48;47;33;5;45;42;58;36;16;40;20;59;22;26;1;57;34;6;23;52;54;14;4;53;17;61;38;7;49
13;2;55;64;46;21;43;51;29;32;62;30;39;15;56;28;10;50;12;63;27;11;9;44;24;18;3;41;25;19;8;37;31;60;35;48;47;33;5;45;42;58;36;16;40;20;59;22;26;1;57;34;6;23;52;54;14;4;53;17;61;38;7;49;2;258
2;258;13;2;55;64;46;21;43;51;29;32;62;30;39;15;56;28;10;50;12;63;27;11;9;44;24;18;3;41;25;19;8;37;31;60;35;48;47;33;5;45;42;58;36;16;40;20;59;22;26;1;57;34;6;23;52;54;14;4;53;17;61;38;7;49
13;2;55;64;46;21;43;51;29;32;62;30;39;15;56;28;10;50;12;7;27;11;9;44;24;18;3;41;25;19;8;37;31;60;35;48;47;33;5;45;42;58;36;16;40;20;59;22;26;1;57;34;6;23;52;54;14;4;53;17;61;38;63;49;2;260
2;260;13;2;55;64;46;21;43;51;29;32;62;30;39;15;56;28;10;50;12;7;27;11;9;44;24;18;3;41;25;19;8;37;31;60;35;48;47;33;5;45;42;58;36;16;40;20;59;22;26;1;57;34;6;23;52;54;14;4;53;17;61;38;63;49
13;2;55;64;46;21;43;51;29;32;62;30;39;15;56;28;10;50;12;7;27;11;9;44;24;18;3;41;25;19;8;37;31;60;35;48;47;33;5;45;42;16;36;58;40;20;59;22;26;1;57;34;6;23;52;54;14;4;53;17;61;38;63;49;2;272
2;272;13;2;55;64;46;21;43;51;29;32;62;30;39;15;56;28;10;50;12;7;27;11;9;44;24;18;3;41;25;19;8;37;31;60;35;48;47;33;5;45;42;16;36;58;40;20;59;22;26;1;57;34;6;23;52;54;14;4;53;17;61;38;63;49
13;2;55;64;46;21;43;51;29;32;62;30;39;15;56;28;10;50;12;7;27;11;9;44;24;18;3;41;25;19;8;37;31;60;35;48;47;33;5;45;38;16;36;58;40;20;59;22;26;1;57;34;6;23;52;54;14;4;53;17;61;42;63;49;2;272
2;272;13;2;55;64;46;21;43;51;29;32;62;30;39;15;56;28;10;50;12;7;27;11;9;44;24;18;3;41;25;19;8;37;31;60;35;48;47;33;5;45;38;16;36;58;40;20;59;22;26;1;57;34;6;23;52;54;14;4;53;17;61;42;63;49
13;2;55;32;46;21;43;51;29;64;62;30;39;15;56;28;10;50;12;7;27;11;9;44;24;18;3;41;25;19;8;37;31;60;35;48;47;33;5;45;38;16;36;58;40;20;59;22;26;1;57;34;6;23;52;54;14;4;53;17;61;42;63;49;2;272
2;272;13;2;55;32;46;21;43;51;29;64;62;30;39;15;56;28;10;50;12;7;27;11;9;44;24;18;3;41;25;19;8;37;31;60;35;48;47;33;5;45;38;16;36;58;40;20;59;22;26;1;57;34;6;23;52;54;14;4;53;17;61;42;63;49
13;2;55;32;46;21;43;51;29;64;62;30;39;15;56;28;10;50;12;7;31;11;9;44;24;18;3;41;25;19;8;37;27;60;35;48;47;33;5;45;38;16;36;58;40;20;59;22;26;1;57;34;6;23;52;54;14;4;53;17;61;42;63;49;2;270
2;270;13;2;55;32;46;21;43;51;29;64;62;30;39;15;56;28;10;50;12;7;31;11;9;44;24;18;3;41;25;19;8;37;27;60;35;48;47;33;5;45;38;16;36;58;40;20;59;22;26;1;57;34;6;23;52;54;14;4;53;17;61;42;63;49
13;2;55;32;46;21;43;51;29;64;62;30;39;15;56;28;10;50;12;7;31;11;9;44;24;18;3;41;25;19;8;37;27;60;35;48;47;33;5;45;38;16;36;58;40;20;59;22;26;1;57;34;6;23;52;54;53;4;14;17;61;42;63;49;2;270
2;270;13;2;55;32;46;21;43;51;29;64;62;30;39;15;56;28;10;50;12;7;31;11;9;44;24;18;3;41;25;19;8;37;27;60;35;48;47;33;5;45;38;16;36;58;40;20;59;22;26;1;57;34;6;23;52;54;53;4;14;17;61;42;63;49
13;2;55;32;46;21;43;51;29;64;62;30;39;15;56;28;58;50;12;7;31;11;9;44;24;18;3;41;25;19;8;37;27;60;35;48;47;33;5;45;38;16;36;10;40;20;59;22;26;1;57;34;6;23;52;54;53;4;14;17;61;42;63;49;2;270
2;270;13;2;55;32;46;21;43;51;29;64;62;30;39;15;56;28;58;50;12;7;31;11;9;44;24;18;3;41;25;19;8;37;27;60;35;48;47;33;5;45;38;16;36;10;40;20;59;22;26;1;57;34;6;23;52;54;53;4;14;17;61;42;63;49
13;2;55;32;46;21;43;39;29;64;62;30;51;15;56;28;58;50;12;7;31;11;9;44;24;18;3;41;25;19;8;37;27;60;35;48;47;33;5;45;38;16;36;10;40;20;59;22;26;1;57;34;6;23;52;54;53;4;14;17;61;42;63;49;2;270
2;270;13;2;55;32;46;21;43;39;29;64;62;30;51;15;56;28;58;50;12;7;31;11;9;44;24;18;3;41;25;19;8;37;27;60;35;48;47;33;5;45;38;16;36;10;40;20;59;22;26;1;57;34;6;23;52;54;53;4;14;17;61;42;63;49
13;2;55;32;46;57;43;39;29;64;62;30;51;15;56;28;58;50;12;7;31;11;9;44;24;18;3;41;25;19;8;37;27;60;35;48;47;33;5;45;38;16;36;10;40;20;59;22;26;1;21;34;6;23;52;54;53;4;14;17;61;42;63;49;2;262
2;262;13;2;55;32;46;57;43;39;29;64;62;30;51;15;56;28;58;50;12;7;31;11;9;44;24;18;3;41;25;19;8;37;27;60;35;48;47;33;5;45;38;16;36;10;40;20;59;22;26;1;21;34;6;23;52;54;53;4;14;17;61;42;63;49
13;35;55;32;46;57;43;39;29;64;62;30;51;15;56;28;58;50;12;7;31;11;9;44;24;18;3;41;25;19;8;37;27;60;2;48;47;33;5;45;38;16;36;10;40;20;59;22;26;1;21;34;6;23;52;54;53;4;14;17;61;42;63;49;2;264
2;264;13;35;55;32;46;57;43;39;29;64;62;30;51;15;56;28;58;50;12;7;31;11;9;44;24;18;3;41;25;19;8;37;27;60;2;48;47;33;5;45;38;16;36;10;40;20;59;22;26;1;21;34;6;23;52;54;53;4;14;17;61;42;63;49
13;49;55;32;46;57;43;39;29;64;62;30;51;15;56;28;58;50;12;7;31;11;9;44;24;18;3;41;25;19;8;37;27;60;2;48;47;33;5;45;38;16;36;10;40;20;59;22;26;1;21;34;6;23;52;54;53;4;14;17;61;42;63;35;2;264
2;264;13;49;55;32;46;57;43;39;29;64;62;30;51;15;56;28;58;50;12;7;31;11;9;44;24;18;3;41;25;19;8;37;27;60;2;48;47;33;5;45;38;16;36;10;40;20;59;22;26;1;21;34;6;23;52;54;53;4;14;17;61;42;63;35
13;49;55;32;46;57;43;39;29;64;62;30;51;15;60;28;58;50;12;7;31;11;9;44;24;18;3;41;25;19;8;37;27;56;2;48;47;33;5;45;38;16;36;10;40;20;59;22;26;1;21;34;6;23;52;54;53;4;14;17;61;42;63;35;2;252
2;252;13;49;55;32;46;57;43;39;29;64;62;30;51;15;60;28;58;50;12;7;31;11;9;44;24;18;3;41;25;19;8;37;27;56;2;48;47;33;5;45;38;16;36;10;40;20;59;22;26;1;21;34;6;23;52;54;53;4;14;17;61;42;63;35
13;49;55;30;46;57;43;39;29;64;62;32;51;15;60;28;58;50;12;7;31;11;9;44;24;18;3;41;25;19;8;37;27;56;2;48;47;33;5;45;38;16;36;10;40;20;59;22;26;1;21;34;6;23;52;54;53;4;14;17;61;42;63;35;2;256
2;256;13;49;55;30;46;57;43;39;29;64;62;32;51;15;60;28;58;50;12;7;31;11;9;44;24;18;3;41;25;19;8;37;27;56;2;48;47;33;5;45;38;16;36;10;40;20;59;22;26;1;21;34;6;23;52;54;53;4;14;17;61;42;63;35
13;49;55;30;46;57;43;39;29;64;62;32;51;15;60;28;58;8;12;7;31;11;9;44;24;18;3;41;25;19;50;37;27;56;2;48;47;33;5;45;38;16;36;10;40;20;59;22;26;1;21;34;6;23;52;54;53;4;14;17;61;42;63;35;2;256
2;256;13;49;55;30;46;57;43;39;29;64;62;32;51;15;60;28;58;8;12;7;31;11;9;44;24;18;3;41;25;19;50;37;27;56;2;48;47;33;5;45;38;16;36;10;40;20;59;22;26;1;21;34;6;23;52;54;53;4;14;17;61;42;63;35
13;49;55;30;46;57;43;39;29;64;62;32;51;15;60;28;58;8;12;7;31;11;9;44;24;18;3;41;25;19;50;37;27;56;2;48;47;22;5;45;38;16;36;10;40;20;59;33;26;1;21;34;6;23;52;54;53;4;14;17;61;42;63;35;2;256
2;256;13;49;55;30;46;57;43;39;29;64;62;32;51;15;60;28;58;8;12;7;31;11;9;44;24;18;3;41;25;19;50;37;27;56;2;48;47;22;5;45;38;16;36;10;40;20;59;33;26;1;21;34;6;23;52;54;53;4;14;17;61;42;63;35
19;49;55;30;46;57;43;39;29;64;62;32;51;15;60;28;58;8;12;7;31;11;9;44;24;18;3;41;25;13;50;37;27;56;2;48;47;22;5;45;38;16;36;10;40;20;59;33;26;1;21;34;6;23;52;54;53;4;14;17;61;42;63;35;2;256
2;256;19;49;55;30;46;57;43;39;29;64;62;32;51;15;60;28;58;8;12;7;31;11;9;44;24;18;3;41;25;13;50;37;27;56;2;48;47;22;5;45;38;16;36;10;40;20;59;33;26;1;21;34;6;23;52;54;53;4;14;17;61;42;63;35
19;49;55;30;46;57;43;39;29;64;62;32;51;15;3;28;58;8;12;7;31;11;9;44;24;18;60;41;25;13;50;37;27;56;2;48;47;22;5;45;38;16;36;10;40;20;59;33;26;1;21;34;6;23;52;54;53;4;14;17;61;42;63;35;2;304
2;304;19;49;55;30;46;57;43;39;29;64;62;32;51;15;3;28;58;8;12;7;31;11;9;44;24;18;60;41;25;13;50;37;27;56;2;48;47;22;5;45;38;16;36;10;40;20;59;33;26;1;21;34;6;23;52;54;53;4;14;17;61;42;63;35
19;49;55;30;46;57;43;39;29;64;62;32;51;15;3;28;58;8;12;7;31;11;9;44;24;18;60;41;25;13;50;37;27;56;2;48;47;22;5;45;38;16;36;10;40;63;59;33;26;1;21;34;6;23;52;54;53;4;14;17;61;42;20;35;2;288
2;288;19;49;55;30;46;57;43;39;29;64;62;32;51;15;3;28;58;8;12;7;31;11;9;44;24;18;60;41;25;13;50;37;27;56;2;48;47;22;5;45;38;16;36;10;40;63;59;33;26;1;21;34;6;23;52;54;53;4;14;17;61;42;20;35
19;49;55;30;46;57;43;39;29;64;62;32;51;15;3;28;58;8;12;7;31;11;9;44;24;18;60;41;25;13;50;37;27;56;2;48;47;22;5;38;45;16;36;10;40;63;59;33;26;1;21;34;6;23;52;54;53;4;14;17;61;42;20;35;2;288
3;288;19;49;55;30;46;57;43;39;29;64;62;32;51;15;3;28;58;8;12;7;31;11;9;44;24;18;60;41;25;13;50;37;27;56;2;48;47;22;5;38;45;16;36;10;40;63;59;33;26;1;21;34;6;23;52;54;53;4;14;17;61;42;20;35
19;49;55;30;46;34;43;39;29;64;62;32;51;15;3;28;58;8;12;7;31;11;9;44;24;18;60;41;25;13;50;37;27;56;2;48;47;22;5;38;45;16;36;10;40;63;59;33;26;1;21;57;6;23;52;54;53;4;14;17;61;42;20;35;3;296
3;296;19;49;55;30;46;34;43;39;29;64;62;32;51;15;3;28;58;8;12;7;31;11;9;44;24;18;60;41;25;13;50;37;27;56;2;48;47;22;5;38;45;16;36;10;40;63;59;33;26;1;21;57;6;23;52;54;53;4;14;17;61;42;20;35
19;49;55;30;46;34;43;39;29;64;62;32;51;15;3;28;58;8;12;7;31;11;9;44;24;18;60;41;25;13;50;37;27;56;2;48;47;22;5;38;45;16;36;10;54;63;59;33;26;1;21;57;6;23;52;40;53;4;14;17;61;42;20;35;3;296
3;296;19;49;55;30;46;34;43;39;29;64;62;32;51;15;3;28;58;8;12;7;31;11;9;44;24;18;60;41;25;13;50;37;27;56;2;48;47;22;5;38;45;16;36;10;54;63;59;33;26;1;21;57;6;23;52;40;53;4;14;17;61;42;20;35
8;49;55;30;46;34;43;39;29;64;62;32;51;15;3;28;58;19;12;7;31;11;9;44;24;18;60;41;25;13;50;37;27;56;2;48;47;22;5;38;45;16;36;10;54;63;59;33;26;1;21;57;6;23;52;40;53;4;14;17;61;42;20;35;3;296
3;296;8;49;55;30;46;34;43;39;29;64;62;32;51;15;3;28;58;19;12;7;31;11;9;44;24;18;60;41;25;13;50;37;27;56;2;48;47;22;5;38;45;16;36;10;54;63;59;33;26;1;21;57;6;23;52;40;53;4;14;17;61;42;20;35
8;49;55;30;46;34;43;39;29;64;62;32;51;15;3;28;2;19;12;7;31;11;9;44;24;18;60;41;25;13;50;37;27;56;58;48;47;22;5;38;45;16;36;10;54;63;59;33;26;1;21;57;6;23;52;40;53;4;14;17;61;42;20;35;3;298
3;298;8;49;55;30;46;34;43;39;29;64;62;32;51;15;3;28;2;19;12;7;31;11;9;44;24;18;60;41;25;13;50;37;27;56;58;48;47;22;5;38;45;16;36;10;54;63;59;33;26;1;21;57;6;23;52;40;53;4;14;17;61;42;20;35
8;49;55;30;46;5;43;39;29;64;62;32;51;15;3;28;2;19;12;7;31;11;9;44;24;18;60;41;25;13;50;37;27;56;58;48;47;22;34;38;45;16;36;10;54;63;59;33;26;1;21;57;6;23;52;40;53;4;14;17;61;42;20;35;3;276
3;276;8;49;55;30;46;5;43;39;29;64;62;32;51;15;3;28;2;19;12;7;31;11;9;44;24;18;60;41;25;13;50;37;27;56;58;48;47;22;34;38;45;16;36;10;54;63;59;33;26;1;21;57;6;23;52;40;53;4;14;17;61;42;20;35
8;49;55;30;46;5;43;48;29;64;62;32;51;15;3;28;2;19;12;7;31;11;9;44;24;18;60;41;25;13;50;37;27;56;58;39;47;22;34;38;45;16;36;10;54;63;59;33;26;1;21;57;6;23;52;40;53;4;14;17;61;42;20;35;3;268
3;268;8;49;55;30;46;5;43;48;29;64;62;32;51;15;3;28;2;19;12;7;31;11;9;44;24;18;60;41;25;13;50;37;27;56;58;39;47;22;34;38;45;16;36;10;54;63;59;33;26;1;21;57;6;23;52;40;53;4;14;17;61;42;20;35
8;49;55;30;46;5;43;48;29;64;62;32;51;41;3;28;2;19;12;7;31;11;9;44;24;18;60;15;25;13;50;37;27;56;58;39;47;22;34;38;45;16;36;10;54;63;59;33;26;1;21;57;6;23;52;40;53;4;14;17;61;42;20;35;3;280
3;280;8;49;55;30;46;5;43;48;29;64;62;32;51;41;3;28;2;19;12;7;31;11;9;44;24;18;60;15;25;13;50;37;27;56;58;39;47;22;34;38;45;16;36;10;54;63;59;33;26;1;21;57;6;23;52;40;53;4;14;17;61;42;20;35
8;49;55;30;46;5;43;48;61;64;62;32;51;41;3;28;2;19;12;7;31;11;9;44;24;18;60;15;25;13;50;37;27;56;58;39;47;22;34;38;45;16;36;10;54;63;59;33;26;1;21;57;6;23;52;40;53;4;14;17;29;42;20;35;3;280
3;280;8;49;55;30;46;5;43;48;61;64;62;32;51;41;3;28;2;19;12;7;31;11;9;44;24;18;60;15;25;13;50;37;27;56;58;39;47;22;34;38;45;16;36;10;54;63;59;33;26;1;21;57;6;23;52;40;53;4;14;17;29;42;20;35
8;49;63;30;46;5;43;48;61;64;62;32;51;41;3;28;2;19;12;7;31;11;9;44;24;18;60;15;25;13;50;37;27;56;58;39;47;22;34;38;45;16;36;10;54;55;59;33;26;1;21;57;6;23;52;40;53;4;14;17;29;42;20;35;3;286
3;286;8;49;63;30;46;5;43;48;61;64;62;32;51;41;3;28;2;19;12;7;31;11;9;44;24;18;60;15;25;13;50;37;27;56;58;39;47;22;34;38;45;16;36;10;54;55;59;33;26;1;21;57;6;23;52;40;53;4;14;17;29;42;20;35
8;49;63;30;46;5;43;48;61;64;62;32;51;41;3;28;2;19;13;7;31;11;9;44;24;18;60;15;25;12;50;37;27;56;58;39;47;22;34;38;45;16;36;10;54;55;59;33;26;1;21;57;6;23;52;40;53;4;14;17;29;42;20;35;3;286
3;286;8;49;63;30;46;5;43;48;61;64;62;32;51;41;3;28;2;19;13;7;31;11;9;44;24;18;60;15;25;12;50;37;27;56;58;39;47;22;34;38;45;16;36;10;54;55;59;33;26;1;21;57;6;23;52;40;53;4;14;17;29;42;20;35
8;49;63;30;46;5;43;48;61;64;62;32;51;41;3;28;2;19;13;7;31;11;9;44;24;18;60;15;25;12;50;37;27;56;58;39;47;22;34;38;45;16;36;10;54;55;59;33;26;1;21;57;6;23;4;40;53;52;14;17;29;42;20;35;3;286
