"X1";"X26636";"X4";"X29";"X26";"X13";"X21";"X10";"X22";"X28";"X16";"X30";"X15";"X23";"X14";"X1.1";"X9";"X32";"X27";"X31";"X3";"X6";"X24";"X12";"X7";"X25";"X18";"X5";"X2";"X19";"X17";"X11";"X8";"X20"
2;27078;3;4;28;31;15;14;22;12;29;19;27;30;20;5;1;7;10;13;23;6;24;21;25;32;18;16;26;2;17;11;8;9
22;4;28;31;15;14;3;12;29;19;27;30;20;5;1;7;10;13;23;6;24;21;25;32;18;16;26;2;17;11;8;9;2;26880
2;26880;22;4;28;31;15;14;3;12;29;19;27;30;20;5;1;7;10;13;23;6;24;21;25;32;18;16;26;2;17;11;8;9
22;4;28;31;15;14;3;16;29;19;27;30;20;5;1;7;10;13;23;6;24;21;25;32;18;12;26;2;17;11;8;9;2;26840
2;26840;22;4;28;31;15;14;3;16;29;19;27;30;20;5;1;7;10;13;23;6;24;21;25;32;18;12;26;2;17;11;8;9
22;4;28;24;15;14;3;16;29;19;27;30;20;5;1;7;10;13;23;6;31;21;25;32;18;12;26;2;17;11;8;9;2;26920
2;26920;22;4;28;24;15;14;3;16;29;19;27;30;20;5;1;7;10;13;23;6;31;21;25;32;18;12;26;2;17;11;8;9
22;4;28;24;15;14;3;16;29;19;27;30;20;5;12;7;10;13;23;6;31;21;25;32;18;1;26;2;17;11;8;9;2;27140
2;27140;22;4;28;24;15;14;3;16;29;19;27;30;20;5;12;7;10;13;23;6;31;21;25;32;18;1;26;2;17;11;8;9
22;4;28;24;15;14;3;16;29;30;27;19;20;5;12;7;10;13;23;6;31;21;25;32;18;1;26;2;17;11;8;9;2;27580
2;27580;22;4;28;24;15;14;3;16;29;30;27;19;20;5;12;7;10;13;23;6;31;21;25;32;18;1;26;2;17;11;8;9
22;31;28;24;15;14;3;16;29;30;27;19;20;5;12;7;10;13;23;6;4;21;25;32;18;1;26;2;17;11;8;9;2;27704
2;27704;22;31;28;24;15;14;3;16;29;30;27;19;20;5;12;7;10;13;23;6;4;21;25;32;18;1;26;2;17;11;8;9
22;31;28;24;15;14;3;16;7;30;27;19;20;5;12;29;10;13;23;6;4;21;25;32;18;1;26;2;17;11;8;9;2;27670
2;27670;22;31;28;24;15;14;3;16;7;30;27;19;20;5;12;29;10;13;23;6;4;21;25;32;18;1;26;2;17;11;8;9
22;31;28;24;15;14;3;16;7;30;27;19;20;5;12;29;10;13;23;6;4;21;2;32;18;1;26;25;17;11;8;9;2;27628
2;27628;22;31;28;24;15;14;3;16;7;30;27;19;20;5;12;29;10;13;23;6;4;21;2;32;18;1;26;25;17;11;8;9
22;31;28;24;15;14;3;16;7;30;27;19;20;5;26;29;10;13;23;6;4;21;2;32;18;1;12;25;17;11;8;9;2;27174
2;27174;22;31;28;24;15;14;3;16;7;30;27;19;20;5;26;29;10;13;23;6;4;21;2;32;18;1;12;25;17;11;8;9
22;31;28;24;15;14;7;16;3;30;27;19;20;5;26;29;10;13;23;6;4;21;2;32;18;1;12;25;17;11;8;9;2;26854
2;26854;22;31;28;24;15;14;7;16;3;30;27;19;20;5;26;29;10;13;23;6;4;21;2;32;18;1;12;25;17;11;8;9
22;31;28;24;15;14;7;16;26;30;27;19;20;5;3;29;10;13;23;6;4;21;2;32;18;1;12;25;17;11;8;9;2;27346
2;27346;22;31;28;24;15;14;7;16;26;30;27;19;20;5;3;29;10;13;23;6;4;21;2;32;18;1;12;25;17;11;8;9
20;31;28;24;15;14;7;16;26;30;27;19;22;5;3;29;10;13;23;6;4;21;2;32;18;1;12;25;17;11;8;9;2;26946
3;26946;20;31;28;24;15;14;7;16;26;30;27;19;22;5;3;29;10;13;23;6;4;21;2;32;18;1;12;25;17;11;8;9
20;31;28;24;15;14;7;16;26;30;27;19;22;5;21;29;10;13;23;6;4;3;2;32;18;1;12;25;17;11;8;9;3;26678
3;26678;20;31;28;24;15;14;7;16;26;30;27;19;22;5;21;29;10;13;23;6;4;3;2;32;18;1;12;25;17;11;8;9
20;22;28;24;15;14;7;16;26;30;27;19;31;5;21;29;10;13;23;6;4;3;2;32;18;1;12;25;17;11;8;9;3;27138
3;27138;20;22;28;24;15;14;7;16;26;30;27;19;31;5;21;29;10;13;23;6;4;3;2;32;18;1;12;25;17;11;8;9
20;22;28;24;3;14;7;16;26;30;27;19;31;5;21;29;10;13;23;6;4;15;2;32;18;1;12;25;17;11;8;9;3;27018
3;27018;20;22;28;24;3;14;7;16;26;30;27;19;31;5;21;29;10;13;23;6;4;15;2;32;18;1;12;25;17;11;8;9
20;22;28;24;3;14;7;16;26;30;27;19;31;5;21;29;10;13;23;6;4;15;2;32;18;1;17;25;12;11;8;9;3;26672
3;26672;20;22;28;24;3;14;7;16;26;30;27;19;31;5;21;29;10;13;23;6;4;15;2;32;18;1;17;25;12;11;8;9
20;22;28;24;3;14;18;16;26;30;27;19;31;5;21;29;10;13;23;6;4;15;2;32;7;1;17;25;12;11;8;9;3;26846
3;26846;20;22;28;24;3;14;18;16;26;30;27;19;31;5;21;29;10;13;23;6;4;15;2;32;7;1;17;25;12;11;8;9
9;22;28;24;3;14;18;16;26;30;27;19;31;5;21;29;10;13;23;6;4;15;2;32;7;1;17;25;12;11;8;20;3;26538
3;26538;9;22;28;24;3;14;18;16;26;30;27;19;31;5;21;29;10;13;23;6;4;15;2;32;7;1;17;25;12;11;8;20
9;22;28;24;3;14;18;16;26;30;27;19;31;5;21;29;10;13;23;6;4;15;2;1;7;32;17;25;12;11;8;20;3;27202
3;27202;9;22;28;24;3;14;18;16;26;30;27;19;31;5;21;29;10;13;23;6;4;15;2;1;7;32;17;25;12;11;8;20
9;22;1;24;3;14;18;16;26;30;27;19;31;5;21;29;10;13;23;6;4;15;2;28;7;32;17;25;12;11;8;20;3;27424
3;27424;9;22;1;24;3;14;18;16;26;30;27;19;31;5;21;29;10;13;23;6;4;15;2;28;7;32;17;25;12;11;8;20
9;22;1;24;3;14;18;16;26;30;2;19;31;5;21;29;10;13;23;6;4;15;27;28;7;32;17;25;12;11;8;20;3;27858
3;27858;9;22;1;24;3;14;18;16;26;30;2;19;31;5;21;29;10;13;23;6;4;15;27;28;7;32;17;25;12;11;8;20
9;22;21;24;3;14;18;16;26;30;2;19;31;5;1;29;10;13;23;6;4;15;27;28;7;32;17;25;12;11;8;20;3;28186
3;28186;9;22;21;24;3;14;18;16;26;30;2;19;31;5;1;29;10;13;23;6;4;15;27;28;7;32;17;25;12;11;8;20
9;22;21;27;3;14;18;16;26;30;2;19;31;5;1;29;10;13;23;6;4;15;24;28;7;32;17;25;12;11;8;20;3;27866
3;27866;9;22;21;27;3;14;18;16;26;30;2;19;31;5;1;29;10;13;23;6;4;15;24;28;7;32;17;25;12;11;8;20
9;22;21;27;3;14;18;16;26;30;2;19;31;5;1;29;10;13;23;15;4;6;24;28;7;32;17;25;12;11;8;20;3;27446
3;27446;9;22;21;27;3;14;18;16;26;30;2;19;31;5;1;29;10;13;23;15;4;6;24;28;7;32;17;25;12;11;8;20
9;22;21;27;3;30;18;16;26;14;2;19;31;5;1;29;10;13;23;15;4;6;24;28;7;32;17;25;12;11;8;20;3;27722
3;27722;9;22;21;27;3;30;18;16;26;14;2;19;31;5;1;29;10;13;23;15;4;6;24;28;7;32;17;25;12;11;8;20
9;22;21;27;3;30;18;16;26;14;2;12;31;5;1;29;10;13;23;15;4;6;24;28;7;32;17;25;19;11;8;20;3;27896
3;27896;9;22;21;27;3;30;18;16;26;14;2;12;31;5;1;29;10;13;23;15;4;6;24;28;7;32;17;25;19;11;8;20
9;22;21;27;6;30;18;16;26;14;2;12;31;5;1;29;10;13;23;15;4;3;24;28;7;32;17;25;19;11;8;20;3;27856
3;27856;9;22;21;27;6;30;18;16;26;14;2;12;31;5;1;29;10;13;23;15;4;3;24;28;7;32;17;25;19;11;8;20
9;22;21;27;6;30;18;32;26;14;2;12;31;5;1;29;10;13;23;15;4;3;24;28;7;16;17;25;19;11;8;20;3;27396
3;27396;9;22;21;27;6;30;18;32;26;14;2;12;31;5;1;29;10;13;23;15;4;3;24;28;7;16;17;25;19;11;8;20
9;22;21;17;6;30;18;32;26;14;2;12;31;5;1;29;10;13;23;15;4;3;24;28;7;16;27;25;19;11;8;20;3;27676
3;27676;9;22;21;17;6;30;18;32;26;14;2;12;31;5;1;29;10;13;23;15;4;3;24;28;7;16;27;25;19;11;8;20
9;22;21;17;6;30;18;32;26;14;2;12;31;5;1;3;10;13;23;15;4;29;24;28;7;16;27;25;19;11;8;20;3;28286
3;28286;9;22;21;17;6;30;18;32;26;14;2;12;31;5;1;3;10;13;23;15;4;29;24;28;7;16;27;25;19;11;8;20
9;22;21;17;6;8;18;32;26;14;2;12;31;5;1;3;10;13;23;15;4;29;24;28;7;16;27;25;19;11;30;20;3;27820
3;27820;9;22;21;17;6;8;18;32;26;14;2;12;31;5;1;3;10;13;23;15;4;29;24;28;7;16;27;25;19;11;30;20
9;22;21;17;6;8;18;32;26;14;2;12;31;5;1;3;10;13;23;15;4;29;24;28;16;7;27;25;19;11;30;20;3;26260
4;26260;9;22;21;17;6;8;18;32;26;14;2;12;31;5;1;3;10;13;23;15;4;29;24;28;16;7;27;25;19;11;30;20
9;22;21;17;6;8;18;32;26;14;2;12;31;5;1;3;10;13;23;15;4;28;24;29;16;7;27;25;19;11;30;20;4;26380
4;26380;9;22;21;17;6;8;18;32;26;14;2;12;31;5;1;3;10;13;23;15;4;28;24;29;16;7;27;25;19;11;30;20
9;22;32;17;6;8;18;21;26;14;2;12;31;5;1;3;10;13;23;15;4;28;24;29;16;7;27;25;19;11;30;20;4;26560
4;26560;9;22;32;17;6;8;18;21;26;14;2;12;31;5;1;3;10;13;23;15;4;28;24;29;16;7;27;25;19;11;30;20
9;22;32;17;14;8;18;21;26;6;2;12;31;5;1;3;10;13;23;15;4;28;24;29;16;7;27;25;19;11;30;20;4;27160
4;27160;9;22;32;17;14;8;18;21;26;6;2;12;31;5;1;3;10;13;23;15;4;28;24;29;16;7;27;25;19;11;30;20
9;22;32;17;14;8;18;21;26;6;29;12;31;5;1;3;10;13;23;15;4;28;24;2;16;7;27;25;19;11;30;20;4;27636
4;27636;9;22;32;17;14;8;18;21;26;6;29;12;31;5;1;3;10;13;23;15;4;28;24;2;16;7;27;25;19;11;30;20
9;22;32;17;14;8;12;21;26;6;29;18;31;5;1;3;10;13;23;15;4;28;24;2;16;7;27;25;19;11;30;20;4;28034
4;28034;9;22;32;17;14;8;12;21;26;6;29;18;31;5;1;3;10;13;23;15;4;28;24;2;16;7;27;25;19;11;30;20
9;22;32;17;14;8;12;21;26;6;29;18;31;5;1;3;10;13;23;15;4;28;24;27;16;7;2;25;19;11;30;20;4;27758
4;27758;9;22;32;17;14;8;12;21;26;6;29;18;31;5;1;3;10;13;23;15;4;28;24;27;16;7;2;25;19;11;30;20
9;22;32;21;14;8;12;17;26;6;29;18;31;5;1;3;10;13;23;15;4;28;24;27;16;7;2;25;19;11;30;20;4;27618
4;27618;9;22;32;21;14;8;12;17;26;6;29;18;31;5;1;3;10;13;23;15;4;28;24;27;16;7;2;25;19;11;30;20
9;22;32;21;13;8;12;17;26;6;29;18;31;5;1;3;10;14;23;15;4;28;24;27;16;7;2;25;19;11;30;20;4;27738
4;27738;9;22;32;21;13;8;12;17;26;6;29;18;31;5;1;3;10;14;23;15;4;28;24;27;16;7;2;25;19;11;30;20
9;22;32;21;13;8;12;17;26;6;29;18;31;5;1;3;24;14;23;15;4;28;10;27;16;7;2;25;19;11;30;20;4;28576
4;28576;9;22;32;21;13;8;12;17;26;6;29;18;31;5;1;3;24;14;23;15;4;28;10;27;16;7;2;25;19;11;30;20
9;22;32;21;13;8;12;17;26;6;29;18;31;5;1;3;24;20;23;15;4;28;10;27;16;7;2;25;19;11;30;14;4;28874
4;28874;9;22;32;21;13;8;12;17;26;6;29;18;31;5;1;3;24;20;23;15;4;28;10;27;16;7;2;25;19;11;30;14
9;22;32;21;13;8;12;17;26;6;29;18;7;5;1;3;24;20;23;15;4;28;10;27;16;31;2;25;19;11;30;14;4;29546
4;29546;9;22;32;21;13;8;12;17;26;6;29;18;7;5;1;3;24;20;23;15;4;28;10;27;16;31;2;25;19;11;30;14
9;25;32;21;13;8;12;17;26;6;29;18;7;5;1;3;24;20;23;15;4;28;10;27;16;31;2;22;19;11;30;14;4;29346
4;29346;9;25;32;21;13;8;12;17;26;6;29;18;7;5;1;3;24;20;23;15;4;28;10;27;16;31;2;22;19;11;30;14
9;25;32;7;13;8;12;17;26;6;29;18;21;5;1;3;24;20;23;15;4;28;10;27;16;31;2;22;19;11;30;14;4;28904
4;28904;9;25;32;7;13;8;12;17;26;6;29;18;21;5;1;3;24;20;23;15;4;28;10;27;16;31;2;22;19;11;30;14
9;25;32;7;13;8;12;17;26;6;29;18;21;5;1;3;24;20;10;15;4;28;23;27;16;31;2;22;19;11;30;14;4;28738
4;28738;9;25;32;7;13;8;12;17;26;6;29;18;21;5;1;3;24;20;10;15;4;28;23;27;16;31;2;22;19;11;30;14
9;25;32;13;7;8;12;17;26;6;29;18;21;5;1;3;24;20;10;15;4;28;23;27;16;31;2;22;19;11;30;14;4;28778
4;28778;9;25;32;13;7;8;12;17;26;6;29;18;21;5;1;3;24;20;10;15;4;28;23;27;16;31;2;22;19;11;30;14
9;18;32;13;7;8;12;17;26;6;29;25;21;5;1;3;24;20;10;15;4;28;23;27;16;31;2;22;19;11;30;14;4;28598
4;28598;9;18;32;13;7;8;12;17;26;6;29;25;21;5;1;3;24;20;10;15;4;28;23;27;16;31;2;22;19;11;30;14
9;18;32;13;7;8;3;17;26;6;29;25;21;5;1;12;24;20;10;15;4;28;23;27;16;31;2;22;19;11;30;14;4;28218
4;28218;9;18;32;13;7;8;3;17;26;6;29;25;21;5;1;12;24;20;10;15;4;28;23;27;16;31;2;22;19;11;30;14
9;18;28;13;7;8;3;17;26;6;29;25;21;5;1;12;24;20;10;15;4;32;23;27;16;31;2;22;19;11;30;14;4;28338
4;28338;9;18;28;13;7;8;3;17;26;6;29;25;21;5;1;12;24;20;10;15;4;32;23;27;16;31;2;22;19;11;30;14
9;18;28;13;7;8;3;17;26;6;29;25;21;5;1;12;24;20;10;11;4;32;23;27;16;31;2;22;19;15;30;14;4;27818
4;27818;9;18;28;13;7;8;3;17;26;6;29;25;21;5;1;12;24;20;10;11;4;32;23;27;16;31;2;22;19;15;30;14
9;18;22;13;7;8;3;17;26;6;29;25;21;5;1;12;24;20;10;11;4;32;23;27;16;31;2;28;19;15;30;14;4;28518
5;28518;9;18;22;13;7;8;3;17;26;6;29;25;21;5;1;12;24;20;10;11;4;32;23;27;16;31;2;28;19;15;30;14
9;18;22;13;7;8;3;17;26;6;29;25;21;5;1;12;24;2;10;11;4;32;23;27;16;31;20;28;19;15;30;14;5;28592
5;28592;9;18;22;13;7;8;3;17;26;6;29;25;21;5;1;12;24;2;10;11;4;32;23;27;16;31;20;28;19;15;30;14
9;18;22;13;7;8;3;17;26;6;29;25;21;5;1;12;24;2;10;11;4;23;32;27;16;31;20;28;19;15;30;14;5;28312
5;28312;9;18;22;13;7;8;3;17;26;6;29;25;21;5;1;12;24;2;10;11;4;23;32;27;16;31;20;28;19;15;30;14
9;18;22;13;7;8;3;17;32;6;29;25;21;5;1;12;24;2;10;11;4;23;26;27;16;31;20;28;19;15;30;14;5;28352
5;28352;9;18;22;13;7;8;3;17;32;6;29;25;21;5;1;12;24;2;10;11;4;23;26;27;16;31;20;28;19;15;30;14
9;18;22;13;7;8;3;17;32;6;29;25;21;10;1;12;24;2;5;11;4;23;26;27;16;31;20;28;19;15;30;14;5;28392
5;28392;9;18;22;13;7;8;3;17;32;6;29;25;21;10;1;12;24;2;5;11;4;23;26;27;16;31;20;28;19;15;30;14
9;18;22;13;7;8;3;17;14;6;29;25;21;10;1;12;24;2;5;11;4;23;26;27;16;31;20;28;19;15;30;32;5;28094
5;28094;9;18;22;13;7;8;3;17;14;6;29;25;21;10;1;12;24;2;5;11;4;23;26;27;16;31;20;28;19;15;30;32
9;18;22;13;7;8;3;17;14;6;29;4;21;10;1;12;24;2;5;11;25;23;26;27;16;31;20;28;19;15;30;32;5;29144
5;28094;9;18;22;13;7;8;3;17;14;6;29;25;21;10;1;12;24;2;5;11;4;23;26;27;16;31;20;28;19;15;30;32
9;18;22;13;7;8;3;17;14;6;19;25;21;10;1;12;24;2;5;11;4;23;26;27;16;31;20;28;29;15;30;32;5;28034
5;28034;9;18;22;13;7;8;3;17;14;6;19;25;21;10;1;12;24;2;5;11;4;23;26;27;16;31;20;28;29;15;30;32
9;18;22;13;28;8;3;17;14;6;19;25;21;10;1;12;24;2;5;11;4;23;26;27;16;31;20;7;29;15;30;32;5;27924
5;27924;9;18;22;13;28;8;3;17;14;6;19;25;21;10;1;12;24;2;5;11;4;23;26;27;16;31;20;7;29;15;30;32
9;18;22;13;28;8;3;29;14;6;19;25;21;10;1;12;24;2;5;11;4;23;26;27;16;31;20;7;17;15;30;32;5;28064
5;28064;9;18;22;13;28;8;3;29;14;6;19;25;21;10;1;12;24;2;5;11;4;23;26;27;16;31;20;7;17;15;30;32
9;18;22;13;28;8;3;29;14;6;19;25;21;10;2;12;24;1;5;11;4;23;26;27;16;31;20;7;17;15;30;32;5;28184
5;28184;9;18;22;13;28;8;3;29;14;6;19;25;21;10;2;12;24;1;5;11;4;23;26;27;16;31;20;7;17;15;30;32
9;18;22;13;28;8;3;29;14;6;19;25;21;10;11;12;24;1;5;2;4;23;26;27;16;31;20;7;17;15;30;32;5;27644
5;27644;9;18;22;13;28;8;3;29;14;6;19;25;21;10;11;12;24;1;5;2;4;23;26;27;16;31;20;7;17;15;30;32
9;18;22;13;28;8;3;29;14;15;19;25;21;10;11;12;24;1;5;2;4;23;26;27;16;31;20;7;17;6;30;32;5;28064
5;28064;9;18;22;13;28;8;3;29;14;15;19;25;21;10;11;12;24;1;5;2;4;23;26;27;16;31;20;7;17;6;30;32
9;18;22;13;28;8;3;29;14;15;19;25;21;10;11;12;24;1;23;2;4;5;26;27;16;31;20;7;17;6;30;32;5;28166
5;28166;9;18;22;13;28;8;3;29;14;15;19;25;21;10;11;12;24;1;23;2;4;5;26;27;16;31;20;7;17;6;30;32
9;18;22;13;28;8;3;29;14;15;19;30;21;10;11;12;24;1;23;2;4;5;26;27;16;31;20;7;17;6;25;32;5;28406
5;28166;9;18;22;13;28;8;3;29;14;15;19;25;21;10;11;12;24;1;23;2;4;5;26;27;16;31;20;7;17;6;30;32
9;18;22;21;28;8;3;29;14;15;19;25;13;10;11;12;24;1;23;2;4;5;26;27;16;31;20;7;17;6;30;32;5;27660
5;27660;9;18;22;21;28;8;3;29;14;15;19;25;13;10;11;12;24;1;23;2;4;5;26;27;16;31;20;7;17;6;30;32
9;18;22;21;28;8;3;29;14;15;19;25;13;10;11;12;24;1;23;2;4;5;7;27;16;31;20;26;17;6;30;32;5;28138
5;28138;9;18;22;21;28;8;3;29;14;15;19;25;13;10;11;12;24;1;23;2;4;5;7;27;16;31;20;26;17;6;30;32
9;30;22;21;28;8;3;29;14;15;19;25;13;10;11;12;24;1;23;2;4;5;7;27;16;31;20;26;17;6;18;32;5;28318
5;28318;9;30;22;21;28;8;3;29;14;15;19;25;13;10;11;12;24;1;23;2;4;5;7;27;16;31;20;26;17;6;18;32
9;30;22;21;28;8;20;29;14;15;19;25;13;10;11;12;24;1;23;2;4;5;7;27;16;31;3;26;17;6;18;32;5;28664
5;28664;9;30;22;21;28;8;20;29;14;15;19;25;13;10;11;12;24;1;23;2;4;5;7;27;16;31;3;26;17;6;18;32
12;30;22;21;28;8;20;29;14;15;19;25;13;10;11;9;24;1;23;2;4;5;7;27;16;31;3;26;17;6;18;32;5;28464
