"X1";"X282";"X29";"X64";"X8";"X57";"X38";"X33";"X46";"X47";"X20";"X32";"X39";"X36";"X41";"X15";"X58";"X59";"X50";"X24";"X43";"X60";"X10";"X11";"X6";"X14";"X30";"X34";"X3";"X4";"X44";"X26";"X27";"X19";"X45";"X49";"X1.1";"X25";"X53";"X13";"X16";"X12";"X61";"X56";"X51";"X21";"X28";"X62";"X48";"X37";"X54";"X5";"X18";"X42";"X23";"X55";"X52";"X31";"X22";"X7";"X17";"X40";"X9";"X2";"X63";"X35"
1;294;29;55;8;57;35;33;10;47;20;32;39;36;41;15;58;61;50;24;12;60;59;26;62;14;49;34;3;4;16;11;27;19;45;30;1;25;53;13;2;18;46;56;51;21;48;6;28;37;54;5;43;42;23;64;52;31;22;7;17;40;63;44;9;38
29;55;8;57;35;33;10;47;20;32;39;36;41;15;58;61;50;24;12;60;59;26;62;14;49;34;3;4;16;11;27;19;45;30;1;22;53;13;2;18;46;56;51;21;48;6;28;37;54;5;43;42;23;64;52;31;25;7;17;40;63;44;9;38;1;294
1;294;29;55;8;57;35;33;10;47;20;32;39;36;41;15;58;61;50;24;12;60;59;26;62;14;49;34;3;4;16;11;27;19;45;30;1;22;53;13;2;18;46;56;51;21;48;6;28;37;54;5;43;42;23;64;52;31;25;7;17;40;63;44;9;38
29;55;8;57;35;33;10;47;20;32;39;36;41;15;58;61;50;24;12;60;59;26;62;14;49;34;3;4;16;11;27;19;45;30;1;22;53;13;2;18;46;56;51;21;48;6;28;37;54;40;43;42;23;64;52;31;25;7;17;5;63;44;9;38;1;294
1;294;29;55;8;57;35;33;10;47;20;32;39;36;41;15;58;61;50;24;12;60;59;26;62;14;49;34;3;4;16;11;27;19;45;30;1;22;53;13;2;18;46;56;51;21;48;6;28;37;54;40;43;42;23;64;52;31;25;7;17;5;63;44;9;38
29;55;8;57;35;33;10;61;20;32;39;36;41;15;58;47;50;24;12;60;59;26;62;14;49;34;3;4;16;11;27;19;45;30;1;22;53;13;2;18;46;56;51;21;48;6;28;37;54;40;43;42;23;64;52;31;25;7;17;5;63;44;9;38;1;290
1;290;29;55;8;57;35;33;10;61;20;32;39;36;41;15;58;47;50;24;12;60;59;26;62;14;49;34;3;4;16;11;27;19;45;30;1;22;53;13;2;18;46;56;51;21;48;6;28;37;54;40;43;42;23;64;52;31;25;7;17;5;63;44;9;38
29;55;8;57;35;33;10;61;20;32;39;36;41;15;58;47;50;24;12;60;59;26;62;14;49;34;3;4;16;11;27;63;45;30;1;22;53;13;2;18;46;56;51;21;48;6;28;37;54;40;43;42;23;64;52;31;25;7;17;5;19;44;9;38;1;296
1;296;29;55;8;57;35;33;10;61;20;32;39;36;41;15;58;47;50;24;12;60;59;26;62;14;49;34;3;4;16;11;27;63;45;30;1;22;53;13;2;18;46;56;51;21;48;6;28;37;54;40;43;42;23;64;52;31;25;7;17;5;19;44;9;38
29;55;8;57;35;33;31;61;20;32;39;36;41;15;58;47;50;24;12;60;59;26;62;14;49;34;3;4;16;11;27;63;45;30;1;22;53;13;2;18;46;56;51;21;48;6;28;37;54;40;43;42;23;64;52;10;25;7;17;5;19;44;9;38;1;296
1;296;29;55;8;57;35;33;31;61;20;32;39;36;41;15;58;47;50;24;12;60;59;26;62;14;49;34;3;4;16;11;27;63;45;30;1;22;53;13;2;18;46;56;51;21;48;6;28;37;54;40;43;42;23;64;52;10;25;7;17;5;19;44;9;38
29;55;8;57;23;33;31;61;20;32;39;36;41;15;58;47;50;24;12;60;59;26;62;14;49;34;3;4;16;11;27;63;45;30;1;22;53;13;2;18;46;56;51;21;48;6;28;37;54;40;43;42;35;64;52;10;25;7;17;5;19;44;9;38;1;296
2;296;29;55;8;57;23;33;31;61;20;32;39;36;41;15;58;47;50;24;12;60;59;26;62;14;49;34;3;4;16;11;27;63;45;30;1;22;53;13;2;18;46;56;51;21;48;6;28;37;54;40;43;42;35;64;52;10;25;7;17;5;19;44;9;38
29;55;8;57;23;33;31;61;20;32;39;36;41;15;58;47;50;24;12;60;59;26;62;14;49;1;3;4;16;11;27;63;45;30;34;22;53;13;2;18;46;56;51;21;48;6;28;37;54;40;43;42;35;64;52;10;25;7;17;5;19;44;9;38;2;296
2;296;29;55;8;57;23;33;31;61;20;32;39;36;41;15;58;47;50;24;12;60;59;26;62;14;49;1;3;4;16;11;27;63;45;30;34;22;53;13;2;18;46;56;51;21;48;6;28;37;54;40;43;42;35;64;52;10;25;7;17;5;19;44;9;38
29;55;8;57;23;33;31;61;20;32;39;36;41;15;58;47;50;24;12;60;59;26;62;14;49;1;3;4;16;11;27;63;45;21;34;22;53;13;2;18;46;56;51;30;48;6;28;37;54;40;43;42;35;64;52;10;25;7;17;5;19;44;9;38;2;296
2;296;29;55;8;57;23;33;31;61;20;32;39;36;41;15;58;47;50;24;12;60;59;26;62;14;49;1;3;4;16;11;27;63;45;21;34;22;53;13;2;18;46;56;51;30;48;6;28;37;54;40;43;42;35;64;52;10;25;7;17;5;19;44;9;38
29;55;8;57;23;33;31;61;20;58;39;36;41;15;32;47;50;24;12;60;59;26;62;14;49;1;3;4;16;11;27;63;45;21;34;22;53;13;2;18;46;56;51;30;48;6;28;37;54;40;43;42;35;64;52;10;25;7;17;5;19;44;9;38;2;282
2;282;29;55;8;57;23;33;31;61;20;58;39;36;41;15;32;47;50;24;12;60;59;26;62;14;49;1;3;4;16;11;27;63;45;21;34;22;53;13;2;18;46;56;51;30;48;6;28;37;54;40;43;42;35;64;52;10;25;7;17;5;19;44;9;38
29;55;8;57;23;33;31;61;20;58;39;36;41;15;32;47;50;24;12;60;59;26;62;14;49;1;3;4;16;11;27;63;45;21;34;22;53;13;2;18;46;56;51;30;48;6;25;37;54;40;43;42;35;64;52;10;28;7;17;5;19;44;9;38;2;282
2;282;29;55;8;57;23;33;31;61;20;58;39;36;41;15;32;47;50;24;12;60;59;26;62;14;49;1;3;4;16;11;27;63;45;21;34;22;53;13;2;18;46;56;51;30;48;6;25;37;54;40;43;42;35;64;52;10;28;7;17;5;19;44;9;38
29;55;25;57;23;33;31;61;20;58;39;36;41;15;32;47;50;24;12;60;59;26;62;14;49;1;3;4;16;11;27;63;45;21;34;22;53;13;2;18;46;56;51;30;48;6;8;37;54;40;43;42;35;64;52;10;28;7;17;5;19;44;9;38;2;280
2;280;29;55;25;57;23;33;31;61;20;58;39;36;41;15;32;47;50;24;12;60;59;26;62;14;49;1;3;4;16;11;27;63;45;21;34;22;53;13;2;18;46;56;51;30;48;6;8;37;54;40;43;42;35;64;52;10;28;7;17;5;19;44;9;38
29;55;25;57;23;33;31;49;20;58;39;36;41;15;32;47;50;24;12;60;59;26;62;14;61;1;3;4;16;11;27;63;45;21;34;22;53;13;2;18;46;56;51;30;48;6;8;37;54;40;43;42;35;64;52;10;28;7;17;5;19;44;9;38;2;284
2;284;29;55;25;57;23;33;31;49;20;58;39;36;41;15;32;47;50;24;12;60;59;26;62;14;61;1;3;4;16;11;27;63;45;21;34;22;53;13;2;18;46;56;51;30;48;6;8;37;54;40;43;42;35;64;52;10;28;7;17;5;19;44;9;38
29;55;25;57;23;33;31;49;20;58;39;36;41;15;32;47;64;24;12;60;59;26;62;14;61;1;3;4;16;11;27;63;45;21;34;22;53;13;2;18;46;56;51;30;48;6;8;37;54;40;43;42;35;50;52;10;28;7;17;5;19;44;9;38;2;284
2;284;29;55;25;57;23;33;31;49;20;58;39;36;41;15;32;47;64;24;12;60;59;26;62;14;61;1;3;4;16;11;27;63;45;21;34;22;53;13;2;18;46;56;51;30;48;6;8;37;54;40;43;42;35;50;52;10;28;7;17;5;19;44;9;38
29;47;25;57;23;33;31;49;20;58;39;36;41;15;32;55;64;24;12;60;59;26;62;14;61;1;3;4;16;11;27;63;45;21;34;22;53;13;2;18;46;56;51;30;48;6;8;37;54;40;43;42;35;50;52;10;28;7;17;5;19;44;9;38;2;284
2;284;29;47;25;57;23;33;31;49;20;58;39;36;41;15;32;55;64;24;12;60;59;26;62;14;61;1;3;4;16;11;27;63;45;21;34;22;53;13;2;18;46;56;51;30;48;6;8;37;54;40;43;42;35;50;52;10;28;7;17;5;19;44;9;38
29;47;25;57;23;33;31;49;20;58;39;36;41;15;32;55;64;24;12;60;59;26;62;14;61;1;5;4;16;11;27;63;45;21;34;22;53;13;2;18;46;56;51;30;48;6;8;37;54;40;43;42;35;50;52;10;28;7;17;3;19;44;9;38;2;288
2;288;29;47;25;57;23;33;31;49;20;58;39;36;41;15;32;55;64;24;12;60;59;26;62;14;61;1;5;4;16;11;27;63;45;21;34;22;53;13;2;18;46;56;51;30;48;6;8;37;54;40;43;42;35;50;52;10;28;7;17;3;19;44;9;38
29;47;25;57;23;33;31;49;20;58;39;36;41;15;32;55;64;24;12;60;59;26;52;14;61;1;5;4;16;11;27;63;45;21;34;22;53;13;2;18;46;56;51;30;48;6;8;37;54;40;43;42;35;50;62;10;28;7;17;3;19;44;9;38;2;288
2;288;29;47;25;57;23;33;31;49;20;58;39;36;41;15;32;55;64;24;12;60;59;26;52;14;61;1;5;4;16;11;27;63;45;21;34;22;53;13;2;18;46;56;51;30;48;6;8;37;54;40;43;42;35;50;62;10;28;7;17;3;19;44;9;38
29;47;25;57;23;33;31;49;20;58;39;36;41;15;32;55;64;24;12;60;59;26;52;14;61;1;5;4;16;11;27;63;45;21;34;22;53;13;2;18;46;56;44;30;48;6;8;37;54;40;43;42;35;50;62;10;28;7;17;3;19;51;9;38;2;288
2;288;29;47;25;57;23;33;31;49;20;58;39;36;41;15;32;55;64;24;12;60;59;26;52;14;61;1;5;4;16;11;27;63;45;21;34;22;53;13;2;18;46;56;44;30;48;6;8;37;54;40;43;42;35;50;62;10;28;7;17;3;19;51;9;38
29;47;25;57;23;33;31;49;20;58;39;36;41;44;32;55;64;24;12;60;59;26;52;14;61;1;5;4;16;11;27;63;45;21;34;22;53;13;2;18;46;56;15;30;48;6;8;37;54;40;43;42;35;50;62;10;28;7;17;3;19;51;9;38;2;284
2;284;29;47;25;57;23;33;31;49;20;58;39;36;41;44;32;55;64;24;12;60;59;26;52;14;61;1;5;4;16;11;27;63;45;21;34;22;53;13;2;18;46;56;15;30;48;6;8;37;54;40;43;42;35;50;62;10;28;7;17;3;19;51;9;38
29;47;25;57;23;33;31;49;20;58;39;36;41;44;32;55;64;24;12;60;59;26;52;14;61;1;5;4;16;11;27;63;45;46;34;22;53;13;2;18;21;56;15;30;48;6;8;37;54;40;43;42;35;50;62;10;28;7;17;3;19;51;9;38;2;284
2;284;29;47;25;57;23;33;31;49;20;58;39;36;41;44;32;55;64;24;12;60;59;26;52;14;61;1;5;4;16;11;27;63;45;46;34;22;53;13;2;18;21;56;15;30;48;6;8;37;54;40;43;42;35;50;62;10;28;7;17;3;19;51;9;38
29;47;25;57;23;33;31;49;20;58;39;36;41;44;32;55;64;24;12;60;59;26;52;14;61;1;5;4;16;11;27;63;45;46;34;22;53;13;2;18;21;56;15;30;48;6;8;37;54;40;43;42;35;50;7;10;28;62;17;3;19;51;9;38;2;284
2;284;29;47;25;57;23;33;31;49;20;58;39;36;41;44;32;55;64;24;12;60;59;26;52;14;61;1;5;4;16;11;27;63;45;46;34;22;53;13;2;18;21;56;15;30;48;6;8;37;54;40;43;42;35;50;7;10;28;62;17;3;19;51;9;38
29;47;25;57;23;33;31;62;20;58;39;36;41;44;32;55;64;24;12;60;59;26;52;14;61;1;5;4;16;11;27;63;45;46;34;22;53;13;2;18;21;56;15;30;48;6;8;37;54;40;43;42;35;50;7;10;28;49;17;3;19;51;9;38;2;268
2;268;29;47;25;57;23;33;31;62;20;58;39;36;41;44;32;55;64;24;12;60;59;26;52;14;61;1;5;4;16;11;27;63;45;46;34;22;53;13;2;18;21;56;15;30;48;6;8;37;54;40;43;42;35;50;7;10;28;49;17;3;19;51;9;38
29;47;25;57;23;33;31;62;20;58;39;36;16;44;32;55;64;24;12;60;59;26;52;14;61;1;5;4;41;11;27;63;45;46;34;22;53;13;2;18;21;56;15;30;48;6;8;37;54;40;43;42;35;50;7;10;28;49;17;3;19;51;9;38;2;268
2;268;29;47;25;57;23;33;31;62;20;58;39;36;16;44;32;55;64;24;12;60;59;26;52;14;61;1;5;4;41;11;27;63;45;46;34;22;53;13;2;18;21;56;15;30;48;6;8;37;54;40;43;42;35;50;7;10;28;49;17;3;19;51;9;38
29;7;25;57;23;33;31;62;20;58;39;36;16;44;32;55;64;24;12;60;59;26;52;14;61;1;5;4;41;11;27;63;45;46;34;22;53;13;2;18;21;56;15;30;48;6;8;37;54;40;43;42;35;50;47;10;28;49;17;3;19;51;9;38;2;268
2;268;29;7;25;57;23;33;31;62;20;58;39;36;16;44;32;55;64;24;12;60;59;26;52;14;61;1;5;4;41;11;27;63;45;46;34;22;53;13;2;18;21;56;15;30;48;6;8;37;54;40;43;42;35;50;47;10;28;49;17;3;19;51;9;38
29;7;25;57;23;33;31;62;20;58;39;36;16;45;32;55;64;24;12;60;59;26;52;14;61;1;5;4;41;11;27;63;44;46;34;22;53;13;2;18;21;56;15;30;48;6;8;37;54;40;43;42;35;50;47;10;28;49;17;3;19;51;9;38;2;266
2;266;29;7;25;57;23;33;31;62;20;58;39;36;16;45;32;55;64;24;12;60;59;26;52;14;61;1;5;4;41;11;27;63;44;46;34;22;53;13;2;18;21;56;15;30;48;6;8;37;54;40;43;42;35;50;47;10;28;49;17;3;19;51;9;38
29;7;25;57;23;33;31;62;20;58;39;36;16;10;32;55;64;24;12;60;59;26;52;14;61;1;5;4;41;11;27;63;44;46;34;22;53;13;2;18;21;56;15;30;48;6;8;37;54;40;43;42;35;50;47;45;28;49;17;3;19;51;9;38;2;262
2;262;29;7;25;57;23;33;31;62;20;58;39;36;16;10;32;55;64;24;12;60;59;26;52;14;61;1;5;4;41;11;27;63;44;46;34;22;53;13;2;18;21;56;15;30;48;6;8;37;54;40;43;42;35;50;47;45;28;49;17;3;19;51;9;38
29;7;25;57;23;33;31;62;20;58;39;36;16;10;32;55;64;24;12;60;59;26;52;14;61;1;5;4;41;11;27;63;44;46;34;22;53;13;2;18;21;56;15;30;48;6;8;37;54;40;43;42;35;50;19;45;28;49;17;3;47;51;9;38;2;262
3;262;29;7;25;57;23;33;31;62;20;58;39;36;16;10;32;55;64;24;12;60;59;26;52;14;61;1;5;4;41;11;27;63;44;46;34;22;53;13;2;18;21;56;15;30;48;6;8;37;54;40;43;42;35;50;19;45;28;49;17;3;47;51;9;38
29;7;25;57;23;33;31;62;20;58;39;36;16;10;32;55;64;24;12;60;59;26;52;14;35;1;5;4;41;11;27;63;44;46;34;22;53;13;2;18;21;56;15;30;48;6;8;37;54;40;43;42;61;50;19;45;28;49;17;3;47;51;9;38;3;262
3;262;29;7;25;57;23;33;31;62;20;58;39;36;16;10;32;55;64;24;12;60;59;26;52;14;35;1;5;4;41;11;27;63;44;46;34;22;53;13;2;18;21;56;15;30;48;6;8;37;54;40;43;42;61;50;19;45;28;49;17;3;47;51;9;38
29;7;25;57;23;33;31;62;20;58;39;36;16;10;32;55;64;12;24;60;59;26;52;14;35;1;5;4;41;11;27;63;44;46;34;22;53;13;2;18;21;56;15;30;48;6;8;37;54;40;43;42;61;50;19;45;28;49;17;3;47;51;9;38;3;254
3;254;29;7;25;57;23;33;31;62;20;58;39;36;16;10;32;55;64;12;24;60;59;26;52;14;35;1;5;4;41;11;27;63;44;46;34;22;53;13;2;18;21;56;15;30;48;6;8;37;54;40;43;42;61;50;19;45;28;49;17;3;47;51;9;38
29;7;25;57;23;33;31;62;20;58;39;36;16;10;32;55;64;12;24;60;59;26;52;14;35;1;5;4;41;11;27;63;44;46;34;22;53;13;2;18;21;56;15;30;48;6;8;37;54;40;43;42;61;50;19;45;28;49;17;51;47;3;9;38;3;254
3;254;29;7;25;57;23;33;31;62;20;58;39;36;16;10;32;55;64;12;24;60;59;26;52;14;35;1;5;4;41;11;27;63;44;46;34;22;53;13;2;18;21;56;15;30;48;6;8;37;54;40;43;42;61;50;19;45;28;49;17;51;47;3;9;38
29;7;25;57;23;33;31;62;20;58;39;36;16;10;32;55;64;12;19;60;59;26;52;14;35;1;5;4;41;11;27;63;44;46;34;22;53;13;2;18;21;56;15;30;48;6;8;37;54;40;43;42;61;50;24;45;28;49;17;51;47;3;9;38;3;270
3;270;29;7;25;57;23;33;31;62;20;58;39;36;16;10;32;55;64;12;19;60;59;26;52;14;35;1;5;4;41;11;27;63;44;46;34;22;53;13;2;18;21;56;15;30;48;6;8;37;54;40;43;42;61;50;24;45;28;49;17;51;47;3;9;38
29;7;25;57;23;33;31;62;20;58;39;36;16;10;32;55;64;12;19;60;59;26;52;14;35;1;5;4;41;11;27;63;44;46;34;22;53;13;2;18;21;56;15;49;48;6;8;37;54;40;43;42;61;50;24;45;28;30;17;51;47;3;9;38;3;274
3;274;29;7;25;57;23;33;31;62;20;58;39;36;16;10;32;55;64;12;19;60;59;26;52;14;35;1;5;4;41;11;27;63;44;46;34;22;53;13;2;18;21;56;15;49;48;6;8;37;54;40;43;42;61;50;24;45;28;30;17;51;47;3;9;38
29;7;25;57;23;33;31;62;42;58;39;36;16;10;32;55;64;12;19;60;59;26;52;14;35;1;5;4;41;11;27;63;44;46;34;22;53;13;2;18;21;56;15;49;48;6;8;37;54;40;43;20;61;50;24;45;28;30;17;51;47;3;9;38;3;274
3;274;29;7;25;57;23;33;31;62;42;58;39;36;16;10;32;55;64;12;19;60;59;26;52;14;35;1;5;4;41;11;27;63;44;46;34;22;53;13;2;18;21;56;15;49;48;6;8;37;54;40;43;20;61;50;24;45;28;30;17;51;47;3;9;38
29;7;25;57;23;33;31;62;42;58;39;36;16;10;32;55;64;12;19;60;59;26;52;14;35;49;5;4;41;11;27;63;44;46;34;22;53;13;2;18;21;56;15;1;48;6;8;37;54;40;43;20;61;50;24;45;28;30;17;51;47;3;9;38;3;282
3;282;29;7;25;57;23;33;31;62;42;58;39;36;16;10;32;55;64;12;19;60;59;26;52;14;35;49;5;4;41;11;27;63;44;46;34;22;53;13;2;18;21;56;15;1;48;6;8;37;54;40;43;20;61;50;24;45;28;30;17;51;47;3;9;38
29;7;25;57;23;33;31;62;42;58;39;36;16;10;32;55;64;12;19;60;59;26;52;14;35;49;5;4;41;11;27;63;44;46;34;22;53;13;2;18;21;56;15;1;48;6;8;37;54;40;43;20;61;50;9;45;28;30;17;51;47;3;24;38;3;282
3;282;29;7;25;57;23;33;31;62;42;58;39;36;16;10;32;55;64;12;19;60;59;26;52;14;35;49;5;4;41;11;27;63;44;46;34;22;53;13;2;18;21;56;15;1;48;6;8;37;54;40;43;20;61;50;9;45;28;30;17;51;47;3;24;38
29;7;25;57;23;33;31;62;42;58;39;36;16;10;32;55;64;12;19;60;59;26;52;14;35;49;5;4;41;11;27;9;44;46;34;22;53;13;2;18;21;56;15;1;48;6;8;37;54;40;43;20;61;50;63;45;28;30;17;51;47;3;24;38;3;278
3;278;29;7;25;57;23;33;31;62;42;58;39;36;16;10;32;55;64;12;19;60;59;26;52;14;35;49;5;4;41;11;27;9;44;46;34;22;53;13;2;18;21;56;15;1;48;6;8;37;54;40;43;20;61;50;63;45;28;30;17;51;47;3;24;38
29;7;25;57;23;33;31;62;42;58;39;36;16;10;32;55;64;12;19;60;59;26;52;14;35;49;5;41;4;11;27;9;44;46;34;22;53;13;2;18;21;56;15;1;48;6;8;37;54;40;43;20;61;50;63;45;28;30;17;51;47;3;24;38;3;274
3;274;29;7;25;57;23;33;31;62;42;58;39;36;16;10;32;55;64;12;19;60;59;26;52;14;35;49;5;41;4;11;27;9;44;46;34;22;53;13;2;18;21;56;15;1;48;6;8;37;54;40;43;20;61;50;63;45;28;30;17;51;47;3;24;38
29;7;25;57;23;42;31;62;33;58;39;36;16;10;32;55;64;12;19;60;59;26;52;14;35;49;5;41;4;11;27;9;44;46;34;22;53;13;2;18;21;56;15;1;48;6;8;37;54;40;43;20;61;50;63;45;28;30;17;51;47;3;24;38;3;270
