"X1";"X27744";"X30";"X8";"X29";"X18";"X10";"X17";"X16";"X1.1";"X12";"X20";"X28";"X13";"X3";"X7";"X32";"X31";"X2";"X4";"X5";"X11";"X14";"X23";"X21";"X22";"X9";"X25";"X6";"X26";"X24";"X27";"X19";"X15"
4;28148;30;8;17;19;2;23;31;25;28;12;3;24;26;13;32;18;16;14;6;5;1;20;4;29;15;9;21;7;27;10;22;11
30;8;17;19;2;23;31;25;28;12;3;24;26;13;32;18;16;14;9;5;1;20;4;29;15;6;21;7;27;10;22;11;4;27628
4;27628;30;8;17;19;2;23;31;25;28;12;3;24;26;13;32;18;16;14;9;5;1;20;4;29;15;6;21;7;27;10;22;11
30;8;17;19;2;23;31;4;28;12;3;24;26;13;32;18;16;14;9;5;1;20;25;29;15;6;21;7;27;10;22;11;4;27378
4;27378;30;8;17;19;2;23;31;4;28;12;3;24;26;13;32;18;16;14;9;5;1;20;25;29;15;6;21;7;27;10;22;11
30;8;17;19;2;23;31;4;28;12;3;24;26;13;32;18;16;14;9;5;1;20;25;29;11;6;21;7;27;10;22;15;4;27378
4;27378;30;8;17;19;2;23;31;4;28;12;3;24;26;13;32;18;16;14;9;5;1;20;25;29;11;6;21;7;27;10;22;15
30;8;17;19;2;23;31;4;28;12;3;24;26;13;32;18;16;14;9;5;1;20;25;21;11;6;29;7;27;10;22;15;4;27058
4;27058;30;8;17;19;2;23;31;4;28;12;3;24;26;13;32;18;16;14;9;5;1;20;25;21;11;6;29;7;27;10;22;15
30;8;17;19;2;23;31;4;28;12;3;24;26;13;32;18;16;20;9;5;1;14;25;21;11;6;29;7;27;10;22;15;4;28770
4;28770;30;8;17;19;2;23;31;4;28;12;3;24;26;13;32;18;16;20;9;5;1;14;25;21;11;6;29;7;27;10;22;15
30;8;17;19;2;28;31;4;23;12;3;24;26;13;32;18;16;20;9;5;1;14;25;21;11;6;29;7;27;10;22;15;4;29250
4;29250;30;8;17;19;2;28;31;4;23;12;3;24;26;13;32;18;16;20;9;5;1;14;25;21;11;6;29;7;27;10;22;15
30;8;17;19;2;28;31;4;23;12;3;24;26;13;32;18;16;20;9;5;1;21;25;14;11;6;29;7;27;10;22;15;4;29012
4;29012;30;8;17;19;2;28;31;4;23;12;3;24;26;13;32;18;16;20;9;5;1;21;25;14;11;6;29;7;27;10;22;15
30;8;17;19;2;28;31;4;23;12;32;24;26;13;3;18;16;20;9;5;1;21;25;14;11;6;29;7;27;10;22;15;4;27974
4;27974;30;8;17;19;2;28;31;4;23;12;32;24;26;13;3;18;16;20;9;5;1;21;25;14;11;6;29;7;27;10;22;15
30;8;17;19;2;28;31;4;23;12;32;24;26;13;3;18;16;20;9;5;1;21;25;6;11;14;29;7;27;10;22;15;4;28294
4;28294;30;8;17;19;2;28;31;4;23;12;32;24;26;13;3;18;16;20;9;5;1;21;25;6;11;14;29;7;27;10;22;15
30;8;17;19;2;28;31;4;23;29;32;24;26;13;3;18;16;20;9;5;1;21;25;6;11;14;12;7;27;10;22;15;4;28192
4;28192;30;8;17;19;2;28;31;4;23;29;32;24;26;13;3;18;16;20;9;5;1;21;25;6;11;14;12;7;27;10;22;15
30;8;17;19;2;28;31;4;23;29;32;24;26;13;3;18;16;15;9;5;1;21;25;6;11;14;12;7;27;10;22;20;4;26874
4;26874;30;8;17;19;2;28;31;4;23;29;32;24;26;13;3;18;16;15;9;5;1;21;25;6;11;14;12;7;27;10;22;20
30;8;17;19;2;28;31;4;23;29;32;24;26;13;3;18;16;15;9;5;1;21;25;22;11;14;12;7;27;10;6;20;4;26690
4;26690;30;8;17;19;2;28;31;4;23;29;32;24;26;13;3;18;16;15;9;5;1;21;25;22;11;14;12;7;27;10;6;20
30;8;17;19;2;28;31;4;23;29;6;24;26;13;3;18;16;15;9;5;1;21;25;22;11;14;12;7;27;10;32;20;4;26734
4;26734;30;8;17;19;2;28;31;4;23;29;6;24;26;13;3;18;16;15;9;5;1;21;25;22;11;14;12;7;27;10;32;20
30;8;17;19;2;28;31;4;23;3;6;24;26;13;29;18;16;15;9;5;1;21;25;22;11;14;12;7;27;10;32;20;4;27294
4;27294;30;8;17;19;2;28;31;4;23;3;6;24;26;13;29;18;16;15;9;5;1;21;25;22;11;14;12;7;27;10;32;20
30;8;17;19;2;28;31;4;23;3;6;24;26;13;29;18;16;15;9;12;1;21;25;22;11;14;5;7;27;10;32;20;4;27174
4;27174;30;8;17;19;2;28;31;4;23;3;6;24;26;13;29;18;16;15;9;12;1;21;25;22;11;14;5;7;27;10;32;20
30;8;17;19;2;28;31;4;23;3;6;9;26;13;29;18;16;15;24;12;1;21;25;22;11;14;5;7;27;10;32;20;4;27370
4;27370;30;8;17;19;2;28;31;4;23;3;6;9;26;13;29;18;16;15;24;12;1;21;25;22;11;14;5;7;27;10;32;20
30;8;17;19;2;28;31;4;23;3;6;9;26;13;29;18;16;15;12;24;1;21;25;22;11;14;5;7;27;10;32;20;4;26922
4;26922;30;8;17;19;2;28;31;4;23;3;6;9;26;13;29;18;16;15;12;24;1;21;25;22;11;14;5;7;27;10;32;20
30;8;17;19;2;28;31;4;23;3;6;9;26;13;29;7;16;15;12;24;1;21;25;22;11;14;5;18;27;10;32;20;4;26430
4;26430;30;8;17;19;2;28;31;4;23;3;6;9;26;13;29;7;16;15;12;24;1;21;25;22;11;14;5;18;27;10;32;20
30;8;17;19;2;28;31;4;15;3;6;9;26;13;29;7;16;23;12;24;1;21;25;22;11;14;5;18;27;10;32;20;4;27586
5;27586;30;8;17;19;2;28;31;4;15;3;6;9;26;13;29;7;16;23;12;24;1;21;25;22;11;14;5;18;27;10;32;20
30;8;17;19;2;28;31;4;15;3;6;9;26;13;29;7;16;23;12;24;22;21;25;1;11;14;5;18;27;10;32;20;5;26972
5;26972;30;8;17;19;2;28;31;4;15;3;6;9;26;13;29;7;16;23;12;24;22;21;25;1;11;14;5;18;27;10;32;20
30;8;17;19;2;28;31;4;15;3;6;9;26;13;29;27;16;23;12;24;22;21;25;1;11;14;5;18;7;10;32;20;5;27102
5;27102;30;8;17;19;2;28;31;4;15;3;6;9;26;13;29;27;16;23;12;24;22;21;25;1;11;14;5;18;7;10;32;20
30;8;5;19;2;28;31;4;15;3;6;9;26;13;29;27;16;23;12;24;22;21;25;1;11;14;17;18;7;10;32;20;5;26676
5;26676;30;8;5;19;2;28;31;4;15;3;6;9;26;13;29;27;16;23;12;24;22;21;25;1;11;14;17;18;7;10;32;20
30;8;5;19;2;28;31;4;15;3;6;9;26;13;29;27;16;23;7;24;22;21;25;1;11;14;17;18;12;10;32;20;5;26996
5;26996;30;8;5;19;2;28;31;4;15;3;6;9;26;13;29;27;16;23;7;24;22;21;25;1;11;14;17;18;12;10;32;20
30;8;5;19;2;28;31;4;15;3;6;9;26;13;29;27;16;23;7;24;22;21;25;1;11;14;17;18;12;20;32;10;5;27500
5;27500;30;8;5;19;2;28;31;4;15;3;6;9;26;13;29;27;16;23;7;24;22;21;25;1;11;14;17;18;12;20;32;10
30;8;5;19;2;28;31;4;15;3;6;9;26;13;29;27;16;23;12;24;22;21;25;1;11;14;17;18;7;20;32;10;5;27180
5;27180;30;8;5;19;2;28;31;4;15;3;6;9;26;13;29;27;16;23;12;24;22;21;25;1;11;14;17;18;7;20;32;10
30;8;6;19;2;28;31;4;15;3;5;9;26;13;29;27;16;23;12;24;22;21;25;1;11;14;17;18;7;20;32;10;5;27320
5;27320;30;8;6;19;2;28;31;4;15;3;5;9;26;13;29;27;16;23;12;24;22;21;25;1;11;14;17;18;7;20;32;10
30;8;6;19;2;28;31;4;15;3;5;9;26;13;29;27;16;23;24;12;22;21;25;1;11;14;17;18;7;20;32;10;5;27360
5;27360;30;8;6;19;2;28;31;4;15;3;5;9;26;13;29;27;16;23;24;12;22;21;25;1;11;14;17;18;7;20;32;10
30;8;6;19;2;28;31;4;14;3;5;9;26;13;29;27;16;23;24;12;22;21;25;1;11;15;17;18;7;20;32;10;5;27220
5;27220;30;8;6;19;2;28;31;4;14;3;5;9;26;13;29;27;16;23;24;12;22;21;25;1;11;15;17;18;7;20;32;10
30;8;6;19;2;28;31;4;14;3;5;20;26;13;29;27;16;23;24;12;22;21;25;1;11;15;17;18;7;9;32;10;5;27384
5;27384;30;8;6;19;2;28;31;4;14;3;5;20;26;13;29;27;16;23;24;12;22;21;25;1;11;15;17;18;7;9;32;10
30;8;6;19;2;28;31;4;14;3;5;20;7;13;29;27;16;23;24;12;22;21;25;1;11;15;17;18;26;9;32;10;5;27406
5;27406;30;8;6;19;2;28;31;4;14;3;5;20;7;13;29;27;16;23;24;12;22;21;25;1;11;15;17;18;26;9;32;10
30;8;6;19;12;28;31;4;14;3;5;20;7;13;29;27;16;23;24;2;22;21;25;1;11;15;17;18;26;9;32;10;5;27126
5;27126;30;8;6;19;12;28;31;4;14;3;5;20;7;13;29;27;16;23;24;2;22;21;25;1;11;15;17;18;26;9;32;10
27;8;6;19;12;28;31;4;14;3;5;20;7;13;29;30;16;23;24;2;22;21;25;1;11;15;17;18;26;9;32;10;5;27486
5;27486;27;8;6;19;12;28;31;4;14;3;5;20;7;13;29;30;16;23;24;2;22;21;25;1;11;15;17;18;26;9;32;10
27;8;6;19;12;28;31;4;14;3;10;20;7;13;29;30;16;23;24;2;22;21;25;1;11;15;17;18;26;9;32;5;5;26846
5;26846;27;8;6;19;12;28;31;4;14;3;10;20;7;13;29;30;16;23;24;2;22;21;25;1;11;15;17;18;26;9;32;5
27;8;6;19;12;28;31;4;14;3;10;30;7;13;29;20;16;23;24;2;22;21;25;1;11;15;17;18;26;9;32;5;5;26806
5;26806;27;8;6;19;12;28;31;4;14;3;10;30;7;13;29;20;16;23;24;2;22;21;25;1;11;15;17;18;26;9;32;5
27;8;6;19;12;28;3;4;14;31;10;30;7;13;29;20;16;23;24;2;22;21;25;1;11;15;17;18;26;9;32;5;5;25686
5;25686;27;8;6;19;12;28;3;4;14;31;10;30;7;13;29;20;16;23;24;2;22;21;25;1;11;15;17;18;26;9;32;5
27;8;6;19;12;28;3;4;14;31;10;30;7;26;29;20;16;23;24;2;22;21;25;1;11;15;17;18;13;9;32;5;5;25956
5;25956;27;8;6;19;12;28;3;4;14;31;10;30;7;26;29;20;16;23;24;2;22;21;25;1;11;15;17;18;13;9;32;5
27;8;6;26;12;28;3;4;14;31;10;30;7;19;29;20;16;23;24;2;22;21;25;1;11;15;17;18;13;9;32;5;5;25576
5;25576;27;8;6;26;12;28;3;4;14;31;10;30;7;19;29;20;16;23;24;2;22;21;25;1;11;15;17;18;13;9;32;5
27;8;6;26;12;28;3;4;14;31;10;30;7;19;29;20;16;23;24;2;22;21;25;1;32;15;17;18;13;9;11;5;5;25920
