"X1";"X292";"X38";"X34";"X16";"X5";"X30";"X39";"X48";"X49";"X57";"X7";"X46";"X17";"X13";"X61";"X42";"X26";"X33";"X22";"X20";"X59";"X21";"X36";"X11";"X19";"X53";"X64";"X58";"X31";"X50";"X4";"X45";"X52";"X9";"X25";"X62";"X1.1";"X41";"X14";"X37";"X8";"X3";"X43";"X27";"X6";"X54";"X29";"X12";"X28";"X55";"X24";"X32";"X44";"X51";"X60";"X40";"X23";"X35";"X2";"X15";"X63";"X18";"X56";"X10";"X47"
1;290;38;59;16;5;30;39;48;49;57;7;46;56;13;61;26;42;33;34;20;22;21;36;11;19;53;51;58;31;23;14;45;52;9;25;62;1;41;50;37;8;3;43;27;6;54;29;12;28;55;24;32;44;17;60;40;4;35;2;15;63;18;64;10;47
38;59;16;5;30;39;48;49;57;7;46;56;13;61;26;42;33;34;31;22;21;36;11;19;53;51;58;20;23;14;45;52;9;25;62;1;41;50;37;8;3;43;27;6;54;29;12;28;55;24;32;44;17;60;40;4;35;2;15;63;18;64;10;47;1;274
1;274;38;59;16;5;30;39;48;49;57;7;46;56;13;61;26;42;33;34;31;22;21;36;11;19;53;51;58;20;23;14;45;52;9;25;62;1;41;50;37;8;3;43;27;6;54;29;12;28;55;24;32;44;17;60;40;4;35;2;15;63;18;64;10;47
38;59;16;5;30;39;48;49;57;7;46;56;13;61;26;42;33;34;31;22;21;36;11;19;54;51;58;20;23;14;45;52;9;25;62;1;41;50;37;8;3;43;27;6;53;29;12;28;55;24;32;44;17;60;40;4;35;2;15;63;18;64;10;47;1;274
1;274;38;59;16;5;30;39;48;49;57;7;46;56;13;61;26;42;33;34;31;22;21;36;11;19;54;51;58;20;23;14;45;52;9;25;62;1;41;50;37;8;3;43;27;6;53;29;12;28;55;24;32;44;17;60;40;4;35;2;15;63;18;64;10;47
38;59;16;5;30;39;48;55;57;7;46;56;13;61;26;42;33;34;31;22;21;36;11;19;54;51;58;20;23;14;45;52;9;25;62;1;41;50;37;8;3;43;27;6;53;29;12;28;49;24;32;44;17;60;40;4;35;2;15;63;18;64;10;47;1;274
1;274;38;59;16;5;30;39;48;55;57;7;46;56;13;61;26;42;33;34;31;22;21;36;11;19;54;51;58;20;23;14;45;52;9;25;62;1;41;50;37;8;3;43;27;6;53;29;12;28;49;24;32;44;17;60;40;4;35;2;15;63;18;64;10;47
38;59;16;5;64;39;48;55;57;7;46;56;13;61;26;42;33;34;31;22;21;36;11;19;54;51;58;20;23;14;45;52;9;25;62;1;41;50;37;8;3;43;27;6;53;29;12;28;49;24;32;44;17;60;40;4;35;2;15;63;18;30;10;47;1;274
1;274;38;59;16;5;64;39;48;55;57;7;46;56;13;61;26;42;33;34;31;22;21;36;11;19;54;51;58;20;23;14;45;52;9;25;62;1;41;50;37;8;3;43;27;6;53;29;12;28;49;24;32;44;17;60;40;4;35;2;15;63;18;30;10;47
38;59;16;5;64;39;48;8;57;7;46;56;13;61;26;42;33;34;31;22;21;36;11;19;54;51;58;20;23;14;45;52;9;25;62;1;41;50;37;55;3;43;27;6;53;29;12;28;49;24;32;44;17;60;40;4;35;2;15;63;18;30;10;47;1;278
1;278;38;59;16;5;64;39;48;8;57;7;46;56;13;61;26;42;33;34;31;22;21;36;11;19;54;51;58;20;23;14;45;52;9;25;62;1;41;50;37;55;3;43;27;6;53;29;12;28;49;24;32;44;17;60;40;4;35;2;15;63;18;30;10;47
38;59;16;5;64;39;48;8;57;7;46;56;13;61;26;42;33;34;31;22;21;36;11;19;54;51;58;20;23;14;45;52;9;25;62;1;41;50;37;55;3;43;27;6;53;29;12;28;44;24;32;49;17;60;40;4;35;2;15;63;18;30;10;47;1;278
1;278;38;59;16;5;64;39;48;8;57;7;46;56;13;61;26;42;33;34;31;22;21;36;11;19;54;51;58;20;23;14;45;52;9;25;62;1;41;50;37;55;3;43;27;6;53;29;12;28;44;24;32;49;17;60;40;4;35;2;15;63;18;30;10;47
38;59;16;5;64;39;17;8;57;7;46;56;13;61;26;42;33;34;31;22;21;36;11;19;54;51;58;20;23;14;45;52;9;25;62;1;41;50;37;55;3;43;27;6;53;29;12;28;44;24;32;49;48;60;40;4;35;2;15;63;18;30;10;47;1;278
1;278;38;59;16;5;64;39;17;8;57;7;46;56;13;61;26;42;33;34;31;22;21;36;11;19;54;51;58;20;23;14;45;52;9;25;62;1;41;50;37;55;3;43;27;6;53;29;12;28;44;24;32;49;48;60;40;4;35;2;15;63;18;30;10;47
38;59;16;5;64;39;17;8;57;7;46;56;13;61;26;42;33;34;31;22;21;36;11;19;54;51;58;20;23;14;45;52;9;25;62;1;41;50;37;55;4;43;27;6;53;29;12;28;44;24;32;49;48;60;40;3;35;2;15;63;18;30;10;47;1;278
1;278;38;59;16;5;64;39;17;8;57;7;46;56;13;61;26;42;33;34;31;22;21;36;11;19;54;51;58;20;23;14;45;52;9;25;62;1;41;50;37;55;4;43;27;6;53;29;12;28;44;24;32;49;48;60;40;3;35;2;15;63;18;30;10;47
38;59;16;5;64;39;17;8;57;7;46;56;13;61;26;42;33;34;31;22;21;36;11;19;54;51;58;20;23;14;45;48;9;25;62;1;41;50;37;55;4;43;27;6;53;29;12;28;44;24;32;49;52;60;40;3;35;2;15;63;18;30;10;47;1;284
1;284;38;59;16;5;64;39;17;8;57;7;46;56;13;61;26;42;33;34;31;22;21;36;11;19;54;51;58;20;23;14;45;48;9;25;62;1;41;50;37;55;4;43;27;6;53;29;12;28;44;24;32;49;52;60;40;3;35;2;15;63;18;30;10;47
38;59;16;5;64;39;17;8;57;7;46;56;13;61;26;42;33;44;31;22;21;36;11;19;54;51;58;20;23;14;45;48;9;25;62;1;41;50;37;55;4;43;27;6;53;29;12;28;34;24;32;49;52;60;40;3;35;2;15;63;18;30;10;47;1;284
1;284;38;59;16;5;64;39;17;8;57;7;46;56;13;61;26;42;33;44;31;22;21;36;11;19;54;51;58;20;23;14;45;48;9;25;62;1;41;50;37;55;4;43;27;6;53;29;12;28;34;24;32;49;52;60;40;3;35;2;15;63;18;30;10;47
38;59;16;5;64;39;17;8;57;7;46;56;13;61;26;42;33;44;31;22;21;36;11;25;54;51;58;20;23;14;45;48;9;19;62;1;41;50;37;55;4;43;27;6;53;29;12;28;34;24;32;49;52;60;40;3;35;2;15;63;18;30;10;47;1;284
2;284;38;59;16;5;64;39;17;8;57;7;46;56;13;61;26;42;33;44;31;22;21;36;11;25;54;51;58;20;23;14;45;48;9;19;62;1;41;50;37;55;4;43;27;6;53;29;12;28;34;24;32;49;52;60;40;3;35;2;15;63;18;30;10;47
38;59;16;5;64;39;17;8;57;7;46;56;13;61;26;42;33;44;31;22;40;36;11;25;54;51;58;20;23;14;45;48;9;19;62;1;41;50;37;55;4;43;27;6;53;29;12;28;34;24;32;49;52;60;21;3;35;2;15;63;18;30;10;47;2;284
2;284;38;59;16;5;64;39;17;8;57;7;46;56;13;61;26;42;33;44;31;22;40;36;11;25;54;51;58;20;23;14;45;48;9;19;62;1;41;50;37;55;4;43;27;6;53;29;12;28;34;24;32;49;52;60;21;3;35;2;15;63;18;30;10;47
38;59;16;5;64;39;17;8;57;7;51;56;13;61;26;42;33;44;31;22;40;36;11;25;54;46;58;20;23;14;45;48;9;19;62;1;41;50;37;55;4;43;27;6;53;29;12;28;34;24;32;49;52;60;21;3;35;2;15;63;18;30;10;47;2;292
2;292;38;59;16;5;64;39;17;8;57;7;51;56;13;61;26;42;33;44;31;22;40;36;11;25;54;46;58;20;23;14;45;48;9;19;62;1;41;50;37;55;4;43;27;6;53;29;12;28;34;24;32;49;52;60;21;3;35;2;15;63;18;30;10;47
38;59;16;5;64;39;17;8;57;7;51;56;13;22;26;42;33;44;31;61;40;36;11;25;54;46;58;20;23;14;45;48;9;19;62;1;41;50;37;55;4;43;27;6;53;29;12;28;34;24;32;49;52;60;21;3;35;2;15;63;18;30;10;47;2;290
2;290;38;59;16;5;64;39;17;8;57;7;51;56;13;22;26;42;33;44;31;61;40;36;11;25;54;46;58;20;23;14;45;48;9;19;62;1;41;50;37;55;4;43;27;6;53;29;12;28;34;24;32;49;52;60;21;3;35;2;15;63;18;30;10;47
38;59;16;5;64;39;17;8;57;63;51;56;13;22;26;42;33;44;31;61;40;36;11;25;54;46;58;20;23;14;45;48;9;19;62;1;41;50;37;55;4;43;27;6;53;29;12;28;34;24;32;49;52;60;21;3;35;2;15;7;18;30;10;47;2;298
2;298;38;59;16;5;64;39;17;8;57;63;51;56;13;22;26;42;33;44;31;61;40;36;11;25;54;46;58;20;23;14;45;48;9;19;62;1;41;50;37;55;4;43;27;6;53;29;12;28;34;24;32;49;52;60;21;3;35;2;15;7;18;30;10;47
38;59;16;5;64;39;17;8;57;63;51;56;13;22;26;42;33;44;31;61;40;36;11;25;54;46;58;20;27;14;45;48;9;19;62;1;41;50;37;55;4;43;23;6;53;29;12;28;34;24;32;49;52;60;21;3;35;2;15;7;18;30;10;47;2;298
2;298;38;59;16;5;64;39;17;8;57;63;51;56;13;22;26;42;33;44;31;61;40;36;11;25;54;46;58;20;27;14;45;48;9;19;62;1;41;50;37;55;4;43;23;6;53;29;12;28;34;24;32;49;52;60;21;3;35;2;15;7;18;30;10;47
38;59;16;5;64;39;17;8;57;63;51;56;13;22;26;42;33;44;31;61;40;36;27;25;54;46;58;20;11;14;45;48;9;19;62;1;41;50;37;55;4;43;23;6;53;29;12;28;34;24;32;49;52;60;21;3;35;2;15;7;18;30;10;47;2;298
2;298;38;59;16;5;64;39;17;8;57;63;51;56;13;22;26;42;33;44;31;61;40;36;27;25;54;46;58;20;11;14;45;48;9;19;62;1;41;50;37;55;4;43;23;6;53;29;12;28;34;24;32;49;52;60;21;3;35;2;15;7;18;30;10;47
38;59;16;5;64;39;17;8;57;63;51;56;13;22;26;42;33;44;31;61;40;37;27;25;54;46;58;20;11;14;45;48;9;19;62;1;41;50;36;55;4;43;23;6;53;29;12;28;34;24;32;49;52;60;21;3;35;2;15;7;18;30;10;47;2;290
2;290;38;59;16;5;64;39;17;8;57;63;51;56;13;22;26;42;33;44;31;61;40;37;27;25;54;46;58;20;11;14;45;48;9;19;62;1;41;50;36;55;4;43;23;6;53;29;12;28;34;24;32;49;52;60;21;3;35;2;15;7;18;30;10;47
38;59;16;5;64;39;17;8;57;63;51;56;13;22;26;42;33;44;31;61;40;37;27;25;54;46;58;20;11;14;45;48;9;19;62;1;41;50;36;55;4;43;23;6;53;29;12;47;34;24;32;49;52;60;21;3;35;2;15;7;18;30;10;28;2;290
2;290;38;59;16;5;64;39;17;8;57;63;51;56;13;22;26;42;33;44;31;61;40;37;27;25;54;46;58;20;11;14;45;48;9;19;62;1;41;50;36;55;4;43;23;6;53;29;12;47;34;24;32;49;52;60;21;3;35;2;15;7;18;30;10;28
38;59;16;5;64;39;17;8;57;63;51;56;13;22;26;42;33;44;31;61;40;37;27;25;54;46;58;20;11;14;45;48;9;19;62;1;41;50;36;55;4;43;23;6;53;29;12;47;34;24;32;49;52;15;21;3;35;2;60;7;18;30;10;28;2;290
2;290;38;59;16;5;64;39;17;8;57;63;51;56;13;22;26;42;33;44;31;61;40;37;27;25;54;46;58;20;11;14;45;48;9;19;62;1;41;50;36;55;4;43;23;6;53;29;12;47;34;24;32;49;52;15;21;3;35;2;60;7;18;30;10;28
38;59;16;5;64;39;17;8;57;63;51;56;13;22;26;42;33;44;31;61;40;37;27;25;54;46;58;20;11;14;45;48;9;19;62;1;41;50;36;55;4;43;23;6;53;29;12;47;34;24;32;49;52;15;21;10;35;2;60;7;18;30;3;28;2;290
2;290;38;59;16;5;64;39;17;8;57;63;51;56;13;22;26;42;33;44;31;61;40;37;27;25;54;46;58;20;11;14;45;48;9;19;62;1;41;50;36;55;4;43;23;6;53;29;12;47;34;24;32;49;52;15;21;10;35;2;60;7;18;30;3;28
38;59;16;5;64;39;17;8;57;63;51;56;13;22;26;42;33;44;31;61;40;37;27;25;54;46;58;20;11;14;45;48;9;19;62;1;15;50;36;55;4;43;23;6;53;29;12;47;34;24;32;49;52;41;21;10;35;2;60;7;18;30;3;28;2;278
2;278;38;59;16;5;64;39;17;8;57;63;51;56;13;22;26;42;33;44;31;61;40;37;27;25;54;46;58;20;11;14;45;48;9;19;62;1;15;50;36;55;4;43;23;6;53;29;12;47;34;24;32;49;52;41;21;10;35;2;60;7;18;30;3;28
38;59;16;5;64;36;17;8;57;63;51;56;13;22;26;42;33;44;31;61;40;37;27;25;54;46;58;20;11;14;45;48;9;19;62;1;15;50;39;55;4;43;23;6;53;29;12;47;34;24;32;49;52;41;21;10;35;2;60;7;18;30;3;28;2;302
2;302;38;59;16;5;64;36;17;8;57;63;51;56;13;22;26;42;33;44;31;61;40;37;27;25;54;46;58;20;11;14;45;48;9;19;62;1;15;50;39;55;4;43;23;6;53;29;12;47;34;24;32;49;52;41;21;10;35;2;60;7;18;30;3;28
38;59;16;5;64;36;17;8;57;63;51;48;13;22;26;42;33;44;31;61;40;37;27;25;54;46;58;20;11;14;45;56;9;19;62;1;15;50;39;55;4;43;23;6;53;29;12;47;34;24;32;49;52;41;21;10;35;2;60;7;18;30;3;28;2;298
2;298;38;59;16;5;64;36;17;8;57;63;51;48;13;22;26;42;33;44;31;61;40;37;27;25;54;46;58;20;11;14;45;56;9;19;62;1;15;50;39;55;4;43;23;6;53;29;12;47;34;24;32;49;52;41;21;10;35;2;60;7;18;30;3;28
38;59;16;5;64;36;17;8;57;29;51;48;13;22;26;42;33;44;31;61;40;37;27;25;54;46;58;20;11;14;45;56;9;19;62;1;15;50;39;55;4;43;23;6;53;63;12;47;34;24;32;49;52;41;21;10;35;2;60;7;18;30;3;28;2;294
2;294;38;59;16;5;64;36;17;8;57;29;51;48;13;22;26;42;33;44;31;61;40;37;27;25;54;46;58;20;11;14;45;56;9;19;62;1;15;50;39;55;4;43;23;6;53;63;12;47;34;24;32;49;52;41;21;10;35;2;60;7;18;30;3;28
38;59;16;5;64;36;17;8;57;29;51;48;13;22;26;42;33;44;31;61;40;37;27;25;54;46;58;20;11;14;45;56;9;19;62;1;15;50;39;55;4;43;23;6;53;63;12;47;34;24;32;49;52;41;21;18;35;2;60;7;10;30;3;28;2;294
2;294;38;59;16;5;64;36;17;8;57;29;51;48;13;22;26;42;33;44;31;61;40;37;27;25;54;46;58;20;11;14;45;56;9;19;62;1;15;50;39;55;4;43;23;6;53;63;12;47;34;24;32;49;52;41;21;18;35;2;60;7;10;30;3;28
38;59;16;5;64;36;17;8;57;29;51;48;13;22;26;42;33;44;31;61;40;37;27;25;54;46;58;20;11;14;45;56;9;19;62;1;15;50;39;55;4;43;23;12;53;63;6;47;34;24;32;49;52;41;21;18;35;2;60;7;10;30;3;28;2;294
2;294;38;59;16;5;64;36;17;8;57;29;51;48;13;22;26;42;33;44;31;61;40;37;27;25;54;46;58;20;11;14;45;56;9;19;62;1;15;50;39;55;4;43;23;12;53;63;6;47;34;24;32;49;52;41;21;18;35;2;60;7;10;30;3;28
38;59;16;5;64;36;17;8;57;29;51;48;13;4;26;42;33;44;31;61;40;37;27;25;54;46;58;20;11;14;45;56;9;19;62;1;15;50;39;55;22;43;23;12;53;63;6;47;34;24;32;49;52;41;21;18;35;2;60;7;10;30;3;28;2;290
2;290;38;59;16;5;64;36;17;8;57;29;51;48;13;4;26;42;33;44;31;61;40;37;27;25;54;46;58;20;11;14;45;56;9;19;62;1;15;50;39;55;22;43;23;12;53;63;6;47;34;24;32;49;52;41;21;18;35;2;60;7;10;30;3;28
38;59;16;5;64;36;17;8;57;29;51;48;13;4;26;42;14;44;31;61;40;37;27;25;54;46;58;20;11;33;45;56;9;19;62;1;15;50;39;55;22;43;23;12;53;63;6;47;34;24;32;49;52;41;21;18;35;2;60;7;10;30;3;28;2;286
2;286;38;59;16;5;64;36;17;8;57;29;51;48;13;4;26;42;14;44;31;61;40;37;27;25;54;46;58;20;11;33;45;56;9;19;62;1;15;50;39;55;22;43;23;12;53;63;6;47;34;24;32;49;52;41;21;18;35;2;60;7;10;30;3;28
38;59;16;5;64;36;17;8;57;29;51;48;13;4;26;42;14;44;31;61;40;37;27;25;54;46;58;20;11;33;45;56;9;19;62;1;15;50;39;55;34;43;23;12;53;63;6;47;22;24;32;49;52;41;21;18;35;2;60;7;10;30;3;28;2;286
2;286;38;59;16;5;64;36;17;8;57;29;51;48;13;4;26;42;14;44;31;61;40;37;27;25;54;46;58;20;11;33;45;56;9;19;62;1;15;50;39;55;34;43;23;12;53;63;6;47;22;24;32;49;52;41;21;18;35;2;60;7;10;30;3;28
38;59;16;5;64;36;17;8;57;29;51;48;13;4;26;42;14;44;31;61;40;37;27;25;54;46;58;20;11;33;45;56;9;19;62;52;15;50;39;55;34;43;23;12;53;63;6;47;22;24;32;49;1;41;21;18;35;2;60;7;10;30;3;28;2;286
3;286;38;59;16;5;64;36;17;8;57;29;51;48;13;4;26;42;14;44;31;61;40;37;27;25;54;46;58;20;11;33;45;56;9;19;62;52;15;50;39;55;34;43;23;12;53;63;6;47;22;24;32;49;1;41;21;18;35;2;60;7;10;30;3;28
38;59;16;5;64;36;17;8;57;11;51;48;13;4;26;42;14;44;31;61;40;37;27;25;54;46;58;20;29;33;45;56;9;19;62;52;15;50;39;55;34;43;23;12;53;63;6;47;22;24;32;49;1;41;21;18;35;2;60;7;10;30;3;28;3;278
3;278;38;59;16;5;64;36;17;8;57;11;51;48;13;4;26;42;14;44;31;61;40;37;27;25;54;46;58;20;29;33;45;56;9;19;62;52;15;50;39;55;34;43;23;12;53;63;6;47;22;24;32;49;1;41;21;18;35;2;60;7;10;30;3;28
38;59;16;5;64;36;17;8;57;54;51;48;13;4;26;42;14;44;31;61;40;37;27;25;11;46;58;20;29;33;45;56;9;19;62;52;15;50;39;55;34;43;23;12;53;63;6;47;22;24;32;49;1;41;21;18;35;2;60;7;10;30;3;28;3;298
3;298;38;59;16;5;64;36;17;8;57;54;51;48;13;4;26;42;14;44;31;61;40;37;27;25;11;46;58;20;29;33;45;56;9;19;62;52;15;50;39;55;34;43;23;12;53;63;6;47;22;24;32;49;1;41;21;18;35;2;60;7;10;30;3;28
38;59;16;5;64;36;17;8;57;54;51;48;13;4;26;42;14;44;31;63;40;37;27;25;11;46;58;20;29;33;45;56;9;19;62;52;15;50;39;55;34;43;23;12;53;61;6;47;22;24;32;49;1;41;21;18;35;2;60;7;10;30;3;28;3;312
3;312;38;59;16;5;64;36;17;8;57;54;51;48;13;4;26;42;14;44;31;63;40;37;27;25;11;46;58;20;29;33;45;56;9;19;62;52;15;50;39;55;34;43;23;12;53;61;6;47;22;24;32;49;1;41;21;18;35;2;60;7;10;30;3;28
63;59;16;5;64;36;17;8;57;54;51;48;13;4;26;42;14;44;31;38;40;37;27;25;11;46;58;20;29;33;45;56;9;19;62;52;15;50;39;55;34;43;23;12;53;61;6;47;22;24;32;49;1;41;21;18;35;2;60;7;10;30;3;28;3;304
3;304;63;59;16;5;64;36;17;8;57;54;51;48;13;4;26;42;14;44;31;38;40;37;27;25;11;46;58;20;29;33;45;56;9;19;62;52;15;50;39;55;34;43;23;12;53;61;6;47;22;24;32;49;1;41;21;18;35;2;60;7;10;30;3;28
63;59;16;5;64;36;17;8;57;54;51;48;13;4;26;42;14;44;31;38;40;37;27;25;11;46;58;20;29;33;45;56;9;19;62;52;15;50;39;55;34;43;23;12;53;61;6;47;22;24;32;35;1;41;21;18;49;2;60;7;10;30;3;28;3;304
3;304;63;59;16;5;64;36;17;8;57;54;51;48;13;4;26;42;14;44;31;38;40;37;27;25;11;46;58;20;29;33;45;56;9;19;62;52;15;50;39;55;34;43;23;12;53;61;6;47;22;24;32;35;1;41;21;18;49;2;60;7;10;30;3;28
63;59;16;31;64;36;17;8;57;54;51;48;13;4;26;42;14;44;5;38;40;37;27;25;11;46;58;20;29;33;45;56;9;19;62;52;15;50;39;55;34;43;23;12;53;61;6;47;22;24;32;35;1;41;21;18;49;2;60;7;10;30;3;28;3;312
3;312;63;59;16;31;64;36;17;8;57;54;51;48;13;4;26;42;14;44;5;38;40;37;27;25;11;46;58;20;29;33;45;56;9;19;62;52;15;50;39;55;34;43;23;12;53;61;6;47;22;24;32;35;1;41;21;18;49;2;60;7;10;30;3;28
63;59;16;31;64;36;17;8;57;54;51;48;13;4;30;42;14;44;5;38;40;37;27;25;11;46;58;20;29;33;45;56;9;19;62;52;15;50;39;55;34;43;23;12;53;61;6;47;22;24;32;35;1;41;21;18;49;2;60;7;10;26;3;28;3;310
3;310;63;59;16;31;64;36;17;8;57;54;51;48;13;4;30;42;14;44;5;38;40;37;27;25;11;46;58;20;29;33;45;56;9;19;62;52;15;50;39;55;34;43;23;12;53;61;6;47;22;24;32;35;1;41;21;18;49;2;60;7;10;26;3;28
63;59;16;31;64;36;56;8;57;54;51;48;13;4;30;42;14;44;5;38;40;37;27;25;11;46;58;20;29;33;45;17;9;19;62;52;15;50;39;55;34;43;23;12;53;61;6;47;22;24;32;35;1;41;21;18;49;2;60;7;10;26;3;28;3;310
3;310;63;59;16;31;64;36;56;8;57;54;51;48;13;4;30;42;14;44;5;38;40;37;27;25;11;46;58;20;29;33;45;17;9;19;62;52;15;50;39;55;34;43;23;12;53;61;6;47;22;24;32;35;1;41;21;18;49;2;60;7;10;26;3;28
63;59;16;31;64;36;56;8;57;54;51;48;13;4;30;42;14;44;5;38;40;37;27;25;11;43;58;20;29;33;45;17;9;19;62;52;15;50;39;55;34;46;23;12;53;61;6;47;22;24;32;35;1;41;21;18;49;2;60;7;10;26;3;28;3;310
3;310;63;59;16;31;64;36;56;8;57;54;51;48;13;4;30;42;14;44;5;38;40;37;27;25;11;43;58;20;29;33;45;17;9;19;62;52;15;50;39;55;34;46;23;12;53;61;6;47;22;24;32;35;1;41;21;18;49;2;60;7;10;26;3;28
63;59;16;31;64;36;56;8;57;54;51;48;13;4;30;42;14;44;5;38;40;37;27;25;11;43;58;20;29;33;45;17;9;49;62;52;15;50;39;55;34;46;23;12;53;61;6;47;22;24;32;35;1;41;21;18;19;2;60;7;10;26;3;28;3;310
3;310;63;59;16;31;64;36;56;8;57;54;51;48;13;4;30;42;14;44;5;38;40;37;27;25;11;43;58;20;29;33;45;17;9;49;62;52;15;50;39;55;34;46;23;12;53;61;6;47;22;24;32;35;1;41;21;18;19;2;60;7;10;26;3;28
44;59;16;31;64;36;56;8;57;54;51;48;13;4;30;42;14;63;5;38;40;37;27;25;11;43;58;20;29;33;45;17;9;49;62;52;15;50;39;55;34;46;23;12;53;61;6;47;22;24;32;35;1;41;21;18;19;2;60;7;10;26;3;28;3;310
