"X1";"X282";"X35";"X5";"X10";"X20";"X52";"X57";"X25";"X59";"X41";"X53";"X22";"X34";"X30";"X40";"X49";"X50";"X9";"X3";"X33";"X23";"X12";"X58";"X37";"X7";"X27";"X51";"X47";"X61";"X60";"X1.1";"X38";"X31";"X16";"X62";"X32";"X48";"X8";"X21";"X2";"X24";"X54";"X43";"X45";"X36";"X39";"X55";"X46";"X64";"X13";"X26";"X6";"X17";"X44";"X4";"X11";"X14";"X15";"X19";"X42";"X56";"X18";"X63";"X29";"X28"
63;5;10;20;52;57;35;59;34;4;7;30;18;56;29;27;9;3;44;23;12;58;37;14;22;11;47;61;6;1;38;62;2;50;41;48;8;21;16;24;25;13;42;36;39;55;46;64;43;26;60;17;33;51;53;31;15;19;40;45;32;54;49;28;2;276
2;276;63;5;10;20;52;57;35;59;34;4;7;30;18;56;29;27;9;3;44;23;12;58;37;14;22;11;47;61;6;1;38;62;2;50;41;48;8;21;16;24;25;13;42;36;39;55;46;64;43;26;60;17;33;51;53;31;15;19;40;45;32;54;49;28
63;5;10;20;41;57;35;59;34;4;7;30;18;56;29;27;9;3;44;23;12;58;37;14;22;11;47;61;6;1;38;62;2;50;52;48;8;21;16;24;25;13;42;36;39;55;46;64;43;26;60;17;33;51;53;31;15;19;40;45;32;54;49;28;2;276
2;276;63;5;10;20;41;57;35;59;34;4;7;30;18;56;29;27;9;3;44;23;12;58;37;14;22;11;47;61;6;1;38;62;2;50;52;48;8;21;16;24;25;13;42;36;39;55;46;64;43;26;60;17;33;51;53;31;15;19;40;45;32;54;49;28
63;5;10;20;41;57;35;59;34;4;7;30;18;56;29;27;9;3;44;23;12;58;37;14;22;11;47;61;6;1;38;62;2;50;52;48;8;21;16;24;25;13;42;36;39;55;46;33;43;26;60;17;64;51;53;31;15;19;40;45;32;54;49;28;2;276
2;276;63;5;10;20;41;57;35;59;34;4;7;30;18;56;29;27;9;3;44;23;12;58;37;14;22;11;47;61;6;1;38;62;2;50;52;48;8;21;16;24;25;13;42;36;39;55;46;33;43;26;60;17;64;51;53;31;15;19;40;45;32;54;49;28
63;5;10;20;41;57;35;59;34;4;7;30;18;56;29;27;22;3;44;23;12;58;37;14;9;11;47;61;6;1;38;62;2;50;52;48;8;21;16;24;25;13;42;36;39;55;46;33;43;26;60;17;64;51;53;31;15;19;40;45;32;54;49;28;2;272
2;272;63;5;10;20;41;57;35;59;34;4;7;30;18;56;29;27;22;3;44;23;12;58;37;14;9;11;47;61;6;1;38;62;2;50;52;48;8;21;16;24;25;13;42;36;39;55;46;33;43;26;60;17;64;51;53;31;15;19;40;45;32;54;49;28
63;5;10;20;41;57;35;59;34;4;7;30;18;56;29;27;22;3;44;23;12;58;37;14;9;11;47;61;6;1;38;62;2;50;49;48;8;21;16;24;25;13;42;36;39;55;46;33;43;26;60;17;64;51;53;31;15;19;40;45;32;54;52;28;2;272
2;272;63;5;10;20;41;57;35;59;34;4;7;30;18;56;29;27;22;3;44;23;12;58;37;14;9;11;47;61;6;1;38;62;2;50;49;48;8;21;16;24;25;13;42;36;39;55;46;33;43;26;60;17;64;51;53;31;15;19;40;45;32;54;52;28
63;5;10;20;41;57;35;59;34;4;7;30;18;56;29;27;22;3;44;23;12;58;37;14;9;11;38;61;6;1;47;62;2;50;49;48;8;21;16;24;25;13;42;36;39;55;46;33;43;26;60;17;64;51;53;31;15;19;40;45;32;54;52;28;2;280
2;280;63;5;10;20;41;57;35;59;34;4;7;30;18;56;29;27;22;3;44;23;12;58;37;14;9;11;38;61;6;1;47;62;2;50;49;48;8;21;16;24;25;13;42;36;39;55;46;33;43;26;60;17;64;51;53;31;15;19;40;45;32;54;52;28
63;5;10;20;41;57;35;59;34;4;7;30;18;56;29;27;22;3;44;23;12;58;37;14;9;11;38;61;6;1;47;62;2;50;49;48;8;21;16;24;25;13;42;36;39;55;46;33;43;26;60;17;64;51;53;31;15;19;40;45;32;54;28;52;2;280
2;280;63;5;10;20;41;57;35;59;34;4;7;30;18;56;29;27;22;3;44;23;12;58;37;14;9;11;38;61;6;1;47;62;2;50;49;48;8;21;16;24;25;13;42;36;39;55;46;33;43;26;60;17;64;51;53;31;15;19;40;45;32;54;28;52
63;5;10;20;41;57;35;59;34;4;7;30;18;56;29;27;22;3;44;23;12;58;37;14;45;11;38;61;6;1;47;62;2;50;49;48;8;21;16;24;25;13;42;36;39;55;46;33;43;26;60;17;64;51;53;31;15;19;40;9;32;54;28;52;2;280
2;280;63;5;10;20;41;57;35;59;34;4;7;30;18;56;29;27;22;3;44;23;12;58;37;14;45;11;38;61;6;1;47;62;2;50;49;48;8;21;16;24;25;13;42;36;39;55;46;33;43;26;60;17;64;51;53;31;15;19;40;9;32;54;28;52
63;5;10;20;41;57;35;59;34;4;36;30;18;56;29;27;22;3;44;23;12;58;37;14;45;11;38;61;6;1;47;62;2;50;49;48;8;21;16;24;25;13;42;7;39;55;46;33;43;26;60;17;64;51;53;31;15;19;40;9;32;54;28;52;2;280
2;280;63;5;10;20;41;57;35;59;34;4;36;30;18;56;29;27;22;3;44;23;12;58;37;14;45;11;38;61;6;1;47;62;2;50;49;48;8;21;16;24;25;13;42;7;39;55;46;33;43;26;60;17;64;51;53;31;15;19;40;9;32;54;28;52
63;5;10;20;41;57;35;59;34;4;36;30;18;56;29;27;22;3;44;23;12;58;64;14;45;11;38;61;6;1;47;62;2;50;49;48;8;21;16;24;25;13;42;7;39;55;46;33;43;26;60;17;37;51;53;31;15;19;40;9;32;54;28;52;2;280
2;280;63;5;10;20;41;57;35;59;34;4;36;30;18;56;29;27;22;3;44;23;12;58;64;14;45;11;38;61;6;1;47;62;2;50;49;48;8;21;16;24;25;13;42;7;39;55;46;33;43;26;60;17;37;51;53;31;15;19;40;9;32;54;28;52
63;5;10;20;41;57;35;59;34;4;36;30;18;56;29;27;22;3;44;32;12;58;64;14;45;11;38;61;6;1;47;62;2;50;49;48;8;21;16;24;25;13;42;7;39;55;46;33;43;26;60;17;37;51;53;31;15;19;40;9;23;54;28;52;2;280
2;280;63;5;10;20;41;57;35;59;34;4;36;30;18;56;29;27;22;3;44;32;12;58;64;14;45;11;38;61;6;1;47;62;2;50;49;48;8;21;16;24;25;13;42;7;39;55;46;33;43;26;60;17;37;51;53;31;15;19;40;9;23;54;28;52
63;5;10;20;41;57;35;59;34;4;36;30;18;56;29;27;22;3;44;32;12;58;64;14;45;11;38;61;6;1;47;17;2;50;49;48;8;21;16;24;25;13;42;7;39;55;46;33;43;26;60;62;37;51;53;31;15;19;40;9;23;54;28;52;2;284
2;284;63;5;10;20;41;57;35;59;34;4;36;30;18;56;29;27;22;3;44;32;12;58;64;14;45;11;38;61;6;1;47;17;2;50;49;48;8;21;16;24;25;13;42;7;39;55;46;33;43;26;60;62;37;51;53;31;15;19;40;9;23;54;28;52
63;5;10;20;41;57;35;59;34;4;36;30;18;56;29;27;22;3;44;32;12;7;64;14;45;11;38;61;6;1;47;17;2;50;49;48;8;21;16;24;25;13;42;58;39;55;46;33;43;26;60;62;37;51;53;31;15;19;40;9;23;54;28;52;2;284
2;284;63;5;10;20;41;57;35;59;34;4;36;30;18;56;29;27;22;3;44;32;12;7;64;14;45;11;38;61;6;1;47;17;2;50;49;48;8;21;16;24;25;13;42;58;39;55;46;33;43;26;60;62;37;51;53;31;15;19;40;9;23;54;28;52
63;5;10;20;41;57;35;59;34;4;17;30;18;56;29;27;22;3;44;32;12;7;64;14;45;11;38;61;6;1;47;36;2;50;49;48;8;21;16;24;25;13;42;58;39;55;46;33;43;26;60;62;37;51;53;31;15;19;40;9;23;54;28;52;2;292
2;292;63;5;10;20;41;57;35;59;34;4;17;30;18;56;29;27;22;3;44;32;12;7;64;14;45;11;38;61;6;1;47;36;2;50;49;48;8;21;16;24;25;13;42;58;39;55;46;33;43;26;60;62;37;51;53;31;15;19;40;9;23;54;28;52
63;5;10;20;41;57;35;59;34;15;17;30;18;56;29;27;22;3;44;32;12;7;64;14;45;11;38;61;6;1;47;36;2;50;49;48;8;21;16;24;25;13;42;58;39;55;46;33;43;26;60;62;37;51;53;31;4;19;40;9;23;54;28;52;2;296
2;296;63;5;10;20;41;57;35;59;34;15;17;30;18;56;29;27;22;3;44;32;12;7;64;14;45;11;38;61;6;1;47;36;2;50;49;48;8;21;16;24;25;13;42;58;39;55;46;33;43;26;60;62;37;51;53;31;4;19;40;9;23;54;28;52
63;5;10;20;41;59;35;57;34;15;17;30;18;56;29;27;22;3;44;32;12;7;64;14;45;11;38;61;6;1;47;36;2;50;49;48;8;21;16;24;25;13;42;58;39;55;46;33;43;26;60;62;37;51;53;31;4;19;40;9;23;54;28;52;2;296
2;296;63;5;10;20;41;59;35;57;34;15;17;30;18;56;29;27;22;3;44;32;12;7;64;14;45;11;38;61;6;1;47;36;2;50;49;48;8;21;16;24;25;13;42;58;39;55;46;33;43;26;60;62;37;51;53;31;4;19;40;9;23;54;28;52
63;5;20;10;41;59;35;57;34;15;17;30;18;56;29;27;22;3;44;32;12;7;64;14;45;11;38;61;6;1;47;36;2;50;49;48;8;21;16;24;25;13;42;58;39;55;46;33;43;26;60;62;37;51;53;31;4;19;40;9;23;54;28;52;2;298
3;298;63;5;20;10;41;59;35;57;34;15;17;30;18;56;29;27;22;3;44;32;12;7;64;14;45;11;38;61;6;1;47;36;2;50;49;48;8;21;16;24;25;13;42;58;39;55;46;33;43;26;60;62;37;51;53;31;4;19;40;9;23;54;28;52
63;5;20;10;41;59;35;57;34;15;17;30;18;56;29;27;22;3;44;32;12;7;64;14;45;11;38;61;37;1;47;36;2;50;49;48;8;21;16;24;25;13;42;58;39;55;46;33;43;26;60;62;6;51;53;31;4;19;40;9;23;54;28;52;3;298
3;298;63;5;20;10;41;59;35;57;34;15;17;30;18;56;29;27;22;3;44;32;12;7;64;14;45;11;38;61;37;1;47;36;2;50;49;48;8;21;16;24;25;13;42;58;39;55;46;33;43;26;60;62;6;51;53;31;4;19;40;9;23;54;28;52
63;5;20;10;41;59;35;57;34;15;17;30;18;56;29;27;22;3;44;32;12;7;64;45;14;11;38;61;37;1;47;36;2;50;49;48;8;21;16;24;25;13;42;58;39;55;46;33;43;26;60;62;6;51;53;31;4;19;40;9;23;54;28;52;3;298
3;298;63;5;20;10;41;59;35;57;34;15;17;30;18;56;29;27;22;3;44;32;12;7;64;45;14;11;38;61;37;1;47;36;2;50;49;48;8;21;16;24;25;13;42;58;39;55;46;33;43;26;60;62;6;51;53;31;4;19;40;9;23;54;28;52
48;5;20;10;41;59;35;57;34;15;17;30;18;56;29;27;22;3;44;32;12;7;64;45;14;11;38;61;37;1;47;36;2;50;49;63;8;21;16;24;25;13;42;58;39;55;46;33;43;26;60;62;6;51;53;31;4;19;40;9;23;54;28;52;3;298
3;298;48;5;20;10;41;59;35;57;34;15;17;30;18;56;29;27;22;3;44;32;12;7;64;45;14;11;38;61;37;1;47;36;2;50;49;63;8;21;16;24;25;13;42;58;39;55;46;33;43;26;60;62;6;51;53;31;4;19;40;9;23;54;28;52
48;5;20;10;40;59;35;57;34;15;17;30;18;56;29;27;22;3;44;32;12;7;64;45;14;11;38;61;37;1;47;36;2;50;49;63;8;21;16;24;25;13;42;58;39;55;46;33;43;26;60;62;6;51;53;31;4;19;41;9;23;54;28;52;3;298
3;298;48;5;20;10;40;59;35;57;34;15;17;30;18;56;29;27;22;3;44;32;12;7;64;45;14;11;38;61;37;1;47;36;2;50;49;63;8;21;16;24;25;13;42;58;39;55;46;33;43;26;60;62;6;51;53;31;4;19;41;9;23;54;28;52
48;5;20;10;40;59;35;57;34;15;31;30;18;56;29;27;22;3;44;32;12;7;64;45;14;11;38;61;37;1;47;36;2;50;49;63;8;21;16;24;25;13;42;58;39;55;46;33;43;26;60;62;6;51;53;17;4;19;41;9;23;54;28;52;3;286
3;286;48;5;20;10;40;59;35;57;34;15;31;30;18;56;29;27;22;3;44;32;12;7;64;45;14;11;38;61;37;1;47;36;2;50;49;63;8;21;16;24;25;13;42;58;39;55;46;33;43;26;60;62;6;51;53;17;4;19;41;9;23;54;28;52
48;5;20;10;40;59;35;57;34;15;31;30;18;56;29;27;22;3;44;28;12;7;64;45;14;11;38;61;37;1;47;36;2;50;49;63;8;21;16;24;25;13;42;58;39;55;46;33;43;26;60;62;6;51;53;17;4;19;41;9;23;54;32;52;3;288
3;288;48;5;20;10;40;59;35;57;34;15;31;30;18;56;29;27;22;3;44;28;12;7;64;45;14;11;38;61;37;1;47;36;2;50;49;63;8;21;16;24;25;13;42;58;39;55;46;33;43;26;60;62;6;51;53;17;4;19;41;9;23;54;32;52
48;5;20;10;40;59;35;57;34;15;31;30;18;56;29;27;22;3;44;28;12;7;64;45;14;11;38;61;37;1;47;36;2;50;49;60;8;21;16;24;25;13;42;58;39;55;46;33;43;26;63;62;6;51;53;17;4;19;41;9;23;54;32;52;3;288
3;288;48;5;20;10;40;59;35;57;34;15;31;30;18;56;29;27;22;3;44;28;12;7;64;45;14;11;38;61;37;1;47;36;2;50;49;60;8;21;16;24;25;13;42;58;39;55;46;33;43;26;63;62;6;51;53;17;4;19;41;9;23;54;32;52
48;5;20;10;40;59;35;57;34;15;31;30;18;56;29;27;22;49;44;28;12;7;64;45;14;11;38;61;37;1;47;36;2;50;3;60;8;21;16;24;25;13;42;58;39;55;46;33;43;26;63;62;6;51;53;17;4;19;41;9;23;54;32;52;3;286
3;286;48;5;20;10;40;59;35;57;34;15;31;30;18;56;29;27;22;49;44;28;12;7;64;45;14;11;38;61;37;1;47;36;2;50;3;60;8;21;16;24;25;13;42;58;39;55;46;33;43;26;63;62;6;51;53;17;4;19;41;9;23;54;32;52
48;5;20;10;40;59;35;57;34;15;31;30;18;56;29;27;22;49;44;28;12;7;64;45;14;11;38;61;37;1;47;36;2;50;3;60;54;21;16;24;25;13;42;58;39;55;46;33;43;26;63;62;6;51;53;17;4;19;41;9;23;8;32;52;3;274
3;274;48;5;20;10;40;59;35;57;34;15;31;30;18;56;29;27;22;49;44;28;12;7;64;45;14;11;38;61;37;1;47;36;2;50;3;60;54;21;16;24;25;13;42;58;39;55;46;33;43;26;63;62;6;51;53;17;4;19;41;9;23;8;32;52
48;5;20;10;40;59;35;57;34;15;31;30;18;56;29;27;22;49;44;28;12;7;64;45;14;11;38;61;37;1;47;36;2;50;3;60;54;21;16;39;25;13;42;58;24;55;46;33;43;26;63;62;6;51;53;17;4;19;41;9;23;8;32;52;3;274
3;274;48;5;20;10;40;59;35;57;34;15;31;30;18;56;29;27;22;49;44;28;12;7;64;45;14;11;38;61;37;1;47;36;2;50;3;60;54;21;16;39;25;13;42;58;24;55;46;33;43;26;63;62;6;51;53;17;4;19;41;9;23;8;32;52
48;5;20;10;40;59;35;57;34;15;31;30;18;56;29;27;22;49;44;36;12;7;64;45;14;11;38;61;37;1;47;28;2;50;3;60;54;21;16;39;25;13;42;58;24;55;46;33;43;26;63;62;6;51;53;17;4;19;41;9;23;8;32;52;3;270
