"X1";"X27956";"X7";"X21";"X9";"X20";"X32";"X24";"X22";"X14";"X1.1";"X8";"X31";"X13";"X17";"X5";"X2";"X30";"X12";"X4";"X19";"X3";"X25";"X26";"X16";"X18";"X29";"X11";"X6";"X15";"X23";"X27";"X10";"X28"
2;28076;1;13;25;4;9;24;14;32;17;8;31;27;22;28;12;2;19;30;6;3;15;26;16;18;20;11;5;23;21;29;10;7
9;13;25;4;1;24;14;32;17;8;31;27;22;28;12;2;19;30;6;3;15;26;16;18;20;11;5;23;21;29;10;7;2;28276
2;28276;9;13;25;4;1;24;14;32;17;8;31;27;22;28;12;2;19;30;6;3;15;26;16;18;20;11;5;23;21;29;10;7
9;13;25;15;1;24;14;32;17;8;31;27;22;28;12;2;19;30;6;3;4;26;16;18;20;11;5;23;21;29;10;7;2;28356
2;28356;9;13;25;15;1;24;14;32;17;8;31;27;22;28;12;2;19;30;6;3;4;26;16;18;20;11;5;23;21;29;10;7
9;13;25;15;1;24;14;32;28;8;31;27;22;17;12;2;19;30;6;3;4;26;16;18;20;11;5;23;21;29;10;7;2;28736
2;28736;9;13;25;15;1;24;14;32;28;8;31;27;22;17;12;2;19;30;6;3;4;26;16;18;20;11;5;23;21;29;10;7
9;13;25;15;1;24;3;32;28;8;31;27;22;17;12;2;19;30;6;14;4;26;16;18;20;11;5;23;21;29;10;7;2;28416
2;28416;9;13;25;15;1;24;3;32;28;8;31;27;22;17;12;2;19;30;6;14;4;26;16;18;20;11;5;23;21;29;10;7
9;13;15;25;1;24;3;32;28;8;31;27;22;17;12;2;19;30;6;14;4;26;16;18;20;11;5;23;21;29;10;7;2;28812
2;28812;9;13;15;25;1;24;3;32;28;8;31;27;22;17;12;2;19;30;6;14;4;26;16;18;20;11;5;23;21;29;10;7
9;13;15;25;1;24;3;32;28;8;2;27;22;17;12;31;19;30;6;14;4;26;16;18;20;11;5;23;21;29;10;7;2;28148
2;28148;9;13;15;25;1;24;3;32;28;8;2;27;22;17;12;31;19;30;6;14;4;26;16;18;20;11;5;23;21;29;10;7
9;13;15;32;1;24;3;25;28;8;2;27;22;17;12;31;19;30;6;14;4;26;16;18;20;11;5;23;21;29;10;7;2;27908
2;27908;9;13;15;32;1;24;3;25;28;8;2;27;22;17;12;31;19;30;6;14;4;26;16;18;20;11;5;23;21;29;10;7
9;13;15;32;1;24;3;25;28;8;2;27;22;17;26;31;19;30;6;14;4;12;16;18;20;11;5;23;21;29;10;7;2;28056
2;28056;9;13;15;32;1;24;3;25;28;8;2;27;22;17;26;31;19;30;6;14;4;12;16;18;20;11;5;23;21;29;10;7
9;13;15;32;1;24;3;25;28;8;2;27;22;17;26;31;19;30;6;14;4;11;16;18;20;12;5;23;21;29;10;7;2;28236
2;28236;9;13;15;32;1;24;3;25;28;8;2;27;22;17;26;31;19;30;6;14;4;11;16;18;20;12;5;23;21;29;10;7
9;13;15;32;1;24;3;25;28;8;2;12;22;17;26;31;19;30;6;14;4;11;16;18;20;27;5;23;21;29;10;7;2;27300
2;27300;9;13;15;32;1;24;3;25;28;8;2;12;22;17;26;31;19;30;6;14;4;11;16;18;20;27;5;23;21;29;10;7
9;13;15;32;1;24;3;25;28;8;2;12;22;17;26;31;19;30;6;14;4;11;16;7;20;27;5;23;21;29;10;18;2;27404
2;27404;9;13;15;32;1;24;3;25;28;8;2;12;22;17;26;31;19;30;6;14;4;11;16;7;20;27;5;23;21;29;10;18
9;13;15;32;11;24;3;25;28;8;2;12;22;17;26;31;19;30;6;14;4;1;16;7;20;27;5;23;21;29;10;18;2;27044
2;27044;9;13;15;32;11;24;3;25;28;8;2;12;22;17;26;31;19;30;6;14;4;1;16;7;20;27;5;23;21;29;10;18
9;13;15;32;11;24;3;25;28;8;2;23;22;17;26;31;19;30;6;14;4;1;16;7;20;27;5;12;21;29;10;18;2;27188
2;27188;9;13;15;32;11;24;3;25;28;8;2;23;22;17;26;31;19;30;6;14;4;1;16;7;20;27;5;12;21;29;10;18
9;13;15;32;11;24;3;25;28;8;2;23;22;31;26;17;19;30;6;14;4;1;16;7;20;27;5;12;21;29;10;18;2;27668
2;27668;9;13;15;32;11;24;3;25;28;8;2;23;22;31;26;17;19;30;6;14;4;1;16;7;20;27;5;12;21;29;10;18
9;13;15;32;11;24;3;27;28;8;2;23;22;31;26;17;19;30;6;14;4;1;16;7;20;25;5;12;21;29;10;18;2;27828
2;27828;9;13;15;32;11;24;3;27;28;8;2;23;22;31;26;17;19;30;6;14;4;1;16;7;20;25;5;12;21;29;10;18
21;13;15;32;11;24;3;27;28;8;2;23;22;31;26;17;19;30;6;14;4;1;16;7;20;25;5;12;9;29;10;18;2;27014
3;27014;21;13;15;32;11;24;3;27;28;8;2;23;22;31;26;17;19;30;6;14;4;1;16;7;20;25;5;12;9;29;10;18
21;13;15;32;11;24;3;27;28;8;2;23;22;31;26;17;19;30;6;14;4;1;16;12;20;25;5;7;9;29;10;18;3;26854
3;26854;21;13;15;32;11;24;3;27;28;8;2;23;22;31;26;17;19;30;6;14;4;1;16;12;20;25;5;7;9;29;10;18
21;13;4;32;11;24;3;27;28;8;2;23;22;31;26;17;19;30;6;14;15;1;16;12;20;25;5;7;9;29;10;18;3;26814
3;26814;21;13;4;32;11;24;3;27;28;8;2;23;22;31;26;17;19;30;6;14;15;1;16;12;20;25;5;7;9;29;10;18
21;13;4;32;11;24;3;27;28;8;2;23;22;31;26;17;19;30;6;14;15;1;16;20;12;25;5;7;9;29;10;18;3;27274
3;27274;21;13;4;32;11;24;3;27;28;8;2;23;22;31;26;17;19;30;6;14;15;1;16;20;12;25;5;7;9;29;10;18
21;13;4;32;11;24;3;27;28;8;2;23;22;7;26;17;19;30;6;14;15;1;16;20;12;25;5;31;9;29;10;18;3;27922
3;27922;21;13;4;32;11;24;3;27;28;8;2;23;22;7;26;17;19;30;6;14;15;1;16;20;12;25;5;31;9;29;10;18
21;13;4;32;31;24;3;27;28;8;2;23;22;7;26;17;19;30;6;14;15;1;16;20;12;25;5;11;9;29;10;18;3;27964
3;27964;21;13;4;32;31;24;3;27;28;8;2;23;22;7;26;17;19;30;6;14;15;1;16;20;12;25;5;11;9;29;10;18
21;13;4;32;31;24;3;27;28;8;1;23;22;7;26;17;19;30;6;14;15;2;16;20;12;25;5;11;9;29;10;18;3;27864
3;27864;21;13;4;32;31;24;3;27;28;8;1;23;22;7;26;17;19;30;6;14;15;2;16;20;12;25;5;11;9;29;10;18
21;13;4;2;31;24;3;27;28;8;1;23;22;7;26;17;19;30;6;14;15;32;16;20;12;25;5;11;9;29;10;18;3;27528
3;27528;21;13;4;2;31;24;3;27;28;8;1;23;22;7;26;17;19;30;6;14;15;32;16;20;12;25;5;11;9;29;10;18
21;29;4;2;31;24;3;27;28;8;1;23;22;7;26;17;19;30;6;14;15;32;16;20;12;25;5;11;9;13;10;18;3;27206
3;27206;21;29;4;2;31;24;3;27;28;8;1;23;22;7;26;17;19;30;6;14;15;32;16;20;12;25;5;11;9;13;10;18
21;29;4;11;31;24;3;27;28;8;1;23;22;7;26;17;19;30;6;14;15;32;16;20;12;25;5;2;9;13;10;18;3;27066
3;27066;21;29;4;11;31;24;3;27;28;8;1;23;22;7;26;17;19;30;6;14;15;32;16;20;12;25;5;2;9;13;10;18
21;29;11;4;31;24;3;27;28;8;1;23;22;7;26;17;19;30;6;14;15;32;16;20;12;25;5;2;9;13;10;18;3;27186
3;27186;21;29;11;4;31;24;3;27;28;8;1;23;22;7;26;17;19;30;6;14;15;32;16;20;12;25;5;2;9;13;10;18
21;29;11;4;31;14;3;27;28;8;1;23;22;7;26;17;19;30;6;24;15;32;16;20;12;25;5;2;9;13;10;18;3;27692
3;27692;21;29;11;4;31;14;3;27;28;8;1;23;22;7;26;17;19;30;6;24;15;32;16;20;12;25;5;2;9;13;10;18
21;29;27;4;31;14;3;11;28;8;1;23;22;7;26;17;19;30;6;24;15;32;16;20;12;25;5;2;9;13;10;18;3;27554
3;27554;21;29;27;4;31;14;3;11;28;8;1;23;22;7;26;17;19;30;6;24;15;32;16;20;12;25;5;2;9;13;10;18
21;29;27;4;31;14;3;11;28;8;1;23;22;7;2;17;19;30;6;24;15;32;16;20;12;25;5;26;9;13;10;18;3;28156
3;28156;21;29;27;4;31;14;3;11;28;8;1;23;22;7;2;17;19;30;6;24;15;32;16;20;12;25;5;26;9;13;10;18
21;29;27;4;31;25;3;11;28;8;1;23;22;7;2;17;19;30;6;24;15;32;16;20;12;14;5;26;9;13;10;18;3;27518
3;27518;21;29;27;4;31;25;3;11;28;8;1;23;22;7;2;17;19;30;6;24;15;32;16;20;12;14;5;26;9;13;10;18
21;29;27;4;31;25;3;11;28;8;1;23;22;7;2;30;19;17;6;24;15;32;16;20;12;14;5;26;9;13;10;18;3;27598
3;27598;21;29;27;4;31;25;3;11;28;8;1;23;22;7;2;30;19;17;6;24;15;32;16;20;12;14;5;26;9;13;10;18
21;29;27;4;31;25;3;11;28;8;1;23;22;7;16;30;19;17;6;24;15;32;2;20;12;14;5;26;9;13;10;18;3;27398
3;27398;21;29;27;4;31;25;3;11;28;8;1;23;22;7;16;30;19;17;6;24;15;32;2;20;12;14;5;26;9;13;10;18
21;25;27;4;31;29;3;11;28;8;1;23;22;7;16;30;19;17;6;24;15;32;2;20;12;14;5;26;9;13;10;18;3;27358
3;27358;21;25;27;4;31;29;3;11;28;8;1;23;22;7;16;30;19;17;6;24;15;32;2;20;12;14;5;26;9;13;10;18
21;25;14;4;31;29;3;11;28;8;1;23;22;7;16;30;19;17;6;24;15;32;2;20;12;27;5;26;9;13;10;18;3;27996
3;27358;21;25;27;4;31;29;3;11;28;8;1;23;22;7;16;30;19;17;6;24;15;32;2;20;12;14;5;26;9;13;10;18
21;25;27;4;31;29;3;11;28;8;1;23;22;7;16;30;19;17;6;24;14;32;2;20;12;15;5;26;9;13;10;18;3;27338
3;27338;21;25;27;4;31;29;3;11;28;8;1;23;22;7;16;30;19;17;6;24;14;32;2;20;12;15;5;26;9;13;10;18
21;25;27;4;22;29;3;11;28;8;1;23;31;7;16;30;19;17;6;24;14;32;2;20;12;15;5;26;9;13;10;18;3;27838
4;27838;21;25;27;4;22;29;3;11;28;8;1;23;31;7;16;30;19;17;6;24;14;32;2;20;12;15;5;26;9;13;10;18
21;25;27;4;22;29;3;30;28;8;1;23;31;7;16;11;19;17;6;24;14;32;2;20;12;15;5;26;9;13;10;18;4;28206
4;28206;21;25;27;4;22;29;3;30;28;8;1;23;31;7;16;11;19;17;6;24;14;32;2;20;12;15;5;26;9;13;10;18
21;25;27;4;16;29;3;30;28;8;1;23;31;7;22;11;19;17;6;24;14;32;2;20;12;15;5;26;9;13;10;18;4;28898
4;28898;21;25;27;4;16;29;3;30;28;8;1;23;31;7;22;11;19;17;6;24;14;32;2;20;12;15;5;26;9;13;10;18
21;25;27;4;16;29;3;30;28;8;1;23;31;7;22;11;19;17;6;24;14;15;2;20;12;32;5;26;9;13;10;18;4;29228
4;29228;21;25;27;4;16;29;3;30;28;8;1;23;31;7;22;11;19;17;6;24;14;15;2;20;12;32;5;26;9;13;10;18
21;25;27;4;16;29;3;30;28;8;1;23;31;7;22;11;19;17;6;24;14;15;26;20;12;32;5;2;9;13;10;18;4;29178
4;29178;21;25;27;4;16;29;3;30;28;8;1;23;31;7;22;11;19;17;6;24;14;15;26;20;12;32;5;2;9;13;10;18
21;25;27;4;16;29;3;30;28;8;1;2;31;7;22;11;19;17;6;24;14;15;26;20;12;32;5;23;9;13;10;18;4;29414
4;29414;21;25;27;4;16;29;3;30;28;8;1;2;31;7;22;11;19;17;6;24;14;15;26;20;12;32;5;23;9;13;10;18
21;8;27;4;16;29;3;30;28;25;1;2;31;7;22;11;19;17;6;24;14;15;26;20;12;32;5;23;9;13;10;18;4;29346
4;29346;21;8;27;4;16;29;3;30;28;25;1;2;31;7;22;11;19;17;6;24;14;15;26;20;12;32;5;23;9;13;10;18
21;8;27;4;16;29;3;30;13;25;1;2;31;7;22;11;19;17;6;24;14;15;26;20;12;32;5;23;9;28;10;18;4;29500
4;29500;21;8;27;4;16;29;3;30;13;25;1;2;31;7;22;11;19;17;6;24;14;15;26;20;12;32;5;23;9;28;10;18
21;8;27;4;16;5;3;30;13;25;1;2;31;7;22;11;19;17;6;24;14;15;26;20;12;32;29;23;9;28;10;18;4;29122
4;29122;21;8;27;4;16;5;3;30;13;25;1;2;31;7;22;11;19;17;6;24;14;15;26;20;12;32;29;23;9;28;10;18
21;8;27;4;16;5;3;30;13;25;1;2;31;7;22;26;19;17;6;24;14;15;11;20;12;32;29;23;9;28;10;18;4;28928
4;28928;21;8;27;4;16;5;3;30;13;25;1;2;31;7;22;26;19;17;6;24;14;15;11;20;12;32;29;23;9;28;10;18
21;8;27;4;16;5;3;30;13;25;1;2;31;7;22;26;19;17;6;24;29;15;11;20;12;32;14;23;9;28;10;18;4;29838
4;29838;21;8;27;4;16;5;3;30;13;25;1;2;31;7;22;26;19;17;6;24;29;15;11;20;12;32;14;23;9;28;10;18
21;8;27;4;16;5;3;30;13;25;1;2;31;7;17;26;19;22;6;24;29;15;11;20;12;32;14;23;9;28;10;18;4;29718
4;29718;21;8;27;4;16;5;3;30;13;25;1;2;31;7;17;26;19;22;6;24;29;15;11;20;12;32;14;23;9;28;10;18
21;8;27;4;12;5;3;30;13;25;1;2;31;7;17;26;19;22;6;24;29;15;11;20;16;32;14;23;9;28;10;18;4;29298
4;29298;21;8;27;4;12;5;3;30;13;25;1;2;31;7;17;26;19;22;6;24;29;15;11;20;16;32;14;23;9;28;10;18
21;8;27;4;12;5;3;30;13;25;1;2;29;7;17;26;19;22;6;24;31;15;11;20;16;32;14;23;9;28;10;18;4;29538
4;29538;21;8;27;4;12;5;3;30;13;25;1;2;29;7;17;26;19;22;6;24;31;15;11;20;16;32;14;23;9;28;10;18
21;8;27;4;12;5;3;11;13;25;1;2;29;7;17;26;19;22;6;24;31;15;30;20;16;32;14;23;9;28;10;18;4;29288
4;29288;21;8;27;4;12;5;3;11;13;25;1;2;29;7;17;26;19;22;6;24;31;15;30;20;16;32;14;23;9;28;10;18
21;8;27;31;12;5;3;11;13;25;1;2;29;7;17;26;19;22;6;24;4;15;30;20;16;32;14;23;9;28;10;18;4;29084
4;29084;21;8;27;31;12;5;3;11;13;25;1;2;29;7;17;26;19;22;6;24;4;15;30;20;16;32;14;23;9;28;10;18
21;8;27;31;12;5;3;11;13;25;1;2;29;7;17;26;19;22;6;24;4;15;30;28;16;32;14;23;9;20;10;18;4;28884
4;28884;21;8;27;31;12;5;3;11;13;25;1;2;29;7;17;26;19;22;6;24;4;15;30;28;16;32;14;23;9;20;10;18
21;8;27;31;12;5;3;11;13;25;1;2;29;7;17;26;19;22;6;24;4;15;30;28;14;32;16;23;9;20;10;18;4;29204
4;29204;21;8;27;31;12;5;3;11;13;25;1;2;29;7;17;26;19;22;6;24;4;15;30;28;14;32;16;23;9;20;10;18
21;8;27;31;12;5;3;11;13;25;1;2;29;7;17;26;19;22;6;24;4;23;30;28;14;32;16;15;9;20;10;18;4;29150
4;29150;21;8;27;31;12;5;3;11;13;25;1;2;29;7;17;26;19;22;6;24;4;23;30;28;14;32;16;15;9;20;10;18
21;8;27;10;12;5;3;11;13;25;1;2;29;7;17;26;19;22;6;24;4;23;30;28;14;32;16;15;9;20;31;18;4;29124
4;29124;21;8;27;10;12;5;3;11;13;25;1;2;29;7;17;26;19;22;6;24;4;23;30;28;14;32;16;15;9;20;31;18
21;8;27;10;12;5;3;18;13;25;1;2;29;7;17;26;19;22;6;24;4;23;30;28;14;32;16;15;9;20;31;11;4;29124
5;29124;21;8;27;10;12;5;3;18;13;25;1;2;29;7;17;26;19;22;6;24;4;23;30;28;14;32;16;15;9;20;31;11
28;8;27;10;12;5;3;18;13;25;1;2;29;7;17;26;19;22;6;24;4;23;30;21;14;32;16;15;9;20;31;11;5;29044
5;29044;28;8;27;10;12;5;3;18;13;25;1;2;29;7;17;26;19;22;6;24;4;23;30;21;14;32;16;15;9;20;31;11
28;8;27;10;12;5;3;18;13;30;1;2;29;7;17;26;19;22;6;24;4;23;25;21;14;32;16;15;9;20;31;11;5;28684
5;28684;28;8;27;10;12;5;3;18;13;30;1;2;29;7;17;26;19;22;6;24;4;23;25;21;14;32;16;15;9;20;31;11
28;8;27;10;12;11;3;18;13;30;1;2;29;7;17;26;19;22;6;24;4;23;25;21;14;32;16;15;9;20;31;5;5;28144
5;28144;28;8;27;10;12;11;3;18;13;30;1;2;29;7;17;26;19;22;6;24;4;23;25;21;14;32;16;15;9;20;31;5
28;8;27;10;12;11;3;18;13;30;1;20;29;7;17;26;19;22;6;24;4;23;25;21;14;32;16;15;9;2;31;5;5;28572
5;28572;28;8;27;10;12;11;3;18;13;30;1;20;29;7;17;26;19;22;6;24;4;23;25;21;14;32;16;15;9;2;31;5
28;8;27;10;12;11;3;18;13;30;21;20;29;7;17;26;19;22;6;24;4;23;25;1;14;32;16;15;9;2;31;5;5;27704
5;27704;28;8;27;10;12;11;3;18;13;30;21;20;29;7;17;26;19;22;6;24;4;23;25;1;14;32;16;15;9;2;31;5
28;8;27;10;12;13;3;18;11;30;21;20;29;7;17;26;19;22;6;24;4;23;25;1;14;32;16;15;9;2;31;5;5;28304
5;28304;28;8;27;10;12;13;3;18;11;30;21;20;29;7;17;26;19;22;6;24;4;23;25;1;14;32;16;15;9;2;31;5
28;8;27;10;12;13;3;18;11;30;21;20;29;7;17;26;19;22;6;24;4;23;9;1;14;32;16;15;25;2;31;5;5;28672
5;28672;28;8;27;10;12;13;3;18;11;30;21;20;29;7;17;26;19;22;6;24;4;23;9;1;14;32;16;15;25;2;31;5
28;8;27;10;12;13;3;18;11;30;21;20;29;7;17;26;19;22;6;24;4;23;9;1;14;32;16;15;2;25;31;5;5;27722
5;27722;28;8;27;10;12;13;3;18;11;30;21;20;29;7;17;26;19;22;6;24;4;23;9;1;14;32;16;15;2;25;31;5
28;8;27;10;12;13;3;20;11;30;21;18;29;7;17;26;19;22;6;24;4;23;9;1;14;32;16;15;2;25;31;5;5;27162
5;27162;28;8;27;10;12;13;3;20;11;30;21;18;29;7;17;26;19;22;6;24;4;23;9;1;14;32;16;15;2;25;31;5
28;8;27;10;12;15;3;20;11;30;21;18;29;7;17;26;19;22;6;24;4;23;9;1;14;32;16;13;2;25;31;5;5;26362
5;26362;28;8;27;10;12;15;3;20;11;30;21;18;29;7;17;26;19;22;6;24;4;23;9;1;14;32;16;13;2;25;31;5
28;8;27;10;12;15;3;20;11;30;21;18;29;7;14;26;19;22;6;24;4;23;9;1;17;32;16;13;2;25;31;5;5;25400
5;25400;28;8;27;10;12;15;3;20;11;30;21;18;29;7;14;26;19;22;6;24;4;23;9;1;17;32;16;13;2;25;31;5
28;8;27;12;10;15;3;20;11;30;21;18;29;7;14;26;19;22;6;24;4;23;9;1;17;32;16;13;2;25;31;5;5;25560
5;25560;28;8;27;12;10;15;3;20;11;30;21;18;29;7;14;26;19;22;6;24;4;23;9;1;17;32;16;13;2;25;31;5
28;8;27;12;10;15;3;20;11;30;21;18;29;7;1;26;19;22;6;24;4;23;9;14;17;32;16;13;2;25;31;5;5;26440
5;26440;28;8;27;12;10;15;3;20;11;30;21;18;29;7;1;26;19;22;6;24;4;23;9;14;17;32;16;13;2;25;31;5
28;8;27;12;10;15;3;20;11;30;2;18;29;7;1;26;19;22;6;24;4;23;9;14;17;32;16;13;21;25;31;5;5;27166
5;27166;28;8;27;12;10;15;3;20;11;30;2;18;29;7;1;26;19;22;6;24;4;23;9;14;17;32;16;13;21;25;31;5
28;8;27;12;10;15;3;20;11;30;2;18;29;7;1;26;19;22;6;24;21;23;9;14;17;32;16;13;4;25;31;5;5;27634
5;27634;28;8;27;12;10;15;3;20;11;30;2;18;29;7;1;26;19;22;6;24;21;23;9;14;17;32;16;13;4;25;31;5
28;8;27;12;10;15;1;20;11;30;2;18;29;7;3;26;19;22;6;24;21;23;9;14;17;32;16;13;4;25;31;5;5;27634
5;27634;28;8;27;12;10;15;1;20;11;30;2;18;29;7;3;26;19;22;6;24;21;23;9;14;17;32;16;13;4;25;31;5
28;8;27;12;10;15;1;20;11;30;2;18;29;7;3;26;19;22;6;16;21;23;9;14;17;32;24;13;4;25;31;5;5;27334
5;27334;28;8;27;12;10;15;1;20;11;30;2;18;29;7;3;26;19;22;6;16;21;23;9;14;17;32;24;13;4;25;31;5
28;8;27;12;10;16;1;20;11;30;2;18;29;7;3;26;19;22;6;15;21;23;9;14;17;32;24;13;4;25;31;5;5;27594
5;27594;28;8;27;12;10;16;1;20;11;30;2;18;29;7;3;26;19;22;6;15;21;23;9;14;17;32;24;13;4;25;31;5
31;8;27;12;10;16;1;20;11;30;2;18;29;7;3;26;19;22;6;15;21;23;9;14;17;32;24;13;4;25;28;5;5;27714
