"X1";"X27558";"X13";"X2";"X28";"X12";"X21";"X19";"X8";"X3";"X29";"X9";"X20";"X15";"X25";"X5";"X26";"X22";"X10";"X16";"X32";"X27";"X14";"X11";"X31";"X23";"X17";"X24";"X1.1";"X4";"X30";"X6";"X18";"X7"
8;22;5;17;30;31;19;2;23;15;29;18;3;27;11;10;28;1;13;32;9;21;26;20;24;14;25;4;16;6;7;12;3;27936
3;27936;8;22;5;17;30;31;19;2;23;15;29;18;3;27;11;10;28;1;13;32;9;21;26;20;24;14;25;4;16;6;7;12
8;22;5;17;30;31;19;2;23;15;29;18;3;27;11;10;28;1;13;32;9;21;26;20;24;12;25;4;16;6;7;14;3;28016
3;28016;8;22;5;17;30;31;19;2;23;15;29;18;3;27;11;10;28;1;13;32;9;21;26;20;24;12;25;4;16;6;7;14
8;22;5;17;30;31;19;2;23;15;29;18;3;27;11;10;28;1;13;32;9;21;26;20;14;12;25;4;16;6;7;24;3;28152
3;28152;8;22;5;17;30;31;19;2;23;15;29;18;3;27;11;10;28;1;13;32;9;21;26;20;14;12;25;4;16;6;7;24
8;22;5;17;30;31;19;2;23;15;29;18;27;3;11;10;28;1;13;32;9;21;26;20;14;12;25;4;16;6;7;24;3;27072
3;27072;8;22;5;17;30;31;19;2;23;15;29;18;27;3;11;10;28;1;13;32;9;21;26;20;14;12;25;4;16;6;7;24
8;22;5;17;30;31;19;2;28;15;29;18;27;3;11;10;23;1;13;32;9;21;26;20;14;12;25;4;16;6;7;24;3;26592
3;26592;8;22;5;17;30;31;19;2;28;15;29;18;27;3;11;10;23;1;13;32;9;21;26;20;14;12;25;4;16;6;7;24
28;22;5;17;30;31;19;2;8;15;29;18;27;3;11;10;23;1;13;32;9;21;26;20;14;12;25;4;16;6;7;24;3;26566
3;26566;28;22;5;17;30;31;19;2;8;15;29;18;27;3;11;10;23;1;13;32;9;21;26;20;14;12;25;4;16;6;7;24
28;22;5;17;30;31;19;2;4;15;29;18;27;3;11;10;23;1;13;32;9;21;26;20;14;12;25;8;16;6;7;24;3;26546
3;26546;28;22;5;17;30;31;19;2;4;15;29;18;27;3;11;10;23;1;13;32;9;21;26;20;14;12;25;8;16;6;7;24
28;22;5;17;30;31;19;2;4;15;29;18;27;3;11;10;23;1;32;13;9;21;26;20;14;12;25;8;16;6;7;24;3;26822
3;26822;28;22;5;17;30;31;19;2;4;15;29;18;27;3;11;10;23;1;32;13;9;21;26;20;14;12;25;8;16;6;7;24
28;23;5;17;30;31;19;2;4;15;29;18;27;3;11;10;22;1;32;13;9;21;26;20;14;12;25;8;16;6;7;24;3;26842
3;26842;28;23;5;17;30;31;19;2;4;15;29;18;27;3;11;10;22;1;32;13;9;21;26;20;14;12;25;8;16;6;7;24
28;21;5;17;30;31;19;2;4;15;29;18;27;3;11;10;22;1;32;13;9;23;26;20;14;12;25;8;16;6;7;24;3;26882
3;26882;28;21;5;17;30;31;19;2;4;15;29;18;27;3;11;10;22;1;32;13;9;23;26;20;14;12;25;8;16;6;7;24
28;21;5;17;30;31;19;2;4;15;29;18;27;3;23;10;22;1;32;13;9;11;26;20;14;12;25;8;16;6;7;24;3;27118
3;27118;28;21;5;17;30;31;19;2;4;15;29;18;27;3;23;10;22;1;32;13;9;11;26;20;14;12;25;8;16;6;7;24
28;21;5;17;30;31;19;2;4;15;29;18;27;3;23;10;20;1;32;13;9;11;26;22;14;12;25;8;16;6;7;24;3;27918
4;27918;28;21;5;17;30;31;19;2;4;15;29;18;27;3;23;10;20;1;32;13;9;11;26;22;14;12;25;8;16;6;7;24
28;21;5;17;30;31;19;2;4;15;29;22;27;3;23;10;20;1;32;13;9;11;26;18;14;12;25;8;16;6;7;24;4;27838
4;27838;28;21;5;17;30;31;19;2;4;15;29;22;27;3;23;10;20;1;32;13;9;11;26;18;14;12;25;8;16;6;7;24
28;21;5;17;30;31;19;2;27;15;29;22;4;3;23;10;20;1;32;13;9;11;26;18;14;12;25;8;16;6;7;24;4;27788
4;27788;28;21;5;17;30;31;19;2;27;15;29;22;4;3;23;10;20;1;32;13;9;11;26;18;14;12;25;8;16;6;7;24
28;21;32;17;30;31;19;2;27;15;29;22;4;3;23;10;20;1;5;13;9;11;26;18;14;12;25;8;16;6;7;24;4;27610
4;27610;28;21;32;17;30;31;19;2;27;15;29;22;4;3;23;10;20;1;5;13;9;11;26;18;14;12;25;8;16;6;7;24
28;21;32;4;30;31;19;2;27;15;29;22;17;3;23;10;20;1;5;13;9;11;26;18;14;12;25;8;16;6;7;24;4;27924
4;27924;28;21;32;4;30;31;19;2;27;15;29;22;17;3;23;10;20;1;5;13;9;11;26;18;14;12;25;8;16;6;7;24
28;21;32;4;5;31;19;2;27;15;29;22;17;3;23;10;20;1;30;13;9;11;26;18;14;12;25;8;16;6;7;24;4;28278
4;28278;28;21;32;4;5;31;19;2;27;15;29;22;17;3;23;10;20;1;30;13;9;11;26;18;14;12;25;8;16;6;7;24
28;21;32;4;5;31;19;2;27;15;29;22;17;3;9;10;20;1;30;13;23;11;26;18;14;12;25;8;16;6;7;24;4;28058
4;28058;28;21;32;4;5;31;19;2;27;15;29;22;17;3;9;10;20;1;30;13;23;11;26;18;14;12;25;8;16;6;7;24
28;21;32;4;5;31;19;26;27;15;29;22;17;3;9;10;20;1;30;13;23;11;2;18;14;12;25;8;16;6;7;24;4;28160
4;28160;28;21;32;4;5;31;19;26;27;15;29;22;17;3;9;10;20;1;30;13;23;11;2;18;14;12;25;8;16;6;7;24
29;21;32;4;5;31;19;26;27;15;28;22;17;3;9;10;20;1;30;13;23;11;2;18;14;12;25;8;16;6;7;24;4;28320
4;28320;29;21;32;4;5;31;19;26;27;15;28;22;17;3;9;10;20;1;30;13;23;11;2;18;14;12;25;8;16;6;7;24
29;21;32;4;5;31;19;26;27;15;28;22;17;9;3;10;20;1;30;13;23;11;2;18;14;12;25;8;16;6;7;24;4;28040
4;28040;29;21;32;4;5;31;19;26;27;15;28;22;17;9;3;10;20;1;30;13;23;11;2;18;14;12;25;8;16;6;7;24
29;21;32;4;5;31;19;26;27;15;28;30;17;9;3;10;20;1;22;13;23;11;2;18;14;12;25;8;16;6;7;24;4;28240
4;28240;29;21;32;4;5;31;19;26;27;15;28;30;17;9;3;10;20;1;22;13;23;11;2;18;14;12;25;8;16;6;7;24
29;21;32;4;5;31;19;26;27;15;14;30;17;9;3;10;20;1;22;13;23;11;2;18;28;12;25;8;16;6;7;24;4;28776
4;28776;29;21;32;4;5;31;19;26;27;15;14;30;17;9;3;10;20;1;22;13;23;11;2;18;28;12;25;8;16;6;7;24
29;21;32;4;5;31;19;26;27;15;14;30;17;9;8;10;20;1;22;13;23;11;2;18;28;12;25;3;16;6;7;24;4;28416
4;28416;29;21;32;4;5;31;19;26;27;15;14;30;17;9;8;10;20;1;22;13;23;11;2;18;28;12;25;3;16;6;7;24
29;21;32;18;5;31;19;26;27;15;14;30;17;9;8;10;20;1;22;13;23;11;2;4;28;12;25;3;16;6;7;24;4;28234
4;28234;29;21;32;18;5;31;19;26;27;15;14;30;17;9;8;10;20;1;22;13;23;11;2;4;28;12;25;3;16;6;7;24
29;21;32;18;5;31;19;26;27;25;14;30;17;9;8;10;20;1;22;13;23;11;2;4;28;12;15;3;16;6;7;24;4;28568
4;28568;29;21;32;18;5;31;19;26;27;25;14;30;17;9;8;10;20;1;22;13;23;11;2;4;28;12;15;3;16;6;7;24
29;21;32;18;5;31;19;26;27;25;16;30;17;9;8;10;20;1;22;13;23;11;2;4;28;12;15;3;14;6;7;24;4;28848
4;28848;29;21;32;18;5;31;19;26;27;25;16;30;17;9;8;10;20;1;22;13;23;11;2;4;28;12;15;3;14;6;7;24
29;21;32;18;5;31;19;26;27;25;16;30;17;9;8;10;20;1;22;13;23;11;3;4;28;12;15;2;14;6;7;24;4;28868
4;28868;29;21;32;18;5;31;19;26;27;25;16;30;17;9;8;10;20;1;22;13;23;11;3;4;28;12;15;2;14;6;7;24
29;21;32;18;5;31;19;26;12;25;16;30;17;9;8;10;20;1;22;13;23;11;3;4;28;27;15;2;14;6;7;24;4;29302
4;29302;29;21;32;18;5;31;19;26;12;25;16;30;17;9;8;10;20;1;22;13;23;11;3;4;28;27;15;2;14;6;7;24
29;21;32;18;5;31;28;26;12;25;16;30;17;9;8;10;20;1;22;13;23;11;3;4;19;27;15;2;14;6;7;24;4;29162
4;29162;29;21;32;18;5;31;28;26;12;25;16;30;17;9;8;10;20;1;22;13;23;11;3;4;19;27;15;2;14;6;7;24
29;21;32;18;7;31;28;26;12;25;16;30;17;9;8;10;20;1;22;13;23;11;3;4;19;27;15;2;14;6;5;24;4;28562
4;28562;29;21;32;18;7;31;28;26;12;25;16;30;17;9;8;10;20;1;22;13;23;11;3;4;19;27;15;2;14;6;5;24
29;21;32;18;7;31;28;26;12;23;16;30;17;9;8;10;20;1;22;13;25;11;3;4;19;27;15;2;14;6;5;24;4;28442
5;28442;29;21;32;18;7;31;28;26;12;23;16;30;17;9;8;10;20;1;22;13;25;11;3;4;19;27;15;2;14;6;5;24
29;21;32;18;7;31;28;26;12;23;16;30;17;9;8;10;11;1;22;13;25;20;3;4;19;27;15;2;14;6;5;24;5;28252
5;28252;29;21;32;18;7;31;28;26;12;23;16;30;17;9;8;10;11;1;22;13;25;20;3;4;19;27;15;2;14;6;5;24
29;21;32;18;7;31;28;26;12;23;16;30;17;9;8;10;11;1;22;13;25;20;27;4;19;3;15;2;14;6;5;24;5;27706
5;27706;29;21;32;18;7;31;28;26;12;23;16;30;17;9;8;10;11;1;22;13;25;20;27;4;19;3;15;2;14;6;5;24
29;21;32;18;7;31;28;26;12;23;16;30;17;9;8;10;11;1;27;13;25;20;22;4;19;3;15;2;14;6;5;24;5;27666
5;27666;29;21;32;18;7;31;28;26;12;23;16;30;17;9;8;10;11;1;27;13;25;20;22;4;19;3;15;2;14;6;5;24
29;21;32;18;7;31;28;26;12;23;16;30;17;9;8;10;11;1;27;13;25;24;22;4;19;3;15;2;14;6;5;20;5;27246
5;27246;29;21;32;18;7;31;28;26;12;23;16;30;17;9;8;10;11;1;27;13;25;24;22;4;19;3;15;2;14;6;5;20
19;21;32;18;7;31;28;26;12;23;16;30;17;9;8;10;11;1;27;13;25;24;22;4;29;3;15;2;14;6;5;20;5;27606
5;27606;19;21;32;18;7;31;28;26;12;23;16;30;17;9;8;10;11;1;27;13;25;24;22;4;29;3;15;2;14;6;5;20
19;21;32;18;7;31;28;13;12;23;16;30;17;9;8;10;11;1;27;26;25;24;22;4;29;3;15;2;14;6;5;20;5;27622
5;27622;19;21;32;18;7;31;28;13;12;23;16;30;17;9;8;10;11;1;27;26;25;24;22;4;29;3;15;2;14;6;5;20
19;21;32;18;7;31;28;13;12;30;16;23;17;9;8;10;11;1;27;26;25;24;22;4;29;3;15;2;14;6;5;20;5;27642
5;27642;19;21;32;18;7;31;28;13;12;30;16;23;17;9;8;10;11;1;27;26;25;24;22;4;29;3;15;2;14;6;5;20
19;21;32;18;7;31;28;24;12;30;16;23;17;9;8;10;11;1;27;26;25;13;22;4;29;3;15;2;14;6;5;20;5;27656
5;27656;19;21;32;18;7;31;28;24;12;30;16;23;17;9;8;10;11;1;27;26;25;13;22;4;29;3;15;2;14;6;5;20
30;21;32;18;7;31;28;24;12;19;16;23;17;9;8;10;11;1;27;26;25;13;22;4;29;3;15;2;14;6;5;20;5;27536
5;27536;30;21;32;18;7;31;28;24;12;19;16;23;17;9;8;10;11;1;27;26;25;13;22;4;29;3;15;2;14;6;5;20
30;21;32;18;7;31;28;24;12;19;22;23;17;9;8;10;11;1;27;26;25;13;16;4;29;3;15;2;14;6;5;20;5;26946
5;26946;30;21;32;18;7;31;28;24;12;19;22;23;17;9;8;10;11;1;27;26;25;13;16;4;29;3;15;2;14;6;5;20
30;21;32;18;7;31;28;10;12;19;22;23;17;9;8;24;11;1;27;26;25;13;16;4;29;3;15;2;14;6;5;20;5;26906
5;26906;30;21;32;18;7;31;28;10;12;19;22;23;17;9;8;24;11;1;27;26;25;13;16;4;29;3;15;2;14;6;5;20
30;21;32;18;7;31;28;10;12;19;22;23;17;9;8;29;11;1;27;26;25;13;16;4;24;3;15;2;14;6;5;20;5;26906
5;26906;30;21;32;18;7;31;28;10;12;19;22;23;17;9;8;29;11;1;27;26;25;13;16;4;24;3;15;2;14;6;5;20
30;21;32;18;7;31;28;10;12;19;22;5;17;9;8;29;11;1;27;26;25;13;16;4;24;3;15;2;14;6;23;20;5;27262
5;27262;30;21;32;18;7;31;28;10;12;19;22;5;17;9;8;29;11;1;27;26;25;13;16;4;24;3;15;2;14;6;23;20
30;21;32;18;7;31;28;10;3;19;22;5;17;9;8;29;11;1;27;26;25;13;16;4;24;12;15;2;14;6;23;20;5;27522
5;27522;30;21;32;18;7;31;28;10;3;19;22;5;17;9;8;29;11;1;27;26;25;13;16;4;24;12;15;2;14;6;23;20
10;21;32;18;7;31;28;30;3;19;22;5;17;9;8;29;11;1;27;26;25;13;16;4;24;12;15;2;14;6;23;20;5;27298
5;27298;10;21;32;18;7;31;28;30;3;19;22;5;17;9;8;29;11;1;27;26;25;13;16;4;24;12;15;2;14;6;23;20
10;21;32;18;7;31;28;30;8;19;22;5;17;9;3;29;11;1;27;26;25;13;16;4;24;12;15;2;14;6;23;20;5;27258
5;27258;10;21;32;18;7;31;28;30;8;19;22;5;17;9;3;29;11;1;27;26;25;13;16;4;24;12;15;2;14;6;23;20
10;21;32;18;14;31;28;30;8;19;22;5;17;9;3;29;11;1;27;26;25;13;16;4;24;12;15;2;7;6;23;20;5;27098
5;27098;10;21;32;18;14;31;28;30;8;19;22;5;17;9;3;29;11;1;27;26;25;13;16;4;24;12;15;2;7;6;23;20
10;21;32;18;14;31;28;30;8;19;23;5;17;9;3;29;11;1;27;26;25;13;16;4;24;12;15;2;7;6;22;20;5;27298
5;27298;10;21;32;18;14;31;28;30;8;19;23;5;17;9;3;29;11;1;27;26;25;13;16;4;24;12;15;2;7;6;22;20
10;21;32;18;7;31;28;30;8;19;23;5;17;9;3;29;11;1;27;26;25;13;16;4;24;12;15;2;14;6;22;20;5;27378
