"X1";"X28066";"X10";"X7";"X17";"X24";"X8";"X9";"X18";"X19";"X30";"X11";"X21";"X31";"X6";"X25";"X32";"X13";"X28";"X2";"X23";"X5";"X29";"X27";"X3";"X22";"X26";"X12";"X16";"X20";"X15";"X4";"X1.1";"X14"
5;18;17;22;8;9;30;20;24;11;29;10;2;25;7;13;28;32;23;31;6;27;3;4;21;12;16;26;15;19;1;14;1;28918
1;28918;5;18;17;22;8;9;30;20;24;11;29;10;2;25;7;13;28;32;23;31;6;27;3;4;21;12;16;26;15;19;1;14
5;18;17;22;8;9;30;20;24;11;29;10;2;23;7;13;28;32;25;31;6;27;3;4;21;12;16;26;15;19;1;14;1;28718
1;28718;5;18;17;22;8;9;30;20;24;11;29;10;2;23;7;13;28;32;25;31;6;27;3;4;21;12;16;26;15;19;1;14
22;18;17;5;8;9;30;20;24;11;29;10;2;23;7;13;28;32;25;31;6;27;3;4;21;12;16;26;15;19;1;14;1;28416
1;28416;22;18;17;5;8;9;30;20;24;11;29;10;2;23;7;13;28;32;25;31;6;27;3;4;21;12;16;26;15;19;1;14
22;18;17;5;8;9;30;16;24;11;29;10;2;23;7;13;28;32;25;31;6;27;3;4;21;12;20;26;15;19;1;14;1;28268
2;28268;22;18;17;5;8;9;30;16;24;11;29;10;2;23;7;13;28;32;25;31;6;27;3;4;21;12;20;26;15;19;1;14
22;18;17;5;8;9;30;16;24;11;29;10;2;23;3;13;28;32;25;31;6;27;7;4;21;12;20;26;15;19;1;14;2;28308
2;28308;22;18;17;5;8;9;30;16;24;11;29;10;2;23;3;13;28;32;25;31;6;27;7;4;21;12;20;26;15;19;1;14
22;18;17;5;8;9;30;16;24;11;29;10;2;23;3;13;28;26;25;31;6;27;7;4;21;12;20;32;15;19;1;14;2;28608
2;28608;22;18;17;5;8;9;30;16;24;11;29;10;2;23;3;13;28;26;25;31;6;27;7;4;21;12;20;32;15;19;1;14
22;18;17;5;8;9;30;16;27;11;29;10;2;23;3;13;28;26;25;31;6;24;7;4;21;12;20;32;15;19;1;14;2;28568
2;28568;22;18;17;5;8;9;30;16;27;11;29;10;2;23;3;13;28;26;25;31;6;24;7;4;21;12;20;32;15;19;1;14
22;18;17;5;8;9;30;16;27;11;29;23;2;10;3;13;28;26;25;31;6;24;7;4;21;12;20;32;15;19;1;14;2;28396
2;28396;22;18;17;5;8;9;30;16;27;11;29;23;2;10;3;13;28;26;25;31;6;24;7;4;21;12;20;32;15;19;1;14
22;18;17;5;8;9;30;16;27;11;29;1;2;10;3;13;28;26;25;31;6;24;7;4;21;12;20;32;15;19;23;14;2;28636
2;28636;22;18;17;5;8;9;30;16;27;11;29;1;2;10;3;13;28;26;25;31;6;24;7;4;21;12;20;32;15;19;23;14
22;18;17;5;8;9;16;30;27;11;29;1;2;10;3;13;28;26;25;31;6;24;7;4;21;12;20;32;15;19;23;14;2;28898
2;28898;22;18;17;5;8;9;16;30;27;11;29;1;2;10;3;13;28;26;25;31;6;24;7;4;21;12;20;32;15;19;23;14
22;18;17;5;8;9;16;30;27;11;12;1;2;10;3;13;28;26;25;31;6;24;7;4;21;29;20;32;15;19;23;14;2;28174
2;28174;22;18;17;5;8;9;16;30;27;11;12;1;2;10;3;13;28;26;25;31;6;24;7;4;21;29;20;32;15;19;23;14
22;18;17;15;8;9;16;30;27;11;12;1;2;10;3;13;28;26;25;31;6;24;7;4;21;29;20;32;5;19;23;14;2;28054
2;28054;22;18;17;15;8;9;16;30;27;11;12;1;2;10;3;13;28;26;25;31;6;24;7;4;21;29;20;32;5;19;23;14
22;18;17;15;8;9;16;30;27;11;12;1;2;10;3;13;28;26;20;31;6;24;7;4;21;29;25;32;5;19;23;14;2;27934
2;27934;22;18;17;15;8;9;16;30;27;11;12;1;2;10;3;13;28;26;20;31;6;24;7;4;21;29;25;32;5;19;23;14
22;18;17;15;8;9;16;30;27;11;21;1;2;10;3;13;28;26;20;31;6;24;7;4;12;29;25;32;5;19;23;14;2;28114
2;28114;22;18;17;15;8;9;16;30;27;11;21;1;2;10;3;13;28;26;20;31;6;24;7;4;12;29;25;32;5;19;23;14
22;28;17;15;8;9;16;30;27;11;21;1;2;10;3;13;18;26;20;31;6;24;7;4;12;29;25;32;5;19;23;14;2;27714
2;27714;22;28;17;15;8;9;16;30;27;11;21;1;2;10;3;13;18;26;20;31;6;24;7;4;12;29;25;32;5;19;23;14
22;28;17;15;8;9;16;30;27;11;21;1;2;10;3;26;18;13;20;31;6;24;7;4;12;29;25;32;5;19;23;14;2;27056
2;27056;22;28;17;15;8;9;16;30;27;11;21;1;2;10;3;26;18;13;20;31;6;24;7;4;12;29;25;32;5;19;23;14
22;28;17;15;8;9;16;30;27;14;21;1;2;10;3;26;18;13;20;31;6;24;7;4;12;29;25;32;5;19;23;11;2;27136
2;27136;22;28;17;15;8;9;16;30;27;14;21;1;2;10;3;26;18;13;20;31;6;24;7;4;12;29;25;32;5;19;23;11
9;28;17;15;8;22;16;30;27;14;21;1;2;10;3;26;18;13;20;31;6;24;7;4;12;29;25;32;5;19;23;11;2;27286
2;27286;9;28;17;15;8;22;16;30;27;14;21;1;2;10;3;26;18;13;20;31;6;24;7;4;12;29;25;32;5;19;23;11
9;28;17;15;8;22;16;30;27;14;21;1;2;10;3;26;18;13;20;5;6;24;7;4;12;29;25;32;31;19;23;11;2;28100
2;28100;9;28;17;15;8;22;16;30;27;14;21;1;2;10;3;26;18;13;20;5;6;24;7;4;12;29;25;32;31;19;23;11
9;28;17;15;8;22;16;30;27;14;21;1;2;10;3;26;18;13;20;5;6;24;7;4;12;19;25;32;31;29;23;11;2;28020
2;28020;9;28;17;15;8;22;16;30;27;14;21;1;2;10;3;26;18;13;20;5;6;24;7;4;12;19;25;32;31;29;23;11
19;28;17;15;8;22;16;30;27;14;21;1;2;10;3;26;18;13;20;5;6;24;7;4;12;9;25;32;31;29;23;11;2;27080
2;27080;19;28;17;15;8;22;16;30;27;14;21;1;2;10;3;26;18;13;20;5;6;24;7;4;12;9;25;32;31;29;23;11
19;28;17;15;8;22;16;30;27;14;21;1;2;10;12;26;18;13;20;5;6;24;7;4;3;9;25;32;31;29;23;11;2;26900
2;26900;19;28;17;15;8;22;16;30;27;14;21;1;2;10;12;26;18;13;20;5;6;24;7;4;3;9;25;32;31;29;23;11
19;28;17;15;8;22;16;30;27;14;21;1;2;10;12;26;18;13;20;5;6;24;4;7;3;9;25;32;31;29;23;11;2;27020
2;27020;19;28;17;15;8;22;16;30;27;14;21;1;2;10;12;26;18;13;20;5;6;24;4;7;3;9;25;32;31;29;23;11
19;28;26;15;8;22;16;30;27;14;21;1;2;10;12;17;18;13;20;5;6;24;4;7;3;9;25;32;31;29;23;11;2;27480
3;27480;19;28;26;15;8;22;16;30;27;14;21;1;2;10;12;17;18;13;20;5;6;24;4;7;3;9;25;32;31;29;23;11
19;28;26;15;8;22;16;30;27;14;21;1;2;10;12;17;18;13;20;5;6;24;23;7;3;9;25;32;31;29;4;11;3;27034
3;27034;19;28;26;15;8;22;16;30;27;14;21;1;2;10;12;17;18;13;20;5;6;24;23;7;3;9;25;32;31;29;4;11
19;22;26;15;8;28;16;30;27;14;21;1;2;10;12;17;18;13;20;5;6;24;23;7;3;9;25;32;31;29;4;11;3;27274
3;27274;19;22;26;15;8;28;16;30;27;14;21;1;2;10;12;17;18;13;20;5;6;24;23;7;3;9;25;32;31;29;4;11
19;22;26;15;17;28;16;30;27;14;21;1;2;10;12;8;18;13;20;5;6;24;23;7;3;9;25;32;31;29;4;11;3;27876
3;27876;19;22;26;15;17;28;16;30;27;14;21;1;2;10;12;8;18;13;20;5;6;24;23;7;3;9;25;32;31;29;4;11
19;22;26;15;17;28;16;30;27;14;21;1;2;10;12;8;18;13;4;5;6;24;23;7;3;9;25;32;31;29;20;11;3;27968
3;27968;19;22;26;15;17;28;16;30;27;14;21;1;2;10;12;8;18;13;4;5;6;24;23;7;3;9;25;32;31;29;20;11
19;22;26;15;17;28;16;30;27;20;21;1;2;10;12;8;18;13;4;5;6;24;23;7;3;9;25;32;31;29;14;11;3;27890
3;27890;19;22;26;15;17;28;16;30;27;20;21;1;2;10;12;8;18;13;4;5;6;24;23;7;3;9;25;32;31;29;14;11
19;22;26;15;17;28;16;30;27;20;21;1;3;10;12;8;18;13;4;5;6;24;23;7;2;9;25;32;31;29;14;11;3;27810
3;27810;19;22;26;15;17;28;16;30;27;20;21;1;3;10;12;8;18;13;4;5;6;24;23;7;2;9;25;32;31;29;14;11
19;22;26;15;17;28;16;31;27;20;21;1;3;10;12;8;18;13;4;5;6;24;23;7;2;9;25;32;30;29;14;11;3;27910
3;27910;19;22;26;15;17;28;16;31;27;20;21;1;3;10;12;8;18;13;4;5;6;24;23;7;2;9;25;32;30;29;14;11
19;22;26;15;17;28;14;31;27;20;21;1;3;10;12;8;18;13;4;5;6;24;23;7;2;9;25;32;30;29;16;11;3;27430
3;27430;19;22;26;15;17;28;14;31;27;20;21;1;3;10;12;8;18;13;4;5;6;24;23;7;2;9;25;32;30;29;16;11
19;22;26;15;17;28;14;31;27;20;21;1;3;10;2;8;18;13;4;5;6;24;23;7;12;9;25;32;30;29;16;11;3;27710
3;27710;19;22;26;15;17;28;14;31;27;20;21;1;3;10;2;8;18;13;4;5;6;24;23;7;12;9;25;32;30;29;16;11
32;22;26;15;17;28;14;31;27;20;21;1;3;10;2;8;18;13;4;5;6;24;23;7;12;9;25;19;30;29;16;11;3;27710
3;27710;32;22;26;15;17;28;14;31;27;20;21;1;3;10;2;8;18;13;4;5;6;24;23;7;12;9;25;19;30;29;16;11
32;22;26;19;17;28;14;31;27;20;21;1;3;10;2;8;18;13;4;5;6;24;23;7;12;9;25;15;30;29;16;11;3;27792
3;27792;32;22;26;19;17;28;14;31;27;20;21;1;3;10;2;8;18;13;4;5;6;24;23;7;12;9;25;15;30;29;16;11
32;7;26;19;17;28;14;31;27;20;21;1;3;10;2;8;18;13;4;5;6;24;23;22;12;9;25;15;30;29;16;11;3;27886
3;27886;32;7;26;19;17;28;14;31;27;20;21;1;3;10;2;8;18;13;4;5;6;24;23;22;12;9;25;15;30;29;16;11
32;18;26;19;17;28;14;31;27;20;21;1;3;10;2;8;7;13;4;5;6;24;23;22;12;9;25;15;30;29;16;11;3;27916
3;27916;32;18;26;19;17;28;14;31;27;20;21;1;3;10;2;8;7;13;4;5;6;24;23;22;12;9;25;15;30;29;16;11
32;18;26;19;17;28;13;31;27;20;21;1;3;10;2;8;7;14;4;5;6;24;23;22;12;9;25;15;30;29;16;11;3;28316
3;28316;32;18;26;19;17;28;13;31;27;20;21;1;3;10;2;8;7;14;4;5;6;24;23;22;12;9;25;15;30;29;16;11
32;18;26;19;17;24;13;31;27;20;21;1;3;10;2;8;7;14;4;5;6;28;23;22;12;9;25;15;30;29;16;11;3;28196
3;28196;32;18;26;19;17;24;13;31;27;20;21;1;3;10;2;8;7;14;4;5;6;28;23;22;12;9;25;15;30;29;16;11
32;18;26;19;22;24;13;31;27;20;21;1;3;10;2;8;7;14;4;5;6;28;23;17;12;9;25;15;30;29;16;11;3;27876
3;27876;32;18;26;19;22;24;13;31;27;20;21;1;3;10;2;8;7;14;4;5;6;28;23;17;12;9;25;15;30;29;16;11
32;18;26;19;28;24;13;31;27;20;21;1;3;10;2;8;7;14;4;5;6;22;23;17;12;9;25;15;30;29;16;11;3;28116
3;28116;32;18;26;19;28;24;13;31;27;20;21;1;3;10;2;8;7;14;4;5;6;22;23;17;12;9;25;15;30;29;16;11
32;18;26;19;21;24;13;31;27;20;28;1;3;10;2;8;7;14;4;5;6;22;23;17;12;9;25;15;30;29;16;11;3;27876
3;27876;32;18;26;19;21;24;13;31;27;20;28;1;3;10;2;8;7;14;4;5;6;22;23;17;12;9;25;15;30;29;16;11
32;18;26;19;21;24;13;31;27;20;28;1;3;10;2;8;7;14;4;6;5;22;23;17;12;9;25;15;30;29;16;11;3;27776
3;27776;32;18;26;19;21;24;13;31;27;20;28;1;3;10;2;8;7;14;4;6;5;22;23;17;12;9;25;15;30;29;16;11
32;18;26;19;21;24;13;31;27;20;28;4;3;10;2;8;7;14;1;6;5;22;23;17;12;9;25;15;30;29;16;11;3;27216
4;27216;32;18;26;19;21;24;13;31;27;20;28;4;3;10;2;8;7;14;1;6;5;22;23;17;12;9;25;15;30;29;16;11
32;18;26;19;21;24;13;31;27;4;28;20;3;10;2;8;7;14;1;6;5;22;23;17;12;9;25;15;30;29;16;11;4;26342
4;26342;32;18;26;19;21;24;13;31;27;4;28;20;3;10;2;8;7;14;1;6;5;22;23;17;12;9;25;15;30;29;16;11
32;18;26;19;21;24;13;31;27;4;28;20;3;10;2;15;7;14;1;6;5;22;23;17;12;9;25;8;30;29;16;11;4;26022
4;26022;32;18;26;19;21;24;13;31;27;4;28;20;3;10;2;15;7;14;1;6;5;22;23;17;12;9;25;8;30;29;16;11
32;18;26;19;10;24;13;31;27;4;28;20;3;21;2;15;7;14;1;6;5;22;23;17;12;9;25;8;30;29;16;11;4;26420
4;26420;32;18;26;19;10;24;13;31;27;4;28;20;3;21;2;15;7;14;1;6;5;22;23;17;12;9;25;8;30;29;16;11
32;18;31;19;10;24;13;26;27;4;28;20;3;21;2;15;7;14;1;6;5;22;23;17;12;9;25;8;30;29;16;11;4;26660
4;26660;32;18;31;19;10;24;13;26;27;4;28;20;3;21;2;15;7;14;1;6;5;22;23;17;12;9;25;8;30;29;16;11
32;18;31;19;10;24;13;26;27;4;28;20;3;21;14;15;7;2;1;6;5;22;23;17;12;9;25;8;30;29;16;11;4;27060
4;27060;32;18;31;19;10;24;13;26;27;4;28;20;3;21;14;15;7;2;1;6;5;22;23;17;12;9;25;8;30;29;16;11
32;18;31;19;10;24;28;26;27;4;13;20;3;21;14;15;7;2;1;6;5;22;23;17;12;9;25;8;30;29;16;11;4;27370
4;27370;32;18;31;19;10;24;28;26;27;4;13;20;3;21;14;15;7;2;1;6;5;22;23;17;12;9;25;8;30;29;16;11
32;18;31;19;10;24;28;26;27;4;13;20;3;21;14;15;7;2;1;6;5;22;23;17;12;9;25;29;30;8;16;11;4;28406
4;28406;32;18;31;19;10;24;28;26;27;4;13;20;3;21;14;15;7;2;1;6;5;22;23;17;12;9;25;29;30;8;16;11
32;18;31;19;10;11;28;26;27;4;13;20;3;21;14;15;7;2;1;6;5;22;23;17;12;9;25;29;30;8;16;24;4;27748
4;27748;32;18;31;19;10;11;28;26;27;4;13;20;3;21;14;15;7;2;1;6;5;22;23;17;12;9;25;29;30;8;16;24
32;18;31;19;10;11;28;26;27;4;13;20;3;21;14;15;7;2;1;6;5;22;23;17;12;9;25;29;24;8;16;30;4;27588
4;27588;32;18;31;19;10;11;28;26;27;4;13;20;3;21;14;15;7;2;1;6;5;22;23;17;12;9;25;29;24;8;16;30
32;18;31;19;14;11;28;26;27;4;13;20;3;21;10;15;7;2;1;6;5;22;23;17;12;9;25;29;24;8;16;30;4;27748
4;27748;32;18;31;19;14;11;28;26;27;4;13;20;3;21;10;15;7;2;1;6;5;22;23;17;12;9;25;29;24;8;16;30
32;18;31;19;14;11;28;26;27;4;13;20;3;21;10;15;7;2;1;6;8;22;23;17;12;9;25;29;24;5;16;30;4;27008
4;27008;32;18;31;19;14;11;28;26;27;4;13;20;3;21;10;15;7;2;1;6;8;22;23;17;12;9;25;29;24;5;16;30
32;18;31;19;14;11;27;26;28;4;13;20;3;21;10;15;7;2;1;6;8;22;23;17;12;9;25;29;24;5;16;30;4;26768
4;26768;32;18;31;19;14;11;27;26;28;4;13;20;3;21;10;15;7;2;1;6;8;22;23;17;12;9;25;29;24;5;16;30
32;18;31;16;14;11;27;26;28;4;13;20;3;21;10;15;7;2;1;6;8;22;23;17;12;9;25;29;24;5;19;30;4;26526
4;26526;32;18;31;16;14;11;27;26;28;4;13;20;3;21;10;15;7;2;1;6;8;22;23;17;12;9;25;29;24;5;19;30
32;18;31;16;14;11;27;26;28;4;1;20;3;21;10;15;7;2;13;6;8;22;23;17;12;9;25;29;24;5;19;30;4;26766
4;26766;32;18;31;16;14;11;27;26;28;4;1;20;3;21;10;15;7;2;13;6;8;22;23;17;12;9;25;29;24;5;19;30
32;18;31;16;14;23;27;26;28;4;1;20;3;21;10;15;7;2;13;6;8;22;11;17;12;9;25;29;24;5;19;30;4;27518
4;27518;32;18;31;16;14;23;27;26;28;4;1;20;3;21;10;15;7;2;13;6;8;22;11;17;12;9;25;29;24;5;19;30
32;18;31;16;14;23;27;26;28;4;1;20;3;21;10;15;7;2;13;6;8;22;11;12;17;9;25;29;24;5;19;30;4;27390
4;27390;32;18;31;16;14;23;27;26;28;4;1;20;3;21;10;15;7;2;13;6;8;22;11;12;17;9;25;29;24;5;19;30
32;18;31;16;14;23;27;26;28;1;4;20;3;21;10;15;7;2;13;6;8;22;11;12;17;9;25;29;24;5;19;30;4;26570
4;26570;32;18;31;16;14;23;27;26;28;1;4;20;3;21;10;15;7;2;13;6;8;22;11;12;17;9;25;29;24;5;19;30
32;18;31;16;14;23;27;26;28;1;4;20;3;2;10;15;7;21;13;6;8;22;11;12;17;9;25;29;24;5;19;30;4;25980
4;25980;32;18;31;16;14;23;27;26;28;1;4;20;3;2;10;15;7;21;13;6;8;22;11;12;17;9;25;29;24;5;19;30
32;18;31;16;14;23;27;26;28;1;4;20;3;25;10;15;7;21;13;6;8;22;11;12;17;9;2;29;24;5;19;30;4;26336
4;26336;32;18;31;16;14;23;27;26;28;1;4;20;3;25;10;15;7;21;13;6;8;22;11;12;17;9;2;29;24;5;19;30
32;18;31;16;14;23;27;26;28;1;4;7;3;25;10;15;20;21;13;6;8;22;11;12;17;9;2;29;24;5;19;30;4;26724
5;26724;32;18;31;16;14;23;27;26;28;1;4;7;3;25;10;15;20;21;13;6;8;22;11;12;17;9;2;29;24;5;19;30
32;1;31;16;14;23;27;26;28;18;4;7;3;25;10;15;20;21;13;6;8;22;11;12;17;9;2;29;24;5;19;30;5;26772
5;26772;32;1;31;16;14;23;27;26;28;18;4;7;3;25;10;15;20;21;13;6;8;22;11;12;17;9;2;29;24;5;19;30
10;1;31;16;14;23;27;26;28;18;4;7;3;25;32;15;20;21;13;6;8;22;11;12;17;9;2;29;24;5;19;30;5;26454
5;26454;10;1;31;16;14;23;27;26;28;18;4;7;3;25;32;15;20;21;13;6;8;22;11;12;17;9;2;29;24;5;19;30
10;1;31;16;5;23;27;26;28;18;4;7;3;25;32;15;20;21;13;6;8;22;11;12;17;9;2;29;24;14;19;30;5;26754
5;26754;10;1;31;16;5;23;27;26;28;18;4;7;3;25;32;15;20;21;13;6;8;22;11;12;17;9;2;29;24;14;19;30
10;1;31;16;5;23;27;26;28;18;4;7;3;25;13;15;20;21;32;6;8;22;11;12;17;9;2;29;24;14;19;30;5;26224
5;26224;10;1;31;16;5;23;27;26;28;18;4;7;3;25;13;15;20;21;32;6;8;22;11;12;17;9;2;29;24;14;19;30
10;22;31;16;5;23;27;26;28;18;4;7;3;25;13;15;20;21;32;6;8;1;11;12;17;9;2;29;24;14;19;30;5;26260
5;26260;10;22;31;16;5;23;27;26;28;18;4;7;3;25;13;15;20;21;32;6;8;1;11;12;17;9;2;29;24;14;19;30
10;22;31;16;5;23;27;26;28;14;4;7;3;25;13;15;20;21;32;6;8;1;11;12;17;9;2;29;24;18;19;30;5;26494
5;26494;10;22;31;16;5;23;27;26;28;14;4;7;3;25;13;15;20;21;32;6;8;1;11;12;17;9;2;29;24;18;19;30
10;22;31;16;5;29;27;26;28;14;4;7;3;25;13;15;20;21;32;6;8;1;11;12;17;9;2;23;24;18;19;30;5;27094
5;27094;10;22;31;16;5;29;27;26;28;14;4;7;3;25;13;15;20;21;32;6;8;1;11;12;17;9;2;23;24;18;19;30
10;22;31;16;5;29;27;26;28;14;4;7;3;25;13;21;20;15;32;6;8;1;11;12;17;9;2;23;24;18;19;30;5;27888
5;27888;10;22;31;16;5;29;27;26;28;14;4;7;3;25;13;21;20;15;32;6;8;1;11;12;17;9;2;23;24;18;19;30
10;22;31;16;5;29;27;26;28;14;4;7;15;25;13;21;20;3;32;6;8;1;11;12;17;9;2;23;24;18;19;30;5;27948
5;27948;10;22;31;16;5;29;27;26;28;14;4;7;15;25;13;21;20;3;32;6;8;1;11;12;17;9;2;23;24;18;19;30
10;22;31;16;5;29;27;26;28;14;4;7;15;25;13;21;20;3;32;6;8;1;11;12;23;9;2;17;24;18;19;30;5;28148
5;28148;10;22;31;16;5;29;27;26;28;14;4;7;15;25;13;21;20;3;32;6;8;1;11;12;23;9;2;17;24;18;19;30
10;22;31;16;5;29;27;26;28;14;4;7;15;25;13;21;17;3;32;6;8;1;11;12;23;9;2;20;24;18;19;30;5;27948
5;27948;10;22;31;16;5;29;27;26;28;14;4;7;15;25;13;21;17;3;32;6;8;1;11;12;23;9;2;20;24;18;19;30
10;22;31;16;5;29;27;26;28;14;4;7;15;25;13;12;17;3;32;6;8;1;11;21;23;9;2;20;24;18;19;30;5;27860
5;27860;10;22;31;16;5;29;27;26;28;14;4;7;15;25;13;12;17;3;32;6;8;1;11;21;23;9;2;20;24;18;19;30
10;22;31;16;5;29;27;26;28;14;4;7;18;25;13;12;17;3;32;6;8;1;11;21;23;9;2;20;24;15;19;30;5;27252
5;27252;10;22;31;16;5;29;27;26;28;14;4;7;18;25;13;12;17;3;32;6;8;1;11;21;23;9;2;20;24;15;19;30
10;22;31;16;5;29;27;4;28;14;26;7;18;25;13;12;17;3;32;6;8;1;11;21;23;9;2;20;24;15;19;30;5;26748
5;26748;10;22;31;16;5;29;27;4;28;14;26;7;18;25;13;12;17;3;32;6;8;1;11;21;23;9;2;20;24;15;19;30
10;22;31;16;5;29;27;4;28;14;26;8;18;25;13;12;17;3;32;6;7;1;11;21;23;9;2;20;24;15;19;30;5;26848
5;26848;10;22;31;16;5;29;27;4;28;14;26;8;18;25;13;12;17;3;32;6;7;1;11;21;23;9;2;20;24;15;19;30
10;22;31;16;5;29;27;4;28;14;26;8;18;25;13;30;17;3;32;6;7;1;11;21;23;9;2;20;24;15;19;12;5;26424
5;26424;10;22;31;16;5;29;27;4;28;14;26;8;18;25;13;30;17;3;32;6;7;1;11;21;23;9;2;20;24;15;19;12
10;22;31;16;5;29;6;4;28;14;26;8;18;25;13;30;17;3;32;27;7;1;11;21;23;9;2;20;24;15;19;12;5;25954
5;25954;10;22;31;16;5;29;6;4;28;14;26;8;18;25;13;30;17;3;32;27;7;1;11;21;23;9;2;20;24;15;19;12
10;22;31;16;5;29;6;17;28;14;26;8;18;25;13;30;4;3;32;27;7;1;11;21;23;9;2;20;24;15;19;12;5;26682
5;26682;10;22;31;16;5;29;6;17;28;14;26;8;18;25;13;30;4;3;32;27;7;1;11;21;23;9;2;20;24;15;19;12
10;22;31;16;5;29;6;17;14;28;26;8;18;25;13;30;4;3;32;27;7;1;11;21;23;9;2;20;24;15;19;12;5;26270
