"X1";"X26530";"X10";"X31";"X1.1";"X29";"X23";"X14";"X32";"X22";"X19";"X15";"X25";"X7";"X17";"X2";"X9";"X20";"X18";"X12";"X24";"X6";"X5";"X11";"X21";"X16";"X8";"X3";"X30";"X13";"X26";"X28";"X27";"X4"
22;13;1;19;31;14;11;2;7;32;25;4;23;27;18;17;20;12;5;8;24;29;21;6;16;3;30;15;26;28;10;9;2;27948
2;27948;22;13;1;19;31;14;11;2;7;32;25;4;23;27;18;17;20;12;5;8;24;29;21;6;16;3;30;15;26;28;10;9
22;13;1;19;31;14;11;2;7;32;25;4;23;27;18;17;20;12;5;8;24;15;21;6;16;3;30;29;26;28;10;9;2;27798
2;27798;22;13;1;19;31;14;11;2;7;32;25;4;23;27;18;17;20;12;5;8;24;15;21;6;16;3;30;29;26;28;10;9
22;13;1;19;31;14;11;2;7;32;25;4;23;27;18;3;20;12;5;8;24;15;21;6;16;17;30;29;26;28;10;9;2;27642
2;27642;22;13;1;19;31;14;11;2;7;32;25;4;23;27;18;3;20;12;5;8;24;15;21;6;16;17;30;29;26;28;10;9
22;13;1;19;31;14;11;20;7;32;25;4;23;27;18;3;2;12;5;8;24;15;21;6;16;17;30;29;26;28;10;9;2;27238
2;27238;22;13;1;19;31;14;11;20;7;32;25;4;23;27;18;3;2;12;5;8;24;15;21;6;16;17;30;29;26;28;10;9
22;13;1;19;15;14;11;20;7;32;25;4;23;27;18;3;2;12;5;8;24;31;21;6;16;17;30;29;26;28;10;9;2;26962
2;26962;22;13;1;19;15;14;11;20;7;32;25;4;23;27;18;3;2;12;5;8;24;31;21;6;16;17;30;29;26;28;10;9
22;13;1;19;6;14;11;20;7;32;25;4;23;27;18;3;2;12;5;8;24;31;21;15;16;17;30;29;26;28;10;9;2;26262
2;26262;22;13;1;19;6;14;11;20;7;32;25;4;23;27;18;3;2;12;5;8;24;31;21;15;16;17;30;29;26;28;10;9
22;13;20;19;6;14;11;1;7;32;25;4;23;27;18;3;2;12;5;8;24;31;21;15;16;17;30;29;26;28;10;9;2;26296
2;26296;22;13;20;19;6;14;11;1;7;32;25;4;23;27;18;3;2;12;5;8;24;31;21;15;16;17;30;29;26;28;10;9
22;13;20;19;6;14;11;1;7;32;25;5;23;27;18;3;2;12;4;8;24;31;21;15;16;17;30;29;26;28;10;9;2;25856
2;25856;22;13;20;19;6;14;11;1;7;32;25;5;23;27;18;3;2;12;4;8;24;31;21;15;16;17;30;29;26;28;10;9
22;13;20;19;29;14;11;1;7;32;25;5;23;27;18;3;2;12;4;8;24;31;21;15;16;17;30;6;26;28;10;9;2;27074
2;27074;22;13;20;19;29;14;11;1;7;32;25;5;23;27;18;3;2;12;4;8;24;31;21;15;16;17;30;6;26;28;10;9
22;13;20;19;29;14;11;1;7;18;25;5;23;27;32;3;2;12;4;8;24;31;21;15;16;17;30;6;26;28;10;9;2;27514
2;27514;22;13;20;19;29;14;11;1;7;18;25;5;23;27;32;3;2;12;4;8;24;31;21;15;16;17;30;6;26;28;10;9
22;13;20;19;29;14;11;1;7;18;25;5;23;27;32;3;2;12;24;8;4;31;21;15;16;17;30;6;26;28;10;9;2;27912
2;27912;22;13;20;19;29;14;11;1;7;18;25;5;23;27;32;3;2;12;24;8;4;31;21;15;16;17;30;6;26;28;10;9
22;13;20;19;28;14;11;1;7;18;25;5;23;27;32;3;2;12;24;8;4;31;21;15;16;17;30;6;26;29;10;9;2;27632
2;27632;22;13;20;19;28;14;11;1;7;18;25;5;23;27;32;3;2;12;24;8;4;31;21;15;16;17;30;6;26;29;10;9
22;13;20;19;28;1;11;14;7;18;25;5;23;27;32;3;2;12;24;8;4;31;21;15;16;17;30;6;26;29;10;9;2;27352
2;27352;22;13;20;19;28;1;11;14;7;18;25;5;23;27;32;3;2;12;24;8;4;31;21;15;16;17;30;6;26;29;10;9
22;13;20;19;28;1;11;14;7;18;25;5;23;27;32;3;2;12;24;8;4;31;16;15;21;17;30;6;26;29;10;9;2;27802
2;27802;22;13;20;19;28;1;11;14;7;18;25;5;23;27;32;3;2;12;24;8;4;31;16;15;21;17;30;6;26;29;10;9
22;13;20;19;28;1;11;14;7;18;25;5;23;27;32;15;2;12;24;8;4;31;16;3;21;17;30;6;26;29;10;9;2;28122
2;28122;22;13;20;19;28;1;11;14;7;18;25;5;23;27;32;15;2;12;24;8;4;31;16;3;21;17;30;6;26;29;10;9
22;13;20;19;28;1;16;14;7;18;25;5;23;27;32;15;2;12;24;8;4;31;11;3;21;17;30;6;26;29;10;9;2;28522
2;28522;22;13;20;19;28;1;16;14;7;18;25;5;23;27;32;15;2;12;24;8;4;31;11;3;21;17;30;6;26;29;10;9
22;1;20;19;28;13;16;14;7;18;25;5;23;27;32;15;2;12;24;8;4;31;11;3;21;17;30;6;26;29;10;9;2;28922
2;28922;22;1;20;19;28;13;16;14;7;18;25;5;23;27;32;15;2;12;24;8;4;31;11;3;21;17;30;6;26;29;10;9
22;1;20;15;28;13;16;14;7;18;25;5;23;27;32;19;2;12;24;8;4;31;11;3;21;17;30;6;26;29;10;9;2;28828
2;28828;22;1;20;15;28;13;16;14;7;18;25;5;23;27;32;19;2;12;24;8;4;31;11;3;21;17;30;6;26;29;10;9
22;1;20;15;28;13;16;32;7;18;25;5;23;27;14;19;2;12;24;8;4;31;11;3;21;17;30;6;26;29;10;9;2;28870
2;28870;22;1;20;15;28;13;16;32;7;18;25;5;23;27;14;19;2;12;24;8;4;31;11;3;21;17;30;6;26;29;10;9
22;1;2;15;28;13;16;32;7;18;25;5;23;27;14;19;20;12;24;8;4;31;11;3;21;17;30;6;26;29;10;9;2;28348
3;28348;22;1;2;15;28;13;16;32;7;18;25;5;23;27;14;19;20;12;24;8;4;31;11;3;21;17;30;6;26;29;10;9
22;1;2;15;28;13;16;32;7;18;25;5;20;27;14;19;23;12;24;8;4;31;11;3;21;17;30;6;26;29;10;9;3;28468
3;28468;22;1;2;15;28;13;16;32;7;18;25;5;20;27;14;19;23;12;24;8;4;31;11;3;21;17;30;6;26;29;10;9
22;1;2;15;28;13;16;32;7;18;25;5;20;4;14;19;23;12;24;8;27;31;11;3;21;17;30;6;26;29;10;9;3;27918
3;27918;22;1;2;15;28;13;16;32;7;18;25;5;20;4;14;19;23;12;24;8;27;31;11;3;21;17;30;6;26;29;10;9
22;1;2;15;28;13;16;32;7;18;29;5;20;4;14;19;23;12;24;8;27;31;11;3;21;17;30;6;26;25;10;9;3;28158
3;28158;22;1;2;15;28;13;16;32;7;18;29;5;20;4;14;19;23;12;24;8;27;31;11;3;21;17;30;6;26;25;10;9
22;1;2;15;28;13;16;32;7;18;29;5;20;4;14;19;23;12;24;8;27;11;31;3;21;17;30;6;26;25;10;9;3;27870
3;27870;22;1;2;15;28;13;16;32;7;18;29;5;20;4;14;19;23;12;24;8;27;11;31;3;21;17;30;6;26;25;10;9
22;1;2;15;28;13;32;16;7;18;29;5;20;4;14;19;23;12;24;8;27;11;31;3;21;17;30;6;26;25;10;9;3;27548
3;27548;22;1;2;15;28;13;32;16;7;18;29;5;20;4;14;19;23;12;24;8;27;11;31;3;21;17;30;6;26;25;10;9
22;2;1;15;28;13;32;16;7;18;29;5;20;4;14;19;23;12;24;8;27;11;31;3;21;17;30;6;26;25;10;9;3;27388
3;27388;22;2;1;15;28;13;32;16;7;18;29;5;20;4;14;19;23;12;24;8;27;11;31;3;21;17;30;6;26;25;10;9
22;2;1;13;28;15;32;16;7;18;29;5;20;4;14;19;23;12;24;8;27;11;31;3;21;17;30;6;26;25;10;9;3;27628
3;27628;22;2;1;13;28;15;32;16;7;18;29;5;20;4;14;19;23;12;24;8;27;11;31;3;21;17;30;6;26;25;10;9
22;2;1;13;28;15;32;16;7;18;29;5;20;4;14;19;17;12;24;8;27;11;31;3;21;23;30;6;26;25;10;9;3;28108
3;28108;22;2;1;13;28;15;32;16;7;18;29;5;20;4;14;19;17;12;24;8;27;11;31;3;21;23;30;6;26;25;10;9
22;2;1;13;28;15;32;16;7;18;29;5;20;4;14;19;17;12;24;8;27;11;9;3;21;23;30;6;26;25;10;31;3;28066
3;28066;22;2;1;13;28;15;32;16;7;18;29;5;20;4;14;19;17;12;24;8;27;11;9;3;21;23;30;6;26;25;10;31
22;2;1;13;28;15;32;16;7;18;29;5;20;4;14;27;17;12;24;8;19;11;9;3;21;23;30;6;26;25;10;31;3;28266
3;28266;22;2;1;13;28;15;32;16;7;18;29;5;20;4;14;27;17;12;24;8;19;11;9;3;21;23;30;6;26;25;10;31
22;2;1;13;28;15;32;16;7;18;29;5;20;4;14;27;17;12;24;8;25;11;9;3;21;23;30;6;26;19;10;31;3;27786
3;27786;22;2;1;13;28;15;32;16;7;18;29;5;20;4;14;27;17;12;24;8;25;11;9;3;21;23;30;6;26;19;10;31
22;2;1;13;28;15;32;16;7;18;29;5;20;4;14;27;17;12;25;8;24;11;9;3;21;23;30;6;26;19;10;31;3;27826
3;27826;22;2;1;13;28;15;32;16;7;18;29;5;20;4;14;27;17;12;25;8;24;11;9;3;21;23;30;6;26;19;10;31
22;2;1;13;28;6;32;16;7;18;29;5;20;4;14;27;17;12;25;8;24;11;9;3;21;23;30;15;26;19;10;31;3;27486
3;27486;22;2;1;13;28;6;32;16;7;18;29;5;20;4;14;27;17;12;25;8;24;11;9;3;21;23;30;15;26;19;10;31
22;2;1;13;28;6;32;16;7;18;29;5;14;4;20;27;17;12;25;8;24;11;9;3;21;23;30;15;26;19;10;31;3;27844
3;27486;22;2;1;13;28;6;32;16;7;18;29;5;20;4;14;27;17;12;25;8;24;11;9;3;21;23;30;15;26;19;10;31
22;2;1;13;28;6;4;16;7;18;29;5;20;32;14;27;17;12;25;8;24;11;9;3;21;23;30;15;26;19;10;31;3;27564
3;27564;22;2;1;13;28;6;4;16;7;18;29;5;20;32;14;27;17;12;25;8;24;11;9;3;21;23;30;15;26;19;10;31
22;2;1;13;28;6;25;16;7;18;29;5;20;32;14;27;17;12;4;8;24;11;9;3;21;23;30;15;26;19;10;31;3;27966
3;27966;22;2;1;13;28;6;25;16;7;18;29;5;20;32;14;27;17;12;4;8;24;11;9;3;21;23;30;15;26;19;10;31
22;2;1;13;28;6;25;16;7;18;29;5;20;32;14;27;17;12;4;8;24;11;3;9;21;23;30;15;26;19;10;31;3;27766
3;27766;22;2;1;13;28;6;25;16;7;18;29;5;20;32;14;27;17;12;4;8;24;11;3;9;21;23;30;15;26;19;10;31
22;13;1;2;28;6;25;16;7;18;29;5;20;32;14;27;17;12;4;8;24;11;3;9;21;23;30;15;26;19;10;31;3;27806
3;27806;22;13;1;2;28;6;25;16;7;18;29;5;20;32;14;27;17;12;4;8;24;11;3;9;21;23;30;15;26;19;10;31
22;13;1;5;28;6;25;16;7;18;29;2;20;32;14;27;17;12;4;8;24;11;3;9;21;23;30;15;26;19;10;31;3;27486
3;27486;22;13;1;5;28;6;25;16;7;18;29;2;20;32;14;27;17;12;4;8;24;11;3;9;21;23;30;15;26;19;10;31
22;13;1;5;28;6;25;16;7;18;29;2;4;32;14;27;17;12;20;8;24;11;3;9;21;23;30;15;26;19;10;31;3;27578
4;27578;22;13;1;5;28;6;25;16;7;18;29;2;4;32;14;27;17;12;20;8;24;11;3;9;21;23;30;15;26;19;10;31
22;13;1;5;28;6;25;16;7;18;29;2;4;32;14;27;17;12;20;8;24;11;3;26;21;23;30;15;9;19;10;31;4;27832
4;27832;22;13;1;5;28;6;25;16;7;18;29;2;4;32;14;27;17;12;20;8;24;11;3;26;21;23;30;15;9;19;10;31
11;13;1;5;28;6;25;16;7;18;29;2;4;32;14;27;17;12;20;8;24;22;3;26;21;23;30;15;9;19;10;31;4;28154
4;28154;11;13;1;5;28;6;25;16;7;18;29;2;4;32;14;27;17;12;20;8;24;22;3;26;21;23;30;15;9;19;10;31
11;13;1;5;28;6;25;16;7;18;29;2;4;32;14;27;17;12;20;8;24;22;3;26;21;9;30;15;23;19;10;31;4;27224
4;27224;11;13;1;5;28;6;25;16;7;18;29;2;4;32;14;27;17;12;20;8;24;22;3;26;21;9;30;15;23;19;10;31
11;13;1;5;28;6;25;16;7;18;29;2;4;32;14;27;17;12;20;8;24;22;3;26;21;9;31;15;23;19;10;30;4;27144
4;27144;11;13;1;5;28;6;25;16;7;18;29;2;4;32;14;27;17;12;20;8;24;22;3;26;21;9;31;15;23;19;10;30
11;13;1;5;18;6;25;16;7;28;29;2;4;32;14;27;17;12;20;8;24;22;3;26;21;9;31;15;23;19;10;30;4;26784
4;26784;11;13;1;5;18;6;25;16;7;28;29;2;4;32;14;27;17;12;20;8;24;22;3;26;21;9;31;15;23;19;10;30
11;21;1;5;18;6;25;16;7;28;29;2;4;32;14;27;17;12;20;8;24;22;3;26;13;9;31;15;23;19;10;30;4;26126
4;26126;11;21;1;5;18;6;25;16;7;28;29;2;4;32;14;27;17;12;20;8;24;22;3;26;13;9;31;15;23;19;10;30
11;21;1;5;18;6;25;20;7;28;29;2;4;32;14;27;17;12;16;8;24;22;3;26;13;9;31;15;23;19;10;30;4;25490
4;25490;11;21;1;5;18;6;25;20;7;28;29;2;4;32;14;27;17;12;16;8;24;22;3;26;13;9;31;15;23;19;10;30
11;21;1;5;18;6;25;20;7;28;29;12;4;32;14;27;17;2;16;8;24;22;3;26;13;9;31;15;23;19;10;30;4;26370
4;26370;11;21;1;5;18;6;25;20;7;28;29;12;4;32;14;27;17;2;16;8;24;22;3;26;13;9;31;15;23;19;10;30
11;21;1;5;18;6;25;20;13;28;29;12;4;32;14;27;17;2;16;8;24;22;3;26;7;9;31;15;23;19;10;30;4;27050
4;27050;11;21;1;5;18;6;25;20;13;28;29;12;4;32;14;27;17;2;16;8;24;22;3;26;7;9;31;15;23;19;10;30
11;21;1;5;18;6;25;20;13;28;29;12;4;32;14;27;16;2;17;8;24;22;3;26;7;9;31;15;23;19;10;30;4;27934
4;27934;11;21;1;5;18;6;25;20;13;28;29;12;4;32;14;27;16;2;17;8;24;22;3;26;7;9;31;15;23;19;10;30
11;21;1;5;18;6;25;20;13;28;29;24;4;32;14;27;16;2;17;8;12;22;3;26;7;9;31;15;23;19;10;30;4;28368
4;28368;11;21;1;5;18;6;25;20;13;28;29;24;4;32;14;27;16;2;17;8;12;22;3;26;7;9;31;15;23;19;10;30
11;21;1;5;18;6;25;20;13;28;29;24;17;32;14;27;16;2;4;8;12;22;3;26;7;9;31;15;23;19;10;30;4;28436
4;28436;11;21;1;5;18;6;25;20;13;28;29;24;17;32;14;27;16;2;4;8;12;22;3;26;7;9;31;15;23;19;10;30
11;21;1;5;18;6;25;20;13;28;29;24;17;32;14;27;16;2;4;9;12;22;3;26;7;8;31;15;23;19;10;30;4;28236
4;28236;11;21;1;5;18;6;25;20;13;28;29;24;17;32;14;27;16;2;4;9;12;22;3;26;7;8;31;15;23;19;10;30
11;21;10;5;18;6;25;20;13;28;29;24;17;32;14;27;16;2;4;9;12;22;3;26;7;8;31;15;23;19;1;30;4;27376
4;27376;11;21;10;5;18;6;25;20;13;28;29;24;17;32;14;27;16;2;4;9;12;22;3;26;7;8;31;15;23;19;1;30
11;21;10;5;18;6;25;20;13;28;29;24;17;32;15;27;16;2;4;9;12;22;3;26;7;8;31;14;23;19;1;30;4;27556
4;27556;11;21;10;5;18;6;25;20;13;28;29;24;17;32;15;27;16;2;4;9;12;22;3;26;7;8;31;14;23;19;1;30
11;21;10;5;18;6;25;20;13;28;29;24;17;32;16;27;15;2;4;9;12;22;3;26;7;8;31;14;23;19;1;30;4;27256
4;27256;11;21;10;5;18;6;25;20;13;28;29;24;17;32;16;27;15;2;4;9;12;22;3;26;7;8;31;14;23;19;1;30
11;21;10;5;18;6;25;27;13;28;29;24;17;32;16;20;15;2;4;9;12;22;3;26;7;8;31;14;23;19;1;30;4;27536
4;27536;11;21;10;5;18;6;25;27;13;28;29;24;17;32;16;20;15;2;4;9;12;22;3;26;7;8;31;14;23;19;1;30
11;15;10;5;18;6;25;27;13;28;29;24;17;32;16;20;21;2;4;9;12;22;3;26;7;8;31;14;23;19;1;30;4;27170
4;27170;11;15;10;5;18;6;25;27;13;28;29;24;17;32;16;20;21;2;4;9;12;22;3;26;7;8;31;14;23;19;1;30
32;15;10;5;18;6;25;27;13;28;29;24;17;11;16;20;21;2;4;9;12;22;3;26;7;8;31;14;23;19;1;30;4;27466
4;27466;32;15;10;5;18;6;25;27;13;28;29;24;17;11;16;20;21;2;4;9;12;22;3;26;7;8;31;14;23;19;1;30
32;15;10;5;17;6;25;27;13;28;29;24;18;11;16;20;21;2;4;9;12;22;3;26;7;8;31;14;23;19;1;30;4;27726
5;27726;32;15;10;5;17;6;25;27;13;28;29;24;18;11;16;20;21;2;4;9;12;22;3;26;7;8;31;14;23;19;1;30
32;15;10;5;17;6;25;27;13;28;29;24;18;11;16;20;8;2;4;9;12;22;3;26;7;21;31;14;23;19;1;30;5;28994
5;28994;32;15;10;5;17;6;25;27;13;28;29;24;18;11;16;20;8;2;4;9;12;22;3;26;7;21;31;14;23;19;1;30
32;15;10;5;17;6;25;27;13;28;29;24;18;11;16;20;8;2;4;9;12;22;23;26;7;21;31;14;3;19;1;30;5;28718
5;28718;32;15;10;5;17;6;25;27;13;28;29;24;18;11;16;20;8;2;4;9;12;22;23;26;7;21;31;14;3;19;1;30
32;15;10;5;17;6;25;27;13;28;9;24;18;11;16;20;8;2;4;29;12;22;23;26;7;21;31;14;3;19;1;30;5;29070
5;29070;32;15;10;5;17;6;25;27;13;28;9;24;18;11;16;20;8;2;4;29;12;22;23;26;7;21;31;14;3;19;1;30
32;15;10;5;17;19;25;27;13;28;9;24;18;11;16;20;8;2;4;29;12;22;23;26;7;21;31;14;3;6;1;30;5;29436
5;29436;32;15;10;5;17;19;25;27;13;28;9;24;18;11;16;20;8;2;4;29;12;22;23;26;7;21;31;14;3;6;1;30
9;15;10;5;17;19;25;27;13;28;32;24;18;11;16;20;8;2;4;29;12;22;23;26;7;21;31;14;3;6;1;30;5;29224
5;29224;9;15;10;5;17;19;25;27;13;28;32;24;18;11;16;20;8;2;4;29;12;22;23;26;7;21;31;14;3;6;1;30
9;15;10;5;17;19;1;27;13;28;32;24;18;11;16;20;8;2;4;29;12;22;23;26;7;21;31;14;3;6;25;30;5;30134
5;30134;9;15;10;5;17;19;1;27;13;28;32;24;18;11;16;20;8;2;4;29;12;22;23;26;7;21;31;14;3;6;25;30
9;15;10;5;17;19;1;27;13;28;32;2;18;11;16;20;8;24;4;29;12;22;23;26;7;21;31;14;3;6;25;30;5;30024
5;30024;9;15;10;5;17;19;1;27;13;28;32;2;18;11;16;20;8;24;4;29;12;22;23;26;7;21;31;14;3;6;25;30
9;25;10;5;17;19;1;27;13;28;32;2;18;11;16;20;8;24;4;29;12;22;23;26;7;21;31;14;3;6;15;30;5;29334
5;29334;9;25;10;5;17;19;1;27;13;28;32;2;18;11;16;20;8;24;4;29;12;22;23;26;7;21;31;14;3;6;15;30
9;25;10;5;17;19;1;27;8;28;32;2;18;11;16;20;13;24;4;29;12;22;23;26;7;21;31;14;3;6;15;30;5;29874
5;29874;9;25;10;5;17;19;1;27;8;28;32;2;18;11;16;20;13;24;4;29;12;22;23;26;7;21;31;14;3;6;15;30
9;25;10;26;17;19;1;27;8;28;32;2;18;11;16;20;13;24;4;29;12;22;23;5;7;21;31;14;3;6;15;30;5;29380
5;29380;9;25;10;26;17;19;1;27;8;28;32;2;18;11;16;20;13;24;4;29;12;22;23;5;7;21;31;14;3;6;15;30
9;25;10;26;17;23;1;27;8;28;32;2;18;11;16;20;13;24;4;29;12;22;19;5;7;21;31;14;3;6;15;30;5;29020
5;29020;9;25;10;26;17;23;1;27;8;28;32;2;18;11;16;20;13;24;4;29;12;22;19;5;7;21;31;14;3;6;15;30
9;25;10;11;17;23;1;27;8;28;32;2;18;26;16;20;13;24;4;29;12;22;19;5;7;21;31;14;3;6;15;30;5;28706
5;28706;9;25;10;11;17;23;1;27;8;28;32;2;18;26;16;20;13;24;4;29;12;22;19;5;7;21;31;14;3;6;15;30
9;25;10;11;17;23;1;8;27;28;32;2;18;26;16;20;13;24;4;29;12;22;19;5;7;21;31;14;3;6;15;30;5;28780
5;28780;9;25;10;11;17;23;1;8;27;28;32;2;18;26;16;20;13;24;4;29;12;22;19;5;7;21;31;14;3;6;15;30
9;25;10;11;17;23;1;8;27;28;32;22;18;26;16;20;13;24;4;29;12;2;19;5;7;21;31;14;3;6;15;30;5;28782
5;28782;9;25;10;11;17;23;1;8;27;28;32;22;18;26;16;20;13;24;4;29;12;2;19;5;7;21;31;14;3;6;15;30
9;25;10;11;17;23;1;8;27;28;32;22;18;26;16;20;13;24;4;29;12;2;19;5;7;21;31;14;3;6;30;15;5;28782
5;28782;9;25;10;11;17;23;1;8;27;28;32;22;18;26;16;20;13;24;4;29;12;2;19;5;7;21;31;14;3;6;30;15
9;25;10;11;17;23;1;8;27;28;32;22;18;26;16;5;13;24;4;29;12;2;19;20;7;21;31;14;3;6;30;15;5;28270
5;28270;9;25;10;11;17;23;1;8;27;28;32;22;18;26;16;5;13;24;4;29;12;2;19;20;7;21;31;14;3;6;30;15
9;25;10;11;17;23;1;8;27;28;32;22;18;26;16;5;13;24;4;29;12;2;19;20;7;21;31;14;3;15;30;6;5;28510
5;28510;9;25;10;11;17;23;1;8;27;28;32;22;18;26;16;5;13;24;4;29;12;2;19;20;7;21;31;14;3;15;30;6
9;25;10;11;17;23;1;8;27;28;32;22;18;26;20;5;13;24;4;29;12;2;19;16;7;21;31;14;3;15;30;6;5;28632
5;28632;9;25;10;11;17;23;1;8;27;28;32;22;18;26;20;5;13;24;4;29;12;2;19;16;7;21;31;14;3;15;30;6
9;25;10;11;17;23;1;8;27;28;32;22;18;26;20;5;13;24;4;29;12;2;19;16;3;21;31;14;7;15;30;6;5;28692
