"X1";"X254";"X46";"X22";"X60";"X57";"X51";"X19";"X41";"X21";"X29";"X38";"X49";"X40";"X1.1";"X36";"X43";"X10";"X50";"X6";"X16";"X30";"X15";"X62";"X3";"X14";"X37";"X27";"X13";"X34";"X11";"X59";"X44";"X63";"X8";"X18";"X32";"X7";"X39";"X42";"X9";"X24";"X23";"X5";"X31";"X54";"X26";"X56";"X35";"X61";"X58";"X53";"X55";"X2";"X64";"X12";"X25";"X45";"X33";"X52";"X48";"X20";"X28";"X4";"X47";"X17"
61;22;60;57;51;42;41;21;52;38;49;26;1;36;43;10;17;6;13;30;32;62;11;50;37;27;16;34;3;64;44;63;59;18;15;5;39;19;9;24;23;7;31;46;12;56;35;54;58;53;55;2;8;40;25;45;33;29;48;20;28;4;47;14;1;280
1;280;61;22;60;57;51;42;41;21;52;38;49;26;1;36;43;10;17;6;13;30;32;62;11;50;37;27;16;34;3;64;44;63;59;18;15;5;39;19;9;24;23;7;31;46;12;56;35;54;58;53;55;2;8;40;25;45;33;29;48;20;28;4;47;14
61;22;60;57;51;42;41;21;52;38;49;26;1;36;43;10;17;39;13;30;32;62;11;50;37;27;16;34;3;64;44;63;59;18;15;5;6;19;9;24;23;7;31;46;12;56;35;54;58;53;55;2;8;40;25;45;33;29;48;20;28;4;47;14;1;280
1;280;61;22;60;57;51;42;41;21;52;38;49;26;1;36;43;10;17;39;13;30;32;62;11;50;37;27;16;34;3;64;44;63;59;18;15;5;6;19;9;24;23;7;31;46;12;56;35;54;58;53;55;2;8;40;25;45;33;29;48;20;28;4;47;14
61;22;60;57;51;42;41;21;52;38;49;26;1;36;43;10;17;39;13;30;32;14;11;50;37;27;16;34;3;64;44;63;59;18;15;5;6;19;9;24;23;7;31;46;12;56;35;54;58;53;55;2;8;40;25;45;33;29;48;20;28;4;47;62;1;280
1;280;61;22;60;57;51;42;41;21;52;38;49;26;1;36;43;10;17;39;13;30;32;14;11;50;37;27;16;34;3;64;44;63;59;18;15;5;6;19;9;24;23;7;31;46;12;56;35;54;58;53;55;2;8;40;25;45;33;29;48;20;28;4;47;62
61;22;60;57;51;42;41;21;52;38;49;26;1;36;43;10;17;39;13;30;32;14;11;50;37;27;16;34;3;64;47;63;59;18;15;5;6;19;9;24;23;7;31;46;12;56;35;54;58;53;55;2;8;40;25;45;33;29;48;20;28;4;44;62;1;280
1;280;61;22;60;57;51;42;41;21;52;38;49;26;1;36;43;10;17;39;13;30;32;14;11;50;37;27;16;34;3;64;47;63;59;18;15;5;6;19;9;24;23;7;31;46;12;56;35;54;58;53;55;2;8;40;25;45;33;29;48;20;28;4;44;62
61;22;60;57;51;42;41;21;52;38;49;26;1;36;43;10;17;39;13;30;32;14;11;50;37;27;16;34;3;64;47;63;59;18;15;5;6;19;9;24;23;7;8;46;12;56;35;54;58;53;55;2;31;40;25;45;33;29;48;20;28;4;44;62;1;280
1;280;61;22;60;57;51;42;41;21;52;38;49;26;1;36;43;10;17;39;13;30;32;14;11;50;37;27;16;34;3;64;47;63;59;18;15;5;6;19;9;24;23;7;8;46;12;56;35;54;58;53;55;2;31;40;25;45;33;29;48;20;28;4;44;62
61;22;60;57;51;42;41;21;52;38;1;26;49;36;43;10;17;39;13;30;32;14;11;50;37;27;16;34;3;64;47;63;59;18;15;5;6;19;9;24;23;7;8;46;12;56;35;54;58;53;55;2;31;40;25;45;33;29;48;20;28;4;44;62;1;276
1;276;61;22;60;57;51;42;41;21;52;38;1;26;49;36;43;10;17;39;13;30;32;14;11;50;37;27;16;34;3;64;47;63;59;18;15;5;6;19;9;24;23;7;8;46;12;56;35;54;58;53;55;2;31;40;25;45;33;29;48;20;28;4;44;62
61;22;60;57;51;42;41;21;52;38;1;26;49;36;43;10;17;39;13;30;32;14;11;50;37;27;16;48;3;64;47;63;59;18;15;5;6;19;9;24;23;7;8;46;12;56;35;54;58;53;55;2;31;40;25;45;33;29;34;20;28;4;44;62;1;264
2;264;61;22;60;57;51;42;41;21;52;38;1;26;49;36;43;10;17;39;13;30;32;14;11;50;37;27;16;48;3;64;47;63;59;18;15;5;6;19;9;24;23;7;8;46;12;56;35;54;58;53;55;2;31;40;25;45;33;29;34;20;28;4;44;62
61;22;60;57;51;42;41;21;52;38;1;26;49;36;43;10;17;39;13;30;32;14;11;50;37;27;16;48;3;64;47;63;59;18;15;5;6;19;9;24;23;53;8;46;12;56;35;54;58;7;55;2;31;40;25;45;33;29;34;20;28;4;44;62;2;264
2;264;61;22;60;57;51;42;41;21;52;38;1;26;49;36;43;10;17;39;13;30;32;14;11;50;37;27;16;48;3;64;47;63;59;18;15;5;6;19;9;24;23;53;8;46;12;56;35;54;58;7;55;2;31;40;25;45;33;29;34;20;28;4;44;62
61;22;60;57;51;42;41;21;52;38;1;17;49;36;43;10;26;39;13;30;32;14;11;50;37;27;16;48;3;64;47;63;59;18;15;5;6;19;9;24;23;53;8;46;12;56;35;54;58;7;55;2;31;40;25;45;33;29;34;20;28;4;44;62;2;264
2;264;61;22;60;57;51;42;41;21;52;38;1;17;49;36;43;10;26;39;13;30;32;14;11;50;37;27;16;48;3;64;47;63;59;18;15;5;6;19;9;24;23;53;8;46;12;56;35;54;58;7;55;2;31;40;25;45;33;29;34;20;28;4;44;62
61;22;60;57;51;42;41;21;52;38;1;17;49;36;10;43;26;39;13;30;32;14;11;50;37;27;16;48;3;64;47;63;59;18;15;5;6;19;9;24;23;53;8;46;12;56;35;54;58;7;55;2;31;40;25;45;33;29;34;20;28;4;44;62;2;246
2;246;61;22;60;57;51;42;41;21;52;38;1;17;49;36;10;43;26;39;13;30;32;14;11;50;37;27;16;48;3;64;47;63;59;18;15;5;6;19;9;24;23;53;8;46;12;56;35;54;58;7;55;2;31;40;25;45;33;29;34;20;28;4;44;62
61;22;60;57;51;42;41;21;52;38;1;17;49;36;10;40;26;39;13;30;32;14;11;50;37;27;16;48;3;64;47;63;59;18;15;5;6;19;9;24;23;53;8;46;12;56;35;54;58;7;55;2;31;43;25;45;33;29;34;20;28;4;44;62;2;246
2;246;61;22;60;57;51;42;41;21;52;38;1;17;49;36;10;40;26;39;13;30;32;14;11;50;37;27;16;48;3;64;47;63;59;18;15;5;6;19;9;24;23;53;8;46;12;56;35;54;58;7;55;2;31;43;25;45;33;29;34;20;28;4;44;62
61;22;60;57;51;42;41;21;52;38;1;17;49;36;10;40;26;13;39;30;32;14;11;50;37;27;16;48;3;64;47;63;59;18;15;5;6;19;9;24;23;53;8;46;12;56;35;54;58;7;55;2;31;43;25;45;33;29;34;20;28;4;44;62;2;254
2;254;61;22;60;57;51;42;41;21;52;38;1;17;49;36;10;40;26;13;39;30;32;14;11;50;37;27;16;48;3;64;47;63;59;18;15;5;6;19;9;24;23;53;8;46;12;56;35;54;58;7;55;2;31;43;25;45;33;29;34;20;28;4;44;62
61;22;60;57;51;42;41;21;52;55;1;17;49;36;10;40;26;13;39;30;32;14;11;50;37;27;16;48;3;64;47;63;59;18;15;5;6;19;9;24;23;53;8;46;12;56;35;54;58;7;38;2;31;43;25;45;33;29;34;20;28;4;44;62;2;278
2;278;61;22;60;57;51;42;41;21;52;55;1;17;49;36;10;40;26;13;39;30;32;14;11;50;37;27;16;48;3;64;47;63;59;18;15;5;6;19;9;24;23;53;8;46;12;56;35;54;58;7;38;2;31;43;25;45;33;29;34;20;28;4;44;62
61;22;60;57;38;42;41;21;52;55;1;17;49;36;10;40;26;13;39;30;32;14;11;50;37;27;16;48;3;64;47;63;59;18;15;5;6;19;9;24;23;53;8;46;12;56;35;54;58;7;51;2;31;43;25;45;33;29;34;20;28;4;44;62;2;278
2;278;61;22;60;57;38;42;41;21;52;55;1;17;49;36;10;40;26;13;39;30;32;14;11;50;37;27;16;48;3;64;47;63;59;18;15;5;6;19;9;24;23;53;8;46;12;56;35;54;58;7;51;2;31;43;25;45;33;29;34;20;28;4;44;62
61;22;60;57;38;42;41;21;52;55;1;17;49;36;10;40;26;13;39;47;32;14;11;50;37;27;16;48;3;64;30;63;59;18;15;5;6;19;9;24;23;53;8;46;12;56;35;54;58;7;51;2;31;43;25;45;33;29;34;20;28;4;44;62;2;274
2;274;61;22;60;57;38;42;41;21;52;55;1;17;49;36;10;40;26;13;39;47;32;14;11;50;37;27;16;48;3;64;30;63;59;18;15;5;6;19;9;24;23;53;8;46;12;56;35;54;58;7;51;2;31;43;25;45;33;29;34;20;28;4;44;62
61;22;60;57;38;42;41;21;52;55;1;17;49;36;10;40;26;13;39;47;32;14;11;50;37;27;16;48;3;64;30;63;59;18;15;5;6;19;9;24;23;53;8;46;12;56;35;54;58;7;51;2;31;43;25;45;33;29;34;44;28;4;20;62;2;274
2;274;61;22;60;57;38;42;41;21;52;55;1;17;49;36;10;40;26;13;39;47;32;14;11;50;37;27;16;48;3;64;30;63;59;18;15;5;6;19;9;24;23;53;8;46;12;56;35;54;58;7;51;2;31;43;25;45;33;29;34;44;28;4;20;62
61;22;60;57;38;42;41;21;52;55;1;17;49;36;10;40;26;13;39;47;32;14;11;50;37;27;16;48;3;64;30;63;59;18;15;5;6;19;9;24;23;53;8;46;12;56;58;54;35;7;51;2;31;43;25;45;33;29;34;44;28;4;20;62;2;274
2;274;61;22;60;57;38;42;41;21;52;55;1;17;49;36;10;40;26;13;39;47;32;14;11;50;37;27;16;48;3;64;30;63;59;18;15;5;6;19;9;24;23;53;8;46;12;56;58;54;35;7;51;2;31;43;25;45;33;29;34;44;28;4;20;62
61;22;60;57;38;42;41;21;52;55;1;17;49;36;10;40;26;13;59;47;32;14;11;50;37;27;16;48;3;64;30;63;39;18;15;5;6;19;9;24;23;53;8;46;12;56;58;54;35;7;51;2;31;43;25;45;33;29;34;44;28;4;20;62;2;280
2;280;61;22;60;57;38;42;41;21;52;55;1;17;49;36;10;40;26;13;59;47;32;14;11;50;37;27;16;48;3;64;30;63;39;18;15;5;6;19;9;24;23;53;8;46;12;56;58;54;35;7;51;2;31;43;25;45;33;29;34;44;28;4;20;62
61;22;60;57;38;42;41;21;52;55;1;17;49;36;10;40;26;13;59;47;32;14;7;50;37;27;16;48;3;64;30;63;39;18;15;5;6;19;9;24;23;53;8;46;12;56;58;54;35;11;51;2;31;43;25;45;33;29;34;44;28;4;20;62;2;280
2;280;61;22;60;57;38;42;41;21;52;55;1;17;49;36;10;40;26;13;59;47;32;14;7;50;37;27;16;48;3;64;30;63;39;18;15;5;6;19;9;24;23;53;8;46;12;56;58;54;35;11;51;2;31;43;25;45;33;29;34;44;28;4;20;62
61;22;60;57;38;42;41;21;52;55;1;17;49;36;10;26;40;13;59;47;32;14;7;50;37;27;16;48;3;64;30;63;39;18;15;5;6;19;9;24;23;53;8;46;12;56;58;54;35;11;51;2;31;43;25;45;33;29;34;44;28;4;20;62;2;272
2;272;61;22;60;57;38;42;41;21;52;55;1;17;49;36;10;26;40;13;59;47;32;14;7;50;37;27;16;48;3;64;30;63;39;18;15;5;6;19;9;24;23;53;8;46;12;56;58;54;35;11;51;2;31;43;25;45;33;29;34;44;28;4;20;62
61;22;60;57;38;42;41;21;52;55;1;17;49;36;10;26;40;13;59;47;32;14;7;50;37;27;16;48;3;64;30;63;39;18;15;5;6;19;9;24;23;53;8;46;12;56;31;54;35;11;51;2;58;43;25;45;33;29;34;44;28;4;20;62;2;272
2;272;61;22;60;57;38;42;41;21;52;55;1;17;49;36;10;26;40;13;59;47;32;14;7;50;37;27;16;48;3;64;30;63;39;18;15;5;6;19;9;24;23;53;8;46;12;56;31;54;35;11;51;2;58;43;25;45;33;29;34;44;28;4;20;62
61;22;60;57;38;23;41;21;52;55;1;17;49;36;10;26;40;13;59;47;32;14;7;50;37;27;16;48;3;64;30;63;39;18;15;5;6;19;9;24;42;53;8;46;12;56;31;54;35;11;51;2;58;43;25;45;33;29;34;44;28;4;20;62;2;272
2;272;61;22;60;57;38;23;41;21;52;55;1;17;49;36;10;26;40;13;59;47;32;14;7;50;37;27;16;48;3;64;30;63;39;18;15;5;6;19;9;24;42;53;8;46;12;56;31;54;35;11;51;2;58;43;25;45;33;29;34;44;28;4;20;62
61;22;60;57;38;23;27;21;52;55;1;17;49;36;10;26;40;13;59;47;32;14;7;50;37;41;16;48;3;64;30;63;39;18;15;5;6;19;9;24;42;53;8;46;12;56;31;54;35;11;51;2;58;43;25;45;33;29;34;44;28;4;20;62;2;272
2;272;61;22;60;57;38;23;27;21;52;55;1;17;49;36;10;26;40;13;59;47;32;14;7;50;37;41;16;48;3;64;30;63;39;18;15;5;6;19;9;24;42;53;8;46;12;56;31;54;35;11;51;2;58;43;25;45;33;29;34;44;28;4;20;62
61;22;60;57;38;23;27;21;52;55;1;17;49;36;10;26;40;13;59;47;32;14;7;50;37;41;18;48;3;64;30;63;39;16;15;5;6;19;9;24;42;53;8;46;12;56;31;54;35;11;51;2;58;43;25;45;33;29;34;44;28;4;20;62;2;280
2;280;61;22;60;57;38;23;27;21;52;55;1;17;49;36;10;26;40;13;59;47;32;14;7;50;37;41;18;48;3;64;30;63;39;16;15;5;6;19;9;24;42;53;8;46;12;56;31;54;35;11;51;2;58;43;25;45;33;29;34;44;28;4;20;62
61;22;60;57;38;23;27;21;52;55;50;17;49;36;10;26;40;13;59;47;32;14;7;1;37;41;18;48;3;64;30;63;39;16;15;5;6;19;9;24;42;53;8;46;12;56;31;54;35;11;51;2;58;43;25;45;33;29;34;44;28;4;20;62;2;272
2;272;61;22;60;57;38;23;27;21;52;55;50;17;49;36;10;26;40;13;59;47;32;14;7;1;37;41;18;48;3;64;30;63;39;16;15;5;6;19;9;24;42;53;8;46;12;56;31;54;35;11;51;2;58;43;25;45;33;29;34;44;28;4;20;62
61;22;60;57;38;23;27;21;52;55;50;17;49;36;10;58;40;13;59;47;32;14;7;1;37;41;18;48;3;64;30;63;39;16;15;5;6;19;9;24;42;53;8;46;12;56;31;54;35;11;51;2;26;43;25;45;33;29;34;44;28;4;20;62;2;272
2;272;61;22;60;57;38;23;27;21;52;55;50;17;49;36;10;58;40;13;59;47;32;14;7;1;37;41;18;48;3;64;30;63;39;16;15;5;6;19;9;24;42;53;8;46;12;56;31;54;35;11;51;2;26;43;25;45;33;29;34;44;28;4;20;62
61;22;60;57;38;23;27;13;52;55;50;17;49;36;10;58;40;21;59;47;32;14;7;1;37;41;18;48;3;64;30;63;39;16;15;5;6;19;9;24;42;53;8;46;12;56;31;54;35;11;51;2;26;43;25;45;33;29;34;44;28;4;20;62;2;280
3;280;61;22;60;57;38;23;27;13;52;55;50;17;49;36;10;58;40;21;59;47;32;14;7;1;37;41;18;48;3;64;30;63;39;16;15;5;6;19;9;24;42;53;8;46;12;56;31;54;35;11;51;2;26;43;25;45;33;29;34;44;28;4;20;62
61;22;60;57;38;23;27;13;52;55;50;17;49;36;10;58;40;21;59;47;32;14;7;1;37;41;18;48;3;64;30;63;39;16;15;5;6;19;9;24;42;53;8;46;12;56;31;54;34;11;51;2;26;43;25;45;33;29;35;44;28;4;20;62;3;280
3;280;61;22;60;57;38;23;27;13;52;55;50;17;49;36;10;58;40;21;59;47;32;14;7;1;37;41;18;48;3;64;30;63;39;16;15;5;6;19;9;24;42;53;8;46;12;56;31;54;34;11;51;2;26;43;25;45;33;29;35;44;28;4;20;62
61;22;60;57;38;23;27;13;52;55;50;17;49;36;10;58;40;21;34;47;32;14;7;1;37;41;18;48;3;64;30;63;39;16;15;5;6;19;9;24;42;53;8;46;12;56;31;54;59;11;51;2;26;43;25;45;33;29;35;44;28;4;20;62;3;260
3;260;61;22;60;57;38;23;27;13;52;55;50;17;49;36;10;58;40;21;34;47;32;14;7;1;37;41;18;48;3;64;30;63;39;16;15;5;6;19;9;24;42;53;8;46;12;56;31;54;59;11;51;2;26;43;25;45;33;29;35;44;28;4;20;62
61;22;60;57;38;23;27;13;52;55;58;17;49;36;10;50;40;21;34;47;32;14;7;1;37;41;18;48;3;64;30;63;39;16;15;5;6;19;9;24;42;53;8;46;12;56;31;54;59;11;51;2;26;43;25;45;33;29;35;44;28;4;20;62;3;268
3;260;61;22;60;57;38;23;27;13;52;55;50;17;49;36;10;58;40;21;34;47;32;14;7;1;37;41;18;48;3;64;30;63;39;16;15;5;6;19;9;24;42;53;8;46;12;56;31;54;59;11;51;2;26;43;25;45;33;29;35;44;28;4;20;62
61;22;60;57;38;62;27;13;52;55;50;17;49;36;10;58;40;21;34;47;32;14;7;1;37;41;18;48;3;64;30;63;39;16;15;5;6;19;9;24;42;53;8;46;12;56;31;54;59;11;51;2;26;43;25;45;33;29;35;44;28;4;20;23;3;244
3;244;61;22;60;57;38;62;27;13;52;55;50;17;49;36;10;58;40;21;34;47;32;14;7;1;37;41;18;48;3;64;30;63;39;16;15;5;6;19;9;24;42;53;8;46;12;56;31;54;59;11;51;2;26;43;25;45;33;29;35;44;28;4;20;23
61;22;60;57;5;62;27;13;52;55;50;17;49;36;10;58;40;21;34;47;32;14;7;1;37;41;18;48;3;64;30;63;39;16;15;38;6;19;9;24;42;53;8;46;12;56;31;54;59;11;51;2;26;43;25;45;33;29;35;44;28;4;20;23;3;244
3;244;61;22;60;57;5;62;27;13;52;55;50;17;49;36;10;58;40;21;34;47;32;14;7;1;37;41;18;48;3;64;30;63;39;16;15;38;6;19;9;24;42;53;8;46;12;56;31;54;59;11;51;2;26;43;25;45;33;29;35;44;28;4;20;23
61;22;60;57;5;62;27;13;52;55;50;17;49;30;10;58;40;21;34;47;32;14;7;1;37;41;18;48;3;64;36;63;39;16;15;38;6;19;9;24;42;53;8;46;12;56;31;54;59;11;51;2;26;43;25;45;33;29;35;44;28;4;20;23;3;236
3;236;61;22;60;57;5;62;27;13;52;55;50;17;49;30;10;58;40;21;34;47;32;14;7;1;37;41;18;48;3;64;36;63;39;16;15;38;6;19;9;24;42;53;8;46;12;56;31;54;59;11;51;2;26;43;25;45;33;29;35;44;28;4;20;23
61;22;60;57;5;62;27;13;52;55;50;17;49;30;10;58;40;21;34;47;32;14;7;1;37;41;18;48;3;64;36;63;39;9;15;38;6;19;16;24;42;53;8;46;12;56;31;54;59;11;51;2;26;43;25;45;33;29;35;44;28;4;20;23;3;242
3;242;61;22;60;57;5;62;27;13;52;55;50;17;49;30;10;58;40;21;34;47;32;14;7;1;37;41;18;48;3;64;36;63;39;9;15;38;6;19;16;24;42;53;8;46;12;56;31;54;59;11;51;2;26;43;25;45;33;29;35;44;28;4;20;23
61;22;19;57;5;62;27;13;52;55;50;17;49;30;10;58;40;21;34;47;32;14;7;1;37;41;18;48;3;64;36;63;39;9;15;38;6;60;16;24;42;53;8;46;12;56;31;54;59;11;51;2;26;43;25;45;33;29;35;44;28;4;20;23;3;248
3;248;61;22;19;57;5;62;27;13;52;55;50;17;49;30;10;58;40;21;34;47;32;14;7;1;37;41;18;48;3;64;36;63;39;9;15;38;6;60;16;24;42;53;8;46;12;56;31;54;59;11;51;2;26;43;25;45;33;29;35;44;28;4;20;23
61;22;19;57;5;62;27;13;52;55;50;17;49;30;10;59;40;21;34;47;32;14;7;1;37;41;18;48;3;64;36;63;39;9;15;38;6;60;16;24;42;53;8;46;12;56;31;54;58;11;51;2;26;43;25;45;33;29;35;44;28;4;20;23;3;248
3;248;61;22;19;57;5;62;27;13;52;55;50;17;49;30;10;59;40;21;34;47;32;14;7;1;37;41;18;48;3;64;36;63;39;9;15;38;6;60;16;24;42;53;8;46;12;56;31;54;58;11;51;2;26;43;25;45;33;29;35;44;28;4;20;23
61;22;19;57;5;62;27;13;52;55;50;17;48;30;10;59;40;21;34;47;32;14;7;1;37;41;18;49;3;64;36;63;39;9;15;38;6;60;16;24;42;53;8;46;12;56;31;54;58;11;51;2;26;43;25;45;33;29;35;44;28;4;20;23;3;256
3;248;61;22;19;57;5;62;27;13;52;55;50;17;49;30;10;59;40;21;34;47;32;14;7;1;37;41;18;48;3;64;36;63;39;9;15;38;6;60;16;24;42;53;8;46;12;56;31;54;58;11;51;2;26;43;25;45;33;29;35;44;28;4;20;23
61;22;19;57;5;62;27;13;52;55;50;17;49;30;10;59;40;21;34;47;32;14;7;1;37;41;18;48;3;64;36;63;39;9;15;38;6;60;16;24;42;56;8;46;12;53;31;54;58;11;51;2;26;43;25;45;33;29;35;44;28;4;20;23;3;248
