"X1";"X5957337";"X11";"X8";"X17";"X24";"X10";"X23";"X7";"X18";"X21";"X22";"X26";"X1.1";"X4";"X20";"X15";"X12";"X6";"X25";"X9";"X14";"X5";"X2";"X19";"X13";"X16";"X3"
20;16;17;24;15;11;7;6;21;1;26;9;8;22;19;12;18;25;23;10;5;2;3;13;4;14;1;6004019
1;6004019;20;16;17;24;15;11;7;6;21;1;26;9;8;22;19;12;18;25;23;10;5;2;3;13;4;14
20;16;17;24;15;11;7;6;21;4;26;9;8;22;19;12;18;25;23;10;5;2;3;13;1;14;1;6030667
1;6030667;20;16;17;24;15;11;7;6;21;4;26;9;8;22;19;12;18;25;23;10;5;2;3;13;1;14
20;16;17;24;15;11;7;6;21;4;25;9;8;22;19;12;18;26;23;10;5;2;3;13;1;14;1;6025828
1;6025828;20;16;17;24;15;11;7;6;21;4;25;9;8;22;19;12;18;26;23;10;5;2;3;13;1;14
11;16;17;24;15;20;7;6;21;4;25;9;8;22;19;12;18;26;23;10;5;2;3;13;1;14;1;6000318
1;6000318;11;16;17;24;15;20;7;6;21;4;25;9;8;22;19;12;18;26;23;10;5;2;3;13;1;14
11;16;17;24;1;20;7;6;21;4;25;9;8;22;19;12;18;26;23;10;5;2;3;13;15;14;1;5945088
1;5945088;11;16;17;24;1;20;7;6;21;4;25;9;8;22;19;12;18;26;23;10;5;2;3;13;15;14
11;16;17;24;1;20;7;6;21;4;25;9;8;22;19;12;18;26;23;5;10;2;3;13;15;14;1;5918660
1;5918660;11;16;17;24;1;20;7;6;21;4;25;9;8;22;19;12;18;26;23;5;10;2;3;13;15;14
11;16;17;24;1;20;7;6;21;4;25;9;8;22;19;12;18;23;26;5;10;2;3;13;15;14;1;5918420
1;5918420;11;16;17;24;1;20;7;6;21;4;25;9;8;22;19;12;18;23;26;5;10;2;3;13;15;14
11;16;17;24;1;20;7;6;21;4;25;9;8;22;19;12;5;23;26;18;10;2;3;13;15;14;1;5982696
1;5982696;11;16;17;24;1;20;7;6;21;4;25;9;8;22;19;12;5;23;26;18;10;2;3;13;15;14
11;16;17;24;15;20;7;6;21;4;25;9;8;22;19;12;5;23;26;18;10;2;3;13;1;14;1;6030039
2;6030039;11;16;17;24;15;20;7;6;21;4;25;9;8;22;19;12;5;23;26;18;10;2;3;13;1;14
11;16;17;24;15;13;7;6;21;4;25;9;8;22;19;12;5;23;26;18;10;2;3;20;1;14;2;6032873
2;6032873;11;16;17;24;15;13;7;6;21;4;25;9;8;22;19;12;5;23;26;18;10;2;3;20;1;14
11;16;17;24;26;13;7;6;21;4;25;9;8;22;19;12;5;23;15;18;10;2;3;20;1;14;2;6003153
2;6003153;11;16;17;24;26;13;7;6;21;4;25;9;8;22;19;12;5;23;15;18;10;2;3;20;1;14
11;16;18;24;26;13;7;6;21;4;25;9;8;22;19;12;5;23;15;17;10;2;3;20;1;14;2;5992230
2;5992230;11;16;18;24;26;13;7;6;21;4;25;9;8;22;19;12;5;23;15;17;10;2;3;20;1;14
11;9;18;24;26;13;7;6;21;4;25;16;8;22;19;12;5;23;15;17;10;2;3;20;1;14;2;6020072
2;6020072;11;9;18;24;26;13;7;6;21;4;25;16;8;22;19;12;5;23;15;17;10;2;3;20;1;14
11;9;18;24;26;13;7;6;21;4;25;2;8;22;19;12;5;23;15;17;10;16;3;20;1;14;2;6023894
2;6023894;11;9;18;24;26;13;7;6;21;4;25;2;8;22;19;12;5;23;15;17;10;16;3;20;1;14
11;9;18;24;26;13;7;6;21;4;25;2;8;14;19;12;5;23;15;17;10;16;3;20;1;22;2;5823816
2;5823816;11;9;18;24;26;13;7;6;21;4;25;2;8;14;19;12;5;23;15;17;10;16;3;20;1;22
11;9;18;24;26;13;7;6;21;5;25;2;8;14;19;12;4;23;15;17;10;16;3;20;1;22;2;5850567
2;5850567;11;9;18;24;26;13;7;6;21;5;25;2;8;14;19;12;4;23;15;17;10;16;3;20;1;22
11;9;18;24;26;13;7;6;21;5;25;2;8;14;22;12;4;23;15;17;10;16;3;20;1;19;2;5822767
2;5822767;11;9;18;24;26;13;7;6;21;5;25;2;8;14;22;12;4;23;15;17;10;16;3;20;1;19
11;9;18;24;26;13;7;6;21;5;25;2;8;14;17;12;4;23;15;22;10;16;3;20;1;19;2;5823626
2;5823626;11;9;18;24;26;13;7;6;21;5;25;2;8;14;17;12;4;23;15;22;10;16;3;20;1;19
11;9;18;25;26;13;7;6;21;5;24;2;8;14;17;12;4;23;15;22;10;16;3;20;1;19;2;5824054
2;5824054;11;9;18;25;26;13;7;6;21;5;24;2;8;14;17;12;4;23;15;22;10;16;3;20;1;19
11;9;18;25;26;13;7;6;21;5;24;2;19;14;17;12;4;23;15;22;10;16;3;20;1;8;2;5843641
2;5843641;11;9;18;25;26;13;7;6;21;5;24;2;19;14;17;12;4;23;15;22;10;16;3;20;1;8
11;9;18;25;26;13;7;6;21;5;24;2;19;14;17;12;4;23;15;10;22;16;3;20;1;8;2;5846241
2;5846241;11;9;18;25;26;13;7;6;21;5;24;2;19;14;17;12;4;23;15;10;22;16;3;20;1;8
11;9;18;25;26;13;22;6;21;5;24;2;19;14;17;12;4;23;15;10;7;16;3;20;1;8;2;5849191
2;5849191;11;9;18;25;26;13;22;6;21;5;24;2;19;14;17;12;4;23;15;10;7;16;3;20;1;8
11;9;18;25;26;13;22;6;21;5;24;2;19;14;17;16;4;23;15;10;7;12;3;20;1;8;2;5833001
2;5833001;11;9;18;25;26;13;22;6;21;5;24;2;19;14;17;16;4;23;15;10;7;12;3;20;1;8
11;9;18;25;13;26;22;6;21;5;24;2;19;14;17;16;4;23;15;10;7;12;3;20;1;8;2;5800385
2;5800385;11;9;18;25;13;26;22;6;21;5;24;2;19;14;17;16;4;23;15;10;7;12;3;20;1;8
11;9;18;25;13;26;22;6;21;5;10;2;19;14;17;16;4;23;15;24;7;12;3;20;1;8;2;5799604
2;5799604;11;9;18;25;13;26;22;6;21;5;10;2;19;14;17;16;4;23;15;24;7;12;3;20;1;8
11;9;18;25;13;26;22;16;21;5;10;2;19;14;17;6;4;23;15;24;7;12;3;20;1;8;2;5799642
2;5799642;11;9;18;25;13;26;22;16;21;5;10;2;19;14;17;6;4;23;15;24;7;12;3;20;1;8
11;9;15;25;13;26;22;16;21;5;10;2;19;14;17;6;4;23;18;24;7;12;3;20;1;8;2;5827110
2;5827110;11;9;15;25;13;26;22;16;21;5;10;2;19;14;17;6;4;23;18;24;7;12;3;20;1;8
11;9;15;25;13;26;22;16;21;5;10;2;19;14;4;6;17;23;18;24;7;12;3;20;1;8;2;5820596
2;5820596;11;9;15;25;13;26;22;16;21;5;10;2;19;14;4;6;17;23;18;24;7;12;3;20;1;8
10;9;15;25;13;26;22;16;21;5;11;2;19;14;4;6;17;23;18;24;7;12;3;20;1;8;2;5811463
3;5811463;10;9;15;25;13;26;22;16;21;5;11;2;19;14;4;6;17;23;18;24;7;12;3;20;1;8
10;9;15;25;13;26;22;16;21;5;11;2;19;14;4;6;17;23;18;24;7;1;3;20;12;8;3;5830120
3;5830120;10;9;15;25;13;26;22;16;21;5;11;2;19;14;4;6;17;23;18;24;7;1;3;20;12;8
10;9;15;25;13;26;22;24;21;5;11;2;19;14;4;6;17;23;18;16;7;1;3;20;12;8;3;5842476
3;5842476;10;9;15;25;13;26;22;24;21;5;11;2;19;14;4;6;17;23;18;16;7;1;3;20;12;8
10;9;15;25;13;4;22;24;21;5;11;2;19;14;26;6;17;23;18;16;7;1;3;20;12;8;3;5837432
3;5837432;10;9;15;25;13;4;22;24;21;5;11;2;19;14;26;6;17;23;18;16;7;1;3;20;12;8
10;9;19;25;13;4;22;24;21;5;11;2;15;14;26;6;17;23;18;16;7;1;3;20;12;8;3;5864787
3;5864787;10;9;19;25;13;4;22;24;21;5;11;2;15;14;26;6;17;23;18;16;7;1;3;20;12;8
12;9;19;25;13;4;22;24;21;5;11;2;15;14;26;6;17;23;18;16;7;1;3;20;10;8;3;5883685
3;5883685;12;9;19;25;13;4;22;24;21;5;11;2;15;14;26;6;17;23;18;16;7;1;3;20;10;8
12;9;19;25;13;4;22;24;21;5;11;2;15;14;26;6;17;23;18;16;7;20;3;1;10;8;3;5921509
3;5921509;12;9;19;25;13;4;22;24;21;5;11;2;15;14;26;6;17;23;18;16;7;20;3;1;10;8
12;9;19;25;13;4;22;24;21;5;11;2;15;14;18;6;17;23;26;16;7;20;3;1;10;8;3;5966642
3;5966642;12;9;19;25;13;4;22;24;21;5;11;2;15;14;18;6;17;23;26;16;7;20;3;1;10;8
12;9;19;25;2;4;22;24;21;5;11;13;15;14;18;6;17;23;26;16;7;20;3;1;10;8;3;5966788
3;5966788;12;9;19;25;2;4;22;24;21;5;11;13;15;14;18;6;17;23;26;16;7;20;3;1;10;8
12;9;19;25;2;4;22;24;21;5;11;14;15;13;18;6;17;23;26;16;7;20;3;1;10;8;3;5992247
3;5992247;12;9;19;25;2;4;22;24;21;5;11;14;15;13;18;6;17;23;26;16;7;20;3;1;10;8
23;9;19;25;2;4;22;24;21;5;11;14;15;13;18;6;17;12;26;16;7;20;3;1;10;8;3;5949445
3;5949445;23;9;19;25;2;4;22;24;21;5;11;14;15;13;18;6;17;12;26;16;7;20;3;1;10;8
23;9;19;25;2;4;22;24;21;5;11;14;26;13;18;6;17;12;15;16;7;20;3;1;10;8;3;5922571
3;5922571;23;9;19;25;2;4;22;24;21;5;11;14;26;13;18;6;17;12;15;16;7;20;3;1;10;8
23;9;19;25;2;4;22;24;21;5;11;13;26;14;18;6;17;12;15;16;7;20;3;1;10;8;3;5897112
3;5897112;23;9;19;25;2;4;22;24;21;5;11;13;26;14;18;6;17;12;15;16;7;20;3;1;10;8
23;9;19;25;2;4;22;24;21;5;11;13;26;18;14;6;17;12;15;16;7;20;3;1;10;8;3;5905757
3;5905757;23;9;19;25;2;4;22;24;21;5;11;13;26;18;14;6;17;12;15;16;7;20;3;1;10;8
23;9;19;25;20;4;22;24;21;5;11;13;26;18;14;6;17;12;15;16;7;2;3;1;10;8;3;5857360
3;5857360;23;9;19;25;20;4;22;24;21;5;11;13;26;18;14;6;17;12;15;16;7;2;3;1;10;8
23;9;19;25;20;4;17;24;21;5;11;13;26;18;14;6;22;12;15;16;7;2;3;1;10;8;3;5856434
3;5856434;23;9;19;25;20;4;17;24;21;5;11;13;26;18;14;6;22;12;15;16;7;2;3;1;10;8
23;9;19;25;20;4;17;24;21;5;11;13;26;18;14;10;22;12;15;16;7;2;3;1;6;8;3;5861082
3;5861082;23;9;19;25;20;4;17;24;21;5;11;13;26;18;14;10;22;12;15;16;7;2;3;1;6;8
23;9;19;25;20;4;17;24;21;5;11;13;26;18;14;10;22;12;15;16;7;2;8;1;6;3;3;5853333
3;5853333;23;9;19;25;20;4;17;24;21;5;11;13;26;18;14;10;22;12;15;16;7;2;8;1;6;3
24;9;19;25;20;4;17;23;21;5;11;13;26;18;14;10;22;12;15;16;7;2;8;1;6;3;3;5846077
3;5846077;24;9;19;25;20;4;17;23;21;5;11;13;26;18;14;10;22;12;15;16;7;2;8;1;6;3
24;9;16;25;20;4;17;23;21;5;11;13;26;18;14;10;22;12;15;19;7;2;8;1;6;3;3;5863406
3;5863406;24;9;16;25;20;4;17;23;21;5;11;13;26;18;14;10;22;12;15;19;7;2;8;1;6;3
24;9;16;25;20;4;17;23;21;5;11;13;26;18;14;10;22;2;15;19;7;12;8;1;6;3;3;5916426
4;5916426;24;9;16;25;20;4;17;23;21;5;11;13;26;18;14;10;22;2;15;19;7;12;8;1;6;3
24;9;16;11;20;4;17;23;21;5;25;13;26;18;14;10;22;2;15;19;7;12;8;1;6;3;4;5932924
4;5932924;24;9;16;11;20;4;17;23;21;5;25;13;26;18;14;10;22;2;15;19;7;12;8;1;6;3
24;9;16;11;20;4;17;23;21;5;25;13;26;18;14;10;22;15;2;19;7;12;8;1;6;3;4;5937224
4;5937224;24;9;16;11;20;4;17;23;21;5;25;13;26;18;14;10;22;15;2;19;7;12;8;1;6;3
24;9;16;11;20;4;17;23;21;5;25;13;26;18;14;10;22;19;2;15;7;12;8;1;6;3;4;5912164
4;5912164;24;9;16;11;20;4;17;23;21;5;25;13;26;18;14;10;22;19;2;15;7;12;8;1;6;3
24;9;16;11;20;4;17;23;21;5;25;13;26;18;15;10;22;19;2;14;7;12;8;1;6;3;4;5941971
4;5941971;24;9;16;11;20;4;17;23;21;5;25;13;26;18;15;10;22;19;2;14;7;12;8;1;6;3
24;10;16;11;20;4;17;23;21;5;25;13;26;18;15;9;22;19;2;14;7;12;8;1;6;3;4;5923597
4;5923597;24;10;16;11;20;4;17;23;21;5;25;13;26;18;15;9;22;19;2;14;7;12;8;1;6;3
24;10;16;11;20;4;17;3;21;5;25;13;26;18;15;9;22;19;2;14;7;12;8;1;6;23;4;5907131
4;5907131;24;10;16;11;20;4;17;3;21;5;25;13;26;18;15;9;22;19;2;14;7;12;8;1;6;23
24;10;4;11;20;16;17;3;21;5;25;13;26;18;15;9;22;19;2;14;7;12;8;1;6;23;4;5882051
4;5882051;24;10;4;11;20;16;17;3;21;5;25;13;26;18;15;9;22;19;2;14;7;12;8;1;6;23
10;24;4;11;20;16;17;3;21;5;25;13;26;18;15;9;22;19;2;14;7;12;8;1;6;23;4;5882138
4;5882138;10;24;4;11;20;16;17;3;21;5;25;13;26;18;15;9;22;19;2;14;7;12;8;1;6;23
10;24;4;7;20;16;17;3;21;5;25;13;26;18;15;9;22;19;2;14;11;12;8;1;6;23;4;5877354
4;5877354;10;24;4;7;20;16;17;3;21;5;25;13;26;18;15;9;22;19;2;14;11;12;8;1;6;23
10;24;4;7;8;16;17;3;21;5;25;13;26;18;15;9;22;19;2;14;11;12;20;1;6;23;4;5890550
4;5890550;10;24;4;7;8;16;17;3;21;5;25;13;26;18;15;9;22;19;2;14;11;12;20;1;6;23
10;24;4;7;8;16;17;3;21;5;25;13;26;18;14;9;22;19;2;15;11;12;20;1;6;23;4;5876483
4;5876483;10;24;4;7;8;16;17;3;21;5;25;13;26;18;14;9;22;19;2;15;11;12;20;1;6;23
10;24;16;7;8;4;17;3;21;5;25;13;26;18;14;9;22;19;2;15;11;12;20;1;6;23;4;5902046
4;5902046;10;24;16;7;8;4;17;3;21;5;25;13;26;18;14;9;22;19;2;15;11;12;20;1;6;23
10;24;16;7;8;4;17;3;21;5;25;13;12;18;14;9;22;19;2;15;11;26;20;1;6;23;4;5875093
4;5875093;10;24;16;7;8;4;17;3;21;5;25;13;12;18;14;9;22;19;2;15;11;26;20;1;6;23
10;24;16;7;8;4;17;3;21;5;25;13;12;18;14;9;22;19;2;15;23;26;20;1;6;11;4;5864507
4;5864507;10;24;16;7;8;4;17;3;21;5;25;13;12;18;14;9;22;19;2;15;23;26;20;1;6;11
10;24;16;7;8;4;17;3;12;5;25;13;21;18;14;9;22;19;2;15;23;26;20;1;6;11;4;5898193
4;5898193;10;24;16;7;8;4;17;3;12;5;25;13;21;18;14;9;22;19;2;15;23;26;20;1;6;11
10;24;1;7;8;4;17;3;12;5;25;13;21;18;14;9;22;19;2;15;23;26;20;16;6;11;4;5877766
4;5877766;10;24;1;7;8;4;17;3;12;5;25;13;21;18;14;9;22;19;2;15;23;26;20;16;6;11
10;24;1;7;8;4;17;3;12;5;25;13;21;18;14;9;23;19;2;15;22;26;20;16;6;11;4;5880348
4;5880348;10;24;1;7;8;4;17;3;12;5;25;13;21;18;14;9;23;19;2;15;22;26;20;16;6;11
10;24;1;7;16;4;17;3;12;5;25;13;21;18;14;9;23;19;2;15;22;26;20;8;6;11;4;5871751
4;5871751;10;24;1;7;16;4;17;3;12;5;25;13;21;18;14;9;23;19;2;15;22;26;20;8;6;11
10;24;1;7;16;4;12;3;17;5;25;13;21;18;14;9;23;19;2;15;22;26;20;8;6;11;4;5880331
4;5880331;10;24;1;7;16;4;12;3;17;5;25;13;21;18;14;9;23;19;2;15;22;26;20;8;6;11
10;24;1;7;16;4;12;3;17;5;25;13;21;18;14;9;23;20;2;15;22;26;19;8;6;11;4;5874064
5;5874064;10;24;1;7;16;4;12;3;17;5;25;13;21;18;14;9;23;20;2;15;22;26;19;8;6;11
10;24;1;7;16;4;12;3;17;5;25;13;14;18;21;9;23;20;2;15;22;26;19;8;6;11;5;5856849
5;5856849;10;24;1;7;16;4;12;3;17;5;25;13;14;18;21;9;23;20;2;15;22;26;19;8;6;11
10;24;1;7;16;4;12;3;17;5;25;13;14;18;21;9;23;15;2;20;22;26;19;8;6;11;5;5892760
5;5892760;10;24;1;7;16;4;12;3;17;5;25;13;14;18;21;9;23;15;2;20;22;26;19;8;6;11
10;24;1;7;16;4;12;3;17;5;25;13;14;18;21;9;22;15;2;20;23;26;19;8;6;11;5;5898192
5;5898192;10;24;1;7;16;4;12;3;17;5;25;13;14;18;21;9;22;15;2;20;23;26;19;8;6;11
10;24;18;7;16;4;12;3;17;5;25;13;14;1;21;9;22;15;2;20;23;26;19;8;6;11;5;5866925
5;5866925;10;24;18;7;16;4;12;3;17;5;25;13;14;1;21;9;22;15;2;20;23;26;19;8;6;11
10;24;18;7;16;4;12;3;17;5;25;20;14;1;21;9;22;15;2;13;23;26;19;8;6;11;5;5798279
5;5798279;10;24;18;7;16;4;12;3;17;5;25;20;14;1;21;9;22;15;2;13;23;26;19;8;6;11
10;24;18;7;16;4;12;3;17;5;25;20;22;1;21;9;14;15;2;13;23;26;19;8;6;11;5;5829100
5;5829100;10;24;18;7;16;4;12;3;17;5;25;20;22;1;21;9;14;15;2;13;23;26;19;8;6;11
10;24;18;7;16;4;12;3;17;5;25;20;22;1;26;9;14;15;2;13;23;21;19;8;6;11;5;5854056
5;5854056;10;24;18;7;16;4;12;3;17;5;25;20;22;1;26;9;14;15;2;13;23;21;19;8;6;11
10;24;18;7;16;1;12;3;17;5;25;20;22;4;26;9;14;15;2;13;23;21;19;8;6;11;5;5778078
5;5778078;10;24;18;7;16;1;12;3;17;5;25;20;22;4;26;9;14;15;2;13;23;21;19;8;6;11
10;24;18;7;16;20;12;3;17;5;25;1;22;4;26;9;14;15;2;13;23;21;19;8;6;11;5;5831595
5;5831595;10;24;18;7;16;20;12;3;17;5;25;1;22;4;26;9;14;15;2;13;23;21;19;8;6;11
10;23;18;7;16;20;12;3;17;5;25;1;22;4;26;9;14;15;2;13;24;21;19;8;6;11;5;5831427
5;5831427;10;23;18;7;16;20;12;3;17;5;25;1;22;4;26;9;14;15;2;13;24;21;19;8;6;11
10;23;18;7;16;20;12;3;17;5;25;1;22;4;8;9;14;15;2;13;24;21;19;26;6;11;5;5829740
5;5829740;10;23;18;7;16;20;12;3;17;5;25;1;22;4;8;9;14;15;2;13;24;21;19;26;6;11
10;23;18;7;16;2;12;3;17;5;25;1;22;4;8;9;14;15;20;13;24;21;19;26;6;11;5;5782935
5;5782935;10;23;18;7;16;2;12;3;17;5;25;1;22;4;8;9;14;15;20;13;24;21;19;26;6;11
10;23;18;7;16;2;12;3;6;5;25;1;22;4;8;9;14;15;20;13;24;21;19;26;17;11;5;5782512
5;5782512;10;23;18;7;16;2;12;3;6;5;25;1;22;4;8;9;14;15;20;13;24;21;19;26;17;11
10;23;18;7;16;2;12;3;20;5;25;1;22;4;8;9;14;15;6;13;24;21;19;26;17;11;5;5813455
5;5813455;10;23;18;7;16;2;12;3;20;5;25;1;22;4;8;9;14;15;6;13;24;21;19;26;17;11
10;23;6;7;16;2;12;3;20;5;25;1;22;4;8;9;14;15;18;13;24;21;19;26;17;11;5;5799943
5;5799943;10;23;6;7;16;2;12;3;20;5;25;1;22;4;8;9;14;15;18;13;24;21;19;26;17;11
10;23;6;7;16;2;12;3;20;5;25;21;22;4;8;9;14;15;18;13;24;1;19;26;17;11;5;5808107
5;5808107;10;23;6;7;16;2;12;3;20;5;25;21;22;4;8;9;14;15;18;13;24;1;19;26;17;11
1;23;6;7;16;2;12;3;20;5;25;21;22;4;8;9;14;15;18;13;24;10;19;26;17;11;5;5793014
5;5793014;1;23;6;7;16;2;12;3;20;5;25;21;22;4;8;9;14;15;18;13;24;10;19;26;17;11
1;23;6;7;16;2;12;3;20;5;25;21;22;4;13;9;14;15;18;8;24;10;19;26;17;11;5;5793627
5;5793627;1;23;6;7;16;2;12;3;20;5;25;21;22;4;13;9;14;15;18;8;24;10;19;26;17;11
1;23;6;7;16;12;2;3;20;5;25;21;22;4;13;9;14;15;18;8;24;10;19;26;17;11;5;5793627
5;5793627;1;23;6;7;16;12;2;3;20;5;25;21;22;4;13;9;14;15;18;8;24;10;19;26;17;11
1;23;6;7;16;12;2;3;20;5;25;21;22;4;13;9;14;15;18;17;24;10;19;26;8;11;5;5875211
6;5875211;1;23;6;7;16;12;2;3;20;5;25;21;22;4;13;9;14;15;18;17;24;10;19;26;8;11
1;23;6;7;16;12;8;3;20;5;25;21;22;4;13;9;14;15;18;17;24;10;19;26;2;11;6;5852279
6;5852279;1;23;6;7;16;12;8;3;20;5;25;21;22;4;13;9;14;15;18;17;24;10;19;26;2;11
1;23;6;7;16;12;8;3;20;5;25;21;22;4;13;9;15;14;18;17;24;10;19;26;2;11;6;5831708
6;5831708;1;23;6;7;16;12;8;3;20;5;25;21;22;4;13;9;15;14;18;17;24;10;19;26;2;11
1;23;6;7;16;10;8;3;20;5;25;21;22;4;13;9;15;14;18;17;24;12;19;26;2;11;6;5798892
6;5798892;1;23;6;7;16;10;8;3;20;5;25;21;22;4;13;9;15;14;18;17;24;12;19;26;2;11
1;23;6;7;16;8;10;3;20;5;25;21;22;4;13;9;15;14;18;17;24;12;19;26;2;11;6;5798892
6;5798892;1;23;6;7;16;8;10;3;20;5;25;21;22;4;13;9;15;14;18;17;24;12;19;26;2;11
1;18;6;7;16;8;10;3;20;5;25;21;22;4;13;9;15;14;23;17;24;12;19;26;2;11;6;5820864
6;5820864;1;18;6;7;16;8;10;3;20;5;25;21;22;4;13;9;15;14;23;17;24;12;19;26;2;11
1;18;6;7;16;8;10;3;20;5;25;21;22;4;13;9;15;14;19;17;24;12;23;26;2;11;6;5819675
6;5819675;1;18;6;7;16;8;10;3;20;5;25;21;22;4;13;9;15;14;19;17;24;12;23;26;2;11
1;18;6;7;16;15;10;3;20;5;25;21;22;4;13;9;8;14;19;17;24;12;23;26;2;11;6;5786304
6;5786304;1;18;6;7;16;15;10;3;20;5;25;21;22;4;13;9;8;14;19;17;24;12;23;26;2;11
15;18;6;7;16;1;10;3;20;5;25;21;22;4;13;9;8;14;19;17;24;12;23;26;2;11;6;5794638
6;5794638;15;18;6;7;16;1;10;3;20;5;25;21;22;4;13;9;8;14;19;17;24;12;23;26;2;11
15;18;6;7;16;1;10;3;20;5;25;21;22;4;13;9;8;11;19;17;24;12;23;26;2;14;6;5962442
6;5962442;15;18;6;7;16;1;10;3;20;5;25;21;22;4;13;9;8;11;19;17;24;12;23;26;2;14
15;18;23;7;16;1;10;3;20;5;25;21;22;4;13;9;8;11;19;17;24;12;6;26;2;14;6;5965552
6;5965552;15;18;23;7;16;1;10;3;20;5;25;21;22;4;13;9;8;11;19;17;24;12;6;26;2;14
15;18;23;7;16;1;10;3;20;5;25;21;22;13;4;9;8;11;19;17;24;12;6;26;2;14;6;5966028
6;5966028;15;18;23;7;16;1;10;3;20;5;25;21;22;13;4;9;8;11;19;17;24;12;6;26;2;14
15;18;23;7;8;1;10;3;20;5;25;21;22;13;4;9;16;11;19;17;24;12;6;26;2;14;6;5931227
6;5931227;15;18;23;7;8;1;10;3;20;5;25;21;22;13;4;9;16;11;19;17;24;12;6;26;2;14
15;18;23;7;8;1;10;3;20;5;25;12;22;13;4;9;16;11;19;17;24;21;6;26;2;14;6;5940465
6;5940465;15;18;23;7;8;1;10;3;20;5;25;12;22;13;4;9;16;11;19;17;24;21;6;26;2;14
15;18;23;7;8;1;10;3;20;5;25;12;22;13;4;9;17;11;19;16;24;21;6;26;2;14;6;5951398
6;5951398;15;18;23;7;8;1;10;3;20;5;25;12;22;13;4;9;17;11;19;16;24;21;6;26;2;14
15;18;23;7;8;1;10;3;20;5;25;12;22;13;4;9;17;11;19;16;14;21;6;26;2;24;6;5841354
6;5841354;15;18;23;7;8;1;10;3;20;5;25;12;22;13;4;9;17;11;19;16;14;21;6;26;2;24
15;18;23;8;7;1;10;3;20;5;25;12;22;13;4;9;17;11;19;16;14;21;6;26;2;24;6;5843714
6;5843714;15;18;23;8;7;1;10;3;20;5;25;12;22;13;4;9;17;11;19;16;14;21;6;26;2;24
15;18;23;8;7;16;10;3;20;5;25;12;22;13;4;9;17;11;19;1;14;21;6;26;2;24;6;5929485
6;5929485;15;18;23;8;7;16;10;3;20;5;25;12;22;13;4;9;17;11;19;1;14;21;6;26;2;24
15;18;23;8;7;16;10;3;20;5;25;12;22;13;4;9;17;11;19;1;14;2;6;26;21;24;6;5847162
6;5847162;15;18;23;8;7;16;10;3;20;5;25;12;22;13;4;9;17;11;19;1;14;2;6;26;21;24
