"X1";"X26738";"X1.1";"X23";"X31";"X21";"X4";"X11";"X3";"X5";"X32";"X16";"X6";"X18";"X27";"X28";"X26";"X20";"X19";"X24";"X25";"X8";"X13";"X15";"X29";"X14";"X12";"X17";"X10";"X22";"X7";"X2";"X9";"X30"
11;29;5;17;3;20;21;31;25;7;12;18;14;28;26;24;19;6;15;30;8;13;4;16;22;1;9;10;23;2;32;27;2;28418
2;28418;11;29;5;17;3;20;21;31;25;7;12;18;14;28;26;24;19;6;15;30;8;13;4;16;22;1;9;10;23;2;32;27
11;29;5;17;3;20;12;31;25;7;21;18;14;28;26;24;19;6;15;30;8;13;4;16;22;1;9;10;23;2;32;27;2;28328
2;28328;11;29;5;17;3;20;12;31;25;7;21;18;14;28;26;24;19;6;15;30;8;13;4;16;22;1;9;10;23;2;32;27
11;29;19;17;3;20;12;31;25;7;21;18;14;28;26;24;5;6;15;30;8;13;4;16;22;1;9;10;23;2;32;27;2;28234
2;28234;11;29;19;17;3;20;12;31;25;7;21;18;14;28;26;24;5;6;15;30;8;13;4;16;22;1;9;10;23;2;32;27
11;29;19;17;3;20;12;31;25;7;21;18;14;24;26;28;5;6;15;30;8;13;4;16;22;1;9;10;23;2;32;27;2;28314
2;28314;11;29;19;17;3;20;12;31;25;7;21;18;14;24;26;28;5;6;15;30;8;13;4;16;22;1;9;10;23;2;32;27
11;29;19;17;3;20;28;31;25;7;21;18;14;24;26;12;5;6;15;30;8;13;4;16;22;1;9;10;23;2;32;27;2;28452
2;28452;11;29;19;17;3;20;28;31;25;7;21;18;14;24;26;12;5;6;15;30;8;13;4;16;22;1;9;10;23;2;32;27
11;29;30;17;3;20;28;31;25;7;21;18;14;24;26;12;5;6;15;19;8;13;4;16;22;1;9;10;23;2;32;27;2;28772
2;28772;11;29;30;17;3;20;28;31;25;7;21;18;14;24;26;12;5;6;15;19;8;13;4;16;22;1;9;10;23;2;32;27
11;29;30;17;3;22;28;31;25;7;21;18;14;24;26;12;5;6;15;19;8;13;4;16;20;1;9;10;23;2;32;27;2;28152
2;28152;11;29;30;17;3;22;28;31;25;7;21;18;14;24;26;12;5;6;15;19;8;13;4;16;20;1;9;10;23;2;32;27
11;29;30;17;3;22;28;31;25;7;21;18;14;13;26;12;5;6;15;19;8;24;4;16;20;1;9;10;23;2;32;27;2;27110
2;27110;11;29;30;17;3;22;28;31;25;7;21;18;14;13;26;12;5;6;15;19;8;24;4;16;20;1;9;10;23;2;32;27
11;29;30;17;3;25;28;31;22;7;21;18;14;13;26;12;5;6;15;19;8;24;4;16;20;1;9;10;23;2;32;27;2;27270
2;27270;11;29;30;17;3;25;28;31;22;7;21;18;14;13;26;12;5;6;15;19;8;24;4;16;20;1;9;10;23;2;32;27
11;29;30;17;3;25;28;31;22;7;21;18;14;13;26;12;5;6;15;19;8;24;20;16;4;1;9;10;23;2;32;27;2;26672
3;26672;11;29;30;17;3;25;28;31;22;7;21;18;14;13;26;12;5;6;15;19;8;24;20;16;4;1;9;10;23;2;32;27
11;29;30;17;3;25;28;31;22;7;14;18;21;13;26;12;5;6;15;19;8;24;20;16;4;1;9;10;23;2;32;27;3;26924
3;26924;11;29;30;17;3;25;28;31;22;7;14;18;21;13;26;12;5;6;15;19;8;24;20;16;4;1;9;10;23;2;32;27
11;16;30;17;3;25;28;31;22;7;14;18;21;13;26;12;5;6;15;19;8;24;20;29;4;1;9;10;23;2;32;27;3;26938
3;26938;11;16;30;17;3;25;28;31;22;7;14;18;21;13;26;12;5;6;15;19;8;24;20;29;4;1;9;10;23;2;32;27
11;16;30;17;3;25;28;31;22;7;14;18;21;13;1;12;5;6;15;19;8;24;20;29;4;26;9;10;23;2;32;27;3;27656
3;27656;11;16;30;17;3;25;28;31;22;7;14;18;21;13;1;12;5;6;15;19;8;24;20;29;4;26;9;10;23;2;32;27
11;16;30;17;3;25;28;31;2;7;14;18;21;13;1;12;5;6;15;19;8;24;20;29;4;26;9;10;23;22;32;27;3;27882
3;27882;11;16;30;17;3;25;28;31;2;7;14;18;21;13;1;12;5;6;15;19;8;24;20;29;4;26;9;10;23;22;32;27
11;16;30;17;3;25;28;31;2;7;14;26;21;13;1;12;5;6;15;19;8;24;20;29;4;18;9;10;23;22;32;27;3;27802
3;27802;11;16;30;17;3;25;28;31;2;7;14;26;21;13;1;12;5;6;15;19;8;24;20;29;4;18;9;10;23;22;32;27
11;16;30;17;25;3;28;31;2;7;14;26;21;13;1;12;5;6;15;19;8;24;20;29;4;18;9;10;23;22;32;27;3;27790
3;27790;11;16;30;17;25;3;28;31;2;7;14;26;21;13;1;12;5;6;15;19;8;24;20;29;4;18;9;10;23;22;32;27
11;16;14;17;25;3;28;31;2;7;30;26;21;13;1;12;5;6;15;19;8;24;20;29;4;18;9;10;23;22;32;27;3;27560
3;27560;11;16;14;17;25;3;28;31;2;7;30;26;21;13;1;12;5;6;15;19;8;24;20;29;4;18;9;10;23;22;32;27
11;16;14;17;25;3;28;31;2;7;30;26;21;13;1;12;5;6;15;19;8;24;20;29;4;18;9;10;32;22;23;27;3;27780
3;27780;11;16;14;17;25;3;28;31;2;7;30;26;21;13;1;12;5;6;15;19;8;24;20;29;4;18;9;10;32;22;23;27
11;16;14;17;25;3;28;31;2;7;30;26;21;13;1;12;5;6;29;19;8;24;20;15;4;18;9;10;32;22;23;27;3;27488
3;27488;11;16;14;17;25;3;28;31;2;7;30;26;21;13;1;12;5;6;29;19;8;24;20;15;4;18;9;10;32;22;23;27
11;2;14;17;25;3;28;31;16;7;30;26;21;13;1;12;5;6;29;19;8;24;20;15;4;18;9;10;32;22;23;27;3;27048
3;27048;11;2;14;17;25;3;28;31;16;7;30;26;21;13;1;12;5;6;29;19;8;24;20;15;4;18;9;10;32;22;23;27
11;2;14;17;25;3;28;31;16;7;30;26;21;13;1;12;5;6;29;19;8;24;20;15;4;18;9;10;32;23;22;27;3;27128
3;27128;11;2;14;17;25;3;28;31;16;7;30;26;21;13;1;12;5;6;29;19;8;24;20;15;4;18;9;10;32;23;22;27
11;2;14;17;25;3;28;31;16;7;30;26;21;13;1;12;5;6;29;20;8;24;19;15;4;18;9;10;32;23;22;27;3;27228
3;27228;11;2;14;17;25;3;28;31;16;7;30;26;21;13;1;12;5;6;29;20;8;24;19;15;4;18;9;10;32;23;22;27
11;2;14;17;25;3;28;31;16;7;30;15;21;13;1;12;5;6;29;20;8;24;19;26;4;18;9;10;32;23;22;27;3;27612
3;27612;11;2;14;17;25;3;28;31;16;7;30;15;21;13;1;12;5;6;29;20;8;24;19;26;4;18;9;10;32;23;22;27
11;2;14;17;25;3;20;31;16;7;30;15;21;13;1;12;5;6;29;28;8;24;19;26;4;18;9;10;32;23;22;27;3;27772
3;27772;11;2;14;17;25;3;20;31;16;7;30;15;21;13;1;12;5;6;29;28;8;24;19;26;4;18;9;10;32;23;22;27
11;2;4;17;25;3;20;31;16;7;30;15;21;13;1;12;5;6;29;28;8;24;19;26;14;18;9;10;32;23;22;27;3;27592
3;27592;11;2;4;17;25;3;20;31;16;7;30;15;21;13;1;12;5;6;29;28;8;24;19;26;14;18;9;10;32;23;22;27
11;2;4;17;25;3;20;31;16;7;30;15;21;13;1;12;26;6;29;28;8;24;19;5;14;18;9;10;32;23;22;27;3;27564
3;27564;11;2;4;17;25;3;20;31;16;7;30;15;21;13;1;12;26;6;29;28;8;24;19;5;14;18;9;10;32;23;22;27
11;2;4;20;25;3;17;31;16;7;30;15;21;13;1;12;26;6;29;28;8;24;19;5;14;18;9;10;32;23;22;27;3;27884
3;27884;11;2;4;20;25;3;17;31;16;7;30;15;21;13;1;12;26;6;29;28;8;24;19;5;14;18;9;10;32;23;22;27
11;2;4;20;25;3;17;31;16;7;30;15;21;13;1;12;26;6;9;28;8;24;19;5;14;18;29;10;32;23;22;27;3;28280
3;28280;11;2;4;20;25;3;17;31;16;7;30;15;21;13;1;12;26;6;9;28;8;24;19;5;14;18;29;10;32;23;22;27
11;2;4;20;25;3;17;31;16;7;30;15;21;13;1;12;26;6;9;28;8;24;19;5;22;18;29;10;32;23;14;27;3;27960
3;27960;11;2;4;20;25;3;17;31;16;7;30;15;21;13;1;12;26;6;9;28;8;24;19;5;22;18;29;10;32;23;14;27
11;2;4;20;25;3;17;31;16;7;30;15;21;13;1;12;28;6;9;26;8;24;19;5;22;18;29;10;32;23;14;27;3;28240
4;28240;11;2;4;20;25;3;17;31;16;7;30;15;21;13;1;12;28;6;9;26;8;24;19;5;22;18;29;10;32;23;14;27
10;2;4;20;25;3;17;31;16;7;30;15;21;13;1;12;28;6;9;26;8;24;19;5;22;18;29;11;32;23;14;27;4;28440
4;28440;10;2;4;20;25;3;17;31;16;7;30;15;21;13;1;12;28;6;9;26;8;24;19;5;22;18;29;11;32;23;14;27
10;22;4;20;25;3;17;31;16;7;30;15;21;13;1;12;28;6;9;26;8;24;19;5;2;18;29;11;32;23;14;27;4;27886
4;27886;10;22;4;20;25;3;17;31;16;7;30;15;21;13;1;12;28;6;9;26;8;24;19;5;2;18;29;11;32;23;14;27
10;22;4;20;25;3;17;31;13;7;30;15;21;16;1;12;28;6;9;26;8;24;19;5;2;18;29;11;32;23;14;27;4;27946
4;27946;10;22;4;20;25;3;17;31;13;7;30;15;21;16;1;12;28;6;9;26;8;24;19;5;2;18;29;11;32;23;14;27
10;19;4;20;25;3;17;31;13;7;30;15;21;16;1;12;28;6;9;26;8;24;22;5;2;18;29;11;32;23;14;27;4;28106
4;28106;10;19;4;20;25;3;17;31;13;7;30;15;21;16;1;12;28;6;9;26;8;24;22;5;2;18;29;11;32;23;14;27
10;19;4;20;25;3;17;31;13;7;30;27;21;16;1;12;28;6;9;26;8;24;22;5;2;18;29;11;32;23;14;15;4;27498
4;27498;10;19;4;20;25;3;17;31;13;7;30;27;21;16;1;12;28;6;9;26;8;24;22;5;2;18;29;11;32;23;14;15
10;19;4;20;25;3;17;31;13;7;30;27;21;16;1;12;28;6;9;26;8;24;15;5;2;18;29;11;32;23;14;22;4;27708
4;27708;10;19;4;20;25;3;17;31;13;7;30;27;21;16;1;12;28;6;9;26;8;24;15;5;2;18;29;11;32;23;14;22
10;19;4;20;25;3;17;31;13;7;30;27;21;16;1;2;28;6;9;26;8;24;15;5;12;18;29;11;32;23;14;22;4;27868
4;27868;10;19;4;20;25;3;17;31;13;7;30;27;21;16;1;2;28;6;9;26;8;24;15;5;12;18;29;11;32;23;14;22
10;19;4;20;25;3;17;31;13;7;30;27;11;16;1;2;28;6;9;26;8;24;15;5;12;18;29;21;32;23;14;22;4;27848
4;27848;10;19;4;20;25;3;17;31;13;7;30;27;11;16;1;2;28;6;9;26;8;24;15;5;12;18;29;21;32;23;14;22
10;19;4;20;25;3;17;31;13;7;30;27;23;16;1;2;28;6;9;26;8;24;15;5;12;18;29;21;32;11;14;22;4;27904
4;27904;10;19;4;20;25;3;17;31;13;7;30;27;23;16;1;2;28;6;9;26;8;24;15;5;12;18;29;21;32;11;14;22
8;19;4;20;25;3;17;31;13;7;30;27;23;16;1;2;28;6;9;26;10;24;15;5;12;18;29;21;32;11;14;22;4;28284
4;28284;8;19;4;20;25;3;17;31;13;7;30;27;23;16;1;2;28;6;9;26;10;24;15;5;12;18;29;21;32;11;14;22
8;9;4;20;25;3;17;31;13;7;30;27;23;16;1;2;28;6;19;26;10;24;15;5;12;18;29;21;32;11;14;22;4;29006
4;29006;8;9;4;20;25;3;17;31;13;7;30;27;23;16;1;2;28;6;19;26;10;24;15;5;12;18;29;21;32;11;14;22
8;9;4;20;25;3;27;31;13;7;30;17;23;16;1;2;28;6;19;26;10;24;15;5;12;18;29;21;32;11;14;22;4;28566
4;28566;8;9;4;20;25;3;27;31;13;7;30;17;23;16;1;2;28;6;19;26;10;24;15;5;12;18;29;21;32;11;14;22
8;9;4;20;25;3;27;31;13;7;30;17;23;16;1;2;28;6;19;26;10;24;32;5;12;18;29;21;15;11;14;22;4;28314
4;28314;8;9;4;20;25;3;27;31;13;7;30;17;23;16;1;2;28;6;19;26;10;24;32;5;12;18;29;21;15;11;14;22
16;9;4;20;25;3;27;31;13;7;30;17;23;8;1;2;28;6;19;26;10;24;32;5;12;18;29;21;15;11;14;22;4;28154
4;28154;16;9;4;20;25;3;27;31;13;7;30;17;23;8;1;2;28;6;19;26;10;24;32;5;12;18;29;21;15;11;14;22
16;9;4;20;25;3;27;31;13;7;12;17;23;8;1;2;28;6;19;26;10;24;32;5;30;18;29;21;15;11;14;22;4;27842
4;27842;16;9;4;20;25;3;27;31;13;7;12;17;23;8;1;2;28;6;19;26;10;24;32;5;30;18;29;21;15;11;14;22
16;9;4;20;25;3;27;19;13;7;12;17;23;8;1;2;28;6;31;26;10;24;32;5;30;18;29;21;15;11;14;22;4;27762
4;27762;16;9;4;20;25;3;27;19;13;7;12;17;23;8;1;2;28;6;31;26;10;24;32;5;30;18;29;21;15;11;14;22
16;9;4;20;25;3;27;19;13;7;12;17;23;8;1;2;28;6;31;11;10;24;32;5;30;18;29;21;15;26;14;22;4;27166
4;27166;16;9;4;20;25;3;27;19;13;7;12;17;23;8;1;2;28;6;31;11;10;24;32;5;30;18;29;21;15;26;14;22
16;9;4;29;25;3;27;19;13;7;12;17;23;8;1;2;28;6;31;11;10;24;32;5;30;18;20;21;15;26;14;22;4;27846
4;27846;16;9;4;29;25;3;27;19;13;7;12;17;23;8;1;2;28;6;31;11;10;24;32;5;30;18;20;21;15;26;14;22
16;9;4;29;25;3;27;19;13;7;12;26;23;8;1;2;28;6;31;11;10;24;32;5;30;18;20;21;15;17;14;22;4;27246
4;27246;16;9;4;29;25;3;27;19;13;7;12;26;23;8;1;2;28;6;31;11;10;24;32;5;30;18;20;21;15;17;14;22
16;9;4;29;25;3;30;19;13;7;12;26;23;8;1;2;28;6;31;11;10;24;32;5;27;18;20;21;15;17;14;22;4;27766
5;27766;16;9;4;29;25;3;30;19;13;7;12;26;23;8;1;2;28;6;31;11;10;24;32;5;27;18;20;21;15;17;14;22
16;9;4;29;25;3;30;19;13;10;12;26;23;8;1;2;28;6;31;11;7;24;32;5;27;18;20;21;15;17;14;22;5;27766
5;27766;16;9;4;29;25;3;30;19;13;10;12;26;23;8;1;2;28;6;31;11;7;24;32;5;27;18;20;21;15;17;14;22
16;9;4;29;25;3;30;19;10;13;12;26;23;8;1;2;28;6;31;11;7;24;32;5;27;18;20;21;15;17;14;22;5;27326
5;27326;16;9;4;29;25;3;30;19;10;13;12;26;23;8;1;2;28;6;31;11;7;24;32;5;27;18;20;21;15;17;14;22
16;23;4;29;25;3;30;19;10;13;12;26;9;8;1;2;28;6;31;11;7;24;32;5;27;18;20;21;15;17;14;22;5;26996
5;26996;16;23;4;29;25;3;30;19;10;13;12;26;9;8;1;2;28;6;31;11;7;24;32;5;27;18;20;21;15;17;14;22
16;23;4;29;21;3;30;19;10;13;12;26;9;8;1;2;28;6;31;11;7;24;32;5;27;18;20;25;15;17;14;22;5;26776
5;26776;16;23;4;29;21;3;30;19;10;13;12;26;9;8;1;2;28;6;31;11;7;24;32;5;27;18;20;25;15;17;14;22
16;23;21;29;4;3;30;19;10;13;12;26;9;8;1;2;28;6;31;11;7;24;32;5;27;18;20;25;15;17;14;22;5;27092
5;27092;16;23;21;29;4;3;30;19;10;13;12;26;9;8;1;2;28;6;31;11;7;24;32;5;27;18;20;25;15;17;14;22
16;23;21;29;4;3;30;19;10;13;12;26;9;8;1;6;28;2;31;11;7;24;32;5;27;18;20;25;15;17;14;22;5;26792
5;26792;16;23;21;29;4;3;30;19;10;13;12;26;9;8;1;6;28;2;31;11;7;24;32;5;27;18;20;25;15;17;14;22
16;23;21;29;4;3;6;19;10;13;12;26;9;8;1;30;28;2;31;11;7;24;32;5;27;18;20;25;15;17;14;22;5;26514
5;26514;16;23;21;29;4;3;6;19;10;13;12;26;9;8;1;30;28;2;31;11;7;24;32;5;27;18;20;25;15;17;14;22
16;23;21;29;4;3;6;19;10;13;12;15;9;8;1;30;28;2;31;11;7;24;32;5;27;18;20;25;26;17;14;22;5;26904
5;26904;16;23;21;29;4;3;6;19;10;13;12;15;9;8;1;30;28;2;31;11;7;24;32;5;27;18;20;25;26;17;14;22
16;23;21;29;4;3;6;19;10;13;12;15;9;8;1;30;28;2;31;11;7;24;32;14;27;18;20;25;26;17;5;22;5;26824
5;26824;16;23;21;29;4;3;6;19;10;13;12;15;9;8;1;30;28;2;31;11;7;24;32;14;27;18;20;25;26;17;5;22
16;23;21;29;4;3;6;19;10;13;12;15;9;8;1;30;27;2;31;11;7;24;32;14;28;18;20;25;26;17;5;22;5;26544
5;26544;16;23;21;29;4;3;6;19;10;13;12;15;9;8;1;30;27;2;31;11;7;24;32;14;28;18;20;25;26;17;5;22
16;23;21;29;4;3;6;19;10;13;12;1;9;8;15;30;27;2;31;11;7;24;32;14;28;18;20;25;26;17;5;22;5;27204
5;27204;16;23;21;29;4;3;6;19;10;13;12;1;9;8;15;30;27;2;31;11;7;24;32;14;28;18;20;25;26;17;5;22
16;19;21;29;4;3;6;23;10;13;12;1;9;8;15;30;27;2;31;11;7;24;32;14;28;18;20;25;26;17;5;22;5;27264
5;27264;16;19;21;29;4;3;6;23;10;13;12;1;9;8;15;30;27;2;31;11;7;24;32;14;28;18;20;25;26;17;5;22
16;19;25;29;4;3;6;23;10;13;12;1;9;8;15;30;27;2;31;11;7;24;32;14;28;18;20;21;26;17;5;22;5;27404
5;27404;16;19;25;29;4;3;6;23;10;13;12;1;9;8;15;30;27;2;31;11;7;24;32;14;28;18;20;21;26;17;5;22
16;19;25;29;4;3;6;23;10;13;12;1;9;8;15;30;27;2;31;5;7;24;32;14;28;18;20;21;26;17;11;22;5;27644
5;27644;16;19;25;29;4;3;6;23;10;13;12;1;9;8;15;30;27;2;31;5;7;24;32;14;28;18;20;21;26;17;11;22
16;19;25;29;4;3;6;23;10;13;12;26;9;8;15;30;27;2;31;5;7;24;32;14;28;18;20;21;1;17;11;22;5;27314
5;27314;16;19;25;29;4;3;6;23;10;13;12;26;9;8;15;30;27;2;31;5;7;24;32;14;28;18;20;21;1;17;11;22
16;19;25;29;4;3;6;23;10;13;12;26;9;8;15;30;27;2;31;5;21;24;32;14;28;18;20;7;1;17;11;22;5;27456
5;27456;16;19;25;29;4;3;6;23;10;13;12;26;9;8;15;30;27;2;31;5;21;24;32;14;28;18;20;7;1;17;11;22
16;19;25;29;4;3;6;23;10;13;12;26;9;18;15;30;27;2;31;5;21;24;32;14;28;8;20;7;1;17;11;22;5;27716
5;27716;16;19;25;29;4;3;6;23;10;13;12;26;9;18;15;30;27;2;31;5;21;24;32;14;28;8;20;7;1;17;11;22
16;19;25;29;4;3;6;23;10;13;12;9;26;18;15;30;27;2;31;5;21;24;32;14;28;8;20;7;1;17;11;22;5;27884
5;27884;16;19;25;29;4;3;6;23;10;13;12;9;26;18;15;30;27;2;31;5;21;24;32;14;28;8;20;7;1;17;11;22
16;19;25;17;4;3;6;23;10;13;12;9;26;18;15;30;27;2;31;5;21;24;32;14;28;8;20;7;1;29;11;22;5;28184
