"X1";"X296";"X47";"X5";"X64";"X63";"X32";"X45";"X37";"X26";"X44";"X36";"X12";"X18";"X40";"X1.1";"X39";"X15";"X23";"X25";"X62";"X60";"X58";"X28";"X50";"X46";"X6";"X17";"X38";"X41";"X34";"X42";"X57";"X61";"X55";"X8";"X53";"X4";"X43";"X14";"X27";"X10";"X13";"X24";"X59";"X11";"X22";"X2";"X29";"X31";"X9";"X56";"X30";"X21";"X49";"X7";"X19";"X52";"X3";"X51";"X33";"X20";"X16";"X48";"X35";"X54"
1;280;47;5;64;22;32;45;37;26;44;36;12;18;40;1;39;15;23;25;9;60;58;28;50;2;6;17;38;41;34;42;8;61;55;57;53;4;43;14;27;10;13;24;59;11;21;46;29;31;62;56;30;63;49;7;19;52;3;51;33;20;16;48;35;54
47;5;64;22;32;45;33;26;44;36;12;18;40;1;39;15;23;25;9;60;58;28;50;2;6;17;38;41;34;42;8;61;55;57;53;4;43;14;27;10;13;24;59;11;21;46;29;31;62;56;30;63;49;7;19;52;3;51;37;20;16;48;35;54;1;280
1;280;47;5;64;22;32;45;33;26;44;36;12;18;40;1;39;15;23;25;9;60;58;28;50;2;6;17;38;41;34;42;8;61;55;57;53;4;43;14;27;10;13;24;59;11;21;46;29;31;62;56;30;63;49;7;19;52;3;51;37;20;16;48;35;54
47;5;64;22;32;45;33;26;44;36;12;18;46;1;39;15;23;25;9;60;58;28;50;2;6;17;38;41;34;42;8;61;55;57;53;4;43;14;27;10;13;24;59;11;21;40;29;31;62;56;30;63;49;7;19;52;3;51;37;20;16;48;35;54;1;280
1;280;47;5;64;22;32;45;33;26;44;36;12;18;46;1;39;15;23;25;9;60;58;28;50;2;6;17;38;41;34;42;8;61;55;57;53;4;43;14;27;10;13;24;59;11;21;40;29;31;62;56;30;63;49;7;19;52;3;51;37;20;16;48;35;54
47;5;64;22;32;45;33;26;44;36;12;18;46;1;39;15;23;25;9;60;58;28;50;2;6;17;38;41;34;42;8;61;55;57;53;4;43;14;37;10;13;24;59;11;21;40;29;31;62;56;30;63;49;7;19;52;3;51;27;20;16;48;35;54;1;250
1;250;47;5;64;22;32;45;33;26;44;36;12;18;46;1;39;15;23;25;9;60;58;28;50;2;6;17;38;41;34;42;8;61;55;57;53;4;43;14;37;10;13;24;59;11;21;40;29;31;62;56;30;63;49;7;19;52;3;51;27;20;16;48;35;54
47;5;64;22;32;45;33;26;44;36;12;18;46;1;39;2;23;25;9;60;58;28;50;15;6;17;38;41;34;42;8;61;55;57;53;4;43;14;37;10;13;24;59;11;21;40;29;31;62;56;30;63;49;7;19;52;3;51;27;20;16;48;35;54;1;250
1;250;47;5;64;22;32;45;33;26;44;36;12;18;46;1;39;2;23;25;9;60;58;28;50;15;6;17;38;41;34;42;8;61;55;57;53;4;43;14;37;10;13;24;59;11;21;40;29;31;62;56;30;63;49;7;19;52;3;51;27;20;16;48;35;54
47;5;64;22;32;45;33;26;44;36;12;18;46;1;39;2;23;25;9;60;58;28;50;15;6;17;55;41;34;42;8;61;38;57;53;4;43;14;37;10;13;24;59;11;21;40;29;31;62;56;30;63;49;7;19;52;3;51;27;20;16;48;35;54;1;256
1;256;47;5;64;22;32;45;33;26;44;36;12;18;46;1;39;2;23;25;9;60;58;28;50;15;6;17;55;41;34;42;8;61;38;57;53;4;43;14;37;10;13;24;59;11;21;40;29;31;62;56;30;63;49;7;19;52;3;51;27;20;16;48;35;54
47;5;64;22;32;45;33;59;44;36;12;18;46;1;39;2;23;25;9;60;58;28;50;15;6;17;55;41;34;42;8;61;38;57;53;4;43;14;37;10;13;24;26;11;21;40;29;31;62;56;30;63;49;7;19;52;3;51;27;20;16;48;35;54;1;240
1;240;47;5;64;22;32;45;33;59;44;36;12;18;46;1;39;2;23;25;9;60;58;28;50;15;6;17;55;41;34;42;8;61;38;57;53;4;43;14;37;10;13;24;26;11;21;40;29;31;62;56;30;63;49;7;19;52;3;51;27;20;16;48;35;54
47;5;64;22;55;45;33;59;44;36;12;18;46;1;39;2;23;25;9;60;58;28;50;15;6;17;32;41;34;42;8;61;38;57;53;4;43;14;37;10;13;24;26;11;21;40;29;31;62;56;30;63;49;7;19;52;3;51;27;20;16;48;35;54;1;256
1;256;47;5;64;22;55;45;33;59;44;36;12;18;46;1;39;2;23;25;9;60;58;28;50;15;6;17;32;41;34;42;8;61;38;57;53;4;43;14;37;10;13;24;26;11;21;40;29;31;62;56;30;63;49;7;19;52;3;51;27;20;16;48;35;54
47;5;64;22;55;45;33;59;44;36;12;18;46;1;39;2;23;25;9;60;58;28;50;15;6;17;32;41;34;20;8;61;38;57;53;4;43;14;37;10;13;24;26;11;21;40;29;31;62;56;30;63;49;7;19;52;3;51;27;42;16;48;35;54;1;264
1;264;47;5;64;22;55;45;33;59;44;36;12;18;46;1;39;2;23;25;9;60;58;28;50;15;6;17;32;41;34;20;8;61;38;57;53;4;43;14;37;10;13;24;26;11;21;40;29;31;62;56;30;63;49;7;19;52;3;51;27;42;16;48;35;54
47;5;64;22;40;45;33;59;44;36;12;18;46;1;39;2;23;25;9;60;58;28;50;15;6;17;32;41;34;20;8;61;38;57;53;4;43;14;37;10;13;24;26;11;21;55;29;31;62;56;30;63;49;7;19;52;3;51;27;42;16;48;35;54;1;264
1;264;47;5;64;22;40;45;33;59;44;36;12;18;46;1;39;2;23;25;9;60;58;28;50;15;6;17;32;41;34;20;8;61;38;57;53;4;43;14;37;10;13;24;26;11;21;55;29;31;62;56;30;63;49;7;19;52;3;51;27;42;16;48;35;54
47;5;64;22;40;45;33;59;44;36;12;18;46;1;39;2;23;25;9;60;10;28;50;15;6;17;32;41;34;20;8;61;38;57;53;4;43;14;37;58;13;24;26;11;21;55;29;31;62;56;30;63;49;7;19;52;3;51;27;42;16;48;35;54;1;264
1;264;47;5;64;22;40;45;33;59;44;36;12;18;46;1;39;2;23;25;9;60;10;28;50;15;6;17;32;41;34;20;8;61;38;57;53;4;43;14;37;58;13;24;26;11;21;55;29;31;62;56;30;63;49;7;19;52;3;51;27;42;16;48;35;54
47;5;64;22;40;45;33;59;44;36;12;18;46;1;39;2;23;25;9;60;10;28;50;15;6;17;32;41;34;61;8;20;38;57;53;4;43;14;37;58;13;24;26;11;21;55;29;31;62;56;30;63;49;7;19;52;3;51;27;42;16;48;35;54;1;262
1;262;47;5;64;22;40;45;33;59;44;36;12;18;46;1;39;2;23;25;9;60;10;28;50;15;6;17;32;41;34;61;8;20;38;57;53;4;43;14;37;58;13;24;26;11;21;55;29;31;62;56;30;63;49;7;19;52;3;51;27;42;16;48;35;54
47;5;64;22;40;45;14;59;44;36;12;18;46;1;39;2;23;25;9;60;10;28;50;15;6;17;32;41;34;61;8;20;38;57;53;4;43;33;37;58;13;24;26;11;21;55;29;31;62;56;30;63;49;7;19;52;3;51;27;42;16;48;35;54;1;262
1;262;47;5;64;22;40;45;14;59;44;36;12;18;46;1;39;2;23;25;9;60;10;28;50;15;6;17;32;41;34;61;8;20;38;57;53;4;43;33;37;58;13;24;26;11;21;55;29;31;62;56;30;63;49;7;19;52;3;51;27;42;16;48;35;54
47;5;64;22;40;45;14;59;44;36;12;18;46;1;39;2;23;25;9;60;10;28;50;15;6;17;13;41;34;61;8;20;38;57;53;4;43;33;37;58;32;24;26;11;21;55;29;31;62;56;30;63;49;7;19;52;3;51;27;42;16;48;35;54;1;250
1;250;47;5;64;22;40;45;14;59;44;36;12;18;46;1;39;2;23;25;9;60;10;28;50;15;6;17;13;41;34;61;8;20;38;57;53;4;43;33;37;58;32;24;26;11;21;55;29;31;62;56;30;63;49;7;19;52;3;51;27;42;16;48;35;54
47;5;64;22;40;45;14;59;44;36;12;18;46;53;39;2;23;25;9;60;10;28;50;15;6;17;13;41;34;61;8;20;38;57;1;4;43;33;37;58;32;24;26;11;21;55;29;31;62;56;30;63;49;7;19;52;3;51;27;42;16;48;35;54;1;260
1;260;47;5;64;22;40;45;14;59;44;36;12;18;46;53;39;2;23;25;9;60;10;28;50;15;6;17;13;41;34;61;8;20;38;57;1;4;43;33;37;58;32;24;26;11;21;55;29;31;62;56;30;63;49;7;19;52;3;51;27;42;16;48;35;54
47;5;64;22;40;45;14;59;44;36;12;18;46;53;39;2;23;25;9;60;10;28;50;15;6;17;13;41;34;61;8;20;38;57;1;4;43;33;37;58;32;24;29;11;21;55;26;31;62;56;30;63;49;7;19;52;3;51;27;42;16;48;35;54;1;260
2;260;47;5;64;22;40;45;14;59;44;36;12;18;46;53;39;2;23;25;9;60;10;28;50;15;6;17;13;41;34;61;8;20;38;57;1;4;43;33;37;58;32;24;29;11;21;55;26;31;62;56;30;63;49;7;19;52;3;51;27;42;16;48;35;54
47;5;64;22;40;45;14;59;44;36;12;18;46;53;39;2;23;25;9;60;10;28;50;15;6;17;13;41;34;61;8;20;38;57;1;4;43;16;37;58;32;24;29;11;21;55;26;31;62;56;30;63;49;7;19;52;3;51;27;42;33;48;35;54;2;260
2;260;47;5;64;22;40;45;14;59;44;36;12;18;46;53;39;2;23;25;9;60;10;28;50;15;6;17;13;41;34;61;8;20;38;57;1;4;43;16;37;58;32;24;29;11;21;55;26;31;62;56;30;63;49;7;19;52;3;51;27;42;33;48;35;54
19;5;64;22;40;45;14;59;44;36;12;18;46;53;39;2;23;25;9;60;10;28;50;15;6;17;13;41;34;61;8;20;38;57;1;4;43;16;37;58;32;24;29;11;21;55;26;31;62;56;30;63;49;7;47;52;3;51;27;42;33;48;35;54;2;260
2;260;19;5;64;22;40;45;14;59;44;36;12;18;46;53;39;2;23;25;9;60;10;28;50;15;6;17;13;41;34;61;8;20;38;57;1;4;43;16;37;58;32;24;29;11;21;55;26;31;62;56;30;63;49;7;47;52;3;51;27;42;33;48;35;54
19;5;64;22;40;45;14;59;44;36;12;18;46;53;39;2;23;25;9;60;10;28;50;15;6;17;13;41;34;61;20;8;38;57;1;4;43;16;37;58;32;24;29;11;21;55;26;31;62;56;30;63;49;7;47;52;3;51;27;42;33;48;35;54;2;260
2;260;19;5;64;22;40;45;14;59;44;36;12;18;46;53;39;2;23;25;9;60;10;28;50;15;6;17;13;41;34;61;20;8;38;57;1;4;43;16;37;58;32;24;29;11;21;55;26;31;62;56;30;63;49;7;47;52;3;51;27;42;33;48;35;54
19;5;64;22;40;45;14;59;44;36;12;18;46;53;39;2;23;25;9;60;10;28;50;15;6;17;13;41;34;61;20;8;38;57;1;4;43;16;37;21;32;24;29;11;58;55;26;31;62;56;30;63;49;7;47;52;3;51;27;42;33;48;35;54;2;260
2;260;19;5;64;22;40;45;14;59;44;36;12;18;46;53;39;2;23;25;9;60;10;28;50;15;6;17;13;41;34;61;20;8;38;57;1;4;43;16;37;21;32;24;29;11;58;55;26;31;62;56;30;63;49;7;47;52;3;51;27;42;33;48;35;54
19;5;64;22;40;45;37;59;44;36;12;18;46;53;39;2;23;25;9;60;10;28;50;15;6;17;13;41;34;61;20;8;38;57;1;4;43;16;14;21;32;24;29;11;58;55;26;31;62;56;30;63;49;7;47;52;3;51;27;42;33;48;35;54;2;254
2;254;19;5;64;22;40;45;37;59;44;36;12;18;46;53;39;2;23;25;9;60;10;28;50;15;6;17;13;41;34;61;20;8;38;57;1;4;43;16;14;21;32;24;29;11;58;55;26;31;62;56;30;63;49;7;47;52;3;51;27;42;33;48;35;54
19;5;36;22;40;45;37;59;44;64;12;18;46;53;39;2;23;25;9;60;10;28;50;15;6;17;13;41;34;61;20;8;38;57;1;4;43;16;14;21;32;24;29;11;58;55;26;31;62;56;30;63;49;7;47;52;3;51;27;42;33;48;35;54;2;256
2;256;19;5;36;22;40;45;37;59;44;64;12;18;46;53;39;2;23;25;9;60;10;28;50;15;6;17;13;41;34;61;20;8;38;57;1;4;43;16;14;21;32;24;29;11;58;55;26;31;62;56;30;63;49;7;47;52;3;51;27;42;33;48;35;54
19;5;36;22;40;45;37;59;44;64;12;18;46;53;39;2;23;25;9;60;10;28;26;15;6;17;13;41;34;61;20;8;38;57;1;4;43;16;14;21;32;24;29;11;58;55;50;31;62;56;30;63;49;7;47;52;3;51;27;42;33;48;35;54;2;256
2;256;19;5;36;22;40;45;37;59;44;64;12;18;46;53;39;2;23;25;9;60;10;28;26;15;6;17;13;41;34;61;20;8;38;57;1;4;43;16;14;21;32;24;29;11;58;55;50;31;62;56;30;63;49;7;47;52;3;51;27;42;33;48;35;54
19;5;36;22;40;45;37;59;44;64;12;18;46;53;39;2;23;25;9;60;10;28;26;15;6;17;13;41;34;61;20;8;33;57;1;4;43;16;14;21;32;24;29;11;58;55;50;31;62;56;30;63;49;7;47;52;3;51;27;42;38;48;35;54;2;252
2;252;19;5;36;22;40;45;37;59;44;64;12;18;46;53;39;2;23;25;9;60;10;28;26;15;6;17;13;41;34;61;20;8;33;57;1;4;43;16;14;21;32;24;29;11;58;55;50;31;62;56;30;63;49;7;47;52;3;51;27;42;38;48;35;54
19;5;36;22;40;45;37;59;44;64;12;18;46;53;55;2;23;25;9;60;10;28;26;15;6;17;13;41;34;61;20;8;33;57;1;4;43;16;14;21;32;24;29;11;58;39;50;31;62;56;30;63;49;7;47;52;3;51;27;42;38;48;35;54;2;250
2;250;19;5;36;22;40;45;37;59;44;64;12;18;46;53;55;2;23;25;9;60;10;28;26;15;6;17;13;41;34;61;20;8;33;57;1;4;43;16;14;21;32;24;29;11;58;39;50;31;62;56;30;63;49;7;47;52;3;51;27;42;38;48;35;54
19;5;36;22;40;45;46;59;44;64;12;18;37;53;55;2;23;25;9;60;10;28;26;15;6;17;13;41;34;61;20;8;33;57;1;4;43;16;14;21;32;24;29;11;58;39;50;31;62;56;30;63;49;7;47;52;3;51;27;42;38;48;35;54;2;250
2;250;19;5;36;22;40;45;46;59;44;64;12;18;37;53;55;2;23;25;9;60;10;28;26;15;6;17;13;41;34;61;20;8;33;57;1;4;43;16;14;21;32;24;29;11;58;39;50;31;62;56;30;63;49;7;47;52;3;51;27;42;38;48;35;54
19;5;36;22;40;45;46;59;64;44;12;18;37;53;55;2;23;25;9;60;10;28;26;15;6;17;13;41;34;61;20;8;33;57;1;4;43;16;14;21;32;24;29;11;58;39;50;31;62;56;30;63;49;7;47;52;3;51;27;42;38;48;35;54;2;250
2;250;19;5;36;22;40;45;46;59;64;44;12;18;37;53;55;2;23;25;9;60;10;28;26;15;6;17;13;41;34;61;20;8;33;57;1;4;43;16;14;21;32;24;29;11;58;39;50;31;62;56;30;63;49;7;47;52;3;51;27;42;38;48;35;54
19;5;36;22;40;24;46;59;64;44;12;18;37;53;55;2;23;25;9;60;10;28;26;15;6;17;13;41;34;61;20;8;33;57;1;4;43;16;14;21;32;45;29;11;58;39;50;31;62;56;30;63;49;7;47;52;3;51;27;42;38;48;35;54;2;262
2;262;19;5;36;22;40;24;46;59;64;44;12;18;37;53;55;2;23;25;9;60;10;28;26;15;6;17;13;41;34;61;20;8;33;57;1;4;43;16;14;21;32;45;29;11;58;39;50;31;62;56;30;63;49;7;47;52;3;51;27;42;38;48;35;54
19;5;36;22;40;24;46;59;64;44;12;18;37;53;55;2;23;25;9;60;10;28;26;15;6;17;13;41;34;61;20;29;33;57;1;4;43;16;14;21;32;45;8;11;58;39;50;31;62;56;30;63;49;7;47;52;3;51;27;42;38;48;35;54;2;258
2;258;19;5;36;22;40;24;46;59;64;44;12;18;37;53;55;2;23;25;9;60;10;28;26;15;6;17;13;41;34;61;20;29;33;57;1;4;43;16;14;21;32;45;8;11;58;39;50;31;62;56;30;63;49;7;47;52;3;51;27;42;38;48;35;54
19;5;36;22;40;24;46;59;64;44;12;18;37;53;55;2;23;31;9;60;10;28;26;15;6;17;13;41;34;61;20;29;33;57;1;4;43;16;14;21;32;45;8;11;58;39;50;25;62;56;30;63;49;7;47;52;3;51;27;42;38;48;35;54;2;258
2;258;19;5;36;22;40;24;46;59;64;44;12;18;37;53;55;2;23;31;9;60;10;28;26;15;6;17;13;41;34;61;20;29;33;57;1;4;43;16;14;21;32;45;8;11;58;39;50;25;62;56;30;63;49;7;47;52;3;51;27;42;38;48;35;54
19;5;36;22;51;24;46;59;64;44;12;18;37;53;55;2;23;31;9;60;10;28;26;15;6;17;13;41;34;61;20;29;33;57;1;4;43;16;14;21;32;45;8;11;58;39;50;25;62;56;30;63;49;7;47;52;3;40;27;42;38;48;35;54;2;258
2;258;19;5;36;22;51;24;46;59;64;44;12;18;37;53;55;2;23;31;9;60;10;28;26;15;6;17;13;41;34;61;20;29;33;57;1;4;43;16;14;21;32;45;8;11;58;39;50;25;62;56;30;63;49;7;47;52;3;40;27;42;38;48;35;54
19;5;36;22;51;24;46;59;64;44;12;18;37;53;55;2;23;31;9;60;10;28;26;15;6;17;13;41;49;61;20;29;33;57;1;4;43;16;14;21;32;45;8;11;58;39;50;25;62;56;30;63;34;7;47;52;3;40;27;42;38;48;35;54;2;258
2;258;19;5;36;22;51;24;46;59;64;44;12;18;37;53;55;2;23;31;9;60;10;28;26;15;6;17;13;41;49;61;20;29;33;57;1;4;43;16;14;21;32;45;8;11;58;39;50;25;62;56;30;63;34;7;47;52;3;40;27;42;38;48;35;54
19;5;36;22;51;24;46;59;3;44;12;18;37;53;55;2;23;31;9;60;10;28;26;15;6;17;13;41;49;61;20;29;33;57;1;4;43;16;14;21;32;45;8;11;58;39;50;25;62;56;30;63;34;7;47;52;64;40;27;42;38;48;35;54;2;258
2;258;19;5;36;22;51;24;46;59;3;44;12;18;37;53;55;2;23;31;9;60;10;28;26;15;6;17;13;41;49;61;20;29;33;57;1;4;43;16;14;21;32;45;8;11;58;39;50;25;62;56;30;63;34;7;47;52;64;40;27;42;38;48;35;54
19;5;36;22;51;24;46;59;3;44;12;18;37;53;55;2;23;31;9;60;10;45;26;15;6;17;13;41;49;61;20;29;33;57;1;4;43;16;14;21;32;28;8;11;58;39;50;25;62;56;30;63;34;7;47;52;64;40;27;42;38;48;35;54;2;252
2;252;19;5;36;22;51;24;46;59;3;44;12;18;37;53;55;2;23;31;9;60;10;45;26;15;6;17;13;41;49;61;20;29;33;57;1;4;43;16;14;21;32;28;8;11;58;39;50;25;62;56;30;63;34;7;47;52;64;40;27;42;38;48;35;54
19;5;36;22;51;24;46;59;3;44;12;18;37;53;55;2;23;31;9;60;10;45;26;15;6;17;13;41;49;61;20;29;33;57;1;4;43;16;14;21;32;28;8;11;58;47;50;25;62;56;30;63;34;7;39;52;64;40;27;42;38;48;35;54;2;248
2;248;19;5;36;22;51;24;46;59;3;44;12;18;37;53;55;2;23;31;9;60;10;45;26;15;6;17;13;41;49;61;20;29;33;57;1;4;43;16;14;21;32;28;8;11;58;47;50;25;62;56;30;63;34;7;39;52;64;40;27;42;38;48;35;54
19;5;36;22;51;24;46;59;3;44;12;18;37;53;55;2;23;31;9;60;10;45;26;15;6;17;13;41;49;61;20;29;33;57;1;4;43;16;14;21;32;28;8;7;58;47;50;25;62;56;30;63;34;11;39;52;64;40;27;42;38;48;35;54;2;252
3;252;19;5;36;22;51;24;46;59;3;44;12;18;37;53;55;2;23;31;9;60;10;45;26;15;6;17;13;41;49;61;20;29;33;57;1;4;43;16;14;21;32;28;8;7;58;47;50;25;62;56;30;63;34;11;39;52;64;40;27;42;38;48;35;54
19;5;36;22;51;24;46;59;3;44;12;18;37;53;55;2;23;31;9;60;10;45;26;15;6;17;13;41;49;61;20;29;33;57;1;4;43;16;14;21;32;64;8;7;58;47;50;25;62;56;30;63;34;11;39;52;28;40;27;42;38;48;35;54;3;252
3;252;19;5;36;22;51;24;46;59;3;44;12;18;37;53;55;2;23;31;9;60;10;45;26;15;6;17;13;41;49;61;20;29;33;57;1;4;43;16;14;21;32;64;8;7;58;47;50;25;62;56;30;63;34;11;39;52;28;40;27;42;38;48;35;54
19;5;36;22;51;24;46;59;3;44;12;18;37;53;55;2;23;31;9;60;10;45;26;15;6;17;13;41;49;61;20;29;33;57;1;4;43;16;14;21;32;64;8;7;58;47;50;25;62;56;30;63;34;27;39;52;28;40;11;42;38;48;35;54;3;252
3;252;19;5;36;22;51;24;46;59;3;44;12;18;37;53;55;2;23;31;9;60;10;45;26;15;6;17;13;41;49;61;20;29;33;57;1;4;43;16;14;21;32;64;8;7;58;47;50;25;62;56;30;63;34;27;39;52;28;40;11;42;38;48;35;54
19;5;36;22;51;24;46;59;3;14;12;18;37;53;55;2;23;31;9;60;10;45;26;15;6;17;13;41;49;61;20;29;33;57;1;4;43;16;44;21;32;64;8;7;58;47;50;25;62;56;30;63;34;27;39;52;28;40;11;42;38;48;35;54;3;278
3;278;19;5;36;22;51;24;46;59;3;14;12;18;37;53;55;2;23;31;9;60;10;45;26;15;6;17;13;41;49;61;20;29;33;57;1;4;43;16;44;21;32;64;8;7;58;47;50;25;62;56;30;63;34;27;39;52;28;40;11;42;38;48;35;54
19;5;36;22;51;24;46;59;3;14;12;18;37;53;55;2;23;31;9;60;10;45;26;15;6;17;13;41;49;61;20;29;33;57;1;4;43;16;44;21;64;32;8;7;58;47;50;25;62;56;30;63;34;27;39;52;28;40;11;42;38;48;35;54;3;278
3;278;19;5;36;22;51;24;46;59;3;14;12;18;37;53;55;2;23;31;9;60;10;45;26;15;6;17;13;41;49;61;20;29;33;57;1;4;43;16;44;21;64;32;8;7;58;47;50;25;62;56;30;63;34;27;39;52;28;40;11;42;38;48;35;54
19;5;36;22;51;24;46;59;3;14;12;18;37;53;55;2;23;31;9;49;10;45;26;15;6;17;13;41;60;61;20;29;33;57;1;4;43;16;44;21;64;32;8;7;58;47;50;25;62;56;30;63;34;27;39;52;28;40;11;42;38;48;35;54;3;276
3;276;19;5;36;22;51;24;46;59;3;14;12;18;37;53;55;2;23;31;9;49;10;45;26;15;6;17;13;41;60;61;20;29;33;57;1;4;43;16;44;21;64;32;8;7;58;47;50;25;62;56;30;63;34;27;39;52;28;40;11;42;38;48;35;54
19;5;36;22;51;41;46;59;3;14;12;18;37;53;55;2;23;31;9;49;10;45;26;15;6;17;13;24;60;61;20;29;33;57;1;4;43;16;44;21;64;32;8;7;58;47;50;25;62;56;30;63;34;27;39;52;28;40;11;42;38;48;35;54;3;272
3;272;19;5;36;22;51;41;46;59;3;14;12;18;37;53;55;2;23;31;9;49;10;45;26;15;6;17;13;24;60;61;20;29;33;57;1;4;43;16;44;21;64;32;8;7;58;47;50;25;62;56;30;63;34;27;39;52;28;40;11;42;38;48;35;54
19;5;36;22;51;41;46;59;34;14;12;18;37;53;55;2;23;31;9;49;10;45;26;15;6;17;13;24;60;61;20;29;33;57;1;4;43;16;44;21;64;32;8;7;58;47;50;25;62;56;30;63;3;27;39;52;28;40;11;42;38;48;35;54;3;272
3;272;19;5;36;22;51;41;46;59;34;14;12;18;37;53;55;2;23;31;9;49;10;45;26;15;6;17;13;24;60;61;20;29;33;57;1;4;43;16;44;21;64;32;8;7;58;47;50;25;62;56;30;63;3;27;39;52;28;40;11;42;38;48;35;54
19;5;36;22;51;41;46;59;34;14;12;18;37;53;55;2;23;31;9;49;10;45;26;15;6;17;13;43;60;61;20;29;33;57;1;4;24;16;44;21;64;32;8;7;58;47;50;25;62;56;30;63;3;27;39;52;28;40;11;42;38;48;35;54;3;288
3;288;19;5;36;22;51;41;46;59;34;14;12;18;37;53;55;2;23;31;9;49;10;45;26;15;6;17;13;43;60;61;20;29;33;57;1;4;24;16;44;21;64;32;8;7;58;47;50;25;62;56;30;63;3;27;39;52;28;40;11;42;38;48;35;54
19;5;36;22;51;41;46;59;34;14;12;33;37;53;55;2;23;31;9;49;10;45;26;15;6;17;13;43;60;61;20;29;18;57;1;4;24;16;44;21;64;32;8;7;58;47;50;25;62;56;30;63;3;27;39;52;28;40;11;42;38;48;35;54;3;290
3;290;19;5;36;22;51;41;46;59;34;14;12;33;37;53;55;2;23;31;9;49;10;45;26;15;6;17;13;43;60;61;20;29;18;57;1;4;24;16;44;21;64;32;8;7;58;47;50;25;62;56;30;63;3;27;39;52;28;40;11;42;38;48;35;54
19;62;36;22;51;41;46;59;34;14;12;33;37;53;55;2;23;31;9;49;10;45;26;15;6;17;13;43;60;61;20;29;18;57;1;4;24;16;44;21;64;32;8;7;58;47;50;25;5;56;30;63;3;27;39;52;28;40;11;42;38;48;35;54;3;290
3;290;19;62;36;22;51;41;46;59;34;14;12;33;37;53;55;2;23;31;9;49;10;45;26;15;6;17;13;43;60;61;20;29;18;57;1;4;24;16;44;21;64;32;8;7;58;47;50;25;5;56;30;63;3;27;39;52;28;40;11;42;38;48;35;54
19;62;36;22;51;41;46;59;34;14;12;33;27;53;55;2;23;31;9;49;10;45;26;15;6;17;13;43;60;61;20;29;18;57;1;4;24;16;44;21;64;32;8;7;58;47;50;25;5;56;30;63;3;37;39;52;28;40;11;42;38;48;35;54;3;290
