"X1";"X284";"X59";"X28";"X46";"X10";"X31";"X26";"X19";"X8";"X21";"X38";"X57";"X24";"X22";"X27";"X44";"X6";"X35";"X16";"X29";"X53";"X48";"X12";"X1.1";"X15";"X25";"X42";"X30";"X7";"X5";"X2";"X4";"X47";"X37";"X43";"X51";"X52";"X9";"X41";"X63";"X14";"X33";"X50";"X3";"X60";"X18";"X61";"X23";"X20";"X49";"X11";"X58";"X64";"X55";"X62";"X32";"X17";"X40";"X45";"X39";"X54";"X34";"X36";"X13";"X56"
2;298;59;28;46;10;13;22;19;8;44;38;57;54;48;58;27;42;35;16;29;52;26;12;17;15;25;6;30;21;5;41;62;47;9;43;56;11;51;2;63;14;33;37;3;60;18;61;23;64;49;39;7;45;55;4;32;1;40;20;34;24;53;36;31;50
59;28;46;10;13;22;19;8;44;38;57;54;48;58;27;42;35;16;29;52;51;12;17;15;25;6;30;21;5;41;62;47;9;43;56;11;26;2;63;14;33;37;3;60;18;61;23;64;49;39;7;45;55;4;32;1;40;20;34;24;53;36;31;50;2;294
2;294;59;28;46;10;13;22;19;8;44;38;57;54;48;58;27;42;35;16;29;52;51;12;17;15;25;6;30;21;5;41;62;47;9;43;56;11;26;2;63;14;33;37;3;60;18;61;23;64;49;39;7;45;55;4;32;1;40;20;34;24;53;36;31;50
59;28;46;10;13;22;19;8;44;38;57;54;48;58;27;42;35;16;29;52;51;12;17;15;25;6;30;21;5;41;62;47;9;43;56;11;26;2;63;14;33;37;31;60;18;61;23;64;49;39;7;45;55;4;32;1;40;20;34;24;53;36;3;50;2;294
2;294;59;28;46;10;13;22;19;8;44;38;57;54;48;58;27;42;35;16;29;52;51;12;17;15;25;6;30;21;5;41;62;47;9;43;56;11;26;2;63;14;33;37;31;60;18;61;23;64;49;39;7;45;55;4;32;1;40;20;34;24;53;36;3;50
59;28;46;10;13;22;19;8;44;38;57;54;48;58;27;42;35;39;29;52;51;12;17;15;25;6;30;21;5;41;62;47;9;43;56;11;26;2;63;14;33;37;31;60;18;61;23;64;49;16;7;45;55;4;32;1;40;20;34;24;53;36;3;50;2;294
2;294;59;28;46;10;13;22;19;8;44;38;57;54;48;58;27;42;35;39;29;52;51;12;17;15;25;6;30;21;5;41;62;47;9;43;56;11;26;2;63;14;33;37;31;60;18;61;23;64;49;16;7;45;55;4;32;1;40;20;34;24;53;36;3;50
59;28;46;10;13;22;19;8;44;38;57;54;48;58;27;42;35;39;29;52;51;12;17;15;25;6;30;21;33;41;62;47;9;43;56;11;26;2;63;14;5;37;31;60;18;61;23;64;49;16;7;45;55;4;32;1;40;20;34;24;53;36;3;50;2;294
2;294;59;28;46;10;13;22;19;8;44;38;57;54;48;58;27;42;35;39;29;52;51;12;17;15;25;6;30;21;33;41;62;47;9;43;56;11;26;2;63;14;5;37;31;60;18;61;23;64;49;16;7;45;55;4;32;1;40;20;34;24;53;36;3;50
59;28;46;10;13;22;19;8;44;38;57;54;48;58;27;42;35;39;29;52;51;12;17;15;25;6;30;21;33;41;62;47;9;43;56;11;26;2;64;14;5;37;31;60;18;61;23;63;49;16;7;45;55;4;32;1;40;20;34;24;53;36;3;50;2;288
2;288;59;28;46;10;13;22;19;8;44;38;57;54;48;58;27;42;35;39;29;52;51;12;17;15;25;6;30;21;33;41;62;47;9;43;56;11;26;2;64;14;5;37;31;60;18;61;23;63;49;16;7;45;55;4;32;1;40;20;34;24;53;36;3;50
59;28;46;62;13;22;19;8;44;38;57;54;48;58;27;42;35;39;29;52;51;12;17;15;25;6;30;21;33;41;10;47;9;43;56;11;26;2;64;14;5;37;31;60;18;61;23;63;49;16;7;45;55;4;32;1;40;20;34;24;53;36;3;50;2;284
2;284;59;28;46;62;13;22;19;8;44;38;57;54;48;58;27;42;35;39;29;52;51;12;17;15;25;6;30;21;33;41;10;47;9;43;56;11;26;2;64;14;5;37;31;60;18;61;23;63;49;16;7;45;55;4;32;1;40;20;34;24;53;36;3;50
59;28;46;62;4;22;19;8;44;38;57;54;48;58;27;42;35;39;29;52;51;12;17;15;25;6;30;21;33;41;10;47;9;43;56;11;26;2;64;14;5;37;31;60;18;61;23;63;49;16;7;45;55;13;32;1;40;20;34;24;53;36;3;50;2;284
2;284;59;28;46;62;4;22;19;8;44;38;57;54;48;58;27;42;35;39;29;52;51;12;17;15;25;6;30;21;33;41;10;47;9;43;56;11;26;2;64;14;5;37;31;60;18;61;23;63;49;16;7;45;55;13;32;1;40;20;34;24;53;36;3;50
59;28;56;62;4;22;19;8;44;38;57;54;48;58;27;42;35;39;29;52;51;12;17;15;25;6;30;21;33;41;10;47;9;43;46;11;26;2;64;14;5;37;31;60;18;61;23;63;49;16;7;45;55;13;32;1;40;20;34;24;53;36;3;50;2;284
2;284;59;28;56;62;4;22;19;8;44;38;57;54;48;58;27;42;35;39;29;52;51;12;17;15;25;6;30;21;33;41;10;47;9;43;46;11;26;2;64;14;5;37;31;60;18;61;23;63;49;16;7;45;55;13;32;1;40;20;34;24;53;36;3;50
59;28;56;62;4;22;19;8;44;38;57;54;48;58;27;42;35;39;29;52;51;12;17;15;25;6;30;21;33;41;10;47;9;43;46;11;26;2;64;14;5;37;31;55;18;61;23;63;49;16;7;45;60;13;32;1;40;20;34;24;53;36;3;50;2;288
2;288;59;28;56;62;4;22;19;8;44;38;57;54;48;58;27;42;35;39;29;52;51;12;17;15;25;6;30;21;33;41;10;47;9;43;46;11;26;2;64;14;5;37;31;55;18;61;23;63;49;16;7;45;60;13;32;1;40;20;34;24;53;36;3;50
59;28;56;62;4;22;19;8;44;6;57;54;48;58;27;42;35;39;29;52;51;12;17;15;25;38;30;21;33;41;10;47;9;43;46;11;26;2;64;14;5;37;31;55;18;61;23;63;49;16;7;45;60;13;32;1;40;20;34;24;53;36;3;50;2;292
2;288;59;28;56;62;4;22;19;8;44;38;57;54;48;58;27;42;35;39;29;52;51;12;17;15;25;6;30;21;33;41;10;47;9;43;46;11;26;2;64;14;5;37;31;55;18;61;23;63;49;16;7;45;60;13;32;1;40;20;34;24;53;36;3;50
59;28;56;62;4;22;10;8;44;38;57;54;48;58;27;42;35;39;29;52;51;12;17;15;25;6;30;21;33;41;19;47;9;43;46;11;26;2;64;14;5;37;31;55;18;61;23;63;49;16;7;45;60;13;32;1;40;20;34;24;53;36;3;50;2;288
2;288;59;28;56;62;4;22;10;8;44;38;57;54;48;58;27;42;35;39;29;52;51;12;17;15;25;6;30;21;33;41;19;47;9;43;46;11;26;2;64;14;5;37;31;55;18;61;23;63;49;16;7;45;60;13;32;1;40;20;34;24;53;36;3;50
59;28;56;62;4;22;10;8;44;38;57;54;48;58;27;42;35;39;29;52;51;12;17;15;25;6;30;21;33;41;19;47;9;43;46;11;26;2;64;14;5;37;31;55;18;61;23;63;49;16;7;45;60;13;32;1;40;3;34;24;53;36;20;50;2;288
2;288;59;28;56;62;4;22;10;8;44;38;57;54;48;58;27;42;35;39;29;52;51;12;17;15;25;6;30;21;33;41;19;47;9;43;46;11;26;2;64;14;5;37;31;55;18;61;23;63;49;16;7;45;60;13;32;1;40;3;34;24;53;36;20;50
59;28;56;62;4;22;10;8;44;38;57;54;48;58;27;42;35;39;29;40;51;12;17;15;25;6;30;21;33;41;19;47;9;43;46;11;26;2;64;14;5;37;31;55;18;61;23;63;49;16;7;45;60;13;32;1;52;3;34;24;53;36;20;50;2;284
2;284;59;28;56;62;4;22;10;8;44;38;57;54;48;58;27;42;35;39;29;40;51;12;17;15;25;6;30;21;33;41;19;47;9;43;46;11;26;2;64;14;5;37;31;55;18;61;23;63;49;16;7;45;60;13;32;1;52;3;34;24;53;36;20;50
59;28;56;62;4;22;10;8;44;38;57;54;48;58;27;42;35;39;29;9;51;12;17;15;25;6;30;21;33;41;19;47;40;43;46;11;26;2;64;14;5;37;31;55;18;61;23;63;49;16;7;45;60;13;32;1;52;3;34;24;53;36;20;50;2;288
2;288;59;28;56;62;4;22;10;8;44;38;57;54;48;58;27;42;35;39;29;9;51;12;17;15;25;6;30;21;33;41;19;47;40;43;46;11;26;2;64;14;5;37;31;55;18;61;23;63;49;16;7;45;60;13;32;1;52;3;34;24;53;36;20;50
59;28;56;62;4;22;10;32;44;38;57;54;48;58;27;42;35;39;29;9;51;12;17;15;25;6;30;21;33;41;19;47;40;43;46;11;26;2;64;14;5;37;31;55;18;61;23;63;49;16;7;45;60;13;8;1;52;3;34;24;53;36;20;50;2;272
2;272;59;28;56;62;4;22;10;32;44;38;57;54;48;58;27;42;35;39;29;9;51;12;17;15;25;6;30;21;33;41;19;47;40;43;46;11;26;2;64;14;5;37;31;55;18;61;23;63;49;16;7;45;60;13;8;1;52;3;34;24;53;36;20;50
59;28;56;62;4;22;10;32;44;38;57;54;48;58;27;12;35;39;29;9;51;42;17;15;25;6;30;21;33;41;19;47;40;43;46;11;26;2;64;14;5;37;31;55;18;61;23;63;49;16;7;45;60;13;8;1;52;3;34;24;53;36;20;50;2;268
2;268;59;28;56;62;4;22;10;32;44;38;57;54;48;58;27;12;35;39;29;9;51;42;17;15;25;6;30;21;33;41;19;47;40;43;46;11;26;2;64;14;5;37;31;55;18;61;23;63;49;16;7;45;60;13;8;1;52;3;34;24;53;36;20;50
59;28;56;62;4;22;10;32;44;38;57;54;48;58;27;12;35;39;29;9;51;42;17;15;25;30;6;21;33;41;19;47;40;43;46;11;26;2;64;14;5;37;31;55;18;61;23;63;49;16;7;45;60;13;8;1;52;3;34;24;53;36;20;50;2;280
2;280;59;28;56;62;4;22;10;32;44;38;57;54;48;58;27;12;35;39;29;9;51;42;17;15;25;30;6;21;33;41;19;47;40;43;46;11;26;2;64;14;5;37;31;55;18;61;23;63;49;16;7;45;60;13;8;1;52;3;34;24;53;36;20;50
59;28;56;62;4;22;10;32;44;38;57;45;48;58;27;12;35;39;29;9;51;42;17;15;25;30;6;21;33;41;19;47;40;43;46;11;26;2;64;14;5;37;31;55;18;61;23;63;49;16;7;54;60;13;8;1;52;3;34;24;53;36;20;50;2;280
3;280;59;28;56;62;4;22;10;32;44;38;57;45;48;58;27;12;35;39;29;9;51;42;17;15;25;30;6;21;33;41;19;47;40;43;46;11;26;2;64;14;5;37;31;55;18;61;23;63;49;16;7;54;60;13;8;1;52;3;34;24;53;36;20;50
59;28;56;62;4;22;10;32;44;38;57;45;48;58;27;12;35;39;29;9;51;42;17;15;25;30;6;21;33;41;19;47;40;43;46;11;26;2;64;14;5;37;31;55;18;61;23;63;49;16;52;54;60;13;8;1;7;3;34;24;53;36;20;50;3;280
3;280;59;28;56;62;4;22;10;32;44;38;57;45;48;58;27;12;35;39;29;9;51;42;17;15;25;30;6;21;33;41;19;47;40;43;46;11;26;2;64;14;5;37;31;55;18;61;23;63;49;16;52;54;60;13;8;1;7;3;34;24;53;36;20;50
59;28;56;62;4;22;49;32;44;38;57;45;48;58;27;12;35;39;29;9;51;42;17;15;25;30;6;21;33;41;19;47;40;43;46;11;26;2;64;14;5;37;31;55;18;61;23;63;10;16;52;54;60;13;8;1;7;3;34;24;53;36;20;50;3;280
3;280;59;28;56;62;4;22;49;32;44;38;57;45;48;58;27;12;35;39;29;9;51;42;17;15;25;30;6;21;33;41;19;47;40;43;46;11;26;2;64;14;5;37;31;55;18;61;23;63;10;16;52;54;60;13;8;1;7;3;34;24;53;36;20;50
59;28;56;62;4;22;49;32;44;38;57;45;48;58;26;12;35;39;29;9;51;42;17;15;25;30;6;21;33;41;19;47;40;43;46;11;27;2;64;14;5;37;31;55;18;61;23;63;10;16;52;54;60;13;8;1;7;3;34;24;53;36;20;50;3;276
3;276;59;28;56;62;4;22;49;32;44;38;57;45;48;58;26;12;35;39;29;9;51;42;17;15;25;30;6;21;33;41;19;47;40;43;46;11;27;2;64;14;5;37;31;55;18;61;23;63;10;16;52;54;60;13;8;1;7;3;34;24;53;36;20;50
59;14;56;62;4;22;49;32;44;38;57;45;48;58;26;12;35;39;29;9;51;42;17;15;25;30;6;21;33;41;19;47;40;43;46;11;27;2;64;28;5;37;31;55;18;61;23;63;10;16;52;54;60;13;8;1;7;3;34;24;53;36;20;50;3;276
3;276;59;14;56;62;4;22;49;32;44;38;57;45;48;58;26;12;35;39;29;9;51;42;17;15;25;30;6;21;33;41;19;47;40;43;46;11;27;2;64;28;5;37;31;55;18;61;23;63;10;16;52;54;60;13;8;1;7;3;34;24;53;36;20;50
59;14;56;62;4;22;49;32;44;38;57;45;48;58;26;12;35;39;29;9;51;42;17;15;25;30;6;21;33;41;19;47;40;43;46;16;27;2;64;28;5;37;31;55;18;61;23;63;10;11;52;54;60;13;8;1;7;3;34;24;53;36;20;50;3;276
3;276;59;14;56;62;4;22;49;32;44;38;57;45;48;58;26;12;35;39;29;9;51;42;17;15;25;30;6;21;33;41;19;47;40;43;46;16;27;2;64;28;5;37;31;55;18;61;23;63;10;11;52;54;60;13;8;1;7;3;34;24;53;36;20;50
59;14;56;62;4;22;49;32;44;38;57;45;48;58;26;12;35;39;29;9;51;42;17;15;25;30;6;21;33;41;19;47;40;43;46;16;27;2;64;28;5;37;50;55;18;61;23;63;10;11;52;54;60;13;8;1;7;3;34;24;53;36;20;31;3;276
3;276;59;14;56;62;4;22;49;32;44;38;57;45;48;58;26;12;35;39;29;9;51;42;17;15;25;30;6;21;33;41;19;47;40;43;46;16;27;2;64;28;5;37;50;55;18;61;23;63;10;11;52;54;60;13;8;1;7;3;34;24;53;36;20;31
59;14;56;62;7;22;49;32;44;38;57;45;48;58;26;12;35;39;29;9;51;42;17;15;25;30;6;21;33;41;19;47;40;43;46;16;27;2;64;28;5;37;50;55;18;61;23;63;10;11;52;54;60;13;8;1;4;3;34;24;53;36;20;31;3;276
3;276;59;14;56;62;7;22;49;32;44;38;57;45;48;58;26;12;35;39;29;9;51;42;17;15;25;30;6;21;33;41;19;47;40;43;46;16;27;2;64;28;5;37;50;55;18;61;23;63;10;11;52;54;60;13;8;1;4;3;34;24;53;36;20;31
59;14;56;62;7;22;49;32;44;38;39;45;48;58;26;12;35;57;29;9;51;42;17;15;25;30;6;21;33;41;19;47;40;43;46;16;27;2;64;28;5;37;50;55;18;61;23;63;10;11;52;54;60;13;8;1;4;3;34;24;53;36;20;31;3;292
3;292;59;14;56;62;7;22;49;32;44;38;39;45;48;58;26;12;35;57;29;9;51;42;17;15;25;30;6;21;33;41;19;47;40;43;46;16;27;2;64;28;5;37;50;55;18;61;23;63;10;11;52;54;60;13;8;1;4;3;34;24;53;36;20;31
59;14;56;62;7;22;49;32;44;38;39;45;48;58;26;12;35;57;29;9;51;42;17;15;25;30;6;21;33;41;19;47;40;43;46;16;27;3;64;28;5;37;50;55;18;61;23;63;10;11;52;54;60;13;8;1;4;2;34;24;53;36;20;31;3;292
3;292;59;14;56;62;7;22;49;32;44;38;39;45;48;58;26;12;35;57;29;9;51;42;17;15;25;30;6;21;33;41;19;47;40;43;46;16;27;3;64;28;5;37;50;55;18;61;23;63;10;11;52;54;60;13;8;1;4;2;34;24;53;36;20;31
59;14;56;62;7;22;49;32;44;38;39;45;48;58;26;12;35;57;29;9;51;42;17;15;25;6;30;21;33;41;19;47;40;43;46;16;27;3;64;28;5;37;50;55;18;61;23;63;10;11;52;54;60;13;8;1;4;2;34;24;53;36;20;31;3;280
3;280;59;14;56;62;7;22;49;32;44;38;39;45;48;58;26;12;35;57;29;9;51;42;17;15;25;6;30;21;33;41;19;47;40;43;46;16;27;3;64;28;5;37;50;55;18;61;23;63;10;11;52;54;60;13;8;1;4;2;34;24;53;36;20;31
59;14;56;62;7;22;49;32;44;13;39;45;48;58;26;12;35;57;29;9;51;42;17;15;25;6;30;21;33;41;19;47;40;43;46;16;27;3;64;28;5;37;50;55;18;61;23;63;10;11;52;54;60;38;8;1;4;2;34;24;53;36;20;31;3;268
