"X1";"X5975226";"X5";"X23";"X1.1";"X12";"X16";"X25";"X3";"X11";"X14";"X9";"X17";"X22";"X2";"X8";"X4";"X13";"X15";"X6";"X26";"X20";"X7";"X24";"X19";"X21";"X10";"X18"
1;6134604;9;12;24;4;18;21;15;11;23;20;17;22;26;8;5;13;3;6;2;16;10;14;1;25;7;19
9;12;24;4;18;21;15;11;23;3;17;22;26;8;5;13;20;6;2;16;10;14;1;25;7;19;1;6127702
1;6127702;9;12;24;4;18;21;15;11;23;3;17;22;26;8;5;13;20;6;2;16;10;14;1;25;7;19
9;12;24;4;18;21;15;11;23;3;17;1;26;8;5;13;20;6;2;16;10;14;22;25;7;19;1;6047452
1;6047452;9;12;24;4;18;21;15;11;23;3;17;1;26;8;5;13;20;6;2;16;10;14;22;25;7;19
9;12;24;4;18;21;3;11;23;15;17;1;26;8;5;13;20;6;2;16;10;14;22;25;7;19;1;6055081
2;6055081;9;12;24;4;18;21;3;11;23;15;17;1;26;8;5;13;20;6;2;16;10;14;22;25;7;19
9;12;24;4;18;21;3;11;23;15;25;1;26;8;5;13;20;6;2;16;10;14;22;17;7;19;2;6053820
2;6053820;9;12;24;4;18;21;3;11;23;15;25;1;26;8;5;13;20;6;2;16;10;14;22;17;7;19
9;12;24;4;18;21;3;11;23;15;25;1;26;8;5;13;20;6;2;16;10;17;22;14;7;19;2;6083653
2;6083653;9;12;24;4;18;21;3;11;23;15;25;1;26;8;5;13;20;6;2;16;10;17;22;14;7;19
9;12;24;4;18;21;3;11;23;15;25;1;26;8;5;13;20;19;2;16;10;17;22;14;7;6;2;6029661
2;6029661;9;12;24;4;18;21;3;11;23;15;25;1;26;8;5;13;20;19;2;16;10;17;22;14;7;6
9;12;24;3;18;21;4;11;23;15;25;1;26;8;5;13;20;19;2;16;10;17;22;14;7;6;2;5966437
2;5966437;9;12;24;3;18;21;4;11;23;15;25;1;26;8;5;13;20;19;2;16;10;17;22;14;7;6
9;12;24;3;18;21;4;11;23;15;25;1;26;8;5;13;20;19;2;16;14;17;22;10;7;6;2;5966702
2;5966702;9;12;24;3;18;21;4;11;23;15;25;1;26;8;5;13;20;19;2;16;14;17;22;10;7;6
9;12;24;3;6;21;4;11;23;15;25;1;26;8;5;13;20;19;2;16;14;17;22;10;7;18;2;5922489
2;5922489;9;12;24;3;6;21;4;11;23;15;25;1;26;8;5;13;20;19;2;16;14;17;22;10;7;18
9;12;24;3;6;21;1;11;23;15;25;4;26;8;5;13;20;19;2;16;14;17;22;10;7;18;2;6025971
2;6025971;9;12;24;3;6;21;1;11;23;15;25;4;26;8;5;13;20;19;2;16;14;17;22;10;7;18
9;12;24;8;6;21;1;11;23;15;25;4;26;3;5;13;20;19;2;16;14;17;22;10;7;18;2;6002257
2;6002257;9;12;24;8;6;21;1;11;23;15;25;4;26;3;5;13;20;19;2;16;14;17;22;10;7;18
9;12;24;8;6;21;1;11;23;15;22;4;26;3;5;13;20;19;2;16;14;17;25;10;7;18;2;6001745
2;6001745;9;12;24;8;6;21;1;11;23;15;22;4;26;3;5;13;20;19;2;16;14;17;25;10;7;18
9;12;24;8;6;18;1;11;23;15;22;4;26;3;5;13;20;19;2;16;14;17;25;10;7;21;2;5999612
2;5999612;9;12;24;8;6;18;1;11;23;15;22;4;26;3;5;13;20;19;2;16;14;17;25;10;7;21
9;12;24;8;6;18;1;11;23;15;17;4;26;3;5;13;20;19;2;16;14;22;25;10;7;21;2;6001032
2;6001032;9;12;24;8;6;18;1;11;23;15;17;4;26;3;5;13;20;19;2;16;14;22;25;10;7;21
9;12;24;8;6;18;1;11;13;15;17;4;26;3;5;23;20;19;2;16;14;22;25;10;7;21;2;5997872
2;5997872;9;12;24;8;6;18;1;11;13;15;17;4;26;3;5;23;20;19;2;16;14;22;25;10;7;21
9;12;24;8;6;18;1;11;22;15;17;4;26;3;5;23;20;19;2;16;14;13;25;10;7;21;2;6011707
2;6011707;9;12;24;8;6;18;1;11;22;15;17;4;26;3;5;23;20;19;2;16;14;13;25;10;7;21
9;12;24;8;6;18;1;11;22;15;17;4;16;3;5;23;20;19;2;26;14;13;25;10;7;21;2;6016645
2;6016645;9;12;24;8;6;18;1;11;22;15;17;4;16;3;5;23;20;19;2;26;14;13;25;10;7;21
9;12;24;21;6;18;1;11;22;15;17;4;16;3;5;23;20;19;2;26;14;13;25;10;7;8;2;5996963
2;5996963;9;12;24;21;6;18;1;11;22;15;17;4;16;3;5;23;20;19;2;26;14;13;25;10;7;8
9;12;24;21;6;18;1;11;2;15;17;4;16;3;5;23;20;19;22;26;14;13;25;10;7;8;2;6004835
2;6004835;9;12;24;21;6;18;1;11;2;15;17;4;16;3;5;23;20;19;22;26;14;13;25;10;7;8
9;12;24;21;6;18;1;11;2;15;17;4;16;26;5;23;20;19;22;3;14;13;25;10;7;8;2;6031219
2;6031219;9;12;24;21;6;18;1;11;2;15;17;4;16;26;5;23;20;19;22;3;14;13;25;10;7;8
9;12;24;21;6;18;1;11;20;15;17;4;16;26;5;23;2;19;22;3;14;13;25;10;7;8;2;6048430
2;6048430;9;12;24;21;6;18;1;11;20;15;17;4;16;26;5;23;2;19;22;3;14;13;25;10;7;8
9;4;24;21;6;18;1;11;20;15;17;12;16;26;5;23;2;19;22;3;14;13;25;10;7;8;2;6062395
2;6062395;9;4;24;21;6;18;1;11;20;15;17;12;16;26;5;23;2;19;22;3;14;13;25;10;7;8
9;4;24;21;6;18;1;11;20;15;17;12;16;26;5;23;2;19;22;3;10;13;25;14;7;8;2;6060468
3;6060468;9;4;24;21;6;18;1;11;20;15;17;12;16;26;5;23;2;19;22;3;10;13;25;14;7;8
9;7;24;21;6;18;1;11;20;15;17;12;16;26;5;23;2;19;22;3;10;13;25;14;4;8;3;6043027
3;6043027;9;7;24;21;6;18;1;11;20;15;17;12;16;26;5;23;2;19;22;3;10;13;25;14;4;8
9;7;24;21;6;18;1;11;3;15;17;12;16;26;5;23;2;19;22;20;10;13;25;14;4;8;3;6161307
3;6161307;9;7;24;21;6;18;1;11;3;15;17;12;16;26;5;23;2;19;22;20;10;13;25;14;4;8
9;7;24;21;23;18;1;11;3;15;17;12;16;26;5;6;2;19;22;20;10;13;25;14;4;8;3;6163034
3;6163034;9;7;24;21;23;18;1;11;3;15;17;12;16;26;5;6;2;19;22;20;10;13;25;14;4;8
9;7;24;21;23;18;1;11;3;15;17;12;16;26;4;6;2;19;22;20;10;13;25;14;5;8;3;6155203
3;6155203;9;7;24;21;23;18;1;11;3;15;17;12;16;26;4;6;2;19;22;20;10;13;25;14;5;8
9;7;24;21;23;18;1;11;3;15;17;12;16;26;4;10;2;19;22;20;6;13;25;14;5;8;3;6161233
3;6161233;9;7;24;21;23;18;1;11;3;15;17;12;16;26;4;10;2;19;22;20;6;13;25;14;5;8
9;7;24;21;23;5;1;11;3;15;17;12;16;26;4;10;2;19;22;20;6;13;25;14;18;8;3;6184981
3;6184981;9;7;24;21;23;5;1;11;3;15;17;12;16;26;4;10;2;19;22;20;6;13;25;14;18;8
9;7;24;21;23;5;1;20;3;15;17;12;16;26;4;10;2;19;22;11;6;13;25;14;18;8;3;6179741
3;6179741;9;7;24;21;23;5;1;20;3;15;17;12;16;26;4;10;2;19;22;11;6;13;25;14;18;8
9;7;24;21;23;5;1;20;6;15;17;12;16;26;4;10;2;19;22;11;3;13;25;14;18;8;3;6127460
3;6127460;9;7;24;21;23;5;1;20;6;15;17;12;16;26;4;10;2;19;22;11;3;13;25;14;18;8
9;7;24;21;23;5;1;11;6;15;17;12;16;26;4;10;2;19;22;20;3;13;25;14;18;8;3;6117025
3;6117025;9;7;24;21;23;5;1;11;6;15;17;12;16;26;4;10;2;19;22;20;3;13;25;14;18;8
9;7;24;21;23;5;1;11;6;15;17;3;16;26;4;10;2;19;22;20;12;13;25;14;18;8;3;6110016
3;6110016;9;7;24;21;23;5;1;11;6;15;17;3;16;26;4;10;2;19;22;20;12;13;25;14;18;8
9;7;24;21;23;5;1;11;6;15;26;3;16;17;4;10;2;19;22;20;12;13;25;14;18;8;3;6111687
3;6111687;9;7;24;21;23;5;1;11;6;15;26;3;16;17;4;10;2;19;22;20;12;13;25;14;18;8
9;7;24;21;23;5;18;11;6;15;26;3;16;17;4;10;2;19;22;20;12;13;25;14;1;8;3;5998959
3;5998959;9;7;24;21;23;5;18;11;6;15;26;3;16;17;4;10;2;19;22;20;12;13;25;14;1;8
9;7;24;21;23;8;18;11;6;15;26;3;16;17;4;10;2;19;22;20;12;13;25;14;1;5;3;6132295
3;5998959;9;7;24;21;23;5;18;11;6;15;26;3;16;17;4;10;2;19;22;20;12;13;25;14;1;8
9;7;24;21;23;5;18;11;12;15;26;3;16;17;4;10;2;19;22;20;6;13;25;14;1;8;3;6011150
3;6011150;9;7;24;21;23;5;18;11;12;15;26;3;16;17;4;10;2;19;22;20;6;13;25;14;1;8
9;7;24;19;23;5;18;11;12;15;26;3;16;17;4;10;2;21;22;20;6;13;25;14;1;8;3;5982464
3;5982464;9;7;24;19;23;5;18;11;12;15;26;3;16;17;4;10;2;21;22;20;6;13;25;14;1;8
9;7;24;19;23;5;18;11;12;15;26;3;16;17;4;10;2;21;22;6;20;13;25;14;1;8;3;5960290
3;5960290;9;7;24;19;23;5;18;11;12;15;26;3;16;17;4;10;2;21;22;6;20;13;25;14;1;8
9;7;24;19;23;5;18;11;12;20;26;3;16;17;4;10;2;21;22;6;15;13;25;14;1;8;3;5972748
3;5972748;9;7;24;19;23;5;18;11;12;20;26;3;16;17;4;10;2;21;22;6;15;13;25;14;1;8
9;7;24;19;23;5;18;11;12;20;26;3;16;17;4;10;2;21;22;6;8;13;25;14;1;15;3;5954924
3;5954924;9;7;24;19;23;5;18;11;12;20;26;3;16;17;4;10;2;21;22;6;8;13;25;14;1;15
9;7;24;19;23;5;18;11;12;20;2;3;16;17;4;10;26;21;22;6;8;13;25;14;1;15;3;5927837
3;5927837;9;7;24;19;23;5;18;11;12;20;2;3;16;17;4;10;26;21;22;6;8;13;25;14;1;15
9;7;24;19;23;5;18;11;12;20;13;3;16;17;4;10;26;21;22;6;8;2;25;14;1;15;3;5924544
4;5924544;9;7;24;19;23;5;18;11;12;20;13;3;16;17;4;10;26;21;22;6;8;2;25;14;1;15
9;7;24;19;23;5;18;11;12;10;13;3;16;17;4;20;26;21;22;6;8;2;25;14;1;15;4;5935447
4;5935447;9;7;24;19;23;5;18;11;12;10;13;3;16;17;4;20;26;21;22;6;8;2;25;14;1;15
9;7;24;19;23;5;18;11;12;10;13;3;25;17;4;20;26;21;22;6;8;2;16;14;1;15;4;5946082
4;5946082;9;7;24;19;23;5;18;11;12;10;13;3;25;17;4;20;26;21;22;6;8;2;16;14;1;15
9;7;24;19;23;5;18;11;12;10;17;3;25;13;4;20;26;21;22;6;8;2;16;14;1;15;4;5942654
4;5942654;9;7;24;19;23;5;18;11;12;10;17;3;25;13;4;20;26;21;22;6;8;2;16;14;1;15
9;7;24;19;23;3;18;11;12;10;17;5;25;13;4;20;26;21;22;6;8;2;16;14;1;15;4;5969730
4;5969730;9;7;24;19;23;3;18;11;12;10;17;5;25;13;4;20;26;21;22;6;8;2;16;14;1;15
23;7;24;19;9;3;18;11;12;10;17;5;25;13;4;20;26;21;22;6;8;2;16;14;1;15;4;6004760
4;6004760;23;7;24;19;9;3;18;11;12;10;17;5;25;13;4;20;26;21;22;6;8;2;16;14;1;15
23;7;15;19;9;3;18;11;12;10;17;5;25;13;4;20;26;21;22;6;8;2;16;14;1;24;4;5987733
4;5987733;23;7;15;19;9;3;18;11;12;10;17;5;25;13;4;20;26;21;22;6;8;2;16;14;1;24
23;7;15;8;9;3;18;11;12;10;17;5;25;13;4;20;26;21;22;6;19;2;16;14;1;24;4;5998989
4;5998989;23;7;15;8;9;3;18;11;12;10;17;5;25;13;4;20;26;21;22;6;19;2;16;14;1;24
23;7;15;8;9;3;18;11;12;10;17;5;14;13;4;20;26;21;22;6;19;2;16;25;1;24;4;5817032
4;5817032;23;7;15;8;9;3;18;11;12;10;17;5;14;13;4;20;26;21;22;6;19;2;16;25;1;24
23;7;15;3;9;8;18;11;12;10;17;5;14;13;4;20;26;21;22;6;19;2;16;25;1;24;4;5867338
4;5867338;23;7;15;3;9;8;18;11;12;10;17;5;14;13;4;20;26;21;22;6;19;2;16;25;1;24
23;7;15;3;9;26;18;11;12;10;17;5;14;13;4;20;8;21;22;6;19;2;16;25;1;24;4;5851122
4;5851122;23;7;15;3;9;26;18;11;12;10;17;5;14;13;4;20;8;21;22;6;19;2;16;25;1;24
23;7;15;3;9;26;18;11;12;10;17;5;14;13;4;20;8;21;22;6;19;2;16;1;25;24;4;5847649
4;5847649;23;7;15;3;9;26;18;11;12;10;17;5;14;13;4;20;8;21;22;6;19;2;16;1;25;24
23;7;15;3;9;26;18;6;12;10;17;5;14;13;4;20;8;21;22;11;19;2;16;1;25;24;4;5857991
4;5857991;23;7;15;3;9;26;18;6;12;10;17;5;14;13;4;20;8;21;22;11;19;2;16;1;25;24
23;7;15;3;9;26;18;6;12;10;17;16;14;13;4;20;8;21;22;11;19;2;5;1;25;24;4;6111215
4;6111215;23;7;15;3;9;26;18;6;12;10;17;16;14;13;4;20;8;21;22;11;19;2;5;1;25;24
23;7;15;25;9;26;18;6;12;10;17;16;14;13;4;20;8;21;22;11;19;2;5;1;3;24;4;6107941
4;6107941;23;7;15;25;9;26;18;6;12;10;17;16;14;13;4;20;8;21;22;11;19;2;5;1;3;24
23;7;15;26;9;25;18;6;12;10;17;16;14;13;4;20;8;21;22;11;19;2;5;1;3;24;4;6124888
4;6124888;23;7;15;26;9;25;18;6;12;10;17;16;14;13;4;20;8;21;22;11;19;2;5;1;3;24
23;7;15;8;9;25;18;6;12;10;17;16;14;13;4;20;26;21;22;11;19;2;5;1;3;24;4;6141833
4;6141833;23;7;15;8;9;25;18;6;12;10;17;16;14;13;4;20;26;21;22;11;19;2;5;1;3;24
23;7;15;8;9;25;18;6;12;10;17;16;14;3;4;20;26;21;22;11;19;2;5;1;13;24;4;6155244
4;6155244;23;7;15;8;9;25;18;6;12;10;17;16;14;3;4;20;26;21;22;11;19;2;5;1;13;24
23;7;15;8;9;25;18;6;12;10;17;16;14;3;4;20;22;21;26;11;19;2;5;1;13;24;4;6150811
4;6150811;23;7;15;8;9;25;18;6;12;10;17;16;14;3;4;20;22;21;26;11;19;2;5;1;13;24
23;7;15;8;9;1;18;6;12;10;17;16;14;3;4;20;22;21;26;11;19;2;5;25;13;24;4;6119943
4;6119943;23;7;15;8;9;1;18;6;12;10;17;16;14;3;4;20;22;21;26;11;19;2;5;25;13;24
23;7;15;8;9;1;18;6;12;10;17;16;14;3;4;20;22;21;26;11;19;2;25;5;13;24;4;6119943
5;6119943;23;7;15;8;9;1;18;6;12;10;17;16;14;3;4;20;22;21;26;11;19;2;25;5;13;24
23;7;15;8;9;1;18;6;12;3;17;16;14;10;4;20;22;21;26;11;19;2;25;5;13;24;5;6081415
5;6081415;23;7;15;8;9;1;18;6;12;3;17;16;14;10;4;20;22;21;26;11;19;2;25;5;13;24
23;7;15;8;9;1;18;6;12;3;17;16;14;10;4;20;22;24;26;11;19;2;25;5;13;21;5;6148859
5;6148859;23;7;15;8;9;1;18;6;12;3;17;16;14;10;4;20;22;24;26;11;19;2;25;5;13;21
23;7;15;8;9;1;18;6;12;3;17;24;14;10;4;20;22;16;26;11;19;2;25;5;13;21;5;6149825
5;6149825;23;7;15;8;9;1;18;6;12;3;17;24;14;10;4;20;22;16;26;11;19;2;25;5;13;21
23;7;15;8;9;1;18;6;12;3;17;24;14;26;4;20;22;16;10;11;19;2;25;5;13;21;5;6150519
5;6150519;23;7;15;8;9;1;18;6;12;3;17;24;14;26;4;20;22;16;10;11;19;2;25;5;13;21
23;7;15;8;9;1;18;6;13;3;17;24;14;26;4;20;22;16;10;11;19;2;25;5;12;21;5;6161898
5;6161898;23;7;15;8;9;1;18;6;13;3;17;24;14;26;4;20;22;16;10;11;19;2;25;5;12;21
23;2;15;8;9;1;18;6;13;3;17;24;14;26;4;20;22;16;10;11;19;7;25;5;12;21;5;6171036
5;6171036;23;2;15;8;9;1;18;6;13;3;17;24;14;26;4;20;22;16;10;11;19;7;25;5;12;21
23;2;3;8;9;1;18;6;13;15;17;24;14;26;4;20;22;16;10;11;19;7;25;5;12;21;5;6230714
5;6230714;23;2;3;8;9;1;18;6;13;15;17;24;14;26;4;20;22;16;10;11;19;7;25;5;12;21
23;10;3;8;9;1;18;6;13;15;17;24;14;26;4;20;22;16;2;11;19;7;25;5;12;21;5;6202709
5;6202709;23;10;3;8;9;1;18;6;13;15;17;24;14;26;4;20;22;16;2;11;19;7;25;5;12;21
23;10;3;8;9;1;18;6;13;15;17;24;14;26;4;20;12;16;2;11;19;7;25;5;22;21;5;6172171
5;6172171;23;10;3;8;9;1;18;6;13;15;17;24;14;26;4;20;12;16;2;11;19;7;25;5;22;21
23;10;8;3;9;1;18;6;13;15;17;24;14;26;4;20;12;16;2;11;19;7;25;5;22;21;5;6156990
5;6156990;23;10;8;3;9;1;18;6;13;15;17;24;14;26;4;20;12;16;2;11;19;7;25;5;22;21
23;10;8;3;9;1;18;6;7;15;17;24;14;26;4;20;12;16;2;11;19;13;25;5;22;21;5;6112585
5;6112585;23;10;8;3;9;1;18;6;7;15;17;24;14;26;4;20;12;16;2;11;19;13;25;5;22;21
23;6;8;3;9;1;18;10;7;15;17;24;14;26;4;20;12;16;2;11;19;13;25;5;22;21;5;6105291
5;6105291;23;6;8;3;9;1;18;10;7;15;17;24;14;26;4;20;12;16;2;11;19;13;25;5;22;21
23;6;8;3;9;1;18;10;7;15;17;24;14;26;4;20;12;16;2;11;19;13;25;21;22;5;5;6067342
5;6067342;23;6;8;3;9;1;18;10;7;15;17;24;14;26;4;20;12;16;2;11;19;13;25;21;22;5
23;6;8;3;12;1;18;10;7;15;17;24;14;26;4;20;9;16;2;11;19;13;25;21;22;5;5;6052720
5;6052720;23;6;8;3;12;1;18;10;7;15;17;24;14;26;4;20;9;16;2;11;19;13;25;21;22;5
23;6;8;3;12;1;18;10;7;15;5;24;14;26;4;20;9;16;2;11;19;13;25;21;22;17;5;5747828
5;5747828;23;6;8;3;12;1;18;10;7;15;5;24;14;26;4;20;9;16;2;11;19;13;25;21;22;17
13;6;8;3;12;1;18;10;7;15;5;24;14;26;4;20;9;16;2;11;19;23;25;21;22;17;5;5741755
5;5741755;13;6;8;3;12;1;18;10;7;15;5;24;14;26;4;20;9;16;2;11;19;23;25;21;22;17
13;6;8;3;12;1;18;10;7;15;20;24;14;26;4;5;9;16;2;11;19;23;25;21;22;17;5;5823957
5;5823957;13;6;8;3;12;1;18;10;7;15;20;24;14;26;4;5;9;16;2;11;19;23;25;21;22;17
13;6;8;3;12;1;18;10;7;15;20;24;14;26;9;5;4;16;2;11;19;23;25;21;22;17;5;5879583
5;5879583;13;6;8;3;12;1;18;10;7;15;20;24;14;26;9;5;4;16;2;11;19;23;25;21;22;17
13;12;8;3;6;1;18;10;7;15;20;24;14;26;9;5;4;16;2;11;19;23;25;21;22;17;5;5881392
5;5881392;13;12;8;3;6;1;18;10;7;15;20;24;14;26;9;5;4;16;2;11;19;23;25;21;22;17
13;12;8;3;6;1;18;10;7;15;20;24;14;26;9;5;4;16;2;11;19;23;25;22;21;17;5;5877111
6;5877111;13;12;8;3;6;1;18;10;7;15;20;24;14;26;9;5;4;16;2;11;19;23;25;22;21;17
13;12;8;3;6;1;18;10;7;2;20;24;14;26;9;5;4;16;15;11;19;23;25;22;21;17;6;5879721
6;5879721;13;12;8;3;6;1;18;10;7;2;20;24;14;26;9;5;4;16;15;11;19;23;25;22;21;17
13;12;11;3;6;1;18;10;7;2;20;24;14;26;9;5;4;16;15;8;19;23;25;22;21;17;6;5901909
6;5901909;13;12;11;3;6;1;18;10;7;2;20;24;14;26;9;5;4;16;15;8;19;23;25;22;21;17
13;6;11;3;12;1;18;10;7;2;20;24;14;26;9;5;4;16;15;8;19;23;25;22;21;17;6;5904684
6;5904684;13;6;11;3;12;1;18;10;7;2;20;24;14;26;9;5;4;16;15;8;19;23;25;22;21;17
13;6;11;3;12;1;18;10;7;2;20;24;14;23;9;5;4;16;15;8;19;26;25;22;21;17;6;5907411
6;5907411;13;6;11;3;12;1;18;10;7;2;20;24;14;23;9;5;4;16;15;8;19;26;25;22;21;17
13;6;11;10;12;1;18;3;7;2;20;24;14;23;9;5;4;16;15;8;19;26;25;22;21;17;6;5822118
6;5822118;13;6;11;10;12;1;18;3;7;2;20;24;14;23;9;5;4;16;15;8;19;26;25;22;21;17
13;6;11;10;12;1;18;3;7;2;20;24;14;23;9;5;4;16;8;15;19;26;25;22;21;17;6;5879381
6;5879381;13;6;11;10;12;1;18;3;7;2;20;24;14;23;9;5;4;16;8;15;19;26;25;22;21;17
13;6;11;10;12;1;18;3;7;2;20;24;14;4;9;5;23;16;8;15;19;26;25;22;21;17;6;5846055
6;5846055;13;6;11;10;12;1;18;3;7;2;20;24;14;4;9;5;23;16;8;15;19;26;25;22;21;17
13;6;11;10;12;1;8;3;7;2;20;24;14;4;9;5;23;16;18;15;19;26;25;22;21;17;6;5801254
6;5801254;13;6;11;10;12;1;8;3;7;2;20;24;14;4;9;5;23;16;18;15;19;26;25;22;21;17
13;6;11;10;12;1;7;3;8;2;20;24;14;4;9;5;23;16;18;15;19;26;25;22;21;17;6;5813701
6;5813701;13;6;11;10;12;1;7;3;8;2;20;24;14;4;9;5;23;16;18;15;19;26;25;22;21;17
13;6;11;10;12;1;7;3;8;2;20;24;5;4;9;14;23;16;18;15;19;26;25;22;21;17;6;5826756
6;5826756;13;6;11;10;12;1;7;3;8;2;20;24;5;4;9;14;23;16;18;15;19;26;25;22;21;17
13;6;11;10;12;1;7;3;8;2;20;5;24;4;9;14;23;16;18;15;19;26;25;22;21;17;6;5834109
6;5834109;13;6;11;10;12;1;7;3;8;2;20;5;24;4;9;14;23;16;18;15;19;26;25;22;21;17
13;6;11;10;12;1;7;3;8;2;20;5;24;4;9;14;23;16;18;21;19;26;25;22;15;17;6;5798867
6;5798867;13;6;11;10;12;1;7;3;8;2;20;5;24;4;9;14;23;16;18;21;19;26;25;22;15;17
13;6;11;10;12;1;7;3;8;2;20;5;24;4;9;14;16;23;18;21;19;26;25;22;15;17;6;5800213
6;5800213;13;6;11;10;12;1;7;3;8;2;20;5;24;4;9;14;16;23;18;21;19;26;25;22;15;17
13;6;11;10;12;1;7;3;8;2;20;5;24;4;9;14;16;23;17;21;19;26;25;22;15;18;6;5859737
6;5859737;13;6;11;10;12;1;7;3;8;2;20;5;24;4;9;14;16;23;17;21;19;26;25;22;15;18
13;6;11;10;12;1;7;3;8;15;20;5;24;4;9;14;16;23;17;21;19;26;25;22;2;18;6;5866361
6;5866361;13;6;11;10;12;1;7;3;8;15;20;5;24;4;9;14;16;23;17;21;19;26;25;22;2;18
13;6;11;10;12;1;7;3;2;15;20;5;24;4;9;14;16;23;17;21;19;26;25;22;8;18;6;5892699
6;5892699;13;6;11;10;12;1;7;3;2;15;20;5;24;4;9;14;16;23;17;21;19;26;25;22;8;18
13;6;11;10;12;1;7;3;2;15;16;5;24;4;9;14;20;23;17;21;19;26;25;22;8;18;6;5904191
6;5904191;13;6;11;10;12;1;7;3;2;15;16;5;24;4;9;14;20;23;17;21;19;26;25;22;8;18
13;6;11;10;12;1;7;3;2;25;16;5;24;4;9;14;20;23;17;21;19;26;15;22;8;18;6;5920382
6;5920382;13;6;11;10;12;1;7;3;2;25;16;5;24;4;9;14;20;23;17;21;19;26;15;22;8;18
