"X1";"X290";"X25";"X41";"X17";"X9";"X43";"X1.1";"X10";"X50";"X35";"X46";"X56";"X3";"X36";"X29";"X60";"X47";"X62";"X33";"X39";"X42";"X14";"X34";"X31";"X44";"X7";"X13";"X19";"X52";"X27";"X37";"X61";"X57";"X49";"X63";"X24";"X58";"X23";"X8";"X48";"X45";"X26";"X4";"X38";"X18";"X32";"X54";"X51";"X5";"X40";"X2";"X15";"X22";"X6";"X30";"X12";"X16";"X20";"X11";"X59";"X28";"X21";"X53";"X64";"X55"
1;248;50;19;59;9;1;51;44;38;35;46;56;3;36;29;60;47;62;33;39;42;14;34;31;10;7;13;41;52;27;37;23;57;49;63;64;58;22;8;48;45;26;4;25;18;32;54;43;5;40;2;15;61;6;30;12;16;20;11;17;28;21;53;24;55
50;19;59;9;1;51;44;38;35;46;56;3;36;29;60;47;62;33;39;42;14;34;31;10;26;13;41;52;27;37;23;57;49;63;64;58;22;8;48;45;7;4;25;18;32;54;43;5;40;2;15;61;6;30;12;16;20;11;17;28;21;53;24;55;1;248
1;248;50;19;59;9;1;51;44;38;35;46;56;3;36;29;60;47;62;33;39;42;14;34;31;10;26;13;41;52;27;37;23;57;49;63;64;58;22;8;48;45;7;4;25;18;32;54;43;5;40;2;15;61;6;30;12;16;20;11;17;28;21;53;24;55
50;19;59;9;1;51;44;38;35;46;56;36;3;29;60;47;62;33;39;42;14;34;31;10;26;13;41;52;27;37;23;57;49;63;64;58;22;8;48;45;7;4;25;18;32;54;43;5;40;2;15;61;6;30;12;16;20;11;17;28;21;53;24;55;1;248
1;248;50;19;59;9;1;51;44;38;35;46;56;36;3;29;60;47;62;33;39;42;14;34;31;10;26;13;41;52;27;37;23;57;49;63;64;58;22;8;48;45;7;4;25;18;32;54;43;5;40;2;15;61;6;30;12;16;20;11;17;28;21;53;24;55
50;19;59;9;1;51;44;38;35;46;10;36;3;29;60;47;62;33;39;42;14;34;31;56;26;13;41;52;27;37;23;57;49;63;64;58;22;8;48;45;7;4;25;18;32;54;43;5;40;2;15;61;6;30;12;16;20;11;17;28;21;53;24;55;1;268
1;268;50;19;59;9;1;51;44;38;35;46;10;36;3;29;60;47;62;33;39;42;14;34;31;56;26;13;41;52;27;37;23;57;49;63;64;58;22;8;48;45;7;4;25;18;32;54;43;5;40;2;15;61;6;30;12;16;20;11;17;28;21;53;24;55
50;19;59;9;1;51;44;38;35;46;10;36;3;29;60;47;62;33;39;42;14;34;31;56;26;13;41;52;27;37;23;57;49;63;64;58;22;8;48;45;61;4;25;18;32;54;43;5;40;2;15;7;6;30;12;16;20;11;17;28;21;53;24;55;1;268
1;268;50;19;59;9;1;51;44;38;35;46;10;36;3;29;60;47;62;33;39;42;14;34;31;56;26;13;41;52;27;37;23;57;49;63;64;58;22;8;48;45;61;4;25;18;32;54;43;5;40;2;15;7;6;30;12;16;20;11;17;28;21;53;24;55
50;19;59;9;1;51;44;38;35;46;10;36;3;29;60;47;62;33;39;42;14;34;31;56;26;13;20;52;27;37;23;57;49;63;64;58;22;8;48;45;61;4;25;18;32;54;43;5;40;2;15;7;6;30;12;16;41;11;17;28;21;53;24;55;1;280
1;280;50;19;59;9;1;51;44;38;35;46;10;36;3;29;60;47;62;33;39;42;14;34;31;56;26;13;20;52;27;37;23;57;49;63;64;58;22;8;48;45;61;4;25;18;32;54;43;5;40;2;15;7;6;30;12;16;41;11;17;28;21;53;24;55
50;19;59;9;1;51;44;38;35;46;10;36;3;29;60;47;62;33;39;42;14;34;31;56;26;13;20;52;27;37;23;57;49;63;64;58;22;8;48;45;61;4;25;18;32;54;21;5;40;2;15;7;6;30;12;16;41;11;17;28;43;53;24;55;1;280
1;280;50;19;59;9;1;51;44;38;35;46;10;36;3;29;60;47;62;33;39;42;14;34;31;56;26;13;20;52;27;37;23;57;49;63;64;58;22;8;48;45;61;4;25;18;32;54;21;5;40;2;15;7;6;30;12;16;41;11;17;28;43;53;24;55
50;19;59;9;1;51;44;38;45;46;10;36;3;29;60;47;62;33;39;42;14;34;31;56;26;13;20;52;27;37;23;57;49;63;64;58;22;8;48;35;61;4;25;18;32;54;21;5;40;2;15;7;6;30;12;16;41;11;17;28;43;53;24;55;1;280
1;280;50;19;59;9;1;51;44;38;45;46;10;36;3;29;60;47;62;33;39;42;14;34;31;56;26;13;20;52;27;37;23;57;49;63;64;58;22;8;48;35;61;4;25;18;32;54;21;5;40;2;15;7;6;30;12;16;41;11;17;28;43;53;24;55
50;19;59;9;1;51;44;38;45;46;10;36;3;29;60;47;62;33;39;42;14;34;31;56;26;13;20;52;27;37;23;57;49;63;64;58;22;8;35;48;61;4;25;18;32;54;21;5;40;2;15;7;6;30;12;16;41;11;17;28;43;53;24;55;1;274
1;274;50;19;59;9;1;51;44;38;45;46;10;36;3;29;60;47;62;33;39;42;14;34;31;56;26;13;20;52;27;37;23;57;49;63;64;58;22;8;35;48;61;4;25;18;32;54;21;5;40;2;15;7;6;30;12;16;41;11;17;28;43;53;24;55
50;19;59;9;1;51;44;38;45;46;10;36;3;29;60;47;62;33;39;42;14;34;31;56;26;13;20;52;27;37;23;57;49;63;64;58;22;8;35;48;61;4;25;18;32;54;21;5;40;2;15;7;6;30;12;16;41;11;43;28;17;53;24;55;1;274
1;274;50;19;59;9;1;51;44;38;45;46;10;36;3;29;60;47;62;33;39;42;14;34;31;56;26;13;20;52;27;37;23;57;49;63;64;58;22;8;35;48;61;4;25;18;32;54;21;5;40;2;15;7;6;30;12;16;41;11;43;28;17;53;24;55
50;19;59;9;1;51;44;38;45;46;10;36;3;29;60;47;62;6;39;42;14;34;31;56;26;13;20;52;27;37;23;57;49;63;64;58;22;8;35;48;61;4;25;18;32;54;21;5;40;2;15;7;33;30;12;16;41;11;43;28;17;53;24;55;1;274
2;274;50;19;59;9;1;51;44;38;45;46;10;36;3;29;60;47;62;6;39;42;14;34;31;56;26;13;20;52;27;37;23;57;49;63;64;58;22;8;35;48;61;4;25;18;32;54;21;5;40;2;15;7;33;30;12;16;41;11;43;28;17;53;24;55
50;19;59;9;1;51;44;42;45;46;10;36;3;29;60;47;62;6;39;38;14;34;31;56;26;13;20;52;27;37;23;57;49;63;64;58;22;8;35;48;61;4;25;18;32;54;21;5;40;2;15;7;33;30;12;16;41;11;43;28;17;53;24;55;2;282
2;282;50;19;59;9;1;51;44;42;45;46;10;36;3;29;60;47;62;6;39;38;14;34;31;56;26;13;20;52;27;37;23;57;49;63;64;58;22;8;35;48;61;4;25;18;32;54;21;5;40;2;15;7;33;30;12;16;41;11;43;28;17;53;24;55
50;19;59;9;1;51;44;42;45;46;10;36;3;29;60;47;62;6;39;38;14;34;31;56;26;13;20;52;8;37;23;57;49;63;64;58;22;27;35;48;61;4;25;18;32;54;21;5;40;2;15;7;33;30;12;16;41;11;43;28;17;53;24;55;2;282
2;282;50;19;59;9;1;51;44;42;45;46;10;36;3;29;60;47;62;6;39;38;14;34;31;56;26;13;20;52;8;37;23;57;49;63;64;58;22;27;35;48;61;4;25;18;32;54;21;5;40;2;15;7;33;30;12;16;41;11;43;28;17;53;24;55
50;19;59;9;1;51;44;42;45;46;10;36;55;29;60;47;62;6;39;38;14;34;31;56;26;13;20;52;8;37;23;57;49;63;64;58;22;27;35;48;61;4;25;18;32;54;21;5;40;2;15;7;33;30;12;16;41;11;43;28;17;53;24;3;2;282
2;282;50;19;59;9;1;51;44;42;45;46;10;36;55;29;60;47;62;6;39;38;14;34;31;56;26;13;20;52;8;37;23;57;49;63;64;58;22;27;35;48;61;4;25;18;32;54;21;5;40;2;15;7;33;30;12;16;41;11;43;28;17;53;24;3
50;19;59;9;1;51;44;42;45;46;10;36;55;29;60;47;31;6;39;38;14;34;62;56;26;13;20;52;8;37;23;57;49;63;64;58;22;27;35;48;61;4;25;18;32;54;21;5;40;2;15;7;33;30;12;16;41;11;43;28;17;53;24;3;2;302
2;302;50;19;59;9;1;51;44;42;45;46;10;36;55;29;60;47;31;6;39;38;14;34;62;56;26;13;20;52;8;37;23;57;49;63;64;58;22;27;35;48;61;4;25;18;32;54;21;5;40;2;15;7;33;30;12;16;41;11;43;28;17;53;24;3
50;19;59;9;1;51;44;42;45;46;10;36;55;29;60;47;31;6;39;38;14;34;62;56;26;13;20;52;8;37;23;57;49;63;64;58;22;27;35;48;61;4;25;18;32;54;21;5;16;2;15;7;33;30;12;40;41;11;43;28;17;53;24;3;2;302
2;302;50;19;59;9;1;51;44;42;45;46;10;36;55;29;60;47;31;6;39;38;14;34;62;56;26;13;20;52;8;37;23;57;49;63;64;58;22;27;35;48;61;4;25;18;32;54;21;5;16;2;15;7;33;30;12;40;41;11;43;28;17;53;24;3
50;19;59;9;1;51;44;42;45;46;10;36;55;29;60;47;31;6;39;38;34;14;62;56;26;13;20;52;8;37;23;57;49;63;64;58;22;27;35;48;61;4;25;18;32;54;21;5;16;2;15;7;33;30;12;40;41;11;43;28;17;53;24;3;2;296
2;296;50;19;59;9;1;51;44;42;45;46;10;36;55;29;60;47;31;6;39;38;34;14;62;56;26;13;20;52;8;37;23;57;49;63;64;58;22;27;35;48;61;4;25;18;32;54;21;5;16;2;15;7;33;30;12;40;41;11;43;28;17;53;24;3
50;19;59;9;1;51;44;42;45;10;46;36;55;29;60;47;31;6;39;38;34;14;62;56;26;13;20;52;8;37;23;57;49;63;64;58;22;27;35;48;61;4;25;18;32;54;21;5;16;2;15;7;33;30;12;40;41;11;43;28;17;53;24;3;2;296
2;296;50;19;59;9;1;51;44;42;45;10;46;36;55;29;60;47;31;6;39;38;34;14;62;56;26;13;20;52;8;37;23;57;49;63;64;58;22;27;35;48;61;4;25;18;32;54;21;5;16;2;15;7;33;30;12;40;41;11;43;28;17;53;24;3
50;19;59;9;1;51;44;42;45;10;46;36;55;29;60;47;31;6;39;38;34;14;62;56;26;13;20;52;8;37;23;57;49;63;64;58;22;27;35;48;61;4;25;18;32;54;21;5;16;2;15;7;3;30;12;40;41;11;43;28;17;53;24;33;2;296
2;296;50;19;59;9;1;51;44;42;45;10;46;36;55;29;60;47;31;6;39;38;34;14;62;56;26;13;20;52;8;37;23;57;49;63;64;58;22;27;35;48;61;4;25;18;32;54;21;5;16;2;15;7;3;30;12;40;41;11;43;28;17;53;24;33
50;19;59;9;1;62;44;42;45;10;46;36;55;29;60;47;31;6;39;38;34;14;51;56;26;13;20;52;8;37;23;57;49;63;64;58;22;27;35;48;61;4;25;18;32;54;21;5;16;2;15;7;3;30;12;40;41;11;43;28;17;53;24;33;2;272
2;272;50;19;59;9;1;62;44;42;45;10;46;36;55;29;60;47;31;6;39;38;34;14;51;56;26;13;20;52;8;37;23;57;49;63;64;58;22;27;35;48;61;4;25;18;32;54;21;5;16;2;15;7;3;30;12;40;41;11;43;28;17;53;24;33
50;19;59;9;1;62;44;42;45;10;46;36;55;29;60;47;31;6;39;38;34;14;51;56;26;13;20;52;8;37;23;57;49;63;64;58;22;27;35;48;61;4;25;18;32;54;21;5;16;2;15;7;3;41;12;40;30;11;43;28;17;53;24;33;2;272
2;272;50;19;59;9;1;62;44;42;45;10;46;36;55;29;60;47;31;6;39;38;34;14;51;56;26;13;20;52;8;37;23;57;49;63;64;58;22;27;35;48;61;4;25;18;32;54;21;5;16;2;15;7;3;41;12;40;30;11;43;28;17;53;24;33
50;19;59;9;1;62;44;42;64;10;46;36;55;29;60;47;31;6;39;38;34;14;51;56;26;13;20;52;8;37;23;57;49;63;45;58;22;27;35;48;61;4;25;18;32;54;21;5;16;2;15;7;3;41;12;40;30;11;43;28;17;53;24;33;2;270
2;270;50;19;59;9;1;62;44;42;64;10;46;36;55;29;60;47;31;6;39;38;34;14;51;56;26;13;20;52;8;37;23;57;49;63;45;58;22;27;35;48;61;4;25;18;32;54;21;5;16;2;15;7;3;41;12;40;30;11;43;28;17;53;24;33
50;19;59;9;61;62;44;42;64;10;46;36;55;29;60;47;31;6;39;38;34;14;51;56;26;13;20;52;8;37;23;57;49;63;45;58;22;27;35;48;1;4;25;18;32;54;21;5;16;2;15;7;3;41;12;40;30;11;43;28;17;53;24;33;2;270
2;270;50;19;59;9;61;62;44;42;64;10;46;36;55;29;60;47;31;6;39;38;34;14;51;56;26;13;20;52;8;37;23;57;49;63;45;58;22;27;35;48;1;4;25;18;32;54;21;5;16;2;15;7;3;41;12;40;30;11;43;28;17;53;24;33
50;19;59;9;61;62;44;42;64;10;46;36;55;29;60;47;20;6;39;38;34;14;51;56;26;13;31;52;8;37;23;57;49;63;45;58;22;27;35;48;1;4;25;18;32;54;21;5;16;2;15;7;3;41;12;40;30;11;43;28;17;53;24;33;2;274
2;274;50;19;59;9;61;62;44;42;64;10;46;36;55;29;60;47;20;6;39;38;34;14;51;56;26;13;31;52;8;37;23;57;49;63;45;58;22;27;35;48;1;4;25;18;32;54;21;5;16;2;15;7;3;41;12;40;30;11;43;28;17;53;24;33
50;19;59;9;61;62;44;42;64;53;46;36;55;29;60;47;20;6;39;38;34;14;51;56;26;13;31;52;8;37;23;57;49;63;45;58;22;27;35;48;1;4;25;18;32;54;21;5;16;2;15;7;3;41;12;40;30;11;43;28;17;10;24;33;2;274
2;274;50;19;59;9;61;62;44;42;64;53;46;36;55;29;60;47;20;6;39;38;34;14;51;56;26;13;31;52;8;37;23;57;49;63;45;58;22;27;35;48;1;4;25;18;32;54;21;5;16;2;15;7;3;41;12;40;30;11;43;28;17;10;24;33
15;19;59;9;61;62;44;42;64;53;46;36;55;29;60;47;20;6;39;38;34;14;51;56;26;13;31;52;8;37;23;57;49;63;45;58;22;27;35;48;1;4;25;18;32;54;21;5;16;2;50;7;3;41;12;40;30;11;43;28;17;10;24;33;2;274
2;274;15;19;59;9;61;62;44;42;64;53;46;36;55;29;60;47;20;6;39;38;34;14;51;56;26;13;31;52;8;37;23;57;49;63;45;58;22;27;35;48;1;4;25;18;32;54;21;5;16;2;50;7;3;41;12;40;30;11;43;28;17;10;24;33
27;19;59;9;61;62;44;42;64;53;46;36;55;29;60;47;20;6;39;38;34;14;51;56;26;13;31;52;8;37;23;57;49;63;45;58;22;15;35;48;1;4;25;18;32;54;21;5;16;2;50;7;3;41;12;40;30;11;43;28;17;10;24;33;2;274
2;274;27;19;59;9;61;62;44;42;64;53;46;36;55;29;60;47;20;6;39;38;34;14;51;56;26;13;31;52;8;37;23;57;49;63;45;58;22;15;35;48;1;4;25;18;32;54;21;5;16;2;50;7;3;41;12;40;30;11;43;28;17;10;24;33
27;19;59;9;61;62;44;42;64;53;46;36;55;29;60;47;20;6;39;38;34;14;51;56;26;13;31;52;8;37;23;57;49;63;45;58;22;15;35;48;1;4;25;18;32;54;21;11;16;2;50;7;3;41;12;40;30;5;43;28;17;10;24;33;2;274
2;274;27;19;59;9;61;62;44;42;64;53;46;36;55;29;60;47;20;6;39;38;34;14;51;56;26;13;31;52;8;37;23;57;49;63;45;58;22;15;35;48;1;4;25;18;32;54;21;11;16;2;50;7;3;41;12;40;30;5;43;28;17;10;24;33
27;19;59;9;61;62;44;42;64;53;46;36;55;29;60;47;20;6;39;38;34;14;51;56;26;13;31;52;8;37;23;57;49;63;45;58;22;15;35;48;1;4;25;18;32;54;21;11;16;2;50;7;10;41;12;40;30;5;43;28;17;3;24;33;2;274
2;274;27;19;59;9;61;62;44;42;64;53;46;36;55;29;60;47;20;6;39;38;34;14;51;56;26;13;31;52;8;37;23;57;49;63;45;58;22;15;35;48;1;4;25;18;32;54;21;11;16;2;50;7;10;41;12;40;30;5;43;28;17;3;24;33
27;19;59;9;61;62;44;42;64;53;46;36;55;29;60;47;30;6;39;38;34;14;51;56;26;13;31;52;8;37;23;57;49;63;45;58;22;15;35;48;1;4;25;18;32;54;21;11;16;2;50;7;10;41;12;40;20;5;43;28;17;3;24;33;2;254
2;254;27;19;59;9;61;62;44;42;64;53;46;36;55;29;60;47;30;6;39;38;34;14;51;56;26;13;31;52;8;37;23;57;49;63;45;58;22;15;35;48;1;4;25;18;32;54;21;11;16;2;50;7;10;41;12;40;20;5;43;28;17;3;24;33
27;19;59;9;33;62;44;42;64;53;46;36;55;29;60;47;30;6;39;38;34;14;51;56;26;13;31;52;8;37;23;57;49;63;45;58;22;15;35;48;1;4;25;18;32;54;21;11;16;2;50;7;10;41;12;40;20;5;43;28;17;3;24;61;2;254
3;254;27;19;59;9;33;62;44;42;64;53;46;36;55;29;60;47;30;6;39;38;34;14;51;56;26;13;31;52;8;37;23;57;49;63;45;58;22;15;35;48;1;4;25;18;32;54;21;11;16;2;50;7;10;41;12;40;20;5;43;28;17;3;24;61
27;19;59;9;33;62;44;42;64;53;46;36;55;29;60;47;30;24;39;38;34;14;51;56;26;13;31;52;8;37;23;57;49;63;45;58;22;15;35;48;1;4;25;18;32;54;21;11;16;2;50;7;10;41;12;40;20;5;43;28;17;3;6;61;3;254
3;254;27;19;59;9;33;62;44;42;64;53;46;36;55;29;60;47;30;24;39;38;34;14;51;56;26;13;31;52;8;37;23;57;49;63;45;58;22;15;35;48;1;4;25;18;32;54;21;11;16;2;50;7;10;41;12;40;20;5;43;28;17;3;6;61
27;19;59;9;33;62;44;42;64;53;46;36;55;29;60;47;30;24;39;38;34;14;51;56;26;13;31;52;17;37;23;57;49;63;45;58;22;15;35;48;1;4;25;18;32;54;21;11;16;2;50;7;10;41;12;40;20;5;43;28;8;3;6;61;3;254
3;254;27;19;59;9;33;62;44;42;64;53;46;36;55;29;60;47;30;24;39;38;34;14;51;56;26;13;31;52;17;37;23;57;49;63;45;58;22;15;35;48;1;4;25;18;32;54;21;11;16;2;50;7;10;41;12;40;20;5;43;28;8;3;6;61
27;19;59;9;54;62;44;42;64;53;46;36;55;29;60;47;30;24;39;38;34;14;51;56;26;13;31;52;17;37;23;57;49;63;45;58;22;15;35;48;1;4;25;18;32;33;21;11;16;2;50;7;10;41;12;40;20;5;43;28;8;3;6;61;3;278
3;278;27;19;59;9;54;62;44;42;64;53;46;36;55;29;60;47;30;24;39;38;34;14;51;56;26;13;31;52;17;37;23;57;49;63;45;58;22;15;35;48;1;4;25;18;32;33;21;11;16;2;50;7;10;41;12;40;20;5;43;28;8;3;6;61
27;19;59;9;54;62;44;42;64;53;46;36;55;29;60;47;30;24;39;38;34;14;51;56;26;13;31;41;17;37;23;57;49;63;45;58;22;15;35;48;1;4;25;18;32;33;21;11;16;2;50;7;10;52;12;40;20;5;43;28;8;3;6;61;3;270
3;270;27;19;59;9;54;62;44;42;64;53;46;36;55;29;60;47;30;24;39;38;34;14;51;56;26;13;31;41;17;37;23;57;49;63;45;58;22;15;35;48;1;4;25;18;32;33;21;11;16;2;50;7;10;52;12;40;20;5;43;28;8;3;6;61
27;19;59;9;54;62;44;42;64;53;46;36;55;51;60;47;30;24;39;38;34;14;29;56;26;13;31;41;17;37;23;57;49;63;45;58;22;15;35;48;1;4;25;18;32;33;21;11;16;2;50;7;10;52;12;40;20;5;43;28;8;3;6;61;3;282
3;282;27;19;59;9;54;62;44;42;64;53;46;36;55;51;60;47;30;24;39;38;34;14;29;56;26;13;31;41;17;37;23;57;49;63;45;58;22;15;35;48;1;4;25;18;32;33;21;11;16;2;50;7;10;52;12;40;20;5;43;28;8;3;6;61
27;19;59;9;54;62;44;42;64;53;46;36;55;51;60;47;30;24;39;38;34;14;29;56;26;13;31;41;17;37;23;57;49;63;45;58;22;15;35;48;1;4;25;18;32;43;21;11;16;2;50;7;10;52;12;40;20;5;33;28;8;3;6;61;3;290
3;290;27;19;59;9;54;62;44;42;64;53;46;36;55;51;60;47;30;24;39;38;34;14;29;56;26;13;31;41;17;37;23;57;49;63;45;58;22;15;35;48;1;4;25;18;32;43;21;11;16;2;50;7;10;52;12;40;20;5;33;28;8;3;6;61
27;19;59;9;54;62;44;42;64;53;46;36;55;51;60;47;30;24;39;38;34;14;29;4;26;13;31;41;17;37;23;57;49;63;45;58;22;15;35;48;1;56;25;18;32;43;21;11;16;2;50;7;10;52;12;40;20;5;33;28;8;3;6;61;3;290
3;290;27;19;59;9;54;62;44;42;64;53;46;36;55;51;60;47;30;24;39;38;34;14;29;4;26;13;31;41;17;37;23;57;49;63;45;58;22;15;35;48;1;56;25;18;32;43;21;11;16;2;50;7;10;52;12;40;20;5;33;28;8;3;6;61
27;19;59;9;54;62;44;42;64;53;46;36;55;51;60;14;30;24;39;38;34;47;29;4;26;13;31;41;17;37;23;57;49;63;45;58;22;15;35;48;1;56;25;18;32;43;21;11;16;2;50;7;10;52;12;40;20;5;33;28;8;3;6;61;3;284
3;284;27;19;59;9;54;62;44;42;64;53;46;36;55;51;60;14;30;24;39;38;34;47;29;4;26;13;31;41;17;37;23;57;49;63;45;58;22;15;35;48;1;56;25;18;32;43;21;11;16;2;50;7;10;52;12;40;20;5;33;28;8;3;6;61
27;19;59;9;54;62;44;42;64;53;46;36;55;51;60;14;30;24;39;38;34;47;29;4;26;13;31;41;17;37;23;57;49;63;45;58;22;15;35;48;1;56;18;25;32;43;21;11;16;2;50;7;10;52;12;40;20;5;33;28;8;3;6;61;3;284
3;284;27;19;59;9;54;62;44;42;64;53;46;36;55;51;60;14;30;24;39;38;34;47;29;4;26;13;31;41;17;37;23;57;49;63;45;58;22;15;35;48;1;56;18;25;32;43;21;11;16;2;50;7;10;52;12;40;20;5;33;28;8;3;6;61
27;19;59;9;54;62;44;42;64;53;46;36;55;51;60;14;30;24;39;38;34;47;29;4;26;13;31;41;17;37;23;49;57;63;45;58;22;15;35;48;1;56;18;25;32;43;21;11;16;2;50;7;10;52;12;40;20;5;33;28;8;3;6;61;3;284
3;284;27;19;59;9;54;62;44;42;64;53;46;36;55;51;60;14;30;24;39;38;34;47;29;4;26;13;31;41;17;37;23;49;57;63;45;58;22;15;35;48;1;56;18;25;32;43;21;11;16;2;50;7;10;52;12;40;20;5;33;28;8;3;6;61
27;19;59;9;54;62;44;42;64;53;46;36;55;11;60;14;30;24;39;38;34;47;29;4;26;13;31;41;17;37;23;49;57;63;45;58;22;15;35;48;1;56;18;25;32;43;21;51;16;2;50;7;10;52;12;40;20;5;33;28;8;3;6;61;3;288
