"X1";"X27168";"X19";"X6";"X28";"X10";"X26";"X18";"X3";"X17";"X14";"X8";"X29";"X4";"X11";"X21";"X2";"X32";"X25";"X5";"X13";"X31";"X7";"X27";"X22";"X1.1";"X12";"X23";"X16";"X24";"X20";"X9";"X15";"X30"
19;31;22;10;25;18;7;17;20;8;11;16;30;2;5;32;28;27;13;4;3;21;9;1;29;23;14;24;6;26;15;12;2;25862
2;25862;19;31;22;10;25;18;7;17;20;8;11;16;30;2;5;32;28;27;13;4;3;21;9;1;29;23;14;24;6;26;15;12
19;31;22;10;25;18;7;17;20;8;11;16;30;2;5;32;28;27;13;4;3;21;9;1;29;23;14;24;6;15;26;12;2;26046
2;26046;19;31;22;10;25;18;7;17;20;8;11;16;30;2;5;32;28;27;13;4;3;21;9;1;29;23;14;24;6;15;26;12
19;24;22;10;25;18;7;17;20;8;11;16;30;2;5;32;28;27;13;4;3;21;9;1;29;23;14;31;6;15;26;12;2;25746
2;25746;19;24;22;10;25;18;7;17;20;8;11;16;30;2;5;32;28;27;13;4;3;21;9;1;29;23;14;31;6;15;26;12
19;24;22;10;25;18;7;17;20;11;8;16;30;2;5;32;28;27;13;4;3;21;9;1;29;23;14;31;6;15;26;12;2;25786
2;25786;19;24;22;10;25;18;7;17;20;11;8;16;30;2;5;32;28;27;13;4;3;21;9;1;29;23;14;31;6;15;26;12
19;24;22;10;25;27;7;17;20;11;8;16;30;2;5;32;28;18;13;4;3;21;9;1;29;23;14;31;6;15;26;12;2;25546
2;25546;19;24;22;10;25;27;7;17;20;11;8;16;30;2;5;32;28;18;13;4;3;21;9;1;29;23;14;31;6;15;26;12
19;24;22;10;25;27;7;17;20;11;8;16;30;2;5;32;18;28;13;4;3;21;9;1;29;23;14;31;6;15;26;12;2;25946
2;25946;19;24;22;10;25;27;7;17;20;11;8;16;30;2;5;32;18;28;13;4;3;21;9;1;29;23;14;31;6;15;26;12
19;24;22;10;25;27;7;17;20;11;8;16;30;32;5;2;18;28;13;4;3;21;9;1;29;23;14;31;6;15;26;12;2;25246
2;25246;19;24;22;10;25;27;7;17;20;11;8;16;30;32;5;2;18;28;13;4;3;21;9;1;29;23;14;31;6;15;26;12
19;24;22;10;25;27;7;17;20;11;8;16;30;32;5;2;18;28;13;4;3;21;23;1;29;9;14;31;6;15;26;12;2;26088
2;26088;19;24;22;10;25;27;7;17;20;11;8;16;30;32;5;2;18;28;13;4;3;21;23;1;29;9;14;31;6;15;26;12
19;24;22;10;25;27;7;17;20;11;8;16;30;32;5;2;18;28;13;4;3;21;23;14;29;9;1;31;6;15;26;12;2;26128
2;26128;19;24;22;10;25;27;7;17;20;11;8;16;30;32;5;2;18;28;13;4;3;21;23;14;29;9;1;31;6;15;26;12
19;24;22;10;25;27;7;17;11;20;8;16;30;32;5;2;18;28;13;4;3;21;23;14;29;9;1;31;6;15;26;12;2;26276
2;26276;19;24;22;10;25;27;7;17;11;20;8;16;30;32;5;2;18;28;13;4;3;21;23;14;29;9;1;31;6;15;26;12
19;24;22;10;25;27;7;17;11;20;8;16;30;32;5;2;18;28;13;4;23;21;3;14;29;9;1;31;6;15;26;12;2;26420
2;26420;19;24;22;10;25;27;7;17;11;20;8;16;30;32;5;2;18;28;13;4;23;21;3;14;29;9;1;31;6;15;26;12
19;24;22;10;25;27;7;17;11;20;8;16;30;32;5;2;18;28;13;4;23;21;31;14;29;9;1;3;6;15;26;12;2;26578
2;26578;19;24;22;10;25;27;7;17;11;20;8;16;30;32;5;2;18;28;13;4;23;21;31;14;29;9;1;3;6;15;26;12
19;24;22;10;25;27;7;17;11;20;8;16;21;32;5;2;18;28;13;4;23;30;31;14;29;9;1;3;6;15;26;12;2;26838
2;26838;19;24;22;10;25;27;7;17;11;20;8;16;21;32;5;2;18;28;13;4;23;30;31;14;29;9;1;3;6;15;26;12
19;24;22;10;25;27;7;17;11;20;8;16;21;32;5;2;18;28;13;4;23;30;31;14;29;3;1;9;6;15;26;12;2;27118
2;27118;19;24;22;10;25;27;7;17;11;20;8;16;21;32;5;2;18;28;13;4;23;30;31;14;29;3;1;9;6;15;26;12
19;28;22;10;25;27;7;17;11;20;8;16;21;32;5;2;18;24;13;4;23;30;31;14;29;3;1;9;6;15;26;12;2;27278
2;27278;19;28;22;10;25;27;7;17;11;20;8;16;21;32;5;2;18;24;13;4;23;30;31;14;29;3;1;9;6;15;26;12
19;28;22;10;25;27;7;17;11;20;8;16;21;26;5;2;18;24;13;4;23;30;31;14;29;3;1;9;6;15;32;12;2;27038
2;27038;19;28;22;10;25;27;7;17;11;20;8;16;21;26;5;2;18;24;13;4;23;30;31;14;29;3;1;9;6;15;32;12
19;28;22;10;25;27;24;17;11;20;8;16;21;26;5;2;18;7;13;4;23;30;31;14;29;3;1;9;6;15;32;12;2;26446
2;26446;19;28;22;10;25;27;24;17;11;20;8;16;21;26;5;2;18;7;13;4;23;30;31;14;29;3;1;9;6;15;32;12
19;28;22;10;25;27;24;17;11;20;8;16;21;26;5;2;18;7;15;4;23;30;31;14;29;3;1;9;6;13;32;12;2;26606
2;26606;19;28;22;10;25;27;24;17;11;20;8;16;21;26;5;2;18;7;15;4;23;30;31;14;29;3;1;9;6;13;32;12
19;28;22;10;25;27;24;17;11;13;8;16;21;26;5;2;18;7;15;4;23;30;31;14;29;3;1;9;6;20;32;12;2;26316
2;26316;19;28;22;10;25;27;24;17;11;13;8;16;21;26;5;2;18;7;15;4;23;30;31;14;29;3;1;9;6;20;32;12
19;28;22;10;25;27;24;17;11;13;8;16;21;26;5;2;18;7;15;4;23;12;31;14;29;3;1;9;6;20;32;30;2;26406
3;26406;19;28;22;10;25;27;24;17;11;13;8;16;21;26;5;2;18;7;15;4;23;12;31;14;29;3;1;9;6;20;32;30
19;28;22;10;18;27;24;17;11;13;8;16;21;26;5;2;25;7;15;4;23;12;31;14;29;3;1;9;6;20;32;30;3;26346
3;26346;19;28;22;10;18;27;24;17;11;13;8;16;21;26;5;2;25;7;15;4;23;12;31;14;29;3;1;9;6;20;32;30
19;28;22;10;18;27;21;17;11;13;8;16;24;26;5;2;25;7;15;4;23;12;31;14;29;3;1;9;6;20;32;30;3;26286
3;26286;19;28;22;10;18;27;21;17;11;13;8;16;24;26;5;2;25;7;15;4;23;12;31;14;29;3;1;9;6;20;32;30
19;28;22;10;18;27;21;17;11;13;8;16;24;26;5;2;7;25;15;4;23;12;31;14;29;3;1;9;6;20;32;30;3;25932
3;25932;19;28;22;10;18;27;21;17;11;13;8;16;24;26;5;2;7;25;15;4;23;12;31;14;29;3;1;9;6;20;32;30
19;28;22;10;18;27;21;17;11;13;8;16;24;26;5;2;7;25;15;4;23;12;31;14;29;20;1;9;6;3;32;30;3;25848
3;25848;19;28;22;10;18;27;21;17;11;13;8;16;24;26;5;2;7;25;15;4;23;12;31;14;29;20;1;9;6;3;32;30
19;28;22;10;18;29;21;17;11;13;8;16;24;26;5;2;7;25;15;4;23;12;31;14;27;20;1;9;6;3;32;30;3;26908
3;26908;19;28;22;10;18;29;21;17;11;13;8;16;24;26;5;2;7;25;15;4;23;12;31;14;27;20;1;9;6;3;32;30
19;28;32;10;18;29;21;17;11;13;8;16;24;26;5;2;7;25;15;4;23;12;31;14;27;20;1;9;6;3;22;30;3;27428
3;27428;19;28;32;10;18;29;21;17;11;13;8;16;24;26;5;2;7;25;15;4;23;12;31;14;27;20;1;9;6;3;22;30
12;28;32;10;18;29;21;17;11;13;8;16;24;26;5;2;7;25;15;4;23;19;31;14;27;20;1;9;6;3;22;30;3;27498
3;27498;12;28;32;10;18;29;21;17;11;13;8;16;24;26;5;2;7;25;15;4;23;19;31;14;27;20;1;9;6;3;22;30
12;28;32;10;18;29;21;17;11;13;8;7;24;26;5;2;16;25;15;4;23;19;31;14;27;20;1;9;6;3;22;30;3;28018
3;28018;12;28;32;10;18;29;21;17;11;13;8;7;24;26;5;2;16;25;15;4;23;19;31;14;27;20;1;9;6;3;22;30
12;28;32;10;18;29;21;17;11;13;8;7;24;26;5;2;16;25;15;4;23;19;3;14;27;20;1;9;6;31;22;30;3;27968
3;27968;12;28;32;10;18;29;21;17;11;13;8;7;24;26;5;2;16;25;15;4;23;19;3;14;27;20;1;9;6;31;22;30
12;28;32;10;18;29;21;17;11;13;8;7;24;26;5;2;16;25;15;4;23;19;3;14;27;20;1;9;31;6;22;30;3;28506
3;28506;12;28;32;10;18;29;21;17;11;13;8;7;24;26;5;2;16;25;15;4;23;19;3;14;27;20;1;9;31;6;22;30
12;28;32;10;18;29;21;17;11;13;8;7;24;26;6;2;16;25;15;4;23;19;3;14;27;20;1;9;31;5;22;30;3;28326
3;28326;12;28;32;10;18;29;21;17;11;13;8;7;24;26;6;2;16;25;15;4;23;19;3;14;27;20;1;9;31;5;22;30
12;28;32;10;18;30;21;17;11;13;8;7;24;26;6;2;16;25;15;4;23;19;3;14;27;20;1;9;31;5;22;29;3;27666
3;27666;12;28;32;10;18;30;21;17;11;13;8;7;24;26;6;2;16;25;15;4;23;19;3;14;27;20;1;9;31;5;22;29
12;28;32;10;18;30;21;17;11;8;13;7;24;26;6;2;16;25;15;4;23;19;3;14;27;20;1;9;31;5;22;29;3;29086
3;29086;12;28;32;10;18;30;21;17;11;8;13;7;24;26;6;2;16;25;15;4;23;19;3;14;27;20;1;9;31;5;22;29
12;28;13;10;18;30;21;17;11;8;32;7;24;26;6;2;16;25;15;4;23;19;3;14;27;20;1;9;31;5;22;29;3;28652
3;28652;12;28;13;10;18;30;21;17;11;8;32;7;24;26;6;2;16;25;15;4;23;19;3;14;27;20;1;9;31;5;22;29
12;28;13;10;18;30;21;17;11;8;32;7;24;26;6;2;4;25;15;16;23;19;3;14;27;20;1;9;31;5;22;29;3;28372
3;28372;12;28;13;10;18;30;21;17;11;8;32;7;24;26;6;2;4;25;15;16;23;19;3;14;27;20;1;9;31;5;22;29
12;28;13;10;5;30;21;17;11;8;32;7;24;26;6;2;4;25;15;16;23;19;3;14;27;20;1;9;31;18;22;29;3;28262
3;28262;12;28;13;10;5;30;21;17;11;8;32;7;24;26;6;2;4;25;15;16;23;19;3;14;27;20;1;9;31;18;22;29
12;28;13;10;5;30;21;17;11;8;32;22;24;26;6;2;4;25;15;16;23;19;3;14;27;20;1;9;31;18;7;29;3;28290
3;28290;12;28;13;10;5;30;21;17;11;8;32;22;24;26;6;2;4;25;15;16;23;19;3;14;27;20;1;9;31;18;7;29
12;28;13;10;5;30;21;17;11;8;32;22;24;26;6;2;4;25;15;16;23;31;3;14;27;20;1;9;19;18;7;29;3;28410
3;28410;12;28;13;10;5;30;21;17;11;8;32;22;24;26;6;2;4;25;15;16;23;31;3;14;27;20;1;9;19;18;7;29
12;28;13;22;5;30;21;17;11;8;32;10;24;26;6;2;4;25;15;16;23;31;3;14;27;20;1;9;19;18;7;29;3;28552
3;28552;12;28;13;22;5;30;21;17;11;8;32;10;24;26;6;2;4;25;15;16;23;31;3;14;27;20;1;9;19;18;7;29
12;28;13;22;5;7;21;17;11;8;32;10;24;26;6;2;4;25;15;16;23;31;3;14;27;20;1;9;19;18;30;29;3;27798
4;27798;12;28;13;22;5;7;21;17;11;8;32;10;24;26;6;2;4;25;15;16;23;31;3;14;27;20;1;9;19;18;30;29
12;28;13;22;5;7;27;17;11;8;32;10;24;26;6;2;4;25;15;16;23;31;3;14;21;20;1;9;19;18;30;29;4;27178
4;27178;12;28;13;22;5;7;27;17;11;8;32;10;24;26;6;2;4;25;15;16;23;31;3;14;21;20;1;9;19;18;30;29
12;28;13;22;5;7;27;17;11;8;32;10;3;26;6;2;4;25;15;16;23;31;24;14;21;20;1;9;19;18;30;29;4;27016
4;27016;12;28;13;22;5;7;27;17;11;8;32;10;3;26;6;2;4;25;15;16;23;31;24;14;21;20;1;9;19;18;30;29
12;28;13;22;5;15;27;17;11;8;32;10;3;26;6;2;4;25;7;16;23;31;24;14;21;20;1;9;19;18;30;29;4;27216
4;27216;12;28;13;22;5;15;27;17;11;8;32;10;3;26;6;2;4;25;7;16;23;31;24;14;21;20;1;9;19;18;30;29
12;28;13;22;5;15;27;17;11;8;32;10;3;26;6;2;4;25;23;16;7;31;24;14;21;20;1;9;19;18;30;29;4;27538
4;27538;12;28;13;22;5;15;27;17;11;8;32;10;3;26;6;2;4;25;23;16;7;31;24;14;21;20;1;9;19;18;30;29
12;28;22;13;5;15;27;17;11;8;32;10;3;26;6;2;4;25;23;16;7;31;24;14;21;20;1;9;19;18;30;29;4;27922
4;27922;12;28;22;13;5;15;27;17;11;8;32;10;3;26;6;2;4;25;23;16;7;31;24;14;21;20;1;9;19;18;30;29
12;28;22;13;5;15;27;17;11;8;32;10;3;26;6;2;4;25;23;16;19;31;24;14;21;20;1;9;7;18;30;29;4;27646
4;27646;12;28;22;13;5;15;27;17;11;8;32;10;3;26;6;2;4;25;23;16;19;31;24;14;21;20;1;9;7;18;30;29
12;28;22;13;5;15;27;17;11;8;32;10;6;26;3;2;4;25;23;16;19;31;24;14;21;20;1;9;7;18;30;29;4;27606
4;27606;12;28;22;13;5;15;27;17;11;8;32;10;6;26;3;2;4;25;23;16;19;31;24;14;21;20;1;9;7;18;30;29
12;28;22;13;5;15;27;17;11;8;32;10;6;26;3;2;16;25;23;4;19;31;24;14;21;20;1;9;7;18;30;29;4;27526
4;27526;12;28;22;13;5;15;27;17;11;8;32;10;6;26;3;2;16;25;23;4;19;31;24;14;21;20;1;9;7;18;30;29
12;28;22;13;5;15;27;17;11;8;32;10;6;26;30;2;16;25;23;4;19;31;24;14;21;20;1;9;7;18;3;29;4;27344
4;27344;12;28;22;13;5;15;27;17;11;8;32;10;6;26;30;2;16;25;23;4;19;31;24;14;21;20;1;9;7;18;3;29
12;28;22;13;5;15;27;17;11;8;32;10;6;26;30;2;21;25;23;4;19;31;24;14;16;20;1;9;7;18;3;29;4;27260
4;27260;12;28;22;13;5;15;27;17;11;8;32;10;6;26;30;2;21;25;23;4;19;31;24;14;16;20;1;9;7;18;3;29
12;28;22;13;5;15;27;17;6;8;32;10;11;26;30;2;21;25;23;4;19;31;24;14;16;20;1;9;7;18;3;29;4;27300
4;27300;12;28;22;13;5;15;27;17;6;8;32;10;11;26;30;2;21;25;23;4;19;31;24;14;16;20;1;9;7;18;3;29
12;28;22;13;5;15;27;17;6;8;32;29;11;26;30;2;21;25;23;4;19;31;24;14;16;20;1;9;7;18;3;10;4;27648
4;27648;12;28;22;13;5;15;27;17;6;8;32;29;11;26;30;2;21;25;23;4;19;31;24;14;16;20;1;9;7;18;3;10
12;28;22;13;5;15;27;17;30;8;32;29;11;26;6;2;21;25;23;4;19;31;24;14;16;20;1;9;7;18;3;10;4;27860
4;27860;12;28;22;13;5;15;27;17;30;8;32;29;11;26;6;2;21;25;23;4;19;31;24;14;16;20;1;9;7;18;3;10
12;28;22;13;5;15;27;17;30;8;32;29;11;26;6;2;21;14;23;4;19;31;24;25;16;20;1;9;7;18;3;10;4;28566
4;28566;12;28;22;13;5;15;27;17;30;8;32;29;11;26;6;2;21;14;23;4;19;31;24;25;16;20;1;9;7;18;3;10
12;28;22;13;5;15;27;17;30;8;32;29;2;26;6;11;21;14;23;4;19;31;24;25;16;20;1;9;7;18;3;10;4;28686
4;28686;12;28;22;13;5;15;27;17;30;8;32;29;2;26;6;11;21;14;23;4;19;31;24;25;16;20;1;9;7;18;3;10
12;28;22;13;5;15;25;17;30;8;32;29;2;26;6;11;21;14;23;4;19;31;24;27;16;20;1;9;7;18;3;10;4;28766
4;28766;12;28;22;13;5;15;25;17;30;8;32;29;2;26;6;11;21;14;23;4;19;31;24;27;16;20;1;9;7;18;3;10
12;28;22;13;5;15;25;17;30;8;32;29;2;26;6;11;21;14;23;1;19;31;24;27;16;20;4;9;7;18;3;10;4;28486
4;28486;12;28;22;13;5;15;25;17;30;8;32;29;2;26;6;11;21;14;23;1;19;31;24;27;16;20;4;9;7;18;3;10
12;28;22;13;5;15;25;17;30;8;32;29;2;26;6;9;21;14;23;1;19;31;24;27;16;20;4;11;7;18;3;10;4;28286
4;28286;12;28;22;13;5;15;25;17;30;8;32;29;2;26;6;9;21;14;23;1;19;31;24;27;16;20;4;11;7;18;3;10
12;27;22;13;5;15;25;17;30;8;32;29;2;26;6;9;21;14;23;1;19;31;24;28;16;20;4;11;7;18;3;10;4;27986
4;27986;12;27;22;13;5;15;25;17;30;8;32;29;2;26;6;9;21;14;23;1;19;31;24;28;16;20;4;11;7;18;3;10
27;12;22;13;5;15;25;17;30;8;32;29;2;26;6;9;21;14;23;1;19;31;24;28;16;20;4;11;7;18;3;10;4;27684
5;27684;27;12;22;13;5;15;25;17;30;8;32;29;2;26;6;9;21;14;23;1;19;31;24;28;16;20;4;11;7;18;3;10
27;12;22;13;5;15;25;24;30;8;32;29;2;26;6;9;21;14;23;1;19;31;17;28;16;20;4;11;7;18;3;10;5;28484
5;28484;27;12;22;13;5;15;25;24;30;8;32;29;2;26;6;9;21;14;23;1;19;31;17;28;16;20;4;11;7;18;3;10
27;12;22;13;5;15;25;24;30;8;32;29;2;26;6;9;21;14;23;1;19;11;17;28;16;20;4;31;7;18;3;10;5;29010
5;29010;27;12;22;13;5;15;25;24;30;8;32;29;2;26;6;9;21;14;23;1;19;11;17;28;16;20;4;31;7;18;3;10
27;12;22;13;5;15;25;31;30;8;32;29;2;26;6;9;21;14;23;1;19;11;17;28;16;20;4;24;7;18;3;10;5;28490
5;28490;27;12;22;13;5;15;25;31;30;8;32;29;2;26;6;9;21;14;23;1;19;11;17;28;16;20;4;24;7;18;3;10
27;12;22;13;5;15;25;31;24;8;32;29;2;26;6;9;21;14;23;1;19;11;17;28;16;20;4;30;7;18;3;10;5;29130
5;29130;27;12;22;13;5;15;25;31;24;8;32;29;2;26;6;9;21;14;23;1;19;11;17;28;16;20;4;30;7;18;3;10
27;12;22;13;5;15;25;31;24;8;32;29;2;26;6;16;21;14;23;1;19;11;17;28;9;20;4;30;7;18;3;10;5;29770
5;29770;27;12;22;13;5;15;25;31;24;8;32;29;2;26;6;16;21;14;23;1;19;11;17;28;9;20;4;30;7;18;3;10
27;12;22;13;5;15;25;31;24;8;32;29;2;26;6;16;21;14;1;23;19;11;17;28;9;20;4;30;7;18;3;10;5;29078
5;29078;27;12;22;13;5;15;25;31;24;8;32;29;2;26;6;16;21;14;1;23;19;11;17;28;9;20;4;30;7;18;3;10
27;12;22;13;5;15;6;31;24;8;32;29;2;26;25;16;21;14;1;23;19;11;17;28;9;20;4;30;7;18;3;10;5;28886
5;28886;27;12;22;13;5;15;6;31;24;8;32;29;2;26;25;16;21;14;1;23;19;11;17;28;9;20;4;30;7;18;3;10
27;12;22;13;5;15;3;31;24;8;32;29;2;26;25;16;21;14;1;23;19;11;17;28;9;20;4;30;7;18;6;10;5;29046
5;29046;27;12;22;13;5;15;3;31;24;8;32;29;2;26;25;16;21;14;1;23;19;11;17;28;9;20;4;30;7;18;6;10
27;12;22;13;5;15;3;11;24;8;32;29;2;26;25;16;21;14;1;23;19;31;17;28;9;20;4;30;7;18;6;10;5;28848
5;28848;27;12;22;13;5;15;3;11;24;8;32;29;2;26;25;16;21;14;1;23;19;31;17;28;9;20;4;30;7;18;6;10
27;12;22;13;5;15;3;11;24;8;6;29;2;26;25;16;21;14;1;23;19;31;17;28;9;20;4;30;7;18;32;10;5;28196
5;28196;27;12;22;13;5;15;3;11;24;8;6;29;2;26;25;16;21;14;1;23;19;31;17;28;9;20;4;30;7;18;32;10
27;12;22;13;5;15;3;11;24;8;6;29;18;26;25;16;21;14;1;23;19;31;17;28;9;20;4;30;7;2;32;10;5;27828
5;27828;27;12;22;13;5;15;3;11;24;8;6;29;18;26;25;16;21;14;1;23;19;31;17;28;9;20;4;30;7;2;32;10
27;12;22;13;5;15;3;10;24;8;6;29;18;26;25;16;21;14;1;23;19;31;17;28;9;20;4;30;7;2;32;11;5;27988
5;27988;27;12;22;13;5;15;3;10;24;8;6;29;18;26;25;16;21;14;1;23;19;31;17;28;9;20;4;30;7;2;32;11
27;12;22;13;5;15;3;10;24;6;8;29;18;26;25;16;21;14;1;23;19;31;17;28;9;20;4;30;7;2;32;11;5;28148
5;28148;27;12;22;13;5;15;3;10;24;6;8;29;18;26;25;16;21;14;1;23;19;31;17;28;9;20;4;30;7;2;32;11
27;12;22;13;5;15;3;10;24;6;8;16;18;26;25;29;21;14;1;23;19;31;17;28;9;20;4;30;7;2;32;11;5;28344
5;28344;27;12;22;13;5;15;3;10;24;6;8;16;18;26;25;29;21;14;1;23;19;31;17;28;9;20;4;30;7;2;32;11
27;12;22;13;5;15;3;10;18;6;8;16;24;26;25;29;21;14;1;23;19;31;17;28;9;20;4;30;7;2;32;11;5;28324
5;28324;27;12;22;13;5;15;3;10;18;6;8;16;24;26;25;29;21;14;1;23;19;31;17;28;9;20;4;30;7;2;32;11
27;12;22;13;5;15;3;10;18;6;8;16;24;26;4;29;21;14;1;23;19;31;17;28;9;20;25;30;7;2;32;11;5;28894
5;28894;27;12;22;13;5;15;3;10;18;6;8;16;24;26;4;29;21;14;1;23;19;31;17;28;9;20;25;30;7;2;32;11
27;12;22;13;5;15;3;10;18;32;8;16;24;26;4;29;21;14;1;23;19;31;17;28;9;20;25;30;7;2;6;11;5;28916
5;28916;27;12;22;13;5;15;3;10;18;32;8;16;24;26;4;29;21;14;1;23;19;31;17;28;9;20;25;30;7;2;6;11
27;12;22;13;5;15;3;10;18;32;8;16;24;26;4;29;21;28;1;23;19;31;17;14;9;20;25;30;7;2;6;11;5;27998
5;27998;27;12;22;13;5;15;3;10;18;32;8;16;24;26;4;29;21;28;1;23;19;31;17;14;9;20;25;30;7;2;6;11
27;12;17;13;5;15;3;10;18;32;8;16;24;26;4;29;21;28;1;23;19;31;22;14;9;20;25;30;7;2;6;11;5;28158
